Running Reverse KL,Reward Loss,Running Env Steps,Itration,Real Sto Return,Running Forward KL,Real Det Return,Running Update Time
25.6366,-42.31499099731445,0,0,-56.65,74.5598,184.89,0
24.757,-53.5377197265625,5000,1,-79.26,74.4536,169.92,1
26.4544,-67.87538146972656,10000,2,-32.43,73.8706,332.03,2
25.4544,-77.62712860107422,15000,3,-0.69,72.5812,383.5,3
27.0924,-95.53754425048828,20000,4,-28.85,73.1365,291.33,4
26.7187,-106.09770965576172,25000,5,32.75,71.3555,676.84,5
27.0467,-118.65382385253906,30000,6,40.05,71.3817,362.72,6
28.3876,-136.31884765625,35000,7,54.75,72.7853,377.94,7
28.6568,-149.2728729248047,40000,8,57.42,72.5661,657.06,8
28.1885,-158.3649444580078,45000,9,64.86,70.7439,560.23,9
28.4117,-173.0049285888672,50000,10,70.31,71.022,477.7,10
30.1078,-185.75216674804688,55000,11,101.75,72.2036,616.96,11
29.0706,-197.7252960205078,60000,12,117.58,71.4406,602.83,12
28.9317,-218.33212280273438,65000,13,127.5,70.0236,762.2,13
29.3911,-224.04530334472656,70000,14,195.23,68.1521,469.28,14
29.0272,-233.04885864257812,75000,15,246.06,68.8947,757.29,15
30.1584,-253.1374969482422,80000,16,226.67,69.6642,814.54,16
27.5843,-252.442626953125,85000,17,364.46,66.0074,1264.2,17
29.1607,-275.11175537109375,90000,18,334.63,68.3624,1155.2,18
30.1843,-302.5607604980469,95000,19,203.64,72.6066,840.57,19
29.2565,-301.7295227050781,100000,20,297.08,68.9715,808.2,20
28.2122,-315.07708740234375,105000,21,215.25,67.931,1136.77,21
29.0362,-324.0284729003906,110000,22,398.1,66.6918,1360.72,22
30.2132,-349.4322814941406,115000,23,241.36,70.4054,609.38,23
28.036,-340.4266052246094,120000,24,334.03,64.5989,789.9,24
28.4673,-365.7176208496094,125000,25,375.74,66.9147,773.04,25
28.0563,-370.87677001953125,130000,26,356.38,65.8405,1009.62,26
28.3995,-390.2203674316406,135000,27,468.35,66.8384,820.95,27
25.7912,-382.2887268066406,140000,28,474.58,61.9744,866.78,28
28.1702,-418.16119384765625,145000,29,491.03,67.266,1361.83,29
26.9463,-423.4849853515625,150000,30,574.81,65.1455,1357.6,30
27.5271,-373.2958984375,155000,31,720.54,60.3559,1760.69,31
26.9585,-444.7758483886719,160000,32,521.42,63.9231,1341.31,32
26.5386,-422.9465637207031,165000,33,620.85,62.7617,1290.45,33
28.5216,-438.03594970703125,170000,34,1095.85,62.949,1972.1,34
27.3001,-480.1730651855469,175000,35,694.74,64.5498,994.84,35
28.2736,-449.9102478027344,180000,36,1100.53,62.732,2000.08,36
28.1278,-483.35760498046875,185000,37,658.54,64.2598,1523.79,37
25.8617,-497.17120361328125,190000,38,542.58,62.1761,1867.69,38
27.2686,-464.5269470214844,195000,39,891.19,61.8724,1912.47,39
26.3828,-498.0812683105469,200000,40,771.02,62.0208,2353.34,40
28.1646,-533.472412109375,205000,41,875.97,65.9698,1689.95,41
34.6774,-486.75042724609375,210000,42,1178.99,66.1151,2307.15,42
30.1414,-519.23291015625,215000,43,1154.48,63.802,2470.7,43
28.3408,-561.6332397460938,220000,44,1199.76,64.9613,1766.03,44
27.8432,-609.1317749023438,225000,45,562.67,66.2156,957.91,45
30.0362,-559.8285522460938,230000,46,1178.97,64.8141,2021.48,46
26.909,-631.9404907226562,235000,47,667.02,66.3614,1240.48,47
38.9123,-555.2066040039062,240000,48,1339.48,67.9907,2177.53,48
29.2897,-641.1370239257812,245000,49,1618.66,65.1187,1747.36,49
29.2994,-632.6389770507812,250000,50,1217.82,65.5471,1971.78,50
