Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Forward KL,Running Env Steps,Itration,Real Det Return
12.275,0,-129.1889190673828,353.14,50.0575,0,0,513.93
28.4101,1,109.18424224853516,248.16,49.8415,5000,1,299.03
16.293,2,-93.54653930664062,283.85,49.7938,10000,2,281.33
13.3589,3,-136.47364807128906,371.0,49.3087,15000,3,385.7
14.2606,4,-70.62394714355469,338.7,49.8543,20000,4,384.96
13.755,5,-207.2870330810547,393.43,49.2258,25000,5,400.71
13.1539,6,-150.79086303710938,467.22,49.5102,30000,6,397.37
18.2797,7,-76.01242065429688,509.96,49.6973,35000,7,500.04
20.6168,8,-90.14620208740234,441.71,49.6309,40000,8,456.52
14.5948,9,-164.4783477783203,432.47,49.4299,45000,9,501.81
20.1076,10,-80.3288803100586,450.05,49.843,50000,10,468.16
13.4921,11,-282.1672058105469,442.17,48.402,55000,11,447.91
15.0065,12,-175.1013641357422,481.15,49.0514,60000,12,535.33
14.2163,13,-312.1156005859375,462.03,48.9786,65000,13,494.73
14.8547,14,-155.32005310058594,428.82,49.057,70000,14,438.76
14.5207,15,-231.1966094970703,462.67,48.2798,75000,15,544.03
13.1194,16,-210.13888549804688,442.49,48.7564,80000,16,396.95
13.8869,17,-186.68101501464844,650.32,47.6337,85000,17,655.87
13.8917,18,-336.4500427246094,457.57,48.7791,90000,18,470.22
20.5467,19,-176.43150329589844,465.46,48.9053,95000,19,445.99
13.4122,20,-198.35142517089844,575.4,47.9024,100000,20,597.47
15.8408,21,-160.14414978027344,533.19,48.3506,105000,21,708.24
14.8336,22,-191.197265625,611.69,48.0948,110000,22,657.39
18.3931,23,-125.249267578125,847.18,48.83,115000,23,995.51
20.9704,24,-75.08092498779297,1030.72,53.0899,120000,24,995.63
38.3655,25,-272.00689697265625,189.64,53.7159,125000,25,236.82
20.5946,26,-148.51792907714844,657.48,52.7835,130000,26,1008.25
24.2942,27,-129.02444458007812,930.95,53.4017,135000,27,1020.94
47.4445,28,-213.85797119140625,552.49,51.5925,140000,28,767.1
40.3906,29,-55.35552978515625,1000.98,54.8531,145000,29,1008.63
29.9744,30,-160.2108612060547,57.93,54.4081,150000,30,68.41
46.977,31,-65.69667053222656,-13.45,55.6948,155000,31,-9.14
24.644,32,-138.61990356445312,1009.81,53.5115,160000,32,1005.34
23.9516,33,-167.07498168945312,1003.84,53.4787,165000,33,1006.56
19.0461,34,-191.58642578125,1048.17,51.2187,170000,34,1025.72
16.1644,35,-228.3434600830078,815.26,49.8349,175000,35,1044.99
