Running Reverse KL,Reward Loss,Real Det Return,Real Sto Return,Itration,Running Env Steps,Running Update Time,Running Forward KL
18.4114,-1402.247802734375,214.57,213.41,0,0,0,32.5398
33.4212,-1252.2703857421875,252.15,238.43,1,5000,1,30.8274
14.414,-1000.2113037109375,281.7,273.2,2,10000,2,29.8538
43.4616,-1682.6419677734375,359.16,334.26,3,15000,3,29.9701
87.0188,-904.848876953125,317.39,315.48,4,20000,4,27.7623
26.8494,-1620.1363525390625,233.32,234.2,5,25000,5,32.0506
38.0445,-1743.4095458984375,284.01,268.33,6,30000,6,31.2876
22.978,-1670.161376953125,282.09,289.61,7,35000,7,29.4969
26.1226,-1792.1212158203125,393.8,401.41,8,40000,8,28.5338
27.1977,-2090.626953125,1020.45,1028.59,9,45000,9,36.8852
22.662,-2174.310791015625,1024.84,1029.68,10,50000,10,35.3991
21.3162,-2057.052490234375,1032.19,1047.34,11,55000,11,35.465
17.614,-1978.940185546875,1042.1,1033.62,12,60000,12,33.4644
28.1556,-2409.77978515625,1035.09,1038.12,13,65000,13,35.359
26.8251,-2431.76416015625,1037.11,1038.45,14,70000,14,37.2869
23.3922,-2371.91650390625,1028.7,1029.99,15,75000,15,37.7529
18.503,-2351.649169921875,1032.34,1056.06,16,80000,16,35.0227
22.6107,-2579.601806640625,1050.65,1053.17,17,85000,17,37.8281
27.1439,-2582.989013671875,1058.25,1023.63,18,90000,18,33.9485
40.1905,-2593.98291015625,1001.98,998.47,19,95000,19,37.874
24.69,-2587.306640625,1026.84,1029.18,20,100000,20,34.2729
33.277,-2829.227294921875,1043.95,944.37,21,105000,21,33.938
14.8229,-2173.549560546875,218.86,252.59,22,110000,22,31.581
60.6669,-2250.670654296875,211.81,215.44,23,115000,23,32.5937
22.6977,-2650.027099609375,252.21,285.87,24,120000,24,29.3432
29.7458,-2615.297119140625,308.71,328.81,25,125000,25,29.6011
21.2277,-2689.41650390625,710.17,712.46,26,130000,26,31.3569
25.1617,-2834.791015625,1002.5,1000.08,27,135000,27,34.1794
23.4244,-3071.920654296875,1006.9,1026.32,28,140000,28,34.5233
24.2328,-3035.013671875,1009.63,1007.11,29,145000,29,35.6512
22.8658,-3191.2041015625,1016.48,1042.75,30,150000,30,35.4512
23.8145,-2963.406982421875,624.62,537.9,31,155000,31,31.9787
23.0901,-3272.119140625,1036.92,859.44,32,160000,32,35.1279
18.7084,-3167.084716796875,1035.11,1042.31,33,165000,33,32.7418
20.6664,-3092.784912109375,1017.03,1009.97,34,170000,34,35.1275
31.9817,-3584.691162109375,1027.44,1026.61,35,175000,35,35.1408
31.7851,-3604.066650390625,1022.23,1020.93,36,180000,36,34.1219
18.8421,-2832.649169921875,972.06,937.73,37,185000,37,33.5993
18.3204,-3264.596923828125,934.89,832.47,38,190000,38,32.1462
24.7011,-3518.76806640625,1003.49,1006.76,39,195000,39,37.1262
23.3191,-3700.861572265625,1040.29,1042.36,40,200000,40,35.4556
22.9118,-3715.1044921875,1040.32,1040.41,41,205000,41,37.6947
24.6806,-3730.875732421875,998.02,996.37,42,210000,42,36.2195
27.8557,-3801.431396484375,1011.98,995.3,43,215000,43,33.7234
15.038,-2866.53173828125,170.36,175.93,44,220000,44,31.2952
23.1503,-2764.12939453125,413.06,404.7,45,225000,45,31.8483
20.1674,-3858.603271484375,1082.78,1114.95,46,230000,46,34.8229
67.9289,-4526.83203125,7.5,7.54,47,235000,47,38.7078
25.6083,-4076.0634765625,1026.03,1025.66,48,240000,48,39.7193
41.3507,-4264.43212890625,975.76,974.87,49,245000,49,36.7131
24.313,-4142.2666015625,1042.41,403.46,50,250000,50,37.0563
21.6521,-4237.75927734375,824.1,1047.51,51,255000,51,34.5637
21.6599,-4300.2685546875,1032.98,1032.81,52,260000,52,36.5276
23.913,-4352.77783203125,1048.09,996.24,53,265000,53,34.2877
23.3547,-4337.20458984375,1024.11,1023.5,54,270000,54,37.5911
27.6805,-4439.72900390625,1030.3,1028.51,55,275000,55,33.8819
24.7668,-4467.9150390625,1044.42,1031.87,56,280000,56,33.0889
21.6275,-4586.58740234375,1049.46,1053.2,57,285000,57,35.8545
22.2299,-4683.3642578125,1044.53,1045.43,58,290000,58,35.2993
25.8545,-4651.75341796875,982.62,734.15,59,295000,59,34.0725
21.3056,-4459.59619140625,786.12,755.74,60,300000,60,29.6441
21.5808,-4787.46826171875,1034.95,930.2,61,305000,61,34.5475
19.7141,-4922.28564453125,1038.93,1030.69,62,310000,62,37.7584
22.7893,-4853.57080078125,1007.2,1043.54,63,315000,63,37.9412
21.0594,-5038.267578125,1043.1,1047.54,64,320000,64,36.6808
30.4095,-4972.82861328125,1023.55,1030.69,65,325000,65,36.4884
25.2408,-5017.81884765625,1014.78,1015.49,66,330000,66,36.6071
30.7048,-5049.96923828125,1022.51,1021.99,67,335000,67,37.4205
28.4436,-5226.587890625,1031.2,1030.63,68,340000,68,37.1095
27.8528,-5293.7080078125,1051.3,1053.28,69,345000,69,35.9758
22.4226,-5369.69921875,1050.22,1055.98,70,350000,70,34.8856
23.8752,-5405.228515625,1026.79,1033.24,71,355000,71,35.717
52.1459,-5138.23095703125,51.04,463.58,72,360000,72,30.7192
41.7459,-4878.60205078125,779.98,740.2,73,365000,73,29.7147
30.8255,-5778.3759765625,977.16,976.0,74,370000,74,37.9291
42.4857,-5782.92822265625,999.53,998.66,75,375000,75,38.9941
32.9808,-5034.84326171875,345.7,343.32,76,380000,76,29.9555
28.5068,-4981.88916015625,394.66,414.49,77,385000,77,29.7503
28.241,-4734.318359375,574.19,502.42,78,390000,78,28.7665
22.3377,-5383.1943359375,365.7,373.63,79,395000,79,30.0995
