Real Sto Return,Running Reverse KL,Running Forward KL,Real Det Return,Itration
-80.64,24.6593,74.5383,105.02,0
-70.48,26.1577,74.9642,497.88,1
-43.44,26.6311,73.4579,533.29,2
6.34,27.7226,73.4672,750.58,3
23.33,28.5379,72.048,774.32,4
76.44,30.5313,72.663,837.41,5
141.03,30.9391,71.3424,779.26,6
138.18,31.0001,72.3054,479.88,7
127.45,31.3386,70.477,702.08,8
257.93,31.8018,72.4595,816.26,9
252.76,32.4753,71.7576,604.81,10
243.03,31.4434,71.8868,709.11,11
162.96,33.4547,73.7366,533.11,12
206.96,32.1836,72.9509,668.51,13
333.84,31.6577,70.5136,697.9,14
284.03,31.4806,69.1444,799.79,15
323.27,30.8875,69.897,885.77,16
308.95,30.9585,70.3995,834.46,17
325.77,30.4534,68.4763,708.77,18
342.87,32.0458,71.1718,749.52,19
346.47,30.7478,70.8328,678.62,20
513.59,30.2426,68.1616,1050.79,21
288.4,31.5261,71.6528,822.07,22
290.93,29.1719,67.1523,848.37,23
358.61,30.2344,69.7093,958.85,24
238.65,30.389,70.212,891.5,25
315.58,28.9945,68.3636,901.96,26
519.76,29.3181,68.1697,859.48,27
632.98,29.2795,66.3151,821.2,28
690.89,28.6347,65.7354,1159.65,29
405.1,28.8872,68.6322,931.04,30
579.17,28.9006,64.3139,1159.14,31
706.53,28.2728,66.254,1042.62,32
539.64,29.2081,66.615,1146.53,33
655.68,28.5703,64.9304,1375.87,34
745.44,27.8043,63.8447,1192.8,35
915.04,27.8441,63.1231,1419.12,36
1265.53,34.9516,62.8637,2281.87,37
1366.02,28.9208,63.4432,1823.54,38
489.82,27.8421,67.3631,1091.71,39
1173.23,34.8665,63.3953,2113.11,40
677.84,27.593,65.6405,1111.0,41
876.78,31.0094,63.9499,1608.43,42
1693.06,31.0373,63.5514,1919.08,43
1845.57,32.5756,63.0203,2538.46,44
1216.14,29.25,63.9189,2098.86,45
1348.93,33.1304,65.5319,2265.4,46
1076.75,33.3731,64.5607,2345.28,47
2121.13,37.5674,64.6101,2427.47,48
1488.35,32.1868,64.3014,1498.6,49
1575.73,37.4413,65.2051,2888.67,50
2356.97,34.7193,64.7027,2715.68,51
2314.57,34.4804,64.4501,2648.26,52
1926.03,41.4349,67.2153,2755.5,53
2500.94,33.2534,65.4726,2665.2,54
1983.53,35.1768,66.1305,2798.47,55
2838.15,41.6035,67.2983,2680.11,56
2019.03,41.3042,66.3397,3058.88,57
2181.73,38.3852,67.0023,2304.59,58
1781.87,42.0956,66.3026,2920.12,59
2183.87,34.6369,65.2779,3354.29,60
3075.93,46.9105,67.9386,3517.31,61
2770.1,37.2811,66.5459,3048.02,62
2302.45,42.752,66.9065,2630.11,63
2485.55,43.2646,68.3892,2632.68,64
3182.18,41.7417,67.7376,3684.48,65
2514.2,39.0599,66.2516,3477.61,66
2789.4,45.6713,68.8714,3880.63,67
2419.08,37.9388,66.2608,3941.52,68
2789.11,46.8735,70.2413,3775.89,69
2844.13,43.2435,67.2668,3314.73,70
2359.79,41.6226,66.8979,3142.88,71
2383.31,30.9022,64.6322,2742.16,72
2950.27,49.5885,71.5165,3440.13,73
2741.28,33.14,66.5563,3260.26,74
3350.53,49.1594,72.0697,3840.07,75
3048.83,43.5796,67.4918,4019.29,76
3148.56,40.8573,68.1898,4155.92,77
3192.92,43.1308,68.4561,3604.24,78
3763.82,48.5621,68.4375,3965.54,79
3009.96,39.4127,66.341,4315.89,80
2923.54,39.6167,66.9065,3620.2,81
3607.6,53.7118,74.0172,4060.95,82
3000.77,43.0446,68.6048,3798.76,83
3642.17,46.7783,69.6022,3971.87,84
3350.84,40.8808,67.2149,3926.13,85
3069.92,38.7039,66.4831,3599.8,86
3886.02,44.5559,67.1866,3975.64,87
3732.75,38.5543,66.1939,3942.16,88
3557.87,50.7216,73.6676,3611.1,89
3048.47,47.2464,69.6161,3547.9,90
3919.59,43.4481,67.01,3978.88,91
3358.05,47.7379,68.7716,4123.29,92
3194.61,39.4795,66.6213,3910.14,93
3691.49,52.1409,69.4222,3937.55,94
3202.27,44.5063,66.1289,3894.76,95
3107.63,41.6888,66.1767,3786.6,96
2409.25,39.4898,66.1907,3490.04,97
4094.98,40.2021,65.1231,4108.17,98
3290.49,47.8422,68.1239,4219.43,99
2884.31,41.4477,66.6855,3352.62,100
3884.7,48.1024,68.1629,4693.96,101
3181.12,49.1349,70.3381,4240.86,102
3421.28,43.7386,67.8203,2926.38,103
2800.61,46.5338,68.5157,2709.43,104
3429.42,41.214,66.9754,3902.32,105
3709.99,52.6738,70.1825,4331.25,106
3671.93,59.1666,74.8627,4691.25,107
3448.32,45.1053,67.9263,3718.69,108
3191.22,39.2086,65.5199,3683.36,109
4064.98,49.1385,67.6609,3812.29,110
3550.13,51.0446,67.2193,4336.18,111
3361.63,60.1806,74.3109,4468.73,112
3815.9,47.6226,68.2949,4469.26,113
4118.0,54.6336,69.1475,4718.05,114
3387.42,51.7341,70.0571,3976.43,115
3924.03,54.4095,71.8808,2795.0,116
4067.08,58.6617,73.4861,4400.61,117
3033.82,59.5156,72.2548,4225.62,118
3986.77,58.9062,72.5997,4312.71,119
3347.86,49.3235,68.3165,4244.46,120
3364.41,45.0046,66.4112,4682.45,121
3770.7,45.1858,67.186,3935.39,122
3955.72,41.8732,67.2869,4476.13,123
4285.8,52.3784,69.9434,4714.66,124
4288.13,48.8569,68.8172,4425.68,125
2826.4,47.7458,68.8418,3874.98,126
4262.8,57.0369,72.4314,4982.85,127
3903.2,48.5583,68.0021,4719.92,128
4405.58,60.4963,73.7186,5028.55,129
4453.96,53.4852,69.574,4483.98,130
4138.02,56.5407,71.4788,5105.39,131
4479.13,55.7436,73.4722,5021.81,132
4391.94,51.4113,70.6658,4863.23,133
4411.22,59.8063,73.3056,5173.83,134
4414.26,65.4561,75.692,5116.22,135
4767.56,57.6079,71.3394,4510.99,136
4279.33,49.1434,68.2659,3943.21,137
4526.2,49.7571,67.7406,5191.58,138
3811.71,52.553,69.2298,4387.55,139
4614.26,49.849,67.0066,4664.01,140
4419.36,62.3175,74.6949,5083.83,141
4316.3,63.2813,73.4854,4288.46,142
4318.09,59.7624,74.1756,4149.43,143
4556.81,62.7573,72.0206,5097.96,144
3778.93,62.8681,74.4841,4377.84,145
4055.28,58.0358,69.7836,4573.12,146
4126.17,58.9361,72.3822,4643.1,147
4794.88,57.1209,70.8369,4855.76,148
4398.79,55.1768,69.3759,4733.33,149
4858.14,49.8849,68.0762,5084.04,150
3878.69,54.3737,68.2004,4751.43,151
4282.57,56.6339,71.0769,5006.34,152
4688.96,63.6931,74.2138,4146.62,153
4703.61,62.6065,74.2628,4943.44,154
4550.26,64.0567,74.9801,4518.57,155
4413.39,61.1639,72.0296,4901.84,156
4699.7,64.9188,74.7742,4781.05,157
4294.98,62.5405,73.7901,5246.09,158
4185.43,59.8658,70.2745,4933.36,159
3827.19,54.3849,68.428,4714.36,160
4045.38,61.5807,73.1204,4554.32,161
4667.03,60.5545,70.4135,5105.19,162
4074.18,60.6332,72.6035,4781.57,163
4810.78,63.5158,73.404,5284.26,164
4669.36,66.6558,75.9828,5360.42,165
4959.6,66.9404,76.8979,4754.82,166
4674.29,64.8733,74.3192,3959.13,167
4460.47,58.5333,71.8047,4851.81,168
4712.64,52.1137,69.0338,4999.37,169
4616.34,68.2509,75.0004,4563.26,170
4852.07,59.7953,71.7986,5492.43,171
4152.42,59.7903,72.2097,5229.19,172
4644.16,64.0553,74.7979,5299.0,173
4481.18,62.8108,74.1723,4789.23,174
4217.49,55.2251,70.8662,4225.99,175
5035.29,66.2972,74.6894,5240.84,176
4634.46,65.3289,75.3679,4934.07,177
3793.0,63.5456,74.5721,4530.18,178
4066.57,63.161,74.8023,4484.02,179
4806.2,59.4994,72.3423,5077.61,180
5123.3,62.4493,73.8119,4805.11,181
4695.7,65.5913,74.4891,5146.8,182
4459.68,64.9435,73.8706,4853.0,183
4846.92,65.7299,74.2812,5486.46,184
4486.11,57.195,69.8394,5242.07,185
4892.93,59.6636,70.8706,5266.87,186
4463.52,57.1709,70.0406,5084.7,187
4952.77,59.3883,71.8667,5309.87,188
4357.89,58.5796,69.9576,5133.68,189
4537.46,63.892,76.2428,5147.34,190
4918.73,65.4523,75.4269,4666.01,191
4601.92,60.5264,71.6352,4850.64,192
4823.9,65.6953,75.8488,5151.74,193
4592.91,62.5033,74.3795,4832.38,194
4979.49,56.8283,72.4662,5177.89,195
4085.6,55.0204,71.7227,4673.73,196
4212.98,65.5288,76.8097,5103.68,197
4145.57,60.6729,70.9136,4954.58,198
4620.61,61.6836,71.8335,5095.24,199
5036.93,64.7359,74.2128,5114.79,200
4201.1,64.2578,73.6454,5102.6,201
4428.81,65.6816,72.3358,4445.62,202
4367.84,60.5225,70.3826,5071.36,203
4811.95,56.0386,70.0735,4777.87,204
3969.37,69.1309,76.1073,5254.25,205
4267.18,69.6411,77.2611,4754.97,206
4583.19,57.7431,70.967,5332.81,207
4359.63,66.6423,75.2438,4049.59,208
4519.92,69.4562,76.7098,4634.38,209
3344.21,64.2953,72.3691,4456.8,210
4178.82,66.2932,74.7348,4158.39,211
4439.99,59.7357,71.287,4707.0,212
3766.67,69.5138,77.9971,4403.07,213
4197.49,69.9004,77.1142,5249.98,214
3325.69,58.45,70.8287,5029.29,215
3911.45,57.2423,70.6316,4548.17,216
