Running Update Time,Real Det Return,Running Forward KL,Running Reverse KL,Real Sto Return,Running Env Steps,Itration,Reward Loss
0,648.82,73.9882,25.2354,-57.76,0,0,85.4660415649414
1,636.5,74.078,26.1519,-45.27,5000,1,69.19718933105469
2,685.95,72.7742,26.5285,-8.91,10000,2,52.649208068847656
3,674.81,71.6946,27.5716,56.0,15000,3,34.645355224609375
4,754.05,70.4657,28.3895,54.12,20000,4,22.358150482177734
5,740.72,70.8842,29.4166,96.52,25000,5,11.917010307312012
6,785.96,71.9815,29.9523,104.11,30000,6,-5.53501033782959
7,752.73,71.1194,30.9078,125.09,35000,7,-18.924829483032227
8,794.32,71.5329,30.9071,115.53,40000,8,-34.473731994628906
9,700.79,69.8585,30.2528,168.58,45000,9,-51.20499038696289
10,1022.84,67.8677,30.8254,237.7,50000,10,-65.95921325683594
11,817.79,70.2146,31.0194,236.56,55000,11,-79.68717956542969
12,774.71,69.4839,31.7008,210.6,60000,12,-93.43226623535156
13,912.91,70.8356,30.9353,231.58,65000,13,-107.88639068603516
14,902.9,70.8494,31.385,194.56,70000,14,-120.94549560546875
15,929.22,71.8877,30.993,217.64,75000,15,-138.9705810546875
16,777.09,71.0261,31.1533,185.22,80000,16,-148.0899658203125
17,844.3,72.3395,31.6456,246.51,85000,17,-163.96224975585938
18,946.42,69.7173,31.0208,256.24,90000,18,-178.4051055908203
19,828.97,71.1786,31.2914,207.7,95000,19,-191.8203582763672
20,820.39,68.4835,30.8096,248.64,100000,20,-207.02145385742188
21,780.09,67.5639,30.4396,210.12,105000,21,-223.074951171875
22,812.79,68.0188,30.4572,188.28,110000,22,-235.16802978515625
23,808.3,70.6562,31.3391,212.26,115000,23,-252.18894958496094
24,737.59,69.4901,30.4408,222.69,120000,24,-269.3709411621094
25,873.65,70.7401,30.8338,185.95,125000,25,-283.6698303222656
26,839.5,70.6989,30.9177,150.73,130000,26,-300.68255615234375
27,868.52,71.1212,30.3418,215.92,135000,27,-314.173828125
28,943.26,70.4865,30.6107,241.89,140000,28,-332.3214111328125
29,851.98,73.277,30.7475,235.73,145000,29,-347.8694763183594
30,931.98,69.6772,30.3428,249.86,150000,30,-359.8694763183594
31,840.6,71.0558,30.8589,235.81,155000,31,-378.00177001953125
32,1013.43,72.074,31.0456,240.93,160000,32,-397.31915283203125
33,947.99,71.5474,31.3473,195.02,165000,33,-411.068603515625
34,924.31,73.0149,30.8888,219.61,170000,34,-430.2318115234375
35,965.63,69.9536,30.1639,265.75,175000,35,-440.6361083984375
36,908.68,71.7265,30.787,243.43,180000,36,-462.2453918457031
37,977.86,71.9094,30.6967,237.63,185000,37,-478.7477722167969
38,903.84,68.2391,30.4089,269.29,190000,38,-486.3581848144531
39,930.37,70.4971,30.5964,266.0,195000,39,-510.3259582519531
40,868.77,70.1695,30.4703,260.0,200000,40,-523.2111206054688
41,936.8,73.4763,31.4574,271.79,205000,41,-549.7202758789062
42,782.73,70.3117,30.9844,276.38,210000,42,-561.125244140625
43,872.06,71.2448,30.9065,215.22,215000,43,-578.1589965820312
44,912.05,71.9155,31.3351,266.48,220000,44,-600.0311889648438
45,798.16,70.9906,30.6618,259.81,225000,45,-614.948486328125
46,1037.6,69.7495,30.3047,242.9,230000,46,-627.6040649414062
47,922.59,68.7317,30.4284,346.88,235000,47,-641.3831787109375
48,789.06,67.8308,29.7538,252.36,240000,48,-652.1876831054688
49,934.65,69.8149,30.3993,302.46,245000,49,-682.031494140625
50,906.68,71.1727,30.6821,237.85,250000,50,-700.8377685546875
51,830.4,70.2069,30.543,252.83,255000,51,-722.3345947265625
52,970.54,67.1367,29.9796,288.98,260000,52,-723.494873046875
53,916.37,69.731,30.2109,320.17,265000,53,-753.4578247070312
54,863.44,69.5552,30.2158,309.38,270000,54,-775.7453002929688
55,878.24,68.8381,30.1946,300.93,275000,55,-788.330078125
56,788.69,70.1848,30.975,317.46,280000,56,-821.2295532226562
57,985.43,71.1751,31.1163,307.05,285000,57,-837.5778198242188
58,893.61,69.5185,30.8223,297.42,290000,58,-854.4155883789062
59,974.96,69.8654,30.5324,297.58,295000,59,-875.301025390625
60,1009.71,71.1703,31.1294,260.83,300000,60,-901.412841796875
61,1023.87,68.2498,30.4193,254.19,305000,61,-910.545654296875
62,952.9,69.8316,31.2003,301.76,310000,62,-939.422119140625
63,1015.55,72.012,30.7412,300.61,315000,63,-956.1453247070312
64,829.65,72.0408,31.0293,273.19,320000,64,-977.6417236328125
65,985.49,70.9682,31.1241,318.38,325000,65,-1003.829345703125
66,898.39,70.0353,30.9099,327.36,330000,66,-1023.2324829101562
67,998.98,70.1684,30.9121,297.9,335000,67,-1046.8115234375
68,917.26,67.9858,30.2301,324.7,340000,68,-1054.091064453125
69,981.43,72.2703,31.2363,365.76,345000,69,-1089.898193359375
70,966.3,70.4167,30.9704,258.93,350000,70,-1113.3575439453125
71,1040.0,67.3907,29.6544,291.92,355000,71,-1122.5599365234375
72,914.95,72.2384,31.1826,326.28,360000,72,-1162.147216796875
73,1000.53,67.736,30.3206,270.65,365000,73,-1158.534423828125
74,954.43,67.7686,30.3318,327.45,370000,74,-1190.9954833984375
75,924.29,68.9979,30.1386,344.31,375000,75,-1224.2559814453125
76,904.51,70.5525,30.5349,315.28,380000,76,-1247.0931396484375
77,966.14,69.6058,30.2403,302.32,385000,77,-1266.7239990234375
78,924.39,71.7344,30.8521,257.24,390000,78,-1296.1507568359375
79,1005.46,68.0377,30.0249,287.8,395000,79,-1303.1058349609375
80,990.91,69.562,29.8261,306.92,400000,80,-1334.894775390625
81,1034.95,68.8535,30.364,389.29,405000,81,-1359.2764892578125
82,907.79,69.1236,30.5215,275.74,410000,82,-1388.9339599609375
83,955.99,71.4205,31.0474,356.23,415000,83,-1441.86474609375
84,917.64,67.4332,30.6708,296.96,420000,84,-1428.7745361328125
85,917.91,68.1659,30.0808,365.16,425000,85,-1454.6177978515625
86,1043.26,67.3915,29.5519,315.75,430000,86,-1469.1885986328125
87,999.73,69.3521,30.1437,324.28,435000,87,-1527.061767578125
88,1037.93,70.8576,30.7663,349.73,440000,88,-1568.0615234375
89,967.71,68.9899,30.1339,308.11,445000,89,-1575.4892578125
90,962.22,67.9302,29.9906,313.99,450000,90,-1596.3033447265625
91,951.73,69.3889,30.5723,300.98,455000,91,-1638.730224609375
92,976.85,71.5176,30.7466,319.91,460000,92,-1676.5177001953125
93,794.55,72.9941,31.0028,272.06,465000,93,-1708.1673583984375
94,1026.75,68.73,30.2968,318.76,470000,94,-1729.5106201171875
95,939.58,65.3619,29.8562,360.1,475000,95,-1720.547607421875
96,944.51,67.1282,29.8644,267.75,480000,96,-1762.83447265625
97,937.54,67.9349,30.4063,299.14,485000,97,-1797.3394775390625
98,989.15,68.4834,29.9588,341.75,490000,98,-1821.5673828125
99,951.25,67.0834,30.1549,281.92,495000,99,-1847.7813720703125
100,894.8,68.7562,30.1574,341.47,500000,100,-1919.890625
101,1008.02,68.475,30.4862,419.14,505000,101,-1918.22216796875
102,1013.15,68.8654,30.0693,294.09,510000,102,-1958.873046875
103,878.87,71.568,30.6854,328.97,515000,103,-2018.3675537109375
104,897.26,69.8341,30.5589,386.14,520000,104,-2043.671142578125
105,995.98,70.1008,30.5827,354.5,525000,105,-2073.579833984375
106,986.32,66.2928,29.1785,306.4,530000,106,-2071.283203125
107,836.19,68.0035,29.637,282.0,535000,107,-2094.011962890625
108,810.37,69.3851,30.3916,352.29,540000,108,-2176.513671875
109,1088.55,67.9804,29.8613,365.57,545000,109,-2173.044921875
110,846.35,69.9935,30.0948,325.56,550000,110,-2218.402099609375
111,931.79,69.3335,30.1835,302.66,555000,111,-2269.416259765625
112,883.4,65.3344,29.2808,346.74,560000,112,-2260.91357421875
113,1116.49,65.1707,29.2028,412.85,565000,113,-2299.199951171875
114,1011.52,67.9079,30.1708,300.07,570000,114,-2393.781982421875
115,1069.24,64.3976,29.1374,377.15,575000,115,-2370.3369140625
116,978.7,70.4691,30.6327,365.78,580000,116,-2455.93408203125
117,906.09,68.8543,29.9771,329.26,585000,117,-2486.736083984375
118,946.72,69.8964,30.5603,309.95,590000,118,-2546.879150390625
119,951.83,67.8721,29.2843,322.59,595000,119,-2538.12744140625
120,910.76,70.671,30.2781,331.75,600000,120,-2630.02197265625
121,972.31,69.6494,30.0616,353.9,605000,121,-2664.28125
122,897.67,69.6075,29.9701,341.32,610000,122,-2712.786376953125
123,1006.35,66.7289,29.6181,279.24,615000,123,-2702.224853515625
124,999.11,64.8616,29.4159,265.47,620000,124,-2727.892578125
125,1018.72,65.112,29.4573,343.89,625000,125,-2742.474853515625
126,1014.71,67.9083,30.3786,361.03,630000,126,-2853.03857421875
127,872.61,70.014,30.6956,339.49,635000,127,-2943.720703125
128,893.49,67.5515,29.9779,357.07,640000,128,-2918.958984375
129,1038.08,63.1567,28.6158,376.35,645000,129,-2856.755615234375
130,1052.01,66.2639,29.2192,356.22,650000,130,-2972.532470703125
131,944.86,67.9038,30.2202,354.43,655000,131,-3059.6982421875
132,994.26,66.8954,29.8351,392.6,660000,132,-3052.069580078125
133,1042.74,68.584,29.8474,385.12,665000,133,-3172.71337890625
134,1012.95,68.6334,29.7545,364.36,670000,134,-3217.14306640625
135,1016.32,71.0459,30.46,281.38,675000,135,-3258.023193359375
136,994.72,66.5057,29.7004,337.31,680000,136,-3253.78173828125
137,1094.48,64.7859,28.759,319.82,685000,137,-3279.494384765625
138,1034.68,68.7288,29.9657,356.92,690000,138,-3409.10009765625
139,1072.78,70.0852,29.9789,371.5,695000,139,-3452.73779296875
140,1066.43,67.2846,29.8418,397.65,700000,140,-3449.609619140625
141,1025.62,69.2358,30.1431,465.13,705000,141,-3549.2998046875
142,992.51,68.0493,29.4553,284.84,710000,142,-3565.47216796875
143,928.01,68.6997,29.9802,361.46,715000,143,-3644.60986328125
144,1101.32,66.3971,30.3877,402.72,720000,144,-3690.427734375
145,1009.28,64.8882,28.8816,416.78,725000,145,-3650.202392578125
146,1007.1,69.4003,30.7861,366.82,730000,146,-3800.781982421875
147,1065.18,66.6195,29.7516,367.17,735000,147,-3778.906982421875
148,1041.14,66.715,29.6833,346.46,740000,148,-3874.635498046875
149,1004.29,64.4648,28.698,394.1,745000,149,-3844.6162109375
150,1058.13,68.3783,29.8529,435.67,750000,150,-4029.65966796875
151,1052.89,67.5523,30.0628,413.6,755000,151,-4067.8544921875
152,1098.06,65.8572,28.9347,384.17,760000,152,-4036.7197265625
153,1006.24,68.1377,29.7229,377.63,765000,153,-4162.197265625
154,1016.53,65.7489,28.9986,322.57,770000,154,-4197.1240234375
155,1014.32,64.997,29.3258,363.09,775000,155,-4264.197265625
156,1080.51,67.6434,29.7733,404.75,780000,156,-4311.70068359375
157,1059.68,68.4941,29.7868,388.6,785000,157,-4435.966796875
158,1037.84,64.6313,28.6023,492.75,790000,158,-4370.25146484375
159,1065.91,67.8779,29.6667,352.27,795000,159,-4541.60205078125
160,1012.33,66.7463,29.2274,393.25,800000,160,-4548.04443359375
161,1020.62,63.1847,28.2607,370.23,805000,161,-4498.35693359375
162,1038.05,64.5553,29.0144,431.99,810000,162,-4639.00537109375
163,1056.58,69.1843,30.4973,369.68,815000,163,-4844.2509765625
164,1108.4,68.2353,29.8744,398.28,820000,164,-4787.44775390625
165,1112.21,61.8399,27.4893,359.74,825000,165,-4693.97998046875
166,1088.39,66.0332,29.0864,353.53,830000,166,-4902.49072265625
167,1092.45,68.1556,29.6183,399.92,835000,167,-5070.64208984375
168,1099.85,62.2259,27.4513,475.17,840000,168,-4837.5654296875
169,1122.87,62.834,27.8988,421.54,845000,169,-5045.2939453125
170,1069.98,64.9382,28.8066,462.24,850000,170,-5074.0478515625
171,1139.72,63.8151,29.5222,374.22,855000,171,-5218.25146484375
172,1176.19,60.856,27.4334,497.68,860000,172,-5078.68896484375
173,1140.82,65.7885,28.9836,422.51,865000,173,-5391.50341796875
174,1104.47,66.2772,28.9165,416.49,870000,174,-5393.7578125
175,1114.59,65.1607,28.8703,449.24,875000,175,-5417.81494140625
176,1103.93,65.1934,28.7774,442.81,880000,176,-5511.76904296875
177,1147.54,66.0961,29.279,419.15,885000,177,-5581.68994140625
178,1131.68,63.647,28.2123,573.78,890000,178,-5599.04638671875
179,1003.57,64.0188,28.1444,414.33,895000,179,-5681.5556640625
180,1186.45,61.5761,27.5396,471.79,900000,180,-5582.14208984375
181,1370.59,57.5671,25.8431,587.7,905000,181,-5296.49951171875
182,1158.62,65.5531,28.6219,476.04,910000,182,-6043.5966796875
183,1240.28,59.2105,26.2682,465.72,915000,183,-5663.33154296875
184,1097.7,61.372,27.4833,441.25,920000,184,-5820.08984375
185,1144.99,64.333,28.3704,432.92,925000,185,-6026.12744140625
186,1085.4,60.7423,27.2029,476.31,930000,186,-5948.27197265625
187,934.47,60.9399,27.1606,477.67,935000,187,-6006.1240234375
188,1086.73,59.6933,26.3714,619.06,940000,188,-5983.07373046875
189,1336.08,58.241,26.0461,384.55,945000,189,-5884.7724609375
190,1186.53,61.5831,27.4987,488.58,950000,190,-6290.927734375
191,1096.99,56.7507,24.6754,571.93,955000,191,-5795.98779296875
192,1148.25,62.7783,28.1926,675.97,960000,192,-6634.63232421875
193,1405.79,57.5847,26.2474,652.6,965000,193,-6205.8837890625
194,1193.74,56.2188,24.9963,657.66,970000,194,-5934.38720703125
195,1318.32,58.7158,26.2863,841.49,975000,195,-6243.7734375
