Running Forward KL,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss,Running Env Steps,Itration,Real Sto Return
158.5854,3.37,0,11.7506,-1470.2501220703125,0,0,-188.55
158.486,18.84,1,11.9439,-1714.818603515625,5000,1,-105.5
158.3843,13.47,2,11.8762,-2076.955810546875,10000,2,-28.44
158.1465,643.35,3,12.043,-2563.737060546875,15000,3,136.71
158.0902,812.93,4,12.3666,-2938.014404296875,20000,4,256.32
158.1714,925.23,5,13.3397,-3300.84619140625,25000,5,454.04
157.773,1030.83,6,13.3959,-3547.8212890625,30000,6,581.47
157.7272,912.07,7,14.3121,-3884.70556640625,35000,7,699.31
158.0263,1177.79,8,15.0495,-3959.84130859375,40000,8,823.71
157.9131,1368.8,9,16.1003,-4326.3759765625,45000,9,990.09
157.8269,1504.56,10,16.7532,-4631.46484375,50000,10,1078.19
158.0173,1535.44,11,17.0776,-4824.60107421875,55000,11,1168.31
158.0402,1484.08,12,17.0094,-4999.33837890625,60000,12,1140.32
157.8572,1576.76,13,16.5767,-5161.6611328125,65000,13,1198.6
157.9062,1625.21,14,16.7768,-5378.4951171875,70000,14,1209.13
158.0728,1652.5,15,16.7335,-5400.984375,75000,15,1244.84
158.0237,1671.21,16,16.7529,-5644.6396484375,80000,16,1272.17
158.1779,1733.35,17,16.8832,-5731.107421875,85000,17,1330.75
157.9288,1762.78,18,16.6918,-5995.04345703125,90000,18,1369.97
158.1917,1776.75,19,16.682,-6077.32958984375,95000,19,1369.4
157.9977,1772.08,20,16.7221,-6235.97119140625,100000,20,1394.53
158.0048,1751.87,21,16.4866,-6445.5185546875,105000,21,1403.37
157.9918,1784.76,22,16.5556,-6576.45947265625,110000,22,1424.17
157.8946,1808.07,23,16.5292,-6794.908203125,115000,23,1454.05
157.9465,1869.55,24,17.0952,-7021.32421875,120000,24,1517.72
157.8833,1879.25,25,17.1542,-7211.37255859375,125000,25,1544.93
158.1287,1841.2,26,16.6742,-7403.94921875,130000,26,1508.27
157.8859,1910.28,27,16.9616,-7514.9609375,135000,27,1518.34
157.8061,1893.14,28,16.9049,-7728.0771484375,140000,28,1555.88
157.8347,1948.45,29,16.938,-7965.00439453125,145000,29,1579.23
157.7691,1939.31,30,16.6853,-8067.38720703125,150000,30,1601.49
157.6577,1957.11,31,17.1774,-8202.9521484375,155000,31,1565.01
157.7469,1983.83,32,16.7725,-8439.7568359375,160000,32,1600.62
157.8234,1924.65,33,17.0728,-8727.2744140625,165000,33,1598.78
157.583,1876.21,34,16.3295,-8809.322265625,170000,34,1584.63
157.6568,1964.41,35,16.6892,-9142.3310546875,175000,35,1597.52
157.5391,1902.28,36,16.2555,-9245.6201171875,180000,36,1567.1
157.6306,2008.43,37,16.536,-9342.171875,185000,37,1598.44
157.7524,2002.7,38,16.569,-9557.189453125,190000,38,1620.23
157.6843,2017.63,39,16.8916,-9808.0498046875,195000,39,1656.84
157.4138,2002.75,40,16.392,-9959.685546875,200000,40,1641.83
157.2129,2007.99,41,16.4988,-10218.642578125,205000,41,1670.64
157.5423,1987.26,42,16.4895,-10407.66015625,210000,42,1658.49
157.535,2029.85,43,16.3524,-10526.486328125,215000,43,1648.73
