Real Det Return,Reward Loss,Running Forward KL,Running Env Steps,Running Reverse KL,Itration,Real Sto Return,Running Update Time
216.65,-18.940664291381836,76.2705,0,25.9925,0,-46.48,0
353.18,-39.378196716308594,74.239,5000,26.0062,1,-14.25,1
455.1,-54.63414764404297,75.0205,10000,28.1722,2,-67.38,2
520.88,-64.95738983154297,74.387,15000,28.5076,3,-9.22,3
645.88,-79.6748046875,73.1511,20000,28.1885,4,27.98,4
492.84,-88.81790161132812,73.7204,25000,29.3656,5,51.27,5
612.9,-96.45789337158203,71.325,30000,29.471,6,44.47,6
736.5,-114.60240173339844,71.3426,35000,29.695,7,67.55,7
587.05,-127.06629943847656,72.5558,40000,29.4832,8,94.8,8
678.28,-132.9908447265625,74.2816,45000,31.2294,9,108.2,9
606.6,-147.8406219482422,71.6461,50000,31.0157,10,164.78,10
765.82,-159.47186279296875,70.4118,55000,30.5484,11,175.11,11
990.73,-172.07420349121094,70.5315,60000,30.4196,12,225.49,12
891.63,-187.7819061279297,71.6108,65000,31.5159,13,198.23,13
896.22,-199.8574676513672,70.8752,70000,30.9183,14,203.85,14
677.79,-208.81027221679688,71.1584,75000,31.1681,15,165.65,15
959.1,-218.45376586914062,69.4181,80000,31.4185,16,268.1,16
777.52,-227.36105346679688,69.0564,85000,30.5172,17,216.13,17
792.64,-246.0642547607422,71.8026,90000,32.1272,18,198.07,18
842.34,-263.775634765625,72.7071,95000,31.8763,19,207.0,19
666.51,-262.26409912109375,69.1373,100000,31.0853,20,283.92,20
807.98,-288.927490234375,73.3292,105000,32.0324,21,250.01,21
594.18,-305.2972106933594,73.3012,110000,31.3559,22,219.07,22
800.32,-307.45751953125,70.0855,115000,30.5264,23,238.4,23
836.64,-310.41058349609375,68.0964,120000,29.897,24,244.23,24
701.72,-329.6675109863281,70.5997,125000,30.7573,25,265.37,25
591.31,-346.9873046875,70.0916,130000,31.0302,26,206.48,26
816.37,-363.2919006347656,70.8727,135000,30.7415,27,279.24,27
727.13,-366.4237365722656,68.5268,140000,30.2467,28,334.97,28
773.33,-376.3793029785156,69.0066,145000,30.1606,29,307.98,29
811.35,-391.3236999511719,68.7597,150000,30.0209,30,260.64,30
783.22,-407.1488342285156,69.3959,155000,30.5597,31,234.24,31
911.35,-399.8986511230469,66.7222,160000,28.8818,32,316.63,32
904.77,-425.0726013183594,68.6482,165000,30.556,33,359.88,33
1031.01,-431.70074462890625,66.2456,170000,29.0874,34,412.68,34
1079.9,-451.3486328125,67.7357,175000,29.5185,35,319.7,35
885.73,-480.232177734375,70.8347,180000,30.8313,36,262.93,36
925.73,-475.93255615234375,68.1907,185000,29.654,37,282.67,37
871.16,-509.74072265625,70.267,190000,30.8457,38,333.08,38
