Running Reverse KL,Running Update Time,Running Forward KL,Real Det Return,Itration,Reward Loss,Running Env Steps,Real Sto Return
11.3738,0,158.5482,3.94,0,-288.22991943359375,0,-210.71
11.8491,1,158.3893,15.04,1,-360.1500549316406,5000,-71.85
11.9193,2,158.4427,116.71,2,-395.3739929199219,10000,42.35
12.8602,3,158.4041,565.03,3,-506.5439453125,15000,209.12
13.9564,4,158.3577,828.62,4,-661.4763793945312,20000,418.13
14.0466,5,158.2015,933.09,5,-709.2219848632812,25000,566.72
14.1119,6,158.0606,1145.78,6,-710.733642578125,30000,659.8
14.2741,7,158.0141,1186.71,7,-769.2158203125,35000,730.29
14.3343,8,157.6225,885.35,8,-787.2515869140625,40000,740.25
15.286,9,157.858,1163.82,9,-846.7152099609375,45000,928.72
15.4884,10,157.707,1425.59,10,-880.3487548828125,50000,988.11
15.9448,11,157.9889,1333.28,11,-920.9850463867188,55000,999.1
16.0047,12,157.745,1509.39,12,-973.1774291992188,60000,1112.7
16.3685,13,157.7502,1613.89,13,-1052.22705078125,65000,1188.95
16.1958,14,157.6618,1470.65,14,-1063.7919921875,70000,1225.96
16.0512,15,157.7033,1573.53,15,-1075.8587646484375,75000,1204.69
16.3328,16,157.8699,1643.56,16,-1134.055419921875,80000,1255.55
15.9627,17,157.639,1664.73,17,-1149.818359375,85000,1306.04
16.3335,18,157.8355,1794.69,18,-1237.711669921875,90000,1383.52
16.1477,19,157.7414,1791.5,19,-1258.06396484375,95000,1368.36
16.2025,20,157.9589,1747.44,20,-1253.2884521484375,100000,1411.92
16.2706,21,157.9412,1793.56,21,-1280.049072265625,105000,1415.98
16.5612,22,157.9828,1863.83,22,-1371.2977294921875,110000,1462.25
16.5661,23,157.8208,1762.51,23,-1338.9132080078125,115000,1433.11
16.639,24,157.836,1804.7,24,-1402.1654052734375,120000,1502.0
16.1304,25,157.8311,1772.61,25,-1433.0999755859375,125000,1480.61
16.3237,26,158.0058,1736.49,26,-1460.3143310546875,130000,1501.59
16.6519,27,157.9013,1886.35,27,-1504.5673828125,135000,1541.04
16.2515,28,157.386,1888.7,28,-1530.471923828125,140000,1534.17
16.654,29,157.5136,1930.1,29,-1593.943603515625,145000,1577.55
16.6026,30,157.6961,1970.38,30,-1618.5758056640625,150000,1590.43
16.8363,31,157.857,1971.62,31,-1664.997314453125,155000,1587.53
16.3165,32,157.4962,1896.6,32,-1715.5523681640625,160000,1590.09
16.5312,33,157.6435,2015.96,33,-1747.4017333984375,165000,1629.88
16.3638,34,157.5779,1893.9,34,-1755.525146484375,170000,1591.21
16.5743,35,157.6846,1942.65,35,-1821.3861083984375,175000,1600.72
16.5623,36,157.7224,1967.82,36,-1849.651123046875,180000,1616.77
16.3782,37,157.5191,1928.94,37,-1896.5433349609375,185000,1621.65
16.6821,38,157.5754,2008.62,38,-1944.60302734375,190000,1653.05
16.9306,39,157.8744,1924.81,39,-1951.5185546875,195000,1633.89
16.6199,40,157.5524,2020.84,40,-2013.663330078125,200000,1628.73
16.6958,41,157.2528,2063.65,41,-2053.604736328125,205000,1706.95
16.6473,42,157.6132,2064.73,42,-2083.872802734375,210000,1665.62
16.8518,43,157.4383,2042.36,43,-2143.71826171875,215000,1672.74
16.3551,44,157.6015,1934.11,44,-2181.171875,220000,1650.7
16.7662,45,157.3569,2070.53,45,-2228.881103515625,225000,1692.06
16.8979,46,157.6105,2035.59,46,-2252.341796875,230000,1703.89
16.4641,47,157.2652,2006.33,47,-2259.736328125,235000,1690.63
16.3622,48,157.4845,2083.02,48,-2313.505615234375,240000,1666.86
16.3233,49,157.4195,1991.29,49,-2365.75732421875,245000,1678.93
17.2273,50,157.367,2064.76,50,-2425.988037109375,250000,1721.08
16.4256,51,157.3869,2067.97,51,-2480.36572265625,255000,1725.85
16.695,52,157.3687,2048.33,52,-2460.16845703125,260000,1674.55
16.2031,53,157.2152,2029.87,53,-2533.168701171875,265000,1669.22
16.3115,54,157.3343,2037.99,54,-2561.247314453125,270000,1684.51
16.6726,55,157.322,2092.51,55,-2618.202392578125,275000,1725.86
16.0044,56,157.0742,2036.91,56,-2641.79296875,280000,1689.9
16.6485,57,157.185,2080.62,57,-2694.700927734375,285000,1739.54
16.037,58,157.0147,2096.25,58,-2734.634765625,290000,1709.59
15.8199,59,157.0418,2088.54,59,-2786.494140625,295000,1710.22
16.893,60,157.2762,2092.32,60,-2812.603515625,300000,1732.27
16.134,61,157.121,2091.53,61,-2876.6328125,305000,1709.26
15.6675,62,157.1811,2008.32,62,-2879.6337890625,310000,1681.7
16.1324,63,157.1285,2134.53,63,-2924.721923828125,315000,1736.05
16.0492,64,157.1081,2055.64,64,-2975.623779296875,320000,1721.2
15.9967,65,157.0697,2070.08,65,-3002.3349609375,325000,1721.63
15.9993,66,157.2977,1986.04,66,-3050.2607421875,330000,1672.84
16.2441,67,157.0317,2130.14,67,-3120.3203125,335000,1723.12
15.8827,68,157.2186,2046.33,68,-3138.73583984375,340000,1706.21
16.2218,69,157.1506,2104.95,69,-3220.90234375,345000,1750.21
15.9553,70,157.0929,2074.56,70,-3235.5947265625,350000,1721.63
15.5651,71,156.8885,2015.57,71,-3269.96484375,355000,1699.94
16.2619,72,157.1218,2118.06,72,-3325.981689453125,360000,1754.11
16.608,73,157.0667,2141.18,73,-3367.8037109375,365000,1803.17
16.1107,74,156.9374,2081.63,74,-3406.667236328125,370000,1782.27
15.7643,75,156.8746,2089.2,75,-3447.67822265625,375000,1729.14
16.3992,76,157.15,2102.49,76,-3493.7001953125,380000,1751.86
15.7757,77,157.1345,2088.74,77,-3517.3505859375,385000,1710.46
16.131,78,157.0868,2076.08,78,-3561.868896484375,390000,1752.34
15.9233,79,156.7382,2108.74,79,-3644.625732421875,395000,1763.22
16.1186,80,157.1704,2133.07,80,-3705.48095703125,400000,1770.73
16.1069,81,157.1568,2126.58,81,-3719.777587890625,405000,1750.43
15.9321,82,157.2429,2090.4,82,-3745.10205078125,410000,1775.57
15.6362,83,156.9588,2072.53,83,-3806.841552734375,415000,1736.45
15.7567,84,156.97,2046.84,84,-3833.508544921875,420000,1755.39
16.0802,85,156.7627,2164.74,85,-3906.02001953125,425000,1802.04
15.9849,86,156.8951,2101.44,86,-3948.283935546875,430000,1753.74
16.3634,87,156.9353,2159.44,87,-4000.42529296875,435000,1834.88
15.7704,88,156.8638,2100.64,88,-4016.3408203125,440000,1755.21
15.7491,89,156.7931,2073.92,89,-4065.743408203125,445000,1758.17
15.9878,90,157.0356,2110.64,90,-4122.94384765625,450000,1760.72
15.9875,91,156.8592,2134.95,91,-4153.193359375,455000,1781.22
16.0661,92,156.9624,2097.89,92,-4219.73046875,460000,1757.63
15.8686,93,156.9957,2120.85,93,-4282.90869140625,465000,1780.09
15.7719,94,156.9398,2149.87,94,-4327.2958984375,470000,1750.53
15.654,95,157.0883,2054.49,95,-4361.0029296875,475000,1756.22
15.6358,96,157.0817,2115.19,96,-4395.66796875,480000,1736.17
15.8057,97,156.7915,2186.52,97,-4487.28662109375,485000,1791.64
16.3581,98,156.7629,2166.45,98,-4479.4306640625,490000,1834.95
15.7662,99,156.9722,2144.73,99,-4576.69482421875,495000,1781.31
15.9849,100,157.0298,2113.27,100,-4610.85107421875,500000,1795.01
15.7568,101,157.13,2105.43,101,-4624.505859375,505000,1742.9
15.9265,102,157.0416,2160.06,102,-4687.58447265625,510000,1826.32
15.6732,103,156.8895,2094.3,103,-4758.41259765625,515000,1777.29
15.6704,104,156.9255,2136.2,104,-4807.29833984375,520000,1782.93
15.6412,105,156.9189,2167.63,105,-4842.29052734375,525000,1811.02
15.7054,106,156.8516,2148.85,106,-4902.6962890625,530000,1797.97
15.8393,107,157.0295,2185.66,107,-4953.541015625,535000,1833.05
15.8196,108,157.0516,2173.51,108,-5035.21484375,540000,1774.27
15.8816,109,156.8818,2164.52,109,-5053.95703125,545000,1792.5
15.5276,110,157.048,2111.88,110,-5121.15966796875,550000,1783.38
16.1308,111,156.9372,2201.23,111,-5176.70751953125,555000,1847.44
16.2245,112,156.9058,2227.09,112,-5262.5,560000,1857.46
15.8015,113,156.9634,2173.47,113,-5276.13330078125,565000,1816.83
16.0353,114,156.9385,2170.91,114,-5314.65087890625,570000,1834.74
15.8519,115,157.0747,2207.02,115,-5376.46044921875,575000,1817.7
15.962,116,157.0654,2162.63,116,-5439.99462890625,580000,1816.15
15.7971,117,156.8469,2189.3,117,-5477.09814453125,585000,1839.4
15.7134,118,156.8729,2211.94,118,-5528.7265625,590000,1828.64
15.97,119,156.9264,2198.7,119,-5572.3486328125,595000,1844.02
15.8906,120,156.9387,2185.33,120,-5633.2568359375,600000,1862.85
16.0344,121,156.9336,2190.74,121,-5749.23779296875,605000,1804.48
15.9766,122,156.7223,2215.53,122,-5779.3154296875,610000,1858.29
15.6047,123,156.8493,2136.75,123,-5798.12939453125,615000,1830.6
16.0066,124,156.8738,2186.96,124,-5848.09716796875,620000,1831.25
15.8454,125,156.8873,2227.13,125,-5961.015625,625000,1834.44
15.9607,126,156.8632,2249.0,126,-5991.640625,630000,1890.69
15.739,127,156.8213,2200.17,127,-6016.24609375,635000,1867.21
15.5793,128,157.05,2144.59,128,-6063.75439453125,640000,1794.67
15.617,129,156.9148,2111.64,129,-6099.25390625,645000,1796.14
15.6113,130,156.8128,2183.72,130,-6206.9765625,650000,1845.24
15.7372,131,156.954,2194.59,131,-6260.8154296875,655000,1821.09
15.5426,132,156.8334,2143.63,132,-6297.48583984375,660000,1829.73
16.1422,133,156.7366,2241.31,133,-6373.2529296875,665000,1881.77
15.4409,134,156.7797,2163.15,134,-6395.57763671875,670000,1806.21
15.6147,135,156.7092,2192.4,135,-6469.56103515625,675000,1825.14
15.7159,136,156.8758,2197.9,136,-6516.599609375,680000,1840.72
16.4872,137,156.8772,2218.68,137,-6636.36181640625,685000,1876.49
15.7714,138,156.9401,2132.64,138,-6640.5947265625,690000,1820.64
15.5129,139,156.685,2233.73,139,-6705.82568359375,695000,1861.75
15.8793,140,156.9456,2200.99,140,-6812.427734375,700000,1830.96
15.94,141,156.9762,2140.83,141,-6840.662109375,705000,1838.9
15.9272,142,157.0332,2181.85,142,-6886.7001953125,710000,1832.21
15.919,143,157.1257,2171.8,143,-6941.08740234375,715000,1829.65
15.6822,144,156.8823,2159.41,144,-6989.6728515625,720000,1838.67
15.4843,145,156.9431,2143.23,145,-7053.544921875,725000,1816.34
15.4627,146,156.9894,2117.88,146,-7068.74609375,730000,1813.21
16.0612,147,156.8091,2233.21,147,-7136.04296875,735000,1877.57
15.6298,148,156.9412,2167.77,148,-7203.82373046875,740000,1828.44
15.5997,149,156.6964,2173.8,149,-7251.3125,745000,1861.14
15.7934,150,156.9778,2181.03,150,-7314.2802734375,750000,1847.54
15.5271,151,156.8995,2189.49,151,-7410.1064453125,755000,1801.96
15.6909,152,156.7224,2195.99,152,-7414.0595703125,760000,1861.78
15.6043,153,156.7608,2190.64,153,-7454.837890625,765000,1851.78
15.4287,154,156.6957,2158.61,154,-7475.51904296875,770000,1823.77
15.9074,155,156.9443,2195.68,155,-7622.22021484375,775000,1876.46
15.8828,156,156.8996,2203.6,156,-7653.515625,780000,1861.99
15.671,157,156.6342,2198.52,157,-7611.8125,785000,1874.12
15.6747,158,157.0046,2186.5,158,-7726.96435546875,790000,1857.46
15.7577,159,156.9493,2198.66,159,-7791.90185546875,795000,1831.37
15.4423,160,156.753,2220.48,160,-7805.23974609375,800000,1864.86
15.759,161,156.7706,2236.07,161,-7928.08984375,805000,1870.91
15.8252,162,156.8969,2200.48,162,-7981.63916015625,810000,1885.15
15.8662,163,157.0013,2188.61,163,-8049.41357421875,815000,1871.17
16.032,164,156.9334,2229.18,164,-8103.24951171875,820000,1899.78
15.9108,165,156.8139,2228.3,165,-8132.30615234375,825000,1896.41
16.1333,166,156.7349,2237.74,166,-8243.3984375,830000,1921.79
15.7147,167,156.7948,2177.66,167,-8242.9609375,835000,1874.2
15.4951,168,156.7607,2177.35,168,-8269.66015625,840000,1878.73
15.862,169,156.7742,2201.89,169,-8377.1806640625,845000,1855.92
15.4264,170,156.6817,2203.83,170,-8397.421875,850000,1872.49
15.7176,171,156.6881,2205.97,171,-8513.73046875,855000,1876.75
15.6945,172,156.844,2218.21,172,-8513.978515625,860000,1878.72
15.5281,173,156.7566,2207.22,173,-8570.2880859375,865000,1854.28
15.9528,174,156.783,2279.79,174,-8651.8427734375,870000,1892.82
15.4861,175,156.7437,2218.13,175,-8685.0859375,875000,1876.73
15.9014,176,156.8532,2214.65,176,-8738.4765625,880000,1871.93
15.576,177,156.7913,2147.2,177,-8754.3056640625,885000,1821.39
16.035,178,156.7583,2255.42,178,-8900.5263671875,890000,1917.7
15.6154,179,156.8992,2135.38,179,-8882.984375,895000,1855.04
15.6976,180,156.8593,2243.79,180,-9008.853515625,900000,1868.79
15.5382,181,156.8038,2197.2,181,-8982.5361328125,905000,1848.34
15.453,182,156.7343,2152.49,182,-8994.298828125,910000,1856.32
15.5274,183,156.9769,2140.32,183,-9029.294921875,915000,1838.78
15.6138,184,156.7768,2211.1,184,-9124.654296875,920000,1893.34
15.8723,185,156.7682,2192.59,185,-9164.8486328125,925000,1874.5
15.7146,186,156.8565,2202.38,186,-9154.1220703125,930000,1871.28
15.5384,187,156.9632,2192.95,187,-9251.4169921875,935000,1861.08
15.7181,188,156.7262,2220.77,188,-9208.89453125,940000,1922.51
15.4391,189,156.8456,2255.24,189,-9235.6259765625,945000,1888.25
15.6004,190,156.7902,2270.53,190,-9320.951171875,950000,1881.42
15.5054,191,156.6377,2209.29,191,-9307.6162109375,955000,1881.99
15.5953,192,156.7068,2219.13,192,-9335.1875,960000,1883.71
15.328,193,156.7177,2207.89,193,-9393.3310546875,965000,1843.32
15.7225,194,156.7553,2223.0,194,-9459.404296875,970000,1909.29
15.5822,195,156.9691,2201.54,195,-9473.03125,975000,1825.75
16.0607,196,156.7927,2241.11,196,-9559.3603515625,980000,1908.97
15.8753,197,156.7003,2242.87,197,-9555.9296875,985000,1932.5
15.9319,198,156.7939,2257.06,198,-9578.5654296875,990000,1920.61
15.6906,199,156.8594,2264.67,199,-9665.201171875,995000,1907.24
15.2636,200,156.8115,2174.03,200,-9611.0927734375,1000000,1839.88
15.415,201,156.8118,2195.7,201,-9656.486328125,1005000,1882.95
15.4437,202,156.6083,2199.14,202,-9708.630859375,1010000,1885.58
15.2871,203,156.6859,2196.36,203,-9744.6552734375,1015000,1865.85
15.3644,204,156.7579,2189.49,204,-9742.6640625,1020000,1868.81
15.2134,205,156.7061,2190.43,205,-9791.0517578125,1025000,1857.68
15.4953,206,156.708,2235.18,206,-9825.892578125,1030000,1896.48
15.53,207,156.873,2196.51,207,-9869.9423828125,1035000,1881.32
15.7021,208,156.7672,2241.68,208,-9919.0302734375,1040000,1897.51
15.8097,209,156.7453,2236.45,209,-9928.21875,1045000,1907.14
15.5131,210,156.6538,2231.59,210,-9953.1806640625,1050000,1876.75
15.4382,211,156.7054,2232.57,211,-9990.1953125,1055000,1909.39
15.5404,212,156.6765,2216.45,212,-10057.263671875,1060000,1898.21
15.5514,213,156.6653,2217.56,213,-10058.75,1065000,1889.9
15.6262,214,156.8925,2230.16,214,-10116.552734375,1070000,1889.64
15.5752,215,156.7096,2228.87,215,-10105.751953125,1075000,1898.71
15.4401,216,156.7428,2193.85,216,-10097.82421875,1080000,1898.95
15.3623,217,156.794,2210.9,217,-10181.1171875,1085000,1898.18
15.4309,218,156.769,2235.81,218,-10198.298828125,1090000,1897.49
15.4275,219,156.7267,2191.68,219,-10205.673828125,1095000,1870.76
15.5223,220,156.7243,2234.46,220,-10223.865234375,1100000,1912.52
15.5505,221,156.7156,2243.11,221,-10271.81640625,1105000,1912.6
15.4893,222,156.6238,2234.98,222,-10330.9443359375,1110000,1910.12
15.3978,223,156.6053,2214.63,223,-10334.544921875,1115000,1902.77
15.2686,224,156.7436,2195.7,224,-10320.4599609375,1120000,1880.06
15.4934,225,156.7615,2224.36,225,-10387.10546875,1125000,1904.5
15.503,226,156.699,2251.3,226,-10421.83203125,1130000,1894.07
15.5116,227,156.575,2232.83,227,-10446.31640625,1135000,1911.36
15.4093,228,156.7177,2199.42,228,-10460.2548828125,1140000,1896.83
15.5116,229,156.8725,2229.49,229,-10517.0224609375,1145000,1901.36
15.5161,230,156.6694,2221.24,230,-10500.0810546875,1150000,1893.75
15.4478,231,156.7795,2240.99,231,-10514.876953125,1155000,1915.07
