Real Sto Return,Running Env Steps,Itration,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Update Time
-205.21,0,0,-14.06,158.5746,-306.0563049316406,11.7581,0
-35.3,5000,1,-262.13,158.4698,-355.7568054199219,11.9076,1
185.15,10000,2,747.35,158.2922,-500.9142761230469,12.8552,2
371.41,15000,3,720.55,158.569,-591.3679809570312,13.5802,3
502.09,20000,4,929.11,158.3429,-682.75244140625,14.4574,4
577.28,25000,5,677.23,158.153,-694.525634765625,14.2577,5
584.94,30000,6,583.27,157.8295,-757.5799560546875,13.5951,6
681.12,35000,7,1116.75,158.0364,-791.4906616210938,14.7123,7
869.46,40000,8,1316.52,158.0096,-817.26171875,15.1497,8
971.17,45000,9,1402.53,157.9893,-861.7604370117188,15.4168,9
997.71,50000,10,1420.91,157.9343,-881.4345703125,15.8906,10
1043.34,55000,11,1501.22,157.9305,-925.9404907226562,16.3728,11
1114.84,60000,12,1521.51,158.0372,-969.159423828125,16.5406,12
1182.24,65000,13,1591.77,158.1269,-1024.9903564453125,16.814,13
1217.15,70000,14,1650.01,157.9108,-1058.61669921875,16.2785,14
1159.42,75000,15,1662.01,157.952,-1098.00341796875,16.451,15
1253.55,80000,16,1703.41,157.8641,-1127.22998046875,16.238,16
1272.7,85000,17,1756.08,157.9482,-1181.3660888671875,16.3628,17
1314.67,90000,18,1790.58,157.8471,-1216.483154296875,16.449,18
1285.96,95000,19,1793.82,157.7979,-1252.375244140625,16.3303,19
1391.08,100000,20,1861.46,157.6218,-1319.4251708984375,16.9109,20
1428.9,105000,21,1836.42,157.6287,-1344.1922607421875,16.5119,21
1433.07,110000,22,1836.3,157.7406,-1384.908203125,16.8801,22
1440.82,115000,23,1904.01,157.4869,-1406.9908447265625,16.7092,23
1471.81,120000,24,1869.09,157.5433,-1443.571044921875,16.4706,24
1486.98,125000,25,1869.61,157.7886,-1488.9769287109375,16.4945,25
1495.76,130000,26,1877.31,157.5161,-1504.517578125,16.2515,26
1547.81,135000,27,1949.96,157.6647,-1556.5250244140625,16.6833,27
1539.62,140000,28,1935.79,157.7971,-1566.52783203125,16.5361,28
1527.89,145000,29,1895.78,157.3636,-1604.78515625,16.0133,29
1585.1,150000,30,1939.04,157.717,-1644.003662109375,16.391,30
1580.58,155000,31,1961.78,157.5123,-1670.3935546875,16.4589,31
1552.08,160000,32,1892.85,157.5868,-1720.6380615234375,16.2263,32
1562.33,165000,33,1945.12,157.4978,-1764.5838623046875,16.3537,33
1552.92,170000,34,1902.9,157.6414,-1772.607177734375,16.3241,34
1597.31,175000,35,1977.24,157.4464,-1851.09716796875,16.2405,35
1568.81,180000,36,1930.52,157.4354,-1870.4466552734375,15.7725,36
1575.23,185000,37,1950.57,157.3662,-1893.8265380859375,15.9401,37
1599.08,190000,38,1961.9,157.4881,-1945.830810546875,16.2429,38
1646.74,195000,39,2036.94,157.3808,-2018.0023193359375,16.4842,39
1638.68,200000,40,2011.54,157.4254,-2046.30615234375,16.2821,40
1644.82,205000,41,1980.87,157.1775,-2079.543701171875,15.8971,41
1608.91,210000,42,1908.06,157.5626,-2100.584716796875,15.938,42
1646.52,215000,43,2029.3,157.2848,-2175.2919921875,16.1857,43
1607.19,220000,44,1912.59,157.568,-2173.974609375,15.6986,44
1601.72,225000,45,1886.56,157.2879,-2191.41796875,15.8497,45
1625.83,230000,46,1896.31,157.4048,-2253.234619140625,15.81,46
1627.77,235000,47,1923.6,157.3028,-2276.979248046875,15.8167,47
1672.65,240000,48,1955.15,157.4393,-2303.942626953125,16.2082,48
1690.71,245000,49,2050.57,157.2723,-2400.031005859375,15.8055,49
1711.75,250000,50,2088.14,157.1665,-2432.72119140625,16.0845,50
1652.93,255000,51,1960.97,157.1902,-2461.0927734375,15.6082,51
1627.97,260000,52,1907.82,157.5617,-2461.353759765625,15.984,52
1684.62,265000,53,2025.46,157.1713,-2534.45849609375,15.8979,53
1680.72,270000,54,2036.13,157.2174,-2565.25048828125,15.902,54
1694.56,275000,55,2002.49,157.0449,-2604.99853515625,15.8562,55
1689.54,280000,56,2015.37,156.9606,-2657.35205078125,15.4624,56
1683.83,285000,57,2036.68,157.1846,-2689.1572265625,15.793,57
1704.13,290000,58,2024.16,157.0624,-2726.3271484375,15.8353,58
1699.63,295000,59,2008.31,157.3247,-2749.60400390625,15.8261,59
1730.96,300000,60,2005.91,157.0873,-2803.078125,15.8323,60
1695.19,305000,61,2012.86,157.0802,-2850.202392578125,15.6026,61
1698.03,310000,62,1986.97,156.9905,-2890.00732421875,15.6092,62
1709.77,315000,63,2027.66,157.1901,-2918.216552734375,15.761,63
1685.71,320000,64,1975.57,156.976,-2975.679931640625,15.4384,64
1699.77,325000,65,2028.82,157.0285,-3024.767822265625,15.6461,65
1704.79,330000,66,2047.5,156.9717,-3066.9560546875,15.6773,66
1727.36,335000,67,2049.46,157.0776,-3116.365478515625,15.874,67
1738.68,340000,68,2098.36,156.9397,-3129.72119140625,15.7869,68
1765.78,345000,69,2112.46,156.9556,-3193.639892578125,16.0045,69
1709.4,350000,70,2023.18,157.0082,-3239.8818359375,15.8306,70
1730.52,355000,71,2061.2,157.0867,-3296.93017578125,15.7482,71
1726.53,360000,72,2077.45,157.2199,-3334.1044921875,15.7889,72
1727.29,365000,73,1975.63,157.1144,-3345.183349609375,15.4291,73
1757.53,370000,74,2111.6,156.9914,-3404.955322265625,15.7131,74
1745.91,375000,75,2134.17,156.9453,-3486.177734375,15.7638,75
1741.53,380000,76,2086.51,157.1169,-3490.491455078125,15.9114,76
1782.64,385000,77,2129.26,157.2803,-3568.13916015625,16.048,77
1714.23,390000,78,1993.05,157.0627,-3567.692138671875,15.5511,78
1760.43,395000,79,2088.14,156.9182,-3628.24462890625,15.5044,79
1748.2,400000,80,2092.3,156.8106,-3669.701904296875,15.5856,80
1788.23,405000,81,2164.25,157.0597,-3721.65234375,15.5769,81
1781.91,410000,82,2115.55,156.8904,-3761.009765625,15.8359,82
1774.56,415000,83,2120.53,156.9707,-3808.81640625,15.933,83
1783.63,420000,84,2142.38,156.9869,-3880.381591796875,15.8437,84
1771.05,425000,85,2156.69,156.993,-3911.811767578125,15.9579,85
1807.97,430000,86,2186.04,156.815,-3960.08154296875,16.0702,86
1775.18,435000,87,2113.05,157.0192,-3984.61669921875,15.7464,87
1748.52,440000,88,2112.65,157.0297,-4063.04443359375,15.7556,88
1790.51,445000,89,2106.59,156.9712,-4067.512451171875,15.3347,89
1750.19,450000,90,2135.86,156.924,-4125.9501953125,15.7496,90
1765.55,455000,91,2116.62,156.8973,-4181.31005859375,15.7085,91
1780.94,460000,92,2145.97,156.8345,-4207.83984375,15.7461,92
1751.57,465000,93,2110.53,157.0687,-4262.96044921875,15.5671,93
1760.67,470000,94,2095.31,156.9577,-4299.30419921875,15.7241,94
1783.72,475000,95,2139.81,156.7833,-4381.00634765625,15.418,95
1789.27,480000,96,2151.34,157.032,-4436.50732421875,16.0548,96
1806.14,485000,97,2148.45,157.0629,-4471.3330078125,15.7571,97
1781.15,490000,98,2115.82,156.9525,-4519.45166015625,15.4305,98
1833.89,495000,99,2120.01,156.8133,-4568.1376953125,15.7857,99
1830.46,500000,100,2169.44,156.9751,-4610.39111328125,15.5319,100
1812.57,505000,101,2176.67,156.8471,-4664.5029296875,15.5164,101
1766.06,510000,102,2096.07,156.8581,-4709.22216796875,15.3523,102
1817.88,515000,103,2148.8,156.7569,-4771.28369140625,15.6347,103
1849.57,520000,104,2202.64,157.0225,-4807.63916015625,15.8709,104
1798.2,525000,105,2161.16,156.7207,-4847.06884765625,15.2549,105
1802.05,530000,106,2138.75,156.8766,-4901.92822265625,15.6921,106
1829.27,535000,107,2176.57,156.8869,-4987.80517578125,15.6842,107
1791.46,540000,108,2138.26,156.795,-5037.3115234375,15.4314,108
1830.12,545000,109,2182.9,156.7263,-5041.0126953125,15.5232,109
1844.0,550000,110,2204.67,156.951,-5132.0556640625,15.9466,110
1794.55,555000,111,2179.58,156.806,-5161.42822265625,15.2776,111
1832.06,560000,112,2165.25,156.7825,-5212.880859375,15.6467,112
1817.77,565000,113,2153.14,156.7919,-5239.97119140625,15.5089,113
1815.11,570000,114,2149.3,156.8707,-5322.00732421875,15.4642,114
1759.58,575000,115,2122.74,156.8983,-5377.03515625,15.3847,115
1828.4,580000,116,2162.87,157.0632,-5391.34716796875,15.6119,116
1838.27,585000,117,2202.92,156.9587,-5504.33642578125,15.6963,117
1837.1,590000,118,2157.14,156.8119,-5512.38525390625,15.3566,118
1788.04,595000,119,2105.5,156.9798,-5583.36181640625,15.3158,119
1816.86,600000,120,2129.77,156.9073,-5618.310546875,15.3829,120
1853.81,605000,121,2203.84,156.8095,-5718.8583984375,15.5679,121
1871.19,610000,122,2198.29,156.858,-5748.48291015625,15.8185,122
1828.16,615000,123,2207.67,156.8021,-5803.86328125,15.627,123
1828.4,620000,124,2168.56,156.9719,-5860.703125,15.8897,124
1837.39,625000,125,2194.63,156.9426,-5895.83056640625,15.4137,125
1866.2,630000,126,2236.85,156.8789,-5999.26025390625,15.9137,126
1860.33,635000,127,2176.44,157.0109,-6042.00732421875,15.5452,127
1828.04,640000,128,2176.57,156.8104,-6080.3017578125,15.3456,128
1846.44,645000,129,2112.6,156.7966,-6144.7529296875,15.3939,129
1835.4,650000,130,2174.92,156.8543,-6179.91015625,15.617,130
1831.49,655000,131,2217.38,156.8261,-6237.43310546875,15.6812,131
1865.62,660000,132,2197.69,156.8114,-6284.654296875,15.6361,132
1825.45,665000,133,2140.85,156.8124,-6368.83984375,15.3494,133
1833.43,670000,134,2153.06,156.8115,-6436.30224609375,15.2575,134
1838.65,675000,135,2195.31,156.8333,-6462.634765625,15.5664,135
1862.58,680000,136,2137.85,156.8704,-6514.79638671875,15.6146,136
1844.1,685000,137,2181.45,156.8729,-6648.02392578125,15.7032,137
1833.09,690000,138,2173.45,156.719,-6656.66650390625,15.5981,138
1853.99,695000,139,2181.88,156.8234,-6696.11962890625,15.6144,139
1863.14,700000,140,2220.4,156.7026,-6791.8642578125,15.8128,140
1844.37,705000,141,2178.08,156.823,-6834.90234375,15.5665,141
1836.05,710000,142,2169.76,156.7538,-6951.97705078125,15.4612,142
1821.5,715000,143,2139.25,156.8804,-6937.25390625,15.4921,143
1888.5,720000,144,2216.79,156.802,-6990.66845703125,15.8418,144
1853.97,725000,145,2234.89,156.8534,-7046.52392578125,15.7286,145
1831.85,730000,146,2167.79,156.7924,-7126.439453125,15.2596,146
1866.45,735000,147,2177.35,156.4554,-7153.525390625,15.2689,147
1876.14,740000,148,2187.3,156.596,-7203.64599609375,15.3726,148
1894.56,745000,149,2201.85,156.7294,-7273.48876953125,15.6565,149
1894.27,750000,150,2244.77,156.8696,-7355.833984375,15.8413,150
1864.74,755000,151,2153.99,156.6758,-7402.44189453125,15.6042,151
1865.33,760000,152,2199.78,156.7822,-7428.10400390625,15.6584,152
1864.8,765000,153,2222.17,156.8756,-7503.14892578125,15.412,153
1862.55,770000,154,2222.96,156.7484,-7539.56103515625,15.6916,154
1894.28,775000,155,2239.55,156.8051,-7620.04736328125,15.5755,155
1874.92,780000,156,2189.09,156.8823,-7620.0673828125,15.3939,156
1908.6,785000,157,2185.79,156.6935,-7655.74658203125,15.4594,157
1856.59,790000,158,2189.25,156.8332,-7742.9091796875,15.3281,158
1862.45,795000,159,2213.09,156.7869,-7790.97216796875,15.4476,159
1865.23,800000,160,2179.23,156.6791,-7860.6328125,15.3734,160
1883.9,805000,161,2183.32,156.8382,-7908.89892578125,15.6363,161
1868.05,810000,162,2245.33,156.7792,-7955.56982421875,15.4516,162
1887.6,815000,163,2209.36,156.6673,-8004.556640625,15.3364,163
1835.02,820000,164,2200.51,156.8272,-8087.9677734375,15.2399,164
