Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return,Itration,Running Env Steps,Running Reverse KL
78,2310.36,20.7766,-1086.5054931640625,3389.54,78,390000,16.1285
79,3262.27,19.3221,50.33753967285156,3367.69,79,395000,11.2391
80,3110.81,19.4017,-8.148422241210938,3467.22,80,400000,11.0448
81,3345.06,19.1784,-22.28309440612793,3356.85,81,405000,11.6837
82,2788.47,19.8642,-128.98941040039062,3383.36,82,410000,11.9332
83,2669.17,19.382,-334.0477600097656,3420.74,83,415000,13.0654
84,3182.56,19.4456,-24.483625411987305,3431.93,84,420000,11.509
85,3254.58,19.3768,-175.22116088867188,3402.13,85,425000,11.8471
86,3278.51,19.0943,42.32362365722656,3336.57,86,430000,11.0255
87,2831.66,19.836,-123.3382568359375,3441.63,87,435000,12.0576
88,2960.62,20.0039,-473.9203796386719,3524.75,88,440000,14.1819
89,2971.35,19.7105,-433.99200439453125,3418.17,89,445000,13.7475
90,3097.06,19.416,-310.790283203125,3396.33,90,450000,11.8623
91,3374.39,19.1779,-18.61137580871582,3378.5,91,455000,11.4682
92,2994.08,19.5473,-356.9692077636719,3408.28,92,460000,14.408
93,3242.41,19.2726,-13.001937866210938,3412.83,93,465000,10.7459
94,3214.84,19.5823,-26.518218994140625,3383.76,94,470000,10.6166
95,2605.07,19.0942,-207.78118896484375,3404.37,95,475000,10.2809
96,2722.81,19.2248,-93.2635498046875,3370.53,96,480000,10.0425
97,3088.26,19.1972,-136.63360595703125,3369.35,97,485000,10.6091
98,2899.43,19.1155,-87.40171813964844,3345.59,98,490000,10.4765
99,2367.45,20.1935,-260.52337646484375,3430.75,99,495000,11.2227
100,3286.36,19.0524,-257.9678955078125,3381.42,100,500000,9.841
101,2451.04,19.9387,-285.9513854980469,3376.72,101,505000,10.4159
102,3236.34,18.8018,-56.43065643310547,3383.22,102,510000,11.0875
103,2723.37,19.5931,-438.9816589355469,3352.95,103,515000,10.0792
104,3004.88,18.7665,-161.57901000976562,3367.79,104,520000,10.143
105,2585.17,20.0659,-422.18035888671875,3324.36,105,525000,11.4531
106,2014.26,20.3393,-651.4461059570312,2457.58,106,530000,13.0254
107,2845.17,20.5732,-313.1029968261719,3456.83,107,535000,11.0101
108,2179.87,20.087,-331.0513000488281,3321.96,108,540000,10.6318
109,2693.21,19.721,-681.1704711914062,3349.31,109,545000,9.7725
110,1935.9,20.0771,-779.04638671875,3049.97,110,550000,11.9827
111,2022.38,20.9225,-828.9557495117188,3397.34,111,555000,10.5725
112,1920.77,20.1998,-660.226318359375,3395.57,112,560000,10.3587
113,1987.04,20.2979,-1238.251220703125,3468.08,113,565000,22.7332
114,2875.68,19.7995,-696.5878295898438,3443.35,114,570000,19.43
115,2296.62,20.7263,-1243.0673828125,3386.65,115,575000,13.9872
116,1855.4,20.4267,-1026.074462890625,1523.0,116,580000,12.2682
117,2831.23,19.7956,-693.21533203125,3423.23,117,585000,10.3935
118,2053.68,20.623,-870.4535522460938,1759.72,118,590000,11.0049
119,2737.47,20.3208,-674.7145385742188,3449.14,119,595000,11.0499
120,1821.57,20.7821,-1017.7927856445312,3483.98,120,600000,11.1652
121,2242.34,20.7017,-955.8998413085938,2973.23,121,605000,11.5115
122,1969.62,20.8371,-1079.68603515625,3209.22,122,610000,11.2794
123,1995.9,21.0686,-1090.7471923828125,3286.6,123,615000,11.1949
124,2229.06,20.1067,-908.853759765625,3421.85,124,620000,10.4146
125,1792.51,20.1539,-1002.0443115234375,3388.33,125,625000,12.2971
126,1881.5,20.5051,-1050.267333984375,2707.25,126,630000,11.6405
127,2271.07,20.0799,-1041.85302734375,3488.9,127,635000,10.7601
128,1800.52,21.2634,-1395.0684814453125,2042.3,128,640000,11.7254
129,1812.34,20.964,-1290.43603515625,2451.19,129,645000,11.544
130,2073.33,20.9826,-1399.3013916015625,1546.8,130,650000,11.4246
131,2605.99,20.2103,-1240.837646484375,3221.9,131,655000,13.1123
132,1880.2,20.6496,-1415.495849609375,2837.05,132,660000,13.4848
133,2455.24,19.8906,-1342.8076171875,3278.36,133,665000,12.7116
134,2245.29,20.7341,-1999.484375,3292.5,134,670000,19.0412
135,1957.55,20.4265,-1546.279541015625,2391.42,135,675000,17.4853
136,2395.13,19.77,-1227.387451171875,3186.42,136,680000,12.6825
137,2747.41,20.1595,-1520.9375,3366.27,137,685000,16.4822
138,2164.84,19.7565,-1547.14306640625,2844.78,138,690000,15.2662
139,2327.34,19.7628,-1032.239013671875,3071.75,139,695000,12.7014
140,2480.95,20.3469,-1667.9901123046875,2928.53,140,700000,13.893
141,2384.03,19.5611,-1424.65771484375,3131.89,141,705000,17.0501
142,2289.43,19.0445,-1186.300048828125,2787.1,142,710000,12.8324
143,2692.21,19.6108,-1161.0458984375,3406.95,143,715000,12.1081
144,2418.44,20.0631,-1612.1878662109375,3049.26,144,720000,13.5519
145,2279.46,18.8264,-822.3033447265625,3258.69,145,725000,11.7608
146,2058.26,20.3314,-1809.937255859375,1880.19,146,730000,13.6183
147,2871.49,19.8824,-1600.34326171875,3006.61,147,735000,13.4322
148,1956.88,19.9424,-2050.310302734375,1710.12,148,740000,14.6771
149,2964.73,20.1116,-1876.4190673828125,3451.18,149,745000,12.4766
150,2154.34,20.2924,-1881.0269775390625,2686.02,150,750000,21.2646
151,2940.38,19.1878,-1146.6470947265625,3387.56,151,755000,12.8833
152,2433.82,19.0726,-931.4183349609375,3369.85,152,760000,11.8787
153,2534.29,20.1716,-1906.2232666015625,3298.62,153,765000,14.1044
154,2494.68,19.762,-1453.270751953125,2922.72,154,770000,14.6687
155,2606.11,20.4022,-2215.43310546875,2435.53,155,775000,16.0405
156,2227.02,20.1012,-2053.63720703125,3394.26,156,780000,12.7743
157,2074.19,20.2641,-1507.4654541015625,3130.26,157,785000,12.9734
158,2097.02,20.3952,-2150.57373046875,2763.01,158,790000,11.8766
159,2874.0,20.3749,-1687.5164794921875,3508.42,159,795000,13.7721
160,2375.1,20.203,-1585.8599853515625,3380.16,160,800000,11.9077
161,2974.7,20.1691,-1630.4915771484375,3076.41,161,805000,15.5415
162,2538.87,19.6745,-1433.8868408203125,3374.28,162,810000,12.3389
163,2361.7,20.637,-1990.018798828125,2827.22,163,815000,12.4363
164,2363.71,20.4508,-2127.82470703125,2897.13,164,820000,15.9415
165,2562.78,19.6883,-1568.6014404296875,3236.43,165,825000,12.2689
166,2627.63,20.7174,-2427.14111328125,3189.65,166,830000,15.6665
167,2603.85,20.7651,-2700.065673828125,3671.45,167,835000,13.8112
168,2019.04,20.6778,-2617.277587890625,2378.46,168,840000,14.3274
169,2140.56,20.2363,-2212.866943359375,2950.01,169,845000,18.2537
170,2695.18,19.6563,-1309.301025390625,3171.38,170,850000,12.4297
171,2505.93,19.7007,-1492.4635009765625,3078.97,171,855000,12.8737
172,1868.13,20.2845,-2419.217529296875,3072.85,172,860000,14.8724
173,2471.29,19.7842,-1757.3443603515625,2801.6,173,865000,11.8843
174,2202.96,20.2453,-2758.149658203125,2727.58,174,870000,16.9025
175,2789.96,19.8031,-1238.247802734375,3451.8,175,875000,11.4947
176,2383.44,20.3012,-2390.21142578125,3119.45,176,880000,11.871
177,2191.87,20.2933,-2639.38720703125,3507.94,177,885000,12.9781
178,2063.28,19.897,-2294.7255859375,3304.54,178,890000,12.3624
179,2128.9,20.6807,-3312.735107421875,2388.12,179,895000,12.2616
180,1948.16,19.67,-2254.38720703125,2817.0,180,900000,13.9514
181,2434.13,20.1145,-2698.68017578125,3410.89,181,905000,12.8131
182,2247.7,20.5869,-3144.83154296875,3213.03,182,910000,15.7836
183,2035.1,20.7214,-3358.3857421875,2766.09,183,915000,12.5609
184,2000.02,20.5991,-3089.0986328125,2194.41,184,920000,13.83
185,2295.3,20.6338,-2872.100830078125,3299.25,185,925000,13.8522
186,2855.26,19.3851,-1725.9991455078125,3095.29,186,930000,11.4759
187,1109.35,20.3963,-3291.8779296875,1984.51,187,935000,14.5754
188,2235.73,20.6379,-3549.365234375,2636.38,188,940000,12.7026
189,2313.16,19.984,-2865.68798828125,2440.81,189,945000,14.1622
190,1891.79,20.5383,-4160.66357421875,1978.79,190,950000,13.0331
191,1748.85,21.367,-4615.00439453125,1942.56,191,955000,13.0727
192,2160.44,19.8393,-3161.13916015625,2222.0,192,960000,13.4747
193,2389.51,20.3262,-3270.741455078125,3084.67,193,965000,11.7073
194,2363.21,20.1776,-3274.55224609375,3154.38,194,970000,13.2516
195,2056.06,20.3455,-3687.98193359375,2851.14,195,975000,13.9279
196,3106.66,19.6114,-2414.5966796875,3512.21,196,980000,15.3777
197,2261.81,20.0193,-3097.3544921875,2760.17,197,985000,11.402
198,2222.7,19.1508,-2284.396484375,3510.15,198,990000,12.5589
199,1986.88,20.0927,-2891.57568359375,2270.35,199,995000,12.2145
