Running Reverse KL,Real Det Return,Itration,Real Sto Return,Running Forward KL
24.7099,272.39,0,273.59,37.9223
34.5536,302.96,1,311.09,35.8906
42.8635,353.25,2,338.94,34.9891
54.9494,393.0,3,387.25,33.2361
36.1679,296.35,4,249.88,32.5538
18.3513,660.63,5,644.83,32.3181
20.2695,420.54,6,382.59,33.43
90.0027,432.77,7,574.48,31.2783
21.3311,158.66,8,160.81,37.4201
25.3933,1022.63,9,1021.62,41.0523
115.5052,202.47,10,217.52,36.2923
37.7186,302.44,11,303.5,37.6785
38.1804,562.56,12,324.63,32.4414
27.2046,406.11,13,371.68,37.7893
20.7236,333.53,14,369.21,32.4591
17.8661,386.08,15,349.98,33.8886
32.3787,248.28,16,248.99,33.4113
43.5989,260.53,17,263.0,36.3553
100.5454,736.15,18,142.22,36.8189
116.1079,358.66,19,362.24,37.0402
44.0515,996.54,20,995.25,44.7552
20.229,396.98,21,394.89,37.9847
22.7735,478.19,22,476.63,39.3985
18.4035,635.79,23,824.54,36.1761
29.4239,1004.17,24,1006.72,41.7066
35.034,1009.03,25,1011.69,42.9472
34.0755,1046.58,26,1046.97,44.0668
27.3205,1051.43,27,1051.11,42.9855
57.7602,996.82,28,995.64,43.4962
46.5305,990.39,29,989.69,46.445
66.6528,510.03,30,510.75,38.2375
63.153,365.2,31,361.54,35.3662
38.0405,996.33,32,990.89,44.3595
54.2837,998.94,33,998.86,47.0391
45.0237,1008.53,34,1008.65,44.983
41.69,1010.63,35,1010.51,44.8509
34.6189,1019.89,36,1020.21,43.2415
20.6975,166.15,37,169.28,35.228
21.038,200.06,38,198.08,38.0882
17.9036,507.0,39,511.45,38.3236
36.6049,1044.78,40,1045.11,43.3348
61.1119,994.8,41,994.73,44.3252
56.459,993.43,42,993.47,44.482
82.5402,219.02,43,213.59,37.7963
33.6508,991.29,44,989.5,42.6807
27.7137,992.3,45,992.79,44.0926
51.0742,976.0,46,975.62,43.0891
44.9249,993.87,47,993.71,46.1148
57.9308,1008.96,48,1009.05,43.3292
44.6722,987.7,49,839.28,39.6127
39.8025,1042.67,50,1042.25,41.158
39.0899,1047.1,51,973.09,42.4185
46.6573,262.26,52,239.92,37.7536
40.5752,1059.44,53,1059.26,39.9964
43.0443,1041.48,54,1041.41,40.5473
26.3965,1044.54,55,1042.52,42.7629
35.4295,1051.46,56,1050.82,40.595
33.8519,1053.33,57,1052.66,41.9067
38.1654,1051.25,58,1050.89,43.9105
33.6559,1050.71,59,1048.46,41.828
23.8759,1049.03,60,932.29,39.9628
23.0159,1026.89,61,1027.96,40.9825
43.6979,281.31,62,385.7,40.7468
30.2983,79.05,63,127.56,40.7522
35.5768,1013.68,64,1017.22,40.9498
35.0662,1016.83,65,1015.79,43.6078
32.6034,98.6,66,147.4,43.6979
29.3169,792.37,67,568.93,42.8752
116.1442,225.15,68,224.86,38.5562
30.2417,237.17,69,238.37,38.0601
28.704,223.96,70,225.04,37.8899
23.2489,245.47,71,243.98,38.1652
27.8202,1064.06,72,1015.36,39.393
34.3795,1012.78,73,1012.19,42.6494
26.776,1037.0,74,1035.96,42.9061
54.5313,985.11,75,985.18,45.1617
43.8077,237.55,76,235.95,36.9342
37.5158,332.91,77,362.35,37.27
32.4555,1042.13,78,1040.57,43.1375
39.4628,1041.85,79,1042.13,42.9995
34.8944,1001.76,80,1001.98,44.2178
155.6226,12.39,81,12.68,41.231
32.0727,1015.75,82,1017.0,43.9712
42.861,1027.53,83,1027.41,44.3054
48.3133,1000.33,84,1000.28,44.8613
32.7101,1046.68,85,1045.34,43.8531
33.0722,1045.93,86,1046.01,44.2704
33.2123,1045.06,87,1044.41,43.6335
54.3476,973.04,88,973.06,44.1784
53.9688,162.38,89,174.22,39.3689
32.3409,1016.93,90,1017.17,42.3975
59.2041,1011.05,91,1010.97,42.9576
49.9947,978.69,92,978.7,43.6077
62.7959,979.53,93,979.48,46.5724
35.5225,992.77,94,992.5,46.5432
43.988,267.6,95,327.28,43.6629
31.9601,221.66,96,223.86,39.9369
30.219,90.42,97,103.99,38.8375
43.6189,1000.47,98,1000.37,44.1682
31.8898,1049.34,99,1049.03,43.8157
31.1208,1050.62,100,1047.14,42.5864
38.2474,1036.79,101,1036.68,43.4819
31.1001,1004.55,102,1003.33,43.6757
31.934,1008.23,103,1007.48,42.8666
33.848,1007.92,104,1006.64,44.363
28.6439,1011.47,105,1010.84,44.0585
25.8366,964.23,106,875.03,40.4327
28.2921,205.35,107,248.16,35.9348
29.1501,442.32,108,458.54,39.0007
39.0923,1046.59,109,1046.55,41.0744
35.0529,225.76,110,224.66,38.7287
57.1028,256.63,111,260.23,38.8864
32.0006,1056.41,112,1057.63,43.4705
33.8994,1013.0,113,1041.42,42.934
38.0956,1012.21,114,1010.93,42.7358
23.9284,1029.32,115,1014.32,40.7741
24.485,780.05,116,704.22,38.7597
20.4652,637.4,117,652.67,39.0985
22.1616,550.38,118,556.82,38.5162
43.6368,1003.96,119,1003.93,45.2582
36.4202,213.32,120,184.26,39.3693
36.5104,971.34,121,975.83,45.4036
27.6705,226.91,122,227.36,40.5044
48.4291,915.32,123,948.33,43.4105
35.411,1041.31,124,1042.69,44.1186
39.7619,1009.88,125,1003.04,43.8682
59.8064,668.09,126,674.61,40.9334
40.1827,674.61,127,665.98,39.6818
109.9419,370.69,128,365.71,38.4759
35.6581,1025.36,129,1042.88,44.2772
86.489,56.23,130,56.07,41.5789
103.7112,40.26,131,40.7,37.4082
26.7205,1056.79,132,1070.42,42.4709
27.3065,1052.59,133,1053.59,42.4853
41.8182,990.51,134,990.16,44.8974
41.5081,991.47,135,991.54,45.7978
47.6134,981.8,136,981.85,43.0507
23.6705,753.39,137,571.12,40.5868
26.7247,712.65,138,773.24,42.3867
86.0259,109.1,139,108.29,39.978
39.6179,136.99,140,138.39,40.1994
55.1946,1001.5,141,1001.25,43.69
140.8692,88.33,142,88.62,38.2623
122.3001,23.06,143,26.47,42.7341
57.9843,103.47,144,103.92,41.4646
52.7454,35.2,145,35.5,38.9316
36.8641,995.86,146,945.91,41.2306
23.2829,196.42,147,160.1,38.9088
44.5997,1006.47,148,1006.41,45.3877
56.2022,998.63,149,998.48,45.7572
36.5009,327.39,150,327.25,38.5933
42.7147,991.77,151,993.41,44.8089
31.4283,993.44,152,992.99,44.7
37.0548,697.62,153,752.54,39.1918
22.7967,453.85,154,447.44,38.1497
35.2668,665.19,155,517.56,39.1383
36.1976,614.19,156,274.8,41.8087
24.7098,598.17,157,493.31,38.9197
27.8038,1038.06,158,1038.51,44.2509
54.4579,980.81,159,891.1,40.6741
48.7261,161.0,160,162.12,38.4566
93.4621,136.21,161,136.05,38.6416
173.6199,232.55,162,203.26,38.9615
50.9825,950.67,163,996.14,43.0068
38.5309,1002.91,164,1002.49,44.9791
25.843,456.56,165,458.04,41.4647
37.6025,677.86,166,682.44,42.7049
41.7884,979.99,167,1001.44,44.8911
69.6968,350.56,168,350.23,38.647
20.276,39.13,169,39.65,38.8145
27.4771,1014.69,170,1017.91,40.5352
30.4461,1059.44,171,1059.38,40.8649
30.416,422.43,172,461.29,39.1984
41.2347,987.13,173,988.09,44.2945
74.9711,101.53,174,102.12,41.5444
41.9697,1011.61,175,1010.34,44.6225
49.099,1011.13,176,1011.13,43.6425
172.1103,202.58,177,204.1,44.5513
28.7894,1012.56,178,944.13,43.286
39.1413,1017.93,179,1017.23,42.1364
30.9847,1007.04,180,961.05,42.6272
68.623,275.71,181,276.56,45.0377
36.9062,246.05,182,240.37,39.28
36.172,1004.56,183,1004.33,44.4947
47.4053,975.56,184,975.61,45.0541
28.5437,1005.49,185,1006.53,41.7646
48.1909,998.5,186,992.87,41.3944
18.9214,236.39,187,178.1,37.9493
38.3845,1007.3,188,1007.36,43.4014
40.0889,1007.42,189,1007.69,43.0512
44.3886,1008.82,190,1009.14,43.5979
40.8935,373.66,191,707.71,44.0331
37.776,998.78,192,998.7,45.0658
117.9384,17.92,193,18.2,42.1658
40.4214,129.76,194,132.01,39.3261
32.8009,169.85,195,192.64,37.4349
62.4859,627.6,196,691.5,44.4139
37.0271,990.37,197,989.58,43.6675
48.7595,975.86,198,974.02,44.3792
48.669,969.35,199,996.22,43.8982
