Running Update Time,Real Det Return,Itration,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL,Real Sto Return
0,-4.88,0,0,70.55400085449219,158.7377,11.9211,-221.04
1,11.57,1,5000,-119.24653625488281,158.442,11.9003,-81.4
2,740.74,2,10000,-387.48785400390625,158.0502,12.3279,131.75
3,747.61,3,15000,-599.6981811523438,158.3059,13.6303,331.19
4,912.99,4,20000,-895.33251953125,158.2288,14.1134,547.11
5,983.89,5,25000,-1124.9237060546875,158.0224,14.003,581.12
6,898.7,6,30000,-1267.668701171875,157.9696,13.9048,606.82
7,1116.92,7,35000,-1492.6358642578125,157.9757,13.9267,706.74
8,1249.57,8,40000,-1632.3779296875,158.1199,14.7445,811.71
9,1396.34,9,45000,-1813.73046875,157.9185,15.6229,971.94
10,1411.28,10,50000,-1999.8929443359375,157.862,15.9235,1019.26
11,1476.37,11,55000,-2209.849853515625,158.0874,16.184,1095.35
12,1535.81,12,60000,-2450.20556640625,157.9842,16.0192,1125.72
13,1581.2,13,65000,-2659.908935546875,158.2536,16.5086,1168.78
14,1568.85,14,70000,-2817.094970703125,158.0452,16.2021,1168.1
15,1651.66,15,75000,-3032.17578125,157.969,15.8482,1207.36
16,1750.88,16,80000,-3302.9609375,157.9861,16.3931,1272.64
17,1796.56,17,85000,-3482.121826171875,158.0595,16.4851,1335.87
18,1832.62,18,90000,-3687.824951171875,157.7056,16.4826,1381.31
19,1841.22,19,95000,-3866.83056640625,157.8092,16.3366,1409.6
20,1874.68,20,100000,-4120.70947265625,157.8764,16.4202,1420.74
21,1844.26,21,105000,-4238.298828125,157.8615,16.2942,1441.41
22,1859.02,22,110000,-4441.4765625,157.947,16.2305,1458.81
23,1872.66,23,115000,-4609.2802734375,157.7356,16.4564,1494.44
24,1911.9,24,120000,-4792.48486328125,157.7296,17.0158,1526.7
25,1917.0,25,125000,-4999.50439453125,157.7694,16.5709,1532.76
26,1934.11,26,130000,-5205.7314453125,157.9882,16.6852,1548.12
27,1948.98,27,135000,-5403.5068359375,157.7674,16.8949,1552.18
28,1966.74,28,140000,-5522.30078125,157.5234,16.2172,1565.65
29,1941.97,29,145000,-5811.18505859375,157.6479,16.668,1572.04
30,1989.14,30,150000,-5926.6435546875,157.47,16.4049,1590.69
31,1951.74,31,155000,-6159.560546875,157.3716,16.1633,1559.31
32,2039.99,32,160000,-6310.82080078125,157.4929,16.6792,1594.33
33,1933.37,33,165000,-6596.177734375,157.4383,16.1984,1574.8
34,1960.62,34,170000,-6685.31298828125,157.646,16.3301,1586.46
35,1997.92,35,175000,-6855.81396484375,157.4049,16.4428,1614.37
36,1999.05,36,180000,-7057.8447265625,157.4677,16.2331,1617.53
37,1949.86,37,185000,-7154.46240234375,157.307,15.9238,1619.75
38,2069.52,38,190000,-7420.15478515625,157.3099,16.5573,1708.86
