Reward Loss,Running Env Steps,Running Reverse KL,Real Det Return,Itration,Running Forward KL,Running Update Time,Real Sto Return
-1442.06103515625,0,24.0191,225.19,0,32.2192,0,221.09
-835.8900756835938,5000,17.6884,214.96,1,31.3067,1,214.27
-1140.89697265625,10000,13.003,227.72,2,30.4484,2,232.53
-1361.781982421875,15000,16.861,266.85,3,30.2428,3,200.23
-1392.465087890625,20000,43.3763,259.53,4,29.6263,4,269.22
-1421.2060546875,25000,18.6739,262.04,5,28.1608,5,345.86
-1350.820556640625,30000,29.2525,79.47,6,28.6251,6,152.72
-1141.4178466796875,35000,10.9959,230.93,7,27.9075,7,510.61
-1394.55908203125,40000,13.6447,542.02,8,27.9605,8,510.14
-1454.290283203125,45000,22.9791,472.82,9,27.4013,9,525.14
-1144.51904296875,50000,12.2087,523.96,10,25.526,10,572.88
-1802.4034423828125,55000,32.192,145.03,11,26.6031,11,385.99
-1189.7860107421875,60000,11.7905,1537.35,12,27.2567,12,878.4
-1587.7132568359375,65000,16.7463,603.65,13,27.241,13,513.14
-1472.3485107421875,70000,15.2854,303.22,14,28.2611,14,411.88
-1344.2393798828125,75000,15.5455,1360.26,15,27.4329,15,1132.64
-1338.1661376953125,80000,16.9632,677.61,16,26.5978,16,434.43
-1306.099853515625,85000,13.8087,571.75,17,26.2538,17,687.7
-1934.16015625,90000,24.3476,418.03,18,28.6424,18,502.47
-1619.78466796875,95000,17.9042,476.75,19,26.6341,19,778.44
-1866.83642578125,100000,30.966,1221.98,20,25.7246,20,926.36
-2179.12255859375,105000,41.4394,975.39,21,26.0444,21,753.34
-2372.564697265625,110000,42.1187,613.32,22,27.079,22,677.14
-1933.397216796875,115000,31.7891,1105.4,23,24.8765,23,1096.84
-1915.620361328125,120000,21.5986,1056.5,24,25.6146,24,863.7
-1961.501220703125,125000,21.7606,660.3,25,26.2984,25,1027.75
-1846.6268310546875,130000,21.1221,746.7,26,25.5194,26,834.02
-1744.5196533203125,135000,18.588,712.02,27,23.5056,27,1132.38
-1353.2628173828125,140000,14.1155,1861.96,28,24.1038,28,1100.2
-1553.5396728515625,145000,15.4582,1926.61,29,24.1285,29,1680.91
-1839.2054443359375,150000,16.7244,1129.81,30,25.355,30,1170.22
-1610.630859375,155000,15.0196,1467.76,31,23.2645,31,1290.79
-1608.32568359375,160000,14.716,2194.81,32,23.9089,32,1354.49
-1478.6387939453125,165000,15.2065,2926.22,33,22.7105,33,1818.83
-1357.0223388671875,170000,15.8963,1773.62,34,22.6102,34,2084.35
-1982.527099609375,175000,18.2196,871.77,35,24.2962,35,1067.06
-1944.330322265625,180000,18.5848,1820.56,36,23.2123,36,1387.36
-2036.6771240234375,185000,18.0551,942.0,37,23.5725,37,1042.25
-1831.537353515625,190000,17.8545,762.11,38,23.2303,38,1669.1
-1175.572998046875,195000,15.5932,1917.27,39,22.9606,39,1904.22
-974.05029296875,200000,13.1729,936.79,40,21.8682,40,1889.04
-1103.808349609375,205000,14.282,2831.17,41,23.666,41,1304.17
-2226.905517578125,210000,16.1903,669.39,42,24.3937,42,1245.37
-2083.971435546875,215000,17.2416,1585.7,43,25.2598,43,1095.01
-2196.8447265625,220000,14.5793,847.05,44,25.1042,44,969.65
-1509.343505859375,225000,12.8306,979.94,45,23.202,45,1080.61
-2083.01025390625,230000,15.0092,1195.61,46,23.9941,46,1050.66
-1007.6146240234375,235000,17.2437,1657.78,47,23.229,47,1819.59
-1440.941650390625,240000,13.8927,3050.36,48,23.4195,48,2212.33
-1226.32275390625,245000,12.5779,368.84,49,22.3833,49,678.0
-1486.5758056640625,250000,13.7394,2219.52,50,22.7549,50,1244.83
-2202.425048828125,255000,22.098,1008.23,51,25.2413,51,1036.95
-1965.6197509765625,260000,14.7642,1180.46,52,22.9668,52,1779.96
-1885.8626708984375,265000,14.5215,2890.9,53,22.5135,53,1078.15
-2823.0673828125,270000,17.2847,1058.57,54,27.5463,54,863.89
-2572.842041015625,275000,14.5213,1198.14,55,24.8104,55,946.08
-1523.8543701171875,280000,13.0431,1709.05,56,22.6833,56,1164.45
-3130.89453125,285000,16.2232,718.44,57,26.0162,57,779.88
-2572.9873046875,290000,17.493,1108.08,58,24.3818,58,1050.57
-2871.904296875,295000,20.2639,1026.2,59,24.6723,59,996.94
-2106.454833984375,300000,13.1688,1342.08,60,23.0889,60,1312.07
-3080.314208984375,305000,14.2212,1093.88,61,27.2646,61,860.29
-2979.41748046875,310000,14.0373,701.89,62,26.537,62,805.95
-2835.49658203125,315000,13.3585,1058.89,63,24.2566,63,1086.11
-2975.855224609375,320000,14.0105,1098.01,64,24.8588,64,1073.85
-2562.54248046875,325000,12.7004,1135.93,65,24.8272,65,1240.79
-2248.693603515625,330000,12.8023,1731.45,66,23.5611,66,966.41
-2738.761474609375,335000,13.5027,1145.58,67,24.4331,67,1092.96
-2905.577392578125,340000,14.7298,1046.24,68,24.1338,68,1004.56
-2154.779296875,345000,12.958,2175.01,69,21.8092,69,1391.12
-2977.625244140625,350000,13.5714,710.72,70,24.8347,70,737.62
-2531.542236328125,355000,13.1124,2516.98,71,23.944,71,1654.71
-2711.689208984375,360000,13.5422,1082.34,72,24.0653,72,1643.42
-3316.02294921875,365000,13.2964,1128.0,73,26.0307,73,1261.52
-1912.623779296875,370000,12.0405,2978.42,74,22.947,74,1624.49
-3546.557861328125,375000,15.782,1217.01,75,25.8886,75,1211.59
-2769.555908203125,380000,14.9789,998.42,76,23.7772,76,1295.86
-3104.56396484375,385000,12.9128,2070.63,77,23.4521,77,1277.83
-2515.864990234375,390000,14.8569,3434.57,78,23.7251,78,2011.9
-2662.591796875,395000,12.3999,1220.67,79,22.657,79,1612.38
-2938.39599609375,400000,12.9796,2048.63,80,23.999,80,1757.28
-2025.2279052734375,405000,12.0206,1355.12,81,21.9749,81,1911.8
-2820.99560546875,410000,18.4253,1300.41,82,23.4467,82,1968.15
-3286.89501953125,415000,13.3426,988.64,83,24.2525,83,1075.61
-3774.18310546875,420000,21.702,2833.56,84,25.0565,84,1338.71
-3605.22509765625,425000,14.5296,1035.46,85,24.7178,85,1206.82
-3410.8564453125,430000,13.5662,1008.08,86,24.3593,86,1272.23
-3453.919189453125,435000,13.5253,1087.96,87,24.2882,87,1287.89
-2905.41357421875,440000,12.2257,1314.18,88,23.2064,88,1665.54
-2457.206298828125,445000,12.1576,1107.57,89,22.8157,89,1511.43
-2628.25146484375,450000,12.187,1739.17,90,22.6991,90,1649.01
-3283.34619140625,455000,12.932,985.23,91,24.1364,91,1507.28
-3283.571044921875,460000,12.4323,1958.46,92,24.4184,92,1307.08
-3033.53369140625,465000,11.9687,1611.41,93,24.3244,93,1560.61
-3506.2958984375,470000,11.9892,2467.64,94,24.2941,94,1254.55
-3075.358154296875,475000,12.194,1211.22,95,23.7652,95,1475.46
-3971.45751953125,480000,13.0991,19.79,96,25.7744,96,446.59
-3508.4658203125,485000,13.0093,1739.19,97,24.2765,97,1463.89
-4191.65869140625,490000,12.3428,1562.09,98,26.5736,98,1014.44
-3842.31005859375,495000,12.0641,1648.15,99,24.0198,99,751.78
-3874.33447265625,500000,12.8133,2929.22,100,24.3349,100,1212.55
-3792.629638671875,505000,11.4665,1515.83,101,24.1343,101,916.2
-3853.692138671875,510000,11.0832,1579.03,102,23.4264,102,1260.02
-4159.1572265625,515000,12.1716,869.63,103,24.2577,103,934.26
-4140.86767578125,520000,12.2375,1511.44,104,24.7106,104,1433.15
-3955.0703125,525000,11.3647,1437.6,105,24.1292,105,1143.56
-3339.3466796875,530000,11.1067,1956.73,106,23.7782,106,1413.67
-4678.15087890625,535000,12.8327,1641.22,107,25.9495,107,1148.14
-3937.996337890625,540000,11.5827,1553.09,108,23.8232,108,1345.0
-3959.19677734375,545000,12.0201,429.83,109,24.6181,109,803.49
-3780.5400390625,550000,14.0233,1440.78,110,24.1577,110,1517.87
-4247.00244140625,555000,13.2635,1585.92,111,25.2765,111,1318.36
-3939.73974609375,560000,12.1791,1444.1,112,23.2641,112,1415.55
-3996.6103515625,565000,12.2874,1758.6,113,24.7562,113,1243.08
-4031.318603515625,570000,12.1766,1851.4,114,24.2507,114,1222.49
-4525.8447265625,575000,15.8881,77.17,115,24.4237,115,384.49
-4941.3193359375,580000,12.6622,791.92,116,26.8494,116,991.7
-4197.9892578125,585000,11.8067,1485.46,117,24.4089,117,1231.72
-4443.998046875,590000,12.6528,1149.81,118,25.4503,118,945.26
-3726.564208984375,595000,12.7881,1500.94,119,25.0009,119,1339.38
-4018.396728515625,600000,12.6268,1641.15,120,24.6984,120,1489.94
-3611.85888671875,605000,12.7798,1622.88,121,24.9425,121,1363.78
-4083.850830078125,610000,12.3826,1138.07,122,24.5974,122,1064.32
-4558.43994140625,615000,12.7055,1026.23,123,26.8638,123,1003.96
-3674.407958984375,620000,12.3398,1393.09,124,24.5381,124,1608.96
-4658.60546875,625000,15.4577,1584.63,125,24.3883,125,1402.79
-4464.8037109375,630000,12.2251,1137.64,126,25.7671,126,1131.72
-4821.34326171875,635000,12.9595,1970.17,127,24.9843,127,1303.7
-4744.36279296875,640000,12.749,1202.35,128,25.0187,128,1215.06
-5001.4580078125,645000,12.9486,1344.94,129,26.3806,129,1232.45
-5419.5673828125,650000,15.2261,1334.44,130,24.9054,130,1234.79
-4551.3037109375,655000,11.7443,1839.76,131,24.0464,131,1490.32
-4919.10302734375,660000,12.3795,2191.72,132,26.5648,132,1474.98
-4411.03662109375,665000,11.8245,1755.9,133,24.2414,133,1382.51
-4686.63330078125,670000,12.5264,1946.69,134,25.7389,134,1373.19
-4867.712890625,675000,12.3189,1336.8,135,25.5011,135,1305.71
-5092.0185546875,680000,11.1077,1729.64,136,24.741,136,1415.89
-4207.517578125,685000,12.2814,1829.35,137,23.3352,137,1682.12
-6223.9736328125,690000,19.34,1178.26,138,24.9123,138,1140.91
-5076.61279296875,695000,12.5257,1292.92,139,25.4898,139,1138.56
-5342.45166015625,700000,12.1,1567.36,140,24.6676,140,1244.43
-6513.6796875,705000,12.5374,1272.7,141,25.4198,141,1162.11
-5920.0146484375,710000,12.1689,1207.52,142,25.9444,142,1212.06
-6018.5068359375,715000,12.5378,1220.11,143,27.1499,143,1201.14
-5041.6337890625,720000,12.3974,1489.91,144,23.8379,144,1201.86
-5769.958984375,725000,12.9629,1603.0,145,25.6662,145,1251.04
-5869.9189453125,730000,12.2487,1703.08,146,24.6979,146,1177.58
-5552.31640625,735000,14.9018,2680.41,147,23.8382,147,1602.19
-5428.27587890625,740000,11.5621,1480.71,148,24.0632,148,1533.33
-5499.10791015625,745000,11.1709,2387.67,149,23.1511,149,1313.23
-5410.49755859375,750000,13.4356,1174.46,150,24.0011,150,1024.73
-5687.9140625,755000,11.5568,427.01,151,23.6652,151,912.79
-6536.92919921875,760000,17.2174,13.62,152,23.3722,152,704.81
-5479.59033203125,765000,13.4449,3262.55,153,23.3479,153,1789.57
-6538.8994140625,770000,11.9336,1473.7,154,23.6211,154,1099.12
-7032.81201171875,775000,14.8368,1968.77,155,24.0142,155,1494.74
-5662.06982421875,780000,13.7687,2061.81,156,22.7043,156,2044.85
-6558.7255859375,785000,15.2638,1724.26,157,24.8166,157,1399.11
-6351.11962890625,790000,12.753,187.24,158,23.4318,158,901.36
-6695.8505859375,795000,13.8131,2377.57,159,24.6194,159,1585.68
-6326.15673828125,800000,11.9631,1358.89,160,23.5899,160,1114.61
-6963.2666015625,805000,11.5964,3004.43,161,24.5456,161,1362.92
-6920.21826171875,810000,11.8216,1673.96,162,24.0535,162,1482.39
-7558.005859375,815000,11.8965,1675.1,163,24.23,163,1320.45
-6127.40380859375,820000,12.5131,1685.79,164,23.6082,164,1981.37
-7314.884765625,825000,11.8317,1052.87,165,23.4327,165,1338.01
-6916.3486328125,830000,11.8503,1520.74,166,23.4394,166,1782.21
-6878.2021484375,835000,10.9793,3116.22,167,22.8769,167,2164.53
-5769.72607421875,840000,14.5987,1886.12,168,22.718,168,1795.72
-5232.27734375,845000,11.3904,3137.91,169,21.8813,169,1950.72
-5935.84912109375,850000,18.6535,2767.58,170,22.9418,170,2047.57
-7558.40869140625,855000,11.3348,1505.96,171,24.4451,171,1575.85
-7715.06640625,860000,11.8398,1598.04,172,25.3828,172,1212.86
-8852.62890625,865000,14.1275,730.46,173,25.7051,173,1161.38
-5416.76611328125,870000,15.805,2976.58,174,22.8949,174,1402.15
-6132.9013671875,875000,14.433,1566.84,175,22.7336,175,1626.21
-5745.125,880000,11.702,2594.51,176,21.3886,176,1709.63
-8110.36279296875,885000,12.0044,1037.87,177,24.6131,177,1473.06
-8619.46875,890000,13.8609,798.08,178,24.2538,178,643.52
-7788.24462890625,895000,17.655,1746.34,179,24.0004,179,1387.81
-6012.2548828125,900000,14.9935,1356.08,180,22.2699,180,1549.19
-8189.16552734375,905000,11.2953,1302.0,181,24.367,181,1541.98
-8202.6201171875,910000,11.7705,1459.41,182,24.1395,182,997.42
-7818.423828125,915000,12.0046,1320.95,183,23.3275,183,1461.65
-8627.123046875,920000,11.1783,939.2,184,24.0563,184,1010.4
-9265.7822265625,925000,11.7343,934.49,185,24.8928,185,929.37
-7477.318359375,930000,19.628,1987.87,186,23.2689,186,1648.9
-8537.6015625,935000,12.7317,1341.01,187,23.0027,187,1284.29
-6198.2001953125,940000,11.9051,2502.44,188,23.209,188,1552.16
-5761.1103515625,945000,11.2992,1877.06,189,21.6894,189,1208.07
-6301.8408203125,950000,17.5689,2656.97,190,22.3939,190,1512.77
-8248.6337890625,955000,11.3105,1551.73,191,23.6512,191,1246.88
-8500.990234375,960000,11.4772,752.68,192,24.7364,192,1133.05
-7773.40087890625,965000,11.1189,1245.87,193,22.9175,193,1803.08
-9721.0537109375,970000,11.0946,876.14,194,24.3046,194,851.79
-8813.8740234375,975000,10.4006,3033.66,195,23.1197,195,1083.52
-10242.0732421875,980000,27.1442,1307.65,196,25.0824,196,817.97
-9686.791015625,985000,23.1969,1448.96,197,25.4997,197,831.61
-9299.69921875,990000,11.1069,963.17,198,23.8283,198,1149.47
-8726.759765625,995000,18.4896,1273.52,199,22.5768,199,1159.34
