Running Update Time,Running Reverse KL,Running Forward KL,Reward Loss,Real Det Return,Running Env Steps,Real Sto Return,Itration
78,15.9,22.7191,-777.9965209960938,3167.38,390000,3157.43,78
79,15.5102,23.6237,-939.3023071289062,3200.18,395000,2502.72,79
80,16.1945,22.9438,-811.3599243164062,3167.21,400000,3161.58,80
81,15.7777,23.3397,-926.2555541992188,3214.63,405000,2943.5,81
82,15.6683,23.2067,-885.2676391601562,3207.4,410000,2865.57,82
83,16.0249,23.6826,-937.3720703125,3228.33,415000,2953.84,83
84,15.3925,23.4355,-970.6610717773438,3210.6,420000,2678.75,84
85,15.5968,22.9178,-928.5521850585938,3184.26,425000,3194.83,85
86,14.5057,23.3557,-938.6098022460938,3189.8,430000,2455.37,86
87,15.9635,22.841,-934.8336181640625,3181.84,435000,2723.49,87
88,15.9068,23.2537,-971.1648559570312,3182.79,440000,2948.55,88
89,14.744,23.0564,-1060.187255859375,3225.05,445000,2389.22,89
90,15.2742,23.6587,-1067.9266357421875,3172.63,450000,2676.19,90
91,14.7927,23.0387,-1000.7858276367188,3180.74,455000,2476.13,91
92,14.8241,22.7384,-1076.8223876953125,3194.58,460000,2568.66,92
93,14.9179,23.2133,-1050.2479248046875,3206.21,465000,2608.23,93
94,15.0524,23.1919,-1118.0455322265625,3201.81,470000,1955.25,94
95,15.3633,23.0464,-1089.5858154296875,3183.03,475000,2955.45,95
96,14.9875,22.5691,-1066.7259521484375,3175.8,480000,2179.66,96
97,15.2323,23.0755,-1113.184326171875,1823.16,485000,2590.43,97
98,15.2787,22.4841,-1177.2547607421875,3180.91,490000,2877.99,98
99,14.9226,22.76,-1153.7955322265625,3166.76,495000,2567.61,99
100,15.2711,23.0308,-1186.543212890625,3191.52,500000,2930.54,100
101,15.17,23.3152,-1264.022705078125,1395.2,505000,2019.32,101
102,15.6866,23.0491,-1279.6531982421875,3203.55,510000,2860.1,102
103,15.4315,23.0993,-1273.4957275390625,3189.19,515000,2684.88,103
104,15.6041,23.1734,-1311.2139892578125,3205.88,520000,2416.63,104
105,15.0778,23.7954,-1314.6475830078125,3105.43,525000,2533.15,105
106,14.8178,23.2332,-1284.82568359375,3197.93,530000,2539.93,106
107,14.881,23.8137,-1390.9759521484375,3211.24,535000,2561.53,107
108,14.6116,23.3062,-1321.8863525390625,3221.05,540000,2112.16,108
109,15.6895,23.088,-1321.681396484375,3169.2,545000,2611.03,109
110,15.5057,22.4995,-1319.3927001953125,3190.57,550000,2720.23,110
111,15.8955,22.9614,-1404.5511474609375,3194.15,555000,3154.57,111
112,14.8904,23.1,-1387.6663818359375,3182.96,560000,2622.55,112
113,15.7434,22.8931,-1349.8739013671875,3179.27,565000,2853.7,113
114,14.485,23.1316,-1353.0445556640625,3203.44,570000,2447.68,114
115,13.6965,22.3191,-1313.5509033203125,3212.43,575000,2148.18,115
116,14.9486,22.6757,-1395.935791015625,3149.9,580000,2743.35,116
117,15.1866,22.9563,-1393.734619140625,3159.6,585000,2513.14,117
118,15.1962,22.4318,-1398.0325927734375,3170.76,590000,2892.55,118
119,15.8521,22.8878,-1451.3636474609375,3213.01,595000,2771.51,119
120,13.5012,23.2221,-1446.572509765625,3175.19,600000,2613.9,120
121,13.6335,22.8557,-1430.43115234375,3205.14,605000,2044.53,121
122,13.1401,22.9755,-1476.9959716796875,3175.43,610000,2528.56,122
123,16.5066,22.9247,-1619.35693359375,3177.35,615000,3117.76,123
124,13.2737,22.9959,-1528.2794189453125,3189.55,620000,1966.16,124
125,14.364,23.1106,-1632.8236083984375,3113.12,625000,2796.73,125
126,13.7431,23.7015,-1636.0218505859375,3146.85,630000,2416.07,126
127,14.347,22.7831,-1653.9332275390625,3194.8,635000,2949.15,127
128,13.4503,23.7874,-1647.0628662109375,3184.11,640000,2181.62,128
129,15.3477,22.7577,-1662.4681396484375,3204.6,645000,2725.77,129
130,15.4058,22.8299,-1655.4207763671875,3166.96,650000,3048.07,130
131,15.5719,23.251,-1651.5701904296875,3171.41,655000,2267.07,131
132,14.7524,22.7416,-1629.7493896484375,3173.38,660000,2864.87,132
133,13.8413,23.297,-1659.5826416015625,3187.97,665000,2017.88,133
134,15.1249,23.3376,-1769.0418701171875,3213.77,670000,2742.32,134
135,14.0413,23.232,-1735.9371337890625,3222.41,675000,2352.95,135
136,13.8313,22.7541,-1683.2025146484375,3162.87,680000,2329.2,136
137,13.7786,22.668,-1678.6729736328125,3187.74,685000,2818.12,137
138,14.8621,22.6856,-1717.4940185546875,3165.98,690000,2900.86,138
139,14.8353,22.5448,-1768.9493408203125,3163.76,695000,2865.16,139
140,14.2605,22.5235,-1758.597412109375,3189.22,700000,2292.75,140
141,14.1319,23.5915,-1862.91796875,3151.18,705000,2557.31,141
142,15.7628,22.9957,-1898.817138671875,3188.84,710000,3091.5,142
143,14.469,22.7593,-1849.3223876953125,3187.43,715000,2845.13,143
144,15.0601,23.189,-1832.400634765625,3177.01,720000,2736.35,144
145,14.6602,23.0239,-1869.717041015625,3188.05,725000,2583.05,145
146,15.4546,23.6595,-1818.4876708984375,2836.35,730000,2000.25,146
147,14.4066,23.2738,-1796.5804443359375,3118.73,735000,2178.3,147
148,15.7036,22.6685,-1844.3009033203125,3162.75,740000,3157.97,148
149,14.4576,23.2131,-1968.5716552734375,3129.11,745000,2691.23,149
150,15.0512,23.9866,-1814.5767822265625,3056.83,750000,2620.75,150
151,13.6531,23.2735,-1968.8739013671875,3042.48,755000,2201.7,151
152,15.3576,22.6532,-1999.068115234375,3186.53,760000,2332.14,152
153,15.6335,23.2026,-2006.593017578125,3212.57,765000,2511.9,153
154,14.4205,22.8819,-2086.6494140625,3172.65,770000,3011.33,154
155,14.9718,22.6768,-2078.5771484375,3165.47,775000,2808.22,155
156,15.244,22.815,-1996.7762451171875,3161.4,780000,3066.97,156
157,14.1999,23.5637,-2110.76708984375,3220.09,785000,2403.77,157
158,14.062,23.03,-2102.586669921875,3205.2,790000,2726.78,158
159,13.8053,23.9066,-2170.020263671875,3175.45,795000,2411.06,159
160,15.547,22.9149,-2116.736572265625,3183.71,800000,3004.93,160
161,15.5667,23.1196,-2291.910888671875,3185.43,805000,2884.45,161
162,14.4673,23.0393,-2238.255859375,3174.15,810000,2901.87,162
163,14.3918,23.0066,-2161.4736328125,3160.4,815000,2757.8,163
164,13.6391,23.0771,-2341.748046875,3165.06,820000,2109.95,164
165,16.309,23.2368,-2330.6884765625,3195.66,825000,2905.52,165
166,13.1702,23.1949,-2400.719970703125,3183.32,830000,2322.59,166
167,14.6349,23.0072,-2340.098388671875,3201.31,835000,2533.09,167
168,13.4454,22.9399,-2261.783935546875,3192.83,840000,2473.91,168
169,15.3774,22.7971,-2358.008056640625,3166.33,845000,2938.43,169
170,15.3712,23.4024,-2350.49560546875,3183.41,850000,3153.81,170
171,16.3064,23.3575,-2505.140380859375,3202.96,855000,3103.53,171
172,15.4087,23.1909,-2430.27783203125,3178.66,860000,3028.52,172
173,16.1218,23.3479,-2559.8037109375,3220.45,865000,3045.68,173
174,15.5302,23.5465,-2456.26708984375,3206.44,870000,2944.62,174
175,15.1372,22.7181,-2442.06005859375,3205.71,875000,2806.46,175
176,15.1866,23.0163,-2514.965576171875,3207.87,880000,2964.19,176
177,14.2888,23.1932,-2485.037353515625,3183.16,885000,2502.1,177
178,16.1028,23.0159,-2583.150146484375,3184.35,890000,3097.65,178
179,15.1217,23.0234,-2614.697509765625,3182.12,895000,3109.62,179
180,15.1482,22.915,-2612.0400390625,3190.66,900000,2784.14,180
181,13.7841,22.931,-2729.38232421875,3209.16,905000,2661.7,181
182,16.4936,23.2694,-2665.969970703125,3199.75,910000,2954.46,182
183,14.8653,22.7571,-2670.88232421875,3214.47,915000,3146.97,183
184,15.7113,22.6795,-2579.50048828125,3181.95,920000,3181.83,184
185,14.8303,23.0073,-2716.22802734375,3227.92,925000,2503.37,185
186,15.902,23.0513,-2710.365966796875,3183.31,930000,2933.26,186
187,16.1792,23.0358,-2815.151611328125,3184.94,935000,3235.02,187
188,15.7278,23.061,-2853.316162109375,3225.25,940000,2797.02,188
189,15.4231,22.974,-2924.966064453125,3226.9,945000,2866.61,189
190,15.923,23.0603,-2822.069580078125,3194.89,950000,3121.53,190
191,16.3332,23.0416,-2704.902587890625,3181.7,955000,2837.19,191
192,15.4421,23.0985,-2833.545166015625,3184.54,960000,2776.44,192
193,15.7132,23.352,-2793.404296875,3173.17,965000,2906.63,193
194,15.5061,23.2399,-2908.1337890625,3182.1,970000,3229.34,194
195,15.5481,23.2288,-2929.383544921875,3180.75,975000,3135.77,195
196,16.0964,23.3708,-3013.484130859375,3198.84,980000,3065.39,196
197,16.5072,23.7078,-3139.715576171875,3209.32,985000,3202.34,197
198,14.6225,22.813,-3023.3935546875,3228.44,990000,3272.58,198
199,15.1814,23.2801,-3034.7666015625,3177.86,995000,3175.45,199
