Real Det Return,Running Update Time,Running Forward KL,Running Reverse KL,Real Sto Return,Running Env Steps,Itration,Reward Loss
252.4,0,31.2665,14.4637,263.27,0,0,321.9262390136719
287.78,1,30.6092,17.5103,285.58,5000,1,336.57733154296875
267.92,2,30.9539,22.787,271.86,10000,2,141.15423583984375
307.47,3,30.5373,20.9319,303.71,15000,3,211.7234344482422
334.08,4,30.7298,17.2359,328.47,20000,4,182.92127990722656
320.62,5,30.3728,17.2854,316.47,25000,5,136.32839965820312
324.49,6,29.2741,21.3888,315.01,30000,6,71.68386840820312
332.39,7,31.4002,26.1466,328.84,35000,7,-84.4249267578125
328.14,8,31.479,19.5512,327.56,40000,8,-200.52096557617188
319.3,9,30.6624,21.1305,322.67,45000,9,-231.8368377685547
313.67,10,29.9695,24.2337,326.58,50000,10,-336.59869384765625
391.49,11,29.6558,25.2518,388.63,55000,11,-395.52081298828125
370.87,12,28.8071,31.0503,371.68,60000,12,-450.2820739746094
370.01,13,29.0065,24.5754,356.14,65000,13,-498.3318786621094
472.9,14,27.0153,20.4123,549.93,70000,14,-485.4830017089844
888.36,15,26.8128,20.914,849.37,75000,15,-532.9635620117188
2491.84,16,24.051,13.6973,2642.61,80000,16,-106.47493743896484
2507.97,17,25.0284,15.95,2058.69,85000,17,-110.67047882080078
1288.21,18,24.6153,20.2425,937.68,90000,18,-630.20068359375
825.82,19,23.8672,12.9812,1326.93,95000,19,-124.66548919677734
1750.14,20,24.9647,23.5437,958.41,100000,20,-506.0113220214844
901.51,21,25.5803,20.4094,853.98,105000,21,-512.4974365234375
2504.06,22,23.9197,15.4212,1527.94,110000,22,-579.9619140625
2806.64,23,22.8408,14.098,2282.53,115000,23,-219.6107177734375
3243.88,24,22.8817,15.5956,2271.47,120000,24,-464.8336486816406
3167.94,25,22.8458,14.8676,2067.79,125000,25,-398.578369140625
1357.24,26,21.5962,13.6571,1920.65,130000,26,-403.7046203613281
3071.76,27,23.1059,22.2477,1246.18,135000,27,-717.8355102539062
2138.92,28,24.1525,21.748,1073.49,140000,28,-914.2752685546875
3224.83,29,21.2408,19.991,2647.21,145000,29,-420.7904357910156
3046.48,30,24.7561,42.8766,1046.14,150000,30,-981.1273193359375
3072.34,31,21.4981,18.1389,2461.94,155000,31,-306.8329162597656
3321.94,32,21.9215,15.971,3156.25,160000,32,-189.65682983398438
3303.42,33,21.1142,16.8852,2689.98,165000,33,-284.8345642089844
3442.55,34,21.1491,13.5281,3395.95,170000,34,-165.4525604248047
3283.27,35,20.4904,12.8622,3199.53,175000,35,-194.4018096923828
3405.56,36,21.4482,13.8551,3368.08,180000,36,-111.01509857177734
3466.49,37,21.8363,18.1218,1876.76,185000,37,-783.3875732421875
2200.55,38,24.532,22.8111,1161.02,190000,38,-1116.725830078125
3420.85,39,21.1478,14.0605,2756.77,195000,39,-424.94976806640625
3399.21,40,20.8073,13.2461,3353.49,200000,40,-133.92567443847656
3435.24,41,20.3664,12.9593,3343.31,205000,41,-129.87301635742188
2223.49,42,22.7077,23.4083,1384.73,210000,42,-1001.5354614257812
3478.99,43,21.105,14.7445,2854.04,215000,43,-390.9504089355469
3507.3,44,21.3949,19.2814,1710.8,220000,44,-906.6671752929688
3454.2,45,20.5354,16.4103,2710.07,225000,45,-606.4937133789062
3487.47,46,19.94,13.5586,2725.85,230000,46,-321.8834228515625
3421.78,47,20.2181,13.0431,3047.09,235000,47,-131.2363739013672
3487.22,48,21.4236,17.4895,2678.59,240000,48,-591.052978515625
3520.12,49,20.8805,12.9893,3273.46,245000,49,-186.12841796875
3416.28,50,20.1066,13.6043,3030.7,250000,50,-437.0759582519531
3396.37,51,21.3195,13.4233,3405.39,255000,51,-115.18601989746094
3539.06,52,21.2147,13.4957,2967.58,260000,52,-226.3013458251953
3484.44,53,19.645,13.6387,3230.06,265000,53,-301.6759948730469
3433.89,54,20.7662,13.0116,3256.79,270000,54,-173.86480712890625
3487.79,55,19.6778,12.4674,3464.93,275000,55,-138.39605712890625
3412.42,56,19.283,13.1655,2818.57,280000,56,-344.20654296875
3452.25,57,19.9508,12.533,3144.55,285000,57,-355.82122802734375
3483.39,58,21.1219,19.572,1907.29,290000,58,-816.65625
3445.81,59,18.0947,11.6761,3199.56,295000,59,-152.51734924316406
3510.39,60,20.2134,15.709,2269.78,300000,60,-600.1912841796875
3474.61,61,20.6812,14.1542,3069.44,305000,61,-397.853759765625
3489.45,62,18.7598,12.5903,2834.88,310000,62,-299.25457763671875
3422.87,63,19.8287,13.2071,2992.62,315000,63,-379.32611083984375
3475.23,64,19.783,12.1222,3449.23,320000,64,-193.601318359375
3497.05,65,20.6265,17.024,2833.44,325000,65,-689.2232666015625
3482.15,66,19.3046,11.8281,3311.8,330000,66,-182.69973754882812
3498.73,67,20.0826,12.6159,3375.65,335000,67,-224.43618774414062
3446.6,68,19.4465,14.0221,2977.74,340000,68,-607.3870849609375
3523.47,69,19.6658,14.9963,2713.07,345000,69,-721.8349609375
3528.25,70,19.5143,11.6141,3279.26,350000,70,-164.31642150878906
3401.52,71,18.8076,12.076,3358.5,355000,71,-222.8509979248047
3529.82,72,18.9883,12.1695,3374.2,360000,72,-120.63937377929688
3509.21,73,18.3461,12.1149,3403.44,365000,73,-346.83660888671875
3504.52,74,19.4448,12.0522,3478.61,370000,74,-342.8450622558594
3519.49,75,18.8922,11.4703,3496.49,375000,75,-224.11721801757812
3431.76,76,17.5547,10.8969,3417.41,380000,76,-197.78109741210938
3556.09,77,19.6365,11.8149,3512.42,385000,77,-240.6199493408203
3477.54,78,18.8334,11.2879,3449.04,390000,78,-239.15589904785156
3452.49,79,18.657,12.3218,2706.63,395000,79,-447.8891906738281
3435.48,80,18.4191,11.4665,3403.32,400000,80,-220.7760467529297
3443.57,81,18.7871,11.6362,3392.73,405000,81,-258.6274108886719
3453.5,82,19.5135,12.9703,3225.62,410000,82,-667.3728637695312
3546.95,83,19.3555,11.7376,3340.67,415000,83,-199.0513458251953
3343.97,84,20.6943,17.0995,1787.87,420000,84,-1128.3250732421875
3480.2,85,18.5617,11.5663,3468.87,425000,85,-200.06716918945312
3511.86,86,19.7212,12.9708,3504.27,430000,86,-242.71237182617188
3443.75,87,18.5039,11.7116,3410.86,435000,87,-311.92449951171875
3403.12,88,17.7231,11.2232,3384.55,440000,88,-271.2493896484375
3485.77,89,18.2791,11.3268,3471.8,445000,89,-252.72805786132812
3477.87,90,17.5642,10.2294,3177.42,450000,90,-259.5581970214844
3461.19,91,17.8939,11.4615,3428.03,455000,91,-250.54022216796875
3425.92,92,19.0741,12.6557,3428.33,460000,92,-251.55755615234375
3521.04,93,18.2332,11.2495,3482.66,465000,93,-280.14202880859375
3504.2,94,19.1165,12.0193,3476.9,470000,94,-272.2100830078125
3453.61,95,18.9339,11.7762,3445.04,475000,95,-394.2762756347656
3485.79,96,18.0945,10.3394,3262.22,480000,96,-452.2900695800781
3481.91,97,18.8154,11.701,3429.85,485000,97,-385.6554260253906
3476.32,98,18.8982,14.1206,3345.41,490000,98,-397.7187194824219
3513.35,99,18.8819,11.0885,3443.02,495000,99,-375.0401916503906
3481.72,100,19.3205,11.2713,3246.63,500000,100,-570.4156494140625
3551.31,101,19.3485,10.4472,2854.43,505000,101,-781.9714965820312
3547.03,102,19.9823,14.4913,1915.97,510000,102,-846.6107177734375
3551.15,103,18.6134,11.2104,3268.67,515000,103,-425.8721923828125
3518.88,104,19.2812,12.6113,2806.04,520000,104,-593.21630859375
