Reward Loss,Running Env Steps,Running Update Time,Real Sto Return,Real Det Return,Itration,Running Forward KL,Running Reverse KL
910.64794921875,0,0,312.89,328.22,0,49.4673,13.4415
724.979736328125,5000,1,402.74,398.31,1,48.8124,14.576
629.7213745117188,10000,2,395.1,366.12,2,49.1829,13.3814
655.7617797851562,15000,3,401.16,388.55,3,49.1385,14.8544
482.4754638671875,20000,4,393.44,443.87,4,48.9466,13.3683
563.8042602539062,25000,5,398.36,412.87,5,49.323,14.1743
424.1337585449219,30000,6,407.49,396.87,6,48.7116,12.0921
451.723876953125,35000,7,434.92,395.26,7,48.9202,19.578
668.962890625,40000,8,448.65,413.45,8,49.3078,20.9109
505.7353210449219,45000,9,435.98,409.51,9,49.1026,16.7303
414.0078430175781,50000,10,488.63,497.74,10,48.5049,18.4841
244.4458770751953,55000,11,428.14,443.54,11,48.6904,13.3228
209.68984985351562,60000,12,524.51,591.81,12,48.3019,18.1675
158.6271514892578,65000,13,524.44,621.12,13,48.4308,25.416
38.405067443847656,70000,14,626.91,883.01,14,47.372,24.2057
-23.024513244628906,75000,15,802.94,1272.31,15,46.4209,20.4938
52.83170700073242,80000,16,650.8,567.69,16,47.7733,26.8213
12.72023868560791,85000,17,699.9,655.54,17,47.5833,26.5903
-193.964111328125,90000,18,998.75,660.92,18,45.9246,21.5969
-207.11138916015625,95000,19,947.89,713.5,19,46.4954,16.2983
-384.8047790527344,100000,20,1473.07,1370.62,20,46.3441,12.0102
-258.3407287597656,105000,21,1934.97,1583.61,21,47.3552,14.5181
-460.7440185546875,110000,22,1194.49,1354.72,22,45.7699,12.844
-325.352783203125,115000,23,1511.02,862.69,23,45.2885,13.1442
-393.1258239746094,120000,24,2386.69,2839.54,24,44.2831,14.1473
-432.2222595214844,125000,25,1193.69,808.21,25,45.306,27.7937
-495.1392822265625,130000,26,1521.84,2128.51,26,44.4623,16.4706
-548.7740478515625,135000,27,2808.96,2312.28,27,45.0046,14.4577
-549.6998291015625,140000,28,2538.4,2814.01,28,44.3233,14.2453
-629.1558227539062,145000,29,2933.2,3077.37,29,44.9213,15.5735
-649.2169189453125,150000,30,3032.2,3111.91,30,44.8847,15.2564
-710.9900512695312,155000,31,3056.66,3148.13,31,44.6632,16.1921
-717.3018188476562,160000,32,2984.49,3127.22,32,44.6145,14.9023
-749.6768798828125,165000,33,3129.34,2951.12,33,44.5761,16.1999
-772.964599609375,170000,34,1911.98,2046.85,34,43.864,15.4694
-780.2709350585938,175000,35,2262.65,2185.83,35,43.7117,14.7601
-771.1176147460938,180000,36,3191.59,2473.14,36,43.8224,16.7909
-878.0338745117188,185000,37,3368.83,3373.92,37,44.9664,16.5375
-896.158203125,190000,38,3433.72,3366.44,38,44.0986,16.118
-847.6929321289062,195000,39,3359.13,3617.99,39,43.9574,16.0778
-940.5861206054688,200000,40,3465.22,3523.93,40,43.8712,16.5547
-866.8986206054688,205000,41,3492.61,3430.66,41,44.2203,18.2841
-951.4135131835938,210000,42,3517.64,3587.02,42,44.2485,17.7631
-938.9976196289062,215000,43,3459.24,3396.58,43,44.8598,18.3217
-962.6353149414062,220000,44,3573.4,3515.17,44,44.3667,18.5366
-1001.6853637695312,225000,45,3577.63,3690.76,45,44.0967,17.2147
-1023.3444213867188,230000,46,3538.68,3486.1,46,44.4759,18.3303
-1048.9229736328125,235000,47,3507.12,3490.6,47,44.1309,16.6011
-1104.273681640625,240000,48,3560.26,3512.8,48,43.8637,16.0255
-1066.8486328125,245000,49,3548.11,3477.72,49,44.3765,19.0395
-1155.005615234375,250000,50,3564.07,3592.64,50,43.9517,16.1513
-1144.466064453125,255000,51,3611.03,3541.86,51,43.6086,17.0527
-1266.7459716796875,260000,52,3614.05,3622.71,52,43.3278,15.5966
-1173.3538818359375,265000,53,3660.84,3575.96,53,43.489,17.7069
-1244.9605712890625,270000,54,3702.98,3656.61,54,43.6958,16.2222
-1296.6236572265625,275000,55,3563.3,3536.12,55,44.1923,17.1639
-1301.628173828125,280000,56,3517.64,3673.67,56,42.9407,16.8907
-1272.1556396484375,285000,57,3624.63,3585.47,57,43.1009,16.3559
-1300.527587890625,290000,58,3822.97,3831.0,58,43.1308,16.1574
-1365.072265625,295000,59,3702.63,3610.39,59,43.4136,16.6115
-1343.08642578125,300000,60,3659.57,3550.67,60,42.9943,16.2323
-1397.940673828125,305000,61,3729.71,3658.1,61,43.2327,15.9967
-1387.3408203125,310000,62,3741.4,3653.58,62,43.1128,16.4324
-1403.9093017578125,315000,63,3783.53,3648.37,63,43.4171,16.3546
-1427.7103271484375,320000,64,3554.87,3621.21,64,42.9583,15.548
-1453.3077392578125,325000,65,3717.38,3738.86,65,42.412,15.5032
-1480.994384765625,330000,66,3766.5,3680.44,66,42.7491,15.653
-1513.6531982421875,335000,67,3655.52,3655.86,67,42.4176,14.8271
-1544.5380859375,340000,68,3746.21,3738.81,68,42.4622,14.6486
-1625.4654541015625,345000,69,3707.07,3664.84,69,42.797,16.0089
-1639.793212890625,350000,70,3713.64,3665.02,70,42.7901,15.4885
-1637.81396484375,355000,71,3670.3,3779.41,71,42.3792,15.6045
-1577.1265869140625,360000,72,3805.7,3822.26,72,42.5411,16.21
-1621.2493896484375,365000,73,3845.76,3774.69,73,42.2777,15.8665
-1714.1824951171875,370000,74,3774.8,3676.74,74,42.9671,15.9292
-1722.662109375,375000,75,3803.58,3745.49,75,42.5958,15.7568
-1695.40771484375,380000,76,3825.22,3823.26,76,42.4246,15.6555
-1783.5413818359375,385000,77,3790.05,3805.41,77,42.615,15.2736
-1723.468017578125,390000,78,3884.71,3844.26,78,42.4504,16.5709
-1761.4417724609375,395000,79,3905.86,3885.68,79,42.3606,15.5776
-1724.4866943359375,400000,80,3872.22,3892.16,80,42.1845,15.7331
-1810.7694091796875,405000,81,3896.87,3832.44,81,41.9557,14.5007
-1865.6314697265625,410000,82,3866.37,3850.05,82,42.3443,15.3401
-1837.564208984375,415000,83,3956.07,3984.0,83,41.475,14.7974
-1847.239990234375,420000,84,3915.9,3912.85,84,41.8881,14.9913
-1872.5252685546875,425000,85,3943.67,3943.77,85,41.9049,15.9224
-1948.4569091796875,430000,86,3933.52,4022.47,86,42.6158,15.3487
-1942.5179443359375,435000,87,3885.11,3854.08,87,42.4742,16.3304
-1883.8375244140625,440000,88,3803.51,4012.05,88,42.0334,16.7809
-1959.7623291015625,445000,89,3784.79,3962.23,89,41.3734,15.196
-1948.0240478515625,450000,90,3978.85,3921.84,90,41.6901,15.1044
-1986.720703125,455000,91,3989.77,3946.76,91,42.2527,16.5509
-2068.615234375,460000,92,3981.24,3987.88,92,41.7045,14.7339
-1980.423095703125,465000,93,3968.09,3940.91,93,41.5023,16.5814
-1999.1610107421875,470000,94,4066.18,4022.93,94,41.5078,16.4237
-2108.292724609375,475000,95,3961.27,3941.51,95,41.8267,15.5037
-2047.207763671875,480000,96,3915.53,4059.17,96,41.4136,16.1638
-2173.3291015625,485000,97,3863.49,3913.49,97,42.0639,15.3554
-2155.338134765625,490000,98,3948.45,3873.14,98,41.7133,15.7239
-2187.3505859375,495000,99,3975.52,4008.88,99,41.9318,16.1092
-2204.81884765625,500000,100,3940.37,3936.15,100,41.6514,15.4407
-2154.72705078125,505000,101,3905.25,4049.06,101,41.7742,15.869
-2153.5537109375,510000,102,3990.97,4094.97,102,40.8381,13.9646
-2163.45654296875,515000,103,4029.46,4128.72,103,40.7557,15.3668
-2263.626953125,520000,104,4078.13,4061.31,104,41.3051,15.2016
-2256.301513671875,525000,105,4046.3,4066.52,105,40.8542,15.8679
-2347.918701171875,530000,106,3893.57,4158.33,106,40.8323,14.5762
-2212.57666015625,535000,107,3839.94,4149.14,107,40.5556,15.8064
-2411.005859375,540000,108,4097.89,4093.09,108,41.4658,16.41
-2475.529541015625,545000,109,3975.98,4129.7,109,41.6182,14.7246
-2493.628173828125,550000,110,3731.77,4125.22,110,40.9046,15.5797
-2346.481689453125,555000,111,3935.66,4056.91,111,41.0526,15.2901
-2493.402587890625,560000,112,4122.94,4070.93,112,41.6546,15.5959
-2445.845703125,565000,113,4063.28,3988.64,113,40.7122,15.348
-2490.3701171875,570000,114,4166.29,4091.71,114,40.9963,15.1667
-2532.39892578125,575000,115,3984.75,4051.11,115,41.2544,16.4237
-2540.53125,580000,116,4044.56,4148.14,116,41.0631,15.281
-2457.02783203125,585000,117,3853.58,4217.45,117,41.1813,15.4659
-2879.50927734375,590000,118,4013.93,4105.9,118,41.1464,14.7411
-2756.043701171875,595000,119,3965.76,4252.27,119,40.9278,14.1692
-2615.96435546875,600000,120,3901.39,4216.53,120,41.2083,15.3594
-2622.64990234375,605000,121,4141.86,4138.48,121,41.1226,15.8439
-2645.593505859375,610000,122,4058.06,4213.16,122,40.3373,15.502
-2639.62158203125,615000,123,4181.71,4148.91,123,41.1362,15.8758
-2674.06982421875,620000,124,4164.81,4070.44,124,40.8575,15.4942
-2776.44921875,625000,125,4096.91,4017.26,125,41.1218,15.6511
-2756.863525390625,630000,126,4020.62,4157.13,126,40.7954,15.5599
-2795.74951171875,635000,127,4122.91,4049.11,127,41.1324,16.1535
-2811.228271484375,640000,128,4153.41,4120.14,128,40.8728,14.8156
-2838.0947265625,645000,129,4221.32,4226.27,129,40.6172,15.5782
-3094.5966796875,650000,130,3932.57,4084.5,130,41.5591,14.568
-2993.9541015625,655000,131,4212.52,4210.89,131,40.8945,16.7442
-2914.44189453125,660000,132,4197.38,4170.82,132,40.3526,16.3266
-2863.001953125,665000,133,4125.65,4247.13,133,41.0241,15.4809
-3011.673583984375,670000,134,4175.64,4210.11,134,40.6393,15.7778
-2997.3427734375,675000,135,4182.96,4158.51,135,40.6124,16.2377
-2999.092041015625,680000,136,4142.88,4128.0,136,40.3652,14.7219
-3030.835693359375,685000,137,4105.74,4225.1,137,40.7161,15.4919
-3039.6884765625,690000,138,4231.4,4288.55,138,40.6636,16.1328
-3077.1611328125,695000,139,4213.92,4237.94,139,40.5445,15.9655
-3063.98779296875,700000,140,4237.29,4203.01,140,40.6955,15.813
-3148.0966796875,705000,141,4138.44,4232.55,141,40.7492,16.2206
