Running Reverse KL,Running Forward KL,Itration,Real Sto Return,Real Det Return
11.4304,158.4153,0,-186.82,-21.15
12.5549,158.2394,1,63.7,-35.3
11.8913,158.2464,2,97.94,290.83
12.1686,158.3662,3,143.82,789.61
12.5124,157.9234,4,522.47,733.86
13.8411,157.6672,5,973.19,1888.19
13.086,157.3126,6,1456.31,2014.81
18.0967,157.5191,7,2459.8,3268.19
18.3541,157.2419,8,2913.24,3473.41
18.9129,157.3855,9,3276.69,3779.7
18.5402,157.1257,10,3473.59,4060.28
19.2689,157.2675,11,3721.96,4232.11
18.821,157.274,12,3769.25,4290.58
18.2596,157.0258,13,3655.46,4522.49
18.4432,156.8264,14,4150.52,4664.55
17.8378,156.626,15,4314.32,4899.38
18.3048,156.8667,16,4542.03,5153.87
18.5224,156.5615,17,4766.47,5352.75
17.2795,155.857,18,4870.2,5539.55
18.6179,155.9757,19,5240.92,5992.09
18.3703,155.7929,20,5290.57,6075.76
17.7905,155.1149,21,5854.52,6348.2
17.4555,155.1179,22,5927.48,6321.89
17.7254,154.9468,23,6103.74,6581.71
17.6246,154.4809,24,6345.13,6766.96
17.6464,154.1988,25,6206.27,6894.03
17.9279,154.1852,26,6562.52,7045.48
17.7704,152.9789,27,6897.2,7404.25
17.3499,152.6679,28,6943.52,7677.08
17.0349,152.5588,29,6953.62,7506.82
16.7335,152.4212,30,7084.32,7865.04
16.8417,152.6112,31,7448.41,8006.77
17.0511,152.6015,32,7272.44,7694.89
17.3432,151.4601,33,7268.97,8003.71
18.1653,151.6971,34,7660.77,8298.62
17.9592,151.4815,35,7835.06,8368.22
18.072,151.7959,36,7718.06,8129.93
18.4148,151.3193,37,7996.04,8583.22
18.0731,151.1104,38,8151.34,8854.67
18.3202,150.7377,39,8297.37,8800.82
18.2788,151.004,40,8333.48,8729.36
19.9368,151.1642,41,8040.23,8424.73
19.866,150.9087,42,8383.32,8858.89
20.1544,150.6115,43,8583.08,9208.04
18.8668,149.9517,44,8268.6,8662.4
21.1499,151.1661,45,8445.1,8928.68
20.3659,150.6012,46,8822.46,9269.9
20.0308,150.2875,47,8669.01,9333.12
19.2211,150.0787,48,8606.08,9169.94
21.0314,150.5491,49,8992.13,9532.31
21.0359,150.5929,50,9063.44,9651.6
20.7179,151.3529,51,9007.06,9462.69
20.6809,151.0837,52,9036.18,9557.21
20.8221,151.2986,53,9103.51,9558.34
20.1838,150.2333,54,9366.42,9917.79
21.3661,151.0689,55,9284.77,9608.53
20.9106,150.4288,56,9236.19,9668.62
21.4719,149.7751,57,9469.24,10003.11
20.7872,150.3761,58,9206.06,9836.18
21.8249,150.278,59,9358.79,9762.76
21.6985,149.3375,60,9658.14,10143.12
20.9447,148.7705,61,9451.84,10025.83
21.2111,150.2104,62,9435.76,9980.51
21.3994,149.5003,63,9338.33,10097.67
21.9705,150.134,64,9641.18,9960.47
21.4383,148.8261,65,9715.21,10145.83
21.8628,149.2079,66,9715.06,10185.93
21.7358,149.9951,67,9747.86,10174.98
22.101,149.5172,68,9920.81,10325.48
21.7827,149.3082,69,9895.31,10305.34
21.6722,148.2513,70,9973.77,10391.21
22.4725,148.818,71,9996.25,10389.25
20.7959,148.2574,72,10005.47,10418.91
20.8976,149.6764,73,9813.67,10339.2
21.8225,148.5512,74,10004.13,10456.57
21.7799,148.4157,75,10083.36,10507.19
21.1385,148.3456,76,10090.49,10565.17
21.8708,148.2064,77,10037.48,10467.53
21.1688,147.9596,78,10148.18,10666.93
20.996,147.9056,79,10089.8,10567.47
21.6107,149.044,80,9830.9,10114.67
20.2084,147.6842,81,9837.7,10648.49
20.5809,148.0395,82,10007.95,10461.82
21.4577,148.7583,83,10115.4,10438.56
20.9054,148.1935,84,10184.55,10706.85
19.5178,147.9149,85,8752.52,10605.56
20.6434,148.0232,86,10314.96,10819.69
21.4676,147.54,87,10391.58,10868.5
19.5123,147.2528,88,9535.05,10754.38
21.4482,148.0232,89,10321.77,10812.51
20.8773,148.4033,90,10320.28,10802.96
21.5087,148.4733,91,10478.7,10835.81
20.6629,147.9186,92,10394.58,10874.68
20.8347,147.0866,93,10470.59,10953.59
20.6825,147.1794,94,10514.22,10977.56
20.6993,147.1021,95,10511.86,11011.67
19.9246,146.2798,96,10308.74,10979.92
18.6883,146.329,97,10129.5,10599.09
20.8067,147.3483,98,10329.06,11007.18
20.0448,145.9539,99,10531.13,11037.74
19.9645,147.0284,100,10081.99,10942.55
21.1006,146.9602,101,10459.57,10768.87
19.8153,145.9082,102,10278.46,11170.94
18.5976,147.1686,103,8909.1,10393.6
19.7972,146.7318,104,10126.49,10972.42
20.7884,147.1178,105,10595.17,11010.31
19.7767,145.6288,106,9642.16,10712.49
19.8862,145.7168,107,10367.72,11167.44
20.4829,147.1257,108,10621.78,11125.13
20.388,146.6957,109,10573.37,11038.35
20.1159,146.5971,110,10665.3,11150.74
20.1972,146.1197,111,10769.58,11253.01
19.1102,145.229,112,9923.29,11227.2
19.6106,146.1526,113,10677.42,11080.37
19.5332,145.8964,114,10768.23,11196.58
19.6187,145.8144,115,10306.11,11151.14
19.3557,145.8111,116,10120.37,11183.03
20.15,146.0904,117,10585.65,11095.83
19.5259,145.805,118,10735.73,11197.48
19.4362,145.6382,119,10680.76,11085.31
19.9237,146.4931,120,10401.73,11210.16
18.9734,145.1109,121,10576.28,11318.38
19.5066,145.5924,122,10814.37,11255.26
18.6209,144.9596,123,10809.97,11198.14
19.564,145.201,124,10730.62,11323.68
19.2917,145.6789,125,10817.74,11379.77
19.8381,146.2022,126,10858.33,11251.55
18.0382,145.3192,127,10826.13,11455.76
19.305,145.6666,128,10940.77,11344.85
19.5405,145.1219,129,10643.57,11394.82
19.1392,145.8227,130,10753.03,11191.94
18.4515,144.2273,131,10988.63,11479.13
17.5277,144.4149,132,10845.11,11402.27
19.4177,144.5978,133,10580.5,11343.02
18.8113,145.1729,134,10707.84,11297.91
18.6588,145.4822,135,10852.37,11487.37
19.3888,145.3445,136,10268.44,11239.51
19.6467,145.2888,137,11005.13,11481.33
16.8811,143.6187,138,10303.66,11259.47
18.7647,144.2436,139,10905.32,11447.99
18.8611,145.6129,140,10910.01,11447.11
17.1942,144.4331,141,11020.65,11584.59
16.928,144.1721,142,11076.53,11544.49
19.7431,144.9071,143,10953.04,11478.56
18.0845,143.5538,144,10961.6,11466.32
18.6713,144.2089,145,10954.16,11573.63
17.72,143.8474,146,10991.05,11661.67
18.6435,144.5225,147,10977.36,11494.98
17.8077,143.0741,148,11113.93,11711.88
18.1424,143.5887,149,10903.7,11565.73
19.1606,144.9491,150,11155.36,11555.53
16.7431,143.685,151,11078.34,11723.14
15.5824,143.6979,152,10005.36,11265.47
18.4559,144.0459,153,11061.3,11604.74
19.2153,144.0678,154,11131.26,11559.07
18.1365,143.1323,155,11110.73,11740.91
18.6772,143.2711,156,11192.91,11679.18
19.4321,144.477,157,11068.37,11512.53
18.7632,144.0541,158,10991.21,11454.48
17.495,142.8308,159,11052.08,11180.19
18.1267,142.6682,160,11231.93,11778.6
18.542,143.7693,161,11116.4,11610.14
18.6939,142.952,162,11194.96,11724.66
17.9765,143.1061,163,11116.52,11451.38
18.6452,144.0427,164,10655.15,11523.01
17.4982,142.3416,165,11217.34,11821.83
17.9775,143.5242,166,11083.82,11339.09
18.3661,143.2628,167,11073.28,11515.67
18.0148,142.4573,168,10999.65,11766.22
18.6184,143.3364,169,11163.26,11571.17
18.3856,143.1593,170,11226.88,11718.21
19.0172,144.324,171,10919.24,11531.98
18.7419,141.9852,172,11324.82,11759.37
17.8184,143.1485,173,11158.18,11658.54
17.7569,142.9495,174,11306.66,11883.62
17.8952,142.7621,175,11250.22,11860.23
