Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Itration
13.3094,311.54,49.1745,272.55,0
15.5508,307.79,49.8959,183.48,1
14.4877,416.24,49.199,426.53,2
23.1515,411.63,49.7693,437.03,3
15.5685,459.17,49.2903,452.62,4
14.8018,487.61,47.8172,518.03,5
11.8966,750.65,46.4607,1088.14,6
14.6208,697.71,47.7374,846.26,7
12.4386,861.54,47.98,1891.67,8
13.125,1216.35,46.8587,1018.41,9
12.863,738.95,48.2008,1774.58,10
12.7882,1283.53,46.6866,2350.0,11
24.7561,482.14,48.437,95.32,12
17.2633,914.22,45.6283,1379.78,13
17.1569,364.57,47.7395,343.51,14
16.6995,523.31,48.7725,393.01,15
18.9558,1185.8,47.4011,811.83,16
13.529,1772.7,45.6118,1902.65,17
15.8181,1487.92,45.3795,2483.87,18
15.817,1307.63,45.2193,2473.25,19
49.2215,684.99,50.5555,303.02,20
15.752,1216.28,45.4947,2132.67,21
16.5912,1788.07,44.3907,2482.0,22
32.9789,1163.3,46.357,131.18,23
26.4156,1634.65,44.8477,651.95,24
27.5553,1174.14,46.6076,847.66,25
22.467,2280.55,46.305,2924.06,26
19.2979,2601.0,46.7361,2500.17,27
14.9289,1640.34,47.5185,2202.01,28
68.2133,280.65,49.3243,382.48,29
24.9868,1192.42,52.5687,1090.17,30
33.282,732.14,53.745,993.88,31
43.1541,453.27,49.4462,379.37,32
19.8462,559.89,48.9975,561.93,33
21.8244,970.23,53.3561,1008.76,34
24.5578,1669.14,47.2554,1577.08,35
32.3804,295.03,49.9077,416.67,36
140.463,99.89,54.096,-1.83,37
42.4579,719.5,51.6593,584.08,38
85.5932,36.69,54.5581,23.06,39
30.2634,1023.87,49.6904,879.86,40
25.209,483.74,49.788,1242.6,41
39.3569,148.7,51.7886,85.52,42
78.6346,573.86,50.4899,303.06,43
15.6864,486.74,49.0967,436.86,44
25.3786,1517.22,49.7981,1548.79,45
19.7791,596.24,50.1507,737.31,46
23.7962,1004.74,50.0167,924.99,47
50.7005,773.35,53.4616,1045.57,48
29.5932,898.85,52.2568,1008.75,49
103.1922,52.33,54.9813,54.61,50
63.2932,152.87,55.9299,282.74,51
18.68,75.7,51.0012,83.87,52
34.348,262.59,49.9004,357.33,53
34.7955,872.75,50.4455,993.24,54
49.2371,-21.38,53.9964,-21.15,55
27.0459,-27.14,53.358,-32.19,56
88.1364,-13.16,55.2303,-21.23,57
37.3639,964.28,55.9511,965.1,58
37.0012,951.83,51.0335,798.89,59
53.2512,1009.98,56.9777,1011.8,60
35.9831,1011.39,53.3906,1008.18,61
38.1944,995.79,55.0962,996.65,62
27.9194,201.72,51.8116,246.52,63
22.1491,359.65,50.7572,361.26,64
102.7156,-9.49,57.8595,-9.08,65
77.4878,-9.51,55.5217,-10.17,66
48.4991,1206.24,52.1023,1043.7,67
38.28,1004.3,55.8149,1009.36,68
53.7427,1011.9,57.3822,1014.81,69
45.2248,1018.68,56.3796,1020.53,70
51.8641,1016.02,56.581,1017.17,71
73.3875,112.13,54.5237,125.06,72
114.0704,-3.78,57.1694,-5.18,73
48.4522,149.39,56.6975,198.27,74
77.4165,458.88,55.4022,442.41,75
60.3234,880.18,56.5589,1010.93,76
54.3807,1017.97,58.1117,1020.44,77
43.2216,969.87,56.6643,977.86,78
38.5149,537.74,53.9237,661.02,79
51.8681,1021.14,56.3462,1020.61,80
31.3482,1042.14,55.081,1019.74,81
44.2622,1037.99,55.4374,1040.31,82
50.9073,1033.98,56.9632,1034.36,83
52.7857,1023.48,56.9792,1023.63,84
35.4261,155.34,51.0478,158.47,85
41.8752,76.26,53.8994,65.83,86
113.4435,-3.42,56.1593,-6.98,87
40.6335,9.45,53.4227,7.58,88
52.0642,1012.99,56.1807,1013.35,89
39.8613,995.45,55.9983,997.9,90
71.4997,856.35,55.8361,1006.99,91
43.7198,22.35,55.8926,25.24,92
41.0761,1008.94,55.8235,1010.27,93
46.9173,1041.05,56.4277,1040.11,94
38.9596,1012.98,56.134,1015.93,95
28.0104,1032.69,54.8278,1017.68,96
28.9444,966.99,52.6137,1017.5,97
28.1498,1012.91,54.6436,1015.8,98
49.2547,-11.43,53.2083,-11.6,99
96.9866,195.38,54.5701,161.42,100
39.3999,400.2,54.2899,852.08,101
52.2806,1002.24,56.3869,1003.1,102
41.5504,1035.23,56.4122,1036.18,103
35.5899,675.2,53.1174,679.52,104
39.4391,1022.69,56.0079,983.5,105
37.5689,871.99,55.1511,1010.0,106
46.8717,1023.13,55.4362,1023.64,107
44.6393,906.53,55.6025,1001.69,108
33.5792,1022.57,55.1121,1021.47,109
42.4378,1032.06,56.1719,1030.01,110
47.8277,1003.25,56.6073,1012.7,111
33.2284,1059.85,54.4348,1051.45,112
30.414,995.51,54.4065,1001.03,113
27.1042,1051.48,53.7216,1034.23,114
44.1494,1676.46,48.0421,2598.25,115
19.962,2373.94,48.1932,2429.15,116
22.8383,499.77,50.1231,1001.4,117
14.1403,1644.86,47.0653,1061.49,118
17.2151,2554.87,47.2584,2523.71,119
38.8773,1028.85,56.056,1026.86,120
29.8471,15.99,51.6447,21.68,121
105.6808,6.95,53.0211,7.81,122
