Running Forward KL,Running Reverse KL,Running Env Steps,Reward Loss,Itration,Real Det Return,Real Sto Return,Running Update Time
442.6904,274.3376,0,-22507.5078125,0,279.19,281.02,0
436.5139,255.8898,5000,-22347.07421875,1,420.77,355.03,1
442.6626,257.5929,10000,-24810.310546875,2,517.3,387.74,2
424.6884,261.7667,15000,-25059.6953125,3,496.06,453.01,3
405.7438,256.299,20000,-26394.974609375,4,505.54,451.34,4
423.5993,256.8242,25000,-27705.76171875,5,602.82,481.76,5
424.1122,250.7907,30000,-27225.6875,6,290.86,424.3,6
415.8439,293.9055,35000,-29375.646484375,7,365.85,415.17,7
413.799,333.1139,40000,-32148.5625,8,513.3,473.18,8
414.9403,364.705,45000,-33323.20703125,9,579.45,499.96,9
416.0081,384.235,50000,-35138.33203125,10,475.79,499.31,10
427.3446,324.8021,55000,-36003.3046875,11,561.83,510.46,11
414.7547,378.4215,60000,-37513.2578125,12,517.05,595.05,12
409.0178,363.2911,65000,-39168.5703125,13,493.29,608.11,13
398.4643,255.2108,70000,-37905.40234375,14,673.97,644.33,14
405.1196,258.2117,75000,-40812.34765625,15,609.8,558.84,15
408.7714,320.3852,80000,-43740.2421875,16,605.4,659.86,16
395.0928,264.3093,85000,-40232.90625,17,590.85,741.13,17
383.4394,237.8127,90000,-40215.56640625,18,849.42,685.34,18
404.8459,242.1736,95000,-43122.13671875,19,725.47,714.86,19
396.0563,232.5776,100000,-42067.8828125,20,676.86,729.09,20
388.2262,228.4139,105000,-40206.98046875,21,911.28,692.03,21
399.9036,240.2401,110000,-41970.90625,22,779.37,723.4,22
389.8847,238.3375,115000,-40648.94140625,23,641.28,704.84,23
398.8158,238.2847,120000,-43715.33203125,24,840.4,716.1,24
387.271,244.2108,125000,-44254.28515625,25,778.99,731.82,25
386.045,268.4483,130000,-46248.79296875,26,946.99,803.77,26
385.7046,257.1252,135000,-48617.96875,27,758.43,902.72,27
370.4855,238.1479,140000,-43609.14453125,28,881.15,1141.92,28
370.7929,223.5325,145000,-41904.83203125,29,876.77,1613.54,29
363.6044,212.2687,150000,-42459.77734375,30,890.77,1231.33,30
370.8187,230.8998,155000,-45203.3359375,31,986.09,1354.14,31
379.8613,266.0727,160000,-48146.84765625,32,732.56,1121.31,32
380.4713,256.0786,165000,-46856.5,33,886.38,1210.34,33
371.7571,219.3942,170000,-46949.71875,34,801.84,1015.67,34
