Running Update Time,Running Reverse KL,Running Forward KL,Itration,Real Det Return,Running Env Steps,Reward Loss,Real Sto Return
0,11.4333,158.3834,0,-80.62,0,343.9718017578125,-211.51
1,11.6683,158.4124,1,18.59,5000,321.04730224609375,-101.83
2,11.9951,158.3837,2,261.44,10000,84.6303482055664,13.48
3,11.9672,158.0172,3,553.89,15000,210.53150939941406,168.14
4,12.1311,157.9259,4,716.41,20000,154.60716247558594,266.94
5,13.0696,157.8415,5,914.88,25000,-27.17095184326172,474.37
6,13.6787,157.7663,6,1077.4,30000,-35.915435791015625,655.69
7,14.2854,158.1676,7,830.94,35000,-258.28204345703125,702.41
8,15.253,158.211,8,1224.77,40000,-229.8671875,874.79
9,15.3675,157.9215,9,1250.22,45000,-466.910400390625,902.99
10,16.0345,158.1108,10,1423.12,50000,-645.3942260742188,1017.92
11,16.3228,157.7739,11,1281.39,55000,-659.1206665039062,1134.27
12,16.3872,158.2276,12,1527.26,60000,-1036.9163818359375,1131.54
13,16.5666,158.2013,13,1619.19,65000,-1155.2691650390625,1185.5
14,16.5727,157.9377,14,1636.61,70000,-1440.8262939453125,1237.28
15,16.2445,158.052,15,1652.56,75000,-1741.472412109375,1231.39
16,16.5192,157.9889,16,1766.43,80000,-1754.2677001953125,1323.38
17,16.6782,157.981,17,1741.55,85000,-2175.183349609375,1330.97
18,16.5907,158.0631,18,1825.91,90000,-2274.04541015625,1368.38
19,16.5432,157.8243,19,1862.76,95000,-2395.271240234375,1416.19
20,16.3366,157.5563,20,1875.7,100000,-2619.318603515625,1492.17
21,16.2689,157.794,21,1875.16,105000,-2917.138671875,1474.23
22,16.1634,157.8227,22,1831.76,110000,-3182.986328125,1491.97
23,15.8544,157.4014,23,1836.49,115000,-3255.548583984375,1484.23
24,16.34,157.6391,24,1891.85,120000,-3470.251953125,1506.58
25,16.7527,157.651,25,1932.08,125000,-3652.133544921875,1572.3
26,15.9866,157.6941,26,1902.48,130000,-3826.8017578125,1510.85
27,16.3835,157.5536,27,1902.39,135000,-4013.9345703125,1569.78
28,16.4581,157.4808,28,2008.13,140000,-4140.5966796875,1604.79
29,16.3069,157.4778,29,1954.52,145000,-4360.42041015625,1574.46
30,16.5808,157.6914,30,2005.73,150000,-4557.68408203125,1627.5
31,16.307,157.3678,31,2008.23,155000,-4638.888671875,1607.87
32,16.359,157.4336,32,1969.28,160000,-4822.71435546875,1621.04
33,16.0039,157.3563,33,2007.74,165000,-5066.2998046875,1599.35
34,15.9821,157.4577,34,1960.6,170000,-5275.0126953125,1612.48
35,15.7233,157.0501,35,1979.27,175000,-5389.55517578125,1633.72
36,16.294,157.1276,36,2051.64,180000,-5436.8095703125,1694.69
37,15.7554,157.0068,37,1957.65,185000,-5791.4658203125,1629.72
38,15.9587,157.3676,38,2019.51,190000,-6005.7109375,1684.39
39,15.9307,157.0686,39,2038.14,195000,-6071.0224609375,1674.81
40,16.0959,157.2274,40,2049.56,200000,-6294.29443359375,1640.36
41,15.6481,157.052,41,1981.39,205000,-6529.80419921875,1661.51
42,16.3458,157.2497,42,2061.58,210000,-6668.84912109375,1698.52
43,15.874,157.1052,43,2061.7,215000,-6828.705078125,1662.33
44,16.1826,157.2988,44,2076.68,220000,-7033.79052734375,1694.52
45,15.4482,157.2298,45,1966.2,225000,-7272.6806640625,1610.18
46,16.0438,157.1983,46,2068.08,230000,-7486.42626953125,1709.16
47,16.0327,157.0248,47,2076.32,235000,-7583.248046875,1725.74
48,15.7632,156.9821,48,2094.6,240000,-7737.2958984375,1682.77
49,15.8301,157.2712,49,2046.34,245000,-8010.10986328125,1728.42
50,16.1403,157.072,50,2084.1,250000,-8199.9150390625,1723.33
51,16.07,157.0003,51,2103.21,255000,-8378.26953125,1736.68
52,15.763,157.0103,52,2073.65,260000,-8507.94921875,1704.03
53,16.0722,156.9681,53,2107.61,265000,-8709.8232421875,1748.33
54,15.9168,157.0813,54,2010.26,270000,-8976.109375,1660.51
55,16.3648,157.0175,55,2109.47,275000,-9110.453125,1757.45
56,15.7659,156.8876,56,2089.24,280000,-9286.744140625,1743.63
57,16.1939,157.3056,57,2129.77,285000,-9489.57421875,1756.41
58,15.9717,157.1745,58,2111.25,290000,-9696.708984375,1754.07
59,16.0549,156.8059,59,2104.36,295000,-9826.9384765625,1757.13
60,16.2014,156.9762,60,2136.42,300000,-10057.8115234375,1776.93
61,15.9978,156.9809,61,2108.64,305000,-10249.8984375,1762.68
62,15.7149,156.892,62,2029.38,310000,-10432.5859375,1731.0
63,15.9078,157.0388,63,2151.18,315000,-10594.2001953125,1760.28
64,15.4132,156.8553,64,2078.13,320000,-10827.541015625,1711.44
65,15.5446,156.9121,65,2088.41,325000,-11013.81640625,1742.42
66,15.8679,157.1,66,2140.54,330000,-11230.931640625,1768.21
67,15.692,156.8723,67,2118.67,335000,-11402.41015625,1762.9
68,15.5638,156.8498,68,2098.17,340000,-11638.236328125,1769.97
69,15.9034,157.0514,69,2161.56,345000,-11748.490234375,1797.66
70,15.3837,156.9218,70,2089.73,350000,-12010.4423828125,1743.77
71,15.594,156.6747,71,2080.4,355000,-12199.3076171875,1765.97
72,15.6746,156.9009,72,2107.87,360000,-12439.3984375,1735.42
73,15.6694,156.9636,73,2152.35,365000,-12678.9208984375,1774.05
74,15.9137,156.831,74,2126.54,370000,-12892.3037109375,1753.13
75,15.4369,156.788,75,2091.99,375000,-12881.1318359375,1749.24
76,15.5388,156.9801,76,2102.85,380000,-13255.6943359375,1752.38
77,15.5481,156.8182,77,2141.61,385000,-13414.69140625,1763.09
78,15.4858,156.856,78,2127.22,390000,-13583.443359375,1758.03
79,15.8683,156.9257,79,2170.28,395000,-13849.16015625,1807.71
80,15.7633,156.8076,80,2129.79,400000,-14062.708984375,1788.65
81,15.665,156.9771,81,2158.16,405000,-14180.0439453125,1813.61
82,15.3518,156.8789,82,2127.36,410000,-14420.5009765625,1783.32
83,15.5331,156.8102,83,2169.13,415000,-14577.0517578125,1793.86
84,15.6197,156.9974,84,2119.21,420000,-14942.0654296875,1772.6
85,15.3144,156.9186,85,2069.85,425000,-15131.15625,1742.52
86,15.573,156.9003,86,2131.32,430000,-15348.9169921875,1807.32
87,15.5712,156.8905,87,2176.42,435000,-15483.0361328125,1799.47
88,15.4787,157.1346,88,2066.33,440000,-15830.8662109375,1760.48
89,16.0612,156.9146,89,2223.27,445000,-15932.69140625,1851.96
90,15.4537,156.8499,90,2107.31,450000,-16238.1982421875,1771.26
91,15.1982,156.8333,91,2110.66,455000,-16356.16796875,1788.94
92,15.1517,156.7659,92,2036.55,460000,-16575.99609375,1730.76
93,15.1331,156.8035,93,2138.09,465000,-16787.78125,1794.32
94,15.2038,156.7351,94,2119.21,470000,-16966.0,1766.96
95,15.3402,156.9973,95,2185.67,475000,-17321.7890625,1781.72
96,15.8736,156.8223,96,2153.89,480000,-17540.677734375,1832.57
97,15.547,156.7323,97,2226.51,485000,-17547.765625,1836.21
98,15.1964,156.7158,98,2163.51,490000,-17833.408203125,1814.15
99,15.6503,156.7584,99,2151.49,495000,-18099.6953125,1796.39
100,15.35,156.856,100,2174.94,500000,-18282.005859375,1830.86
101,15.5231,156.8256,101,2132.51,505000,-18676.240234375,1812.11
102,15.724,156.9874,102,2171.75,510000,-18967.162109375,1797.99
103,15.4393,156.9618,103,2156.85,515000,-19071.099609375,1838.03
104,15.5682,156.7728,104,2209.04,520000,-19236.68359375,1823.41
105,15.5177,156.8677,105,2173.4,525000,-19441.03515625,1823.95
106,15.5353,156.8151,106,2142.02,530000,-19749.45703125,1820.77
107,15.7652,156.831,107,2215.26,535000,-20086.46484375,1845.85
108,15.3692,156.7465,108,2160.67,540000,-20216.11328125,1797.3
109,15.5992,156.747,109,2232.68,545000,-20448.3828125,1859.52
110,15.5495,156.8207,110,2182.32,550000,-20674.84765625,1834.34
111,15.3624,156.7201,111,2128.98,555000,-20979.31640625,1821.77
112,15.4214,156.6201,112,2187.86,560000,-21161.869140625,1831.56
113,15.3992,156.6322,113,2167.4,565000,-21425.51171875,1833.22
114,15.3791,156.74,114,2193.95,570000,-21733.90625,1842.32
115,15.3997,156.5371,115,2218.31,575000,-21854.2109375,1851.64
116,15.4271,156.7145,116,2175.61,580000,-22174.978515625,1835.82
117,15.4695,156.6966,117,2224.33,585000,-22381.171875,1836.39
118,15.5477,156.8038,118,2199.4,590000,-22752.224609375,1840.85
119,15.3535,156.9298,119,2199.07,595000,-22868.80859375,1854.41
120,15.4398,156.8034,120,2180.37,600000,-23090.974609375,1831.36
121,15.4297,156.7466,121,2204.0,605000,-23424.04296875,1851.71
122,15.4966,156.8438,122,2250.52,610000,-23749.439453125,1864.29
123,15.4413,156.7284,123,2200.52,615000,-23879.189453125,1856.79
124,15.2861,156.8081,124,2135.84,620000,-24068.2109375,1824.12
125,15.1831,156.8145,125,2126.75,625000,-24507.953125,1792.89
126,15.4312,156.6328,126,2191.05,630000,-24585.1328125,1850.06
127,15.3844,156.9301,127,2222.73,635000,-24911.171875,1838.37
128,15.6283,156.7243,128,2202.9,640000,-25246.4453125,1861.76
129,15.6315,156.8386,129,2219.77,645000,-25519.603515625,1880.06
130,15.3509,156.5722,130,2191.52,650000,-25707.001953125,1851.23
131,15.5331,156.9171,131,2185.01,655000,-26171.611328125,1867.81
132,15.5513,156.7375,132,2202.4,660000,-26155.8671875,1883.98
133,15.7253,156.7013,133,2249.73,665000,-26389.4140625,1881.44
134,15.2472,156.641,134,2211.68,670000,-26678.822265625,1841.12
135,15.2418,156.7368,135,2171.72,675000,-27086.60546875,1837.75
136,15.4276,156.8046,136,2212.01,680000,-27371.427734375,1860.67
137,15.4312,156.8233,137,2232.5,685000,-27596.724609375,1851.15
138,15.6837,156.667,138,2258.38,690000,-27763.5625,1915.18
139,15.5159,156.7308,139,2217.19,695000,-28166.017578125,1866.58
140,15.2392,156.7543,140,2198.77,700000,-28392.521484375,1845.07
141,15.3486,156.921,141,2242.12,705000,-28892.9453125,1843.46
142,15.2364,156.5331,142,2203.79,710000,-28868.404296875,1868.29
143,15.4575,156.8969,143,2225.9,715000,-29424.330078125,1878.97
144,15.2836,156.7232,144,2169.34,720000,-29444.861328125,1846.24
145,15.2152,156.9322,145,2199.16,725000,-29913.5390625,1859.19
146,15.3966,156.8802,146,2194.29,730000,-30040.2265625,1845.14
147,15.0665,156.8006,147,2157.52,735000,-30438.634765625,1841.85
148,15.0805,156.7015,148,2205.49,740000,-30524.86328125,1855.67
149,15.6499,156.6577,149,2221.12,745000,-30726.169921875,1859.71
150,15.2496,156.4993,150,2221.84,750000,-30887.173828125,1865.24
151,15.3937,156.8052,151,2177.16,755000,-31115.2109375,1830.85
152,15.188,156.5588,152,2240.66,760000,-31361.609375,1883.37
153,15.5395,156.7324,153,2233.89,765000,-31765.341796875,1850.83
154,15.0188,156.7387,154,2202.67,770000,-31823.32421875,1842.38
155,15.1836,156.8011,155,2241.71,775000,-31879.701171875,1879.96
156,15.4877,156.8223,156,2253.83,780000,-32261.859375,1882.59
157,15.5862,156.6668,157,2280.14,785000,-32341.92578125,1898.03
158,15.1987,156.6861,158,2229.06,790000,-32556.587890625,1871.81
159,15.1794,156.6885,159,2189.7,795000,-33073.1875,1867.69
160,15.2902,156.7282,160,2231.74,800000,-33038.48828125,1884.11
161,15.1163,156.8037,161,2214.79,805000,-33508.1953125,1863.73
162,15.0343,156.8956,162,2200.51,810000,-33641.35546875,1836.06
163,15.3975,156.677,163,2228.34,815000,-33730.80859375,1886.14
164,15.2218,156.6958,164,2241.56,820000,-34216.26171875,1854.08
165,15.1535,156.6636,165,2226.14,825000,-34185.73828125,1871.06
166,15.2937,156.8023,166,2270.27,830000,-34536.3046875,1888.0
167,15.0649,156.6575,167,2239.55,835000,-34536.81640625,1888.33
168,15.5455,156.7857,168,2241.6,840000,-34997.0703125,1891.69
169,14.9983,156.6374,169,2219.62,845000,-35157.73828125,1870.91
170,14.8892,156.7574,170,2163.64,850000,-35377.00390625,1855.86
171,15.2251,156.5768,171,2258.19,855000,-35702.28125,1876.26
172,15.1018,156.7773,172,2221.01,860000,-35780.60546875,1869.36
173,15.3036,156.6269,173,2278.82,865000,-35990.7109375,1892.82
174,15.2807,156.7268,174,2250.33,870000,-35993.63671875,1909.49
175,15.3706,156.6953,175,2253.98,875000,-36608.43359375,1895.57
176,14.979,156.5922,176,2212.03,880000,-36789.01953125,1883.4
177,15.2951,156.7194,177,2230.81,885000,-37014.71484375,1888.76
178,15.4088,156.5555,178,2214.08,890000,-36965.63671875,1930.14
179,15.1775,156.6269,179,2235.58,895000,-37181.1484375,1886.04
180,15.1313,156.7925,180,2211.02,900000,-37494.2421875,1865.78
181,15.2256,156.8592,181,2217.81,905000,-37731.0078125,1905.61
182,15.2617,156.768,182,2260.64,910000,-37707.05078125,1893.41
183,15.0922,156.7319,183,2247.56,915000,-37913.84765625,1893.02
184,15.0774,156.7832,184,2196.05,920000,-38388.6015625,1856.62
185,15.1487,156.6177,185,2231.41,925000,-38413.73828125,1891.68
186,15.2551,156.677,186,2244.77,930000,-38389.26953125,1868.78
187,15.5349,156.72,187,2281.55,935000,-38768.1015625,1895.5
188,15.3948,156.555,188,2300.26,940000,-38486.67578125,1940.64
189,15.071,156.6581,189,2243.19,945000,-38703.90234375,1907.12
190,14.9521,156.5425,190,2171.01,950000,-38861.54296875,1851.66
191,14.9929,156.6671,191,2231.05,955000,-38995.48046875,1901.81
192,15.1864,156.6574,192,2243.3,960000,-39279.7421875,1911.23
193,15.2829,156.6187,193,2265.47,965000,-39291.81640625,1906.44
194,15.2791,156.5599,194,2274.72,970000,-39304.98828125,1921.85
195,15.1265,156.5926,195,2212.18,975000,-39661.578125,1865.79
196,15.1541,156.7395,196,2240.11,980000,-39870.4140625,1903.45
197,15.2685,156.8915,197,2203.51,985000,-40097.47265625,1870.86
198,15.0232,156.5424,198,2239.11,990000,-39961.265625,1886.1
199,15.1338,156.6239,199,2261.49,995000,-40014.7265625,1912.14
200,14.7672,156.4934,200,2226.23,1000000,-40047.328125,1870.56
201,15.0662,156.4252,201,2274.24,1005000,-40137.44140625,1909.97
202,15.078,156.4709,202,2241.79,1010000,-40376.15234375,1889.93
203,14.9257,156.4291,203,2256.13,1015000,-40495.07421875,1897.22
204,15.0809,156.5068,204,2265.32,1020000,-40673.87109375,1910.44
205,14.9035,156.5129,205,2249.11,1025000,-40670.22265625,1909.1
206,14.9339,156.6197,206,2257.78,1030000,-40940.9140625,1873.76
207,14.9323,156.5786,207,2272.25,1035000,-41076.2421875,1902.05
208,14.8603,156.4643,208,2250.16,1040000,-41219.67578125,1891.89
209,14.9788,156.5967,209,2247.05,1045000,-41401.6875,1902.25
210,14.9245,156.5725,210,2264.97,1050000,-41509.51953125,1908.64
211,14.9746,156.4759,211,2266.05,1055000,-41599.51953125,1911.98
212,14.8824,156.553,212,2252.47,1060000,-41765.890625,1895.09
213,14.9425,156.5217,213,2240.67,1065000,-42063.2890625,1919.8
214,14.8661,156.5455,214,2250.79,1070000,-42131.64453125,1883.66
215,15.032,156.3674,215,2257.06,1075000,-42271.65234375,1897.04
216,14.9827,156.5465,216,2239.49,1080000,-42377.15625,1905.01
217,14.801,156.5219,217,2254.42,1085000,-42550.46484375,1894.89
218,14.9526,156.4342,218,2278.11,1090000,-42564.37890625,1909.92
219,14.9799,156.4895,219,2258.01,1095000,-42758.55078125,1891.88
220,15.0226,156.5679,220,2258.84,1100000,-42988.40625,1913.41
221,15.0772,156.4283,221,2266.14,1105000,-42846.12890625,1925.13
222,14.9574,156.5368,222,2249.1,1110000,-43089.8046875,1907.1
223,14.9236,156.3473,223,2240.58,1115000,-43368.3515625,1899.96
224,14.9422,156.4539,224,2259.09,1120000,-43447.15625,1902.4
225,15.0498,156.5099,225,2260.29,1125000,-43572.91015625,1884.38
226,14.9308,156.6105,226,2262.33,1130000,-43627.0390625,1921.19
227,14.9538,156.5313,227,2254.39,1135000,-43766.7734375,1927.61
228,15.0401,156.5167,228,2281.97,1140000,-43920.92578125,1930.3
229,15.0431,156.4499,229,2249.21,1145000,-44141.4375,1923.11
230,15.0578,156.5534,230,2264.26,1150000,-44339.65625,1921.81
231,15.048,156.506,231,2267.02,1155000,-44404.40234375,1905.1
232,14.9434,156.5291,232,2283.75,1160000,-44460.06640625,1920.65
233,15.0684,156.5149,233,2262.02,1165000,-44608.94921875,1907.1
234,14.9268,156.6116,234,2274.9,1170000,-44714.61328125,1920.51
235,15.2015,156.5831,235,2296.35,1175000,-45060.125,1914.41
236,15.254,156.567,236,2280.75,1180000,-45104.4140625,1936.16
237,15.2526,156.5978,237,2278.32,1185000,-45299.5625,1929.5
238,15.2902,156.5919,238,2291.94,1190000,-45391.7890625,1928.05
239,15.1248,156.5869,239,2246.71,1195000,-45533.4765625,1910.32
240,15.0628,156.6229,240,2276.6,1200000,-45716.51953125,1924.4
241,14.9678,156.6164,241,2297.58,1205000,-45805.75390625,1919.9
242,14.9204,156.6058,242,2280.93,1210000,-46027.203125,1923.03
243,15.1646,156.6948,243,2292.68,1215000,-46129.5546875,1901.14
244,15.3262,156.7393,244,2306.48,1220000,-46218.16015625,1922.78
245,15.24,156.554,245,2308.23,1225000,-46485.49609375,1935.42
246,15.1895,156.6797,246,2276.46,1230000,-46435.99609375,1921.45
247,15.1837,156.7219,247,2268.35,1235000,-46551.38671875,1924.08
248,15.2753,156.6588,248,2296.68,1240000,-46712.77734375,1942.96
249,15.4126,156.6672,249,2266.2,1245000,-46917.3359375,1929.08
250,15.3743,156.7311,250,2297.54,1250000,-47106.2734375,1927.96
251,15.3666,156.6152,251,2286.26,1255000,-47215.4453125,1922.86
252,15.4966,156.6319,252,2301.94,1260000,-47378.91015625,1950.22
253,15.214,156.6406,253,2290.92,1265000,-47570.8359375,1929.87
254,15.3188,156.6417,254,2290.15,1270000,-47610.5546875,1926.06
255,15.064,156.5351,255,2269.09,1275000,-47616.71484375,1930.74
256,15.2489,156.6556,256,2289.48,1280000,-47786.23046875,1931.22
257,15.1571,156.6509,257,2256.69,1285000,-47864.390625,1898.44
258,15.1927,156.58,258,2291.3,1290000,-48007.56640625,1925.26
259,15.2893,156.7595,259,2298.78,1295000,-48176.83984375,1933.11
260,15.3031,156.7282,260,2293.31,1300000,-48364.45703125,1936.7
261,15.1807,156.5963,261,2303.66,1305000,-48473.05859375,1948.26
262,15.2996,156.7264,262,2304.87,1310000,-48428.23828125,1926.36
263,15.1053,156.5179,263,2283.25,1315000,-48569.984375,1932.52
264,15.3774,156.6616,264,2309.53,1320000,-48679.45703125,1948.51
265,15.1284,156.6313,265,2269.25,1325000,-48837.78125,1933.76
266,15.1143,156.6448,266,2308.23,1330000,-49040.21875,1945.3
267,15.2808,156.6382,267,2306.88,1335000,-49095.61328125,1939.43
268,15.2273,156.5651,268,2294.33,1340000,-49174.28515625,1949.32
269,15.0454,156.6015,269,2288.2,1345000,-49191.02734375,1957.39
270,15.1858,156.6445,270,2305.56,1350000,-49217.21875,1950.61
271,15.1073,156.5712,271,2294.56,1355000,-49426.84375,1930.16
272,15.0839,156.7293,272,2301.57,1360000,-49482.34765625,1940.64
273,15.1704,156.7482,273,2297.91,1365000,-49736.71875,1944.12
274,15.0269,156.724,274,2284.94,1370000,-49678.21484375,1938.5
275,15.1755,156.6539,275,2272.85,1375000,-49819.15625,1931.74
276,15.0933,156.6395,276,2295.23,1380000,-49835.06640625,1940.48
277,15.1779,156.6689,277,2291.0,1385000,-50156.16015625,1943.78
278,15.0971,156.6537,278,2285.89,1390000,-50160.6875,1929.88
279,15.2941,156.5464,279,2295.66,1395000,-50381.875,1942.42
280,15.2084,156.4273,280,2311.55,1400000,-50340.64453125,1939.59
281,15.296,156.6652,281,2300.35,1405000,-50576.0078125,1940.46
282,15.229,156.6626,282,2282.09,1410000,-50622.37109375,1953.4
283,14.9704,156.6164,283,2290.02,1415000,-50645.3515625,1952.71
284,15.3332,156.6355,284,2331.25,1420000,-50824.12890625,1964.63
285,15.239,156.7159,285,2289.95,1425000,-50903.8046875,1959.97
286,15.2824,156.7843,286,2314.84,1430000,-51043.98828125,1942.32
287,15.2586,156.7491,287,2294.76,1435000,-51025.81640625,1950.23
288,15.1619,156.5738,288,2287.27,1440000,-51276.5,1937.48
289,15.1089,156.731,289,2251.85,1445000,-51274.953125,1918.31
290,15.1473,156.6288,290,2301.03,1450000,-51429.3046875,1968.91
291,15.3842,156.6591,291,2312.7,1455000,-51729.1953125,1965.92
292,15.2374,156.7786,292,2304.22,1460000,-51743.6796875,1965.5
293,15.3497,156.7059,293,2315.7,1465000,-51913.07421875,1968.63
294,15.364,156.6267,294,2323.48,1470000,-51841.984375,1981.01
295,15.4323,156.7499,295,2314.44,1475000,-52059.296875,1970.89
296,15.2749,156.7428,296,2307.87,1480000,-52028.1328125,1966.12
297,15.2062,156.6738,297,2303.81,1485000,-52041.1875,1983.25
298,15.3702,156.683,298,2305.68,1490000,-52180.2578125,1963.02
299,15.2194,156.6177,299,2285.23,1495000,-52350.6796875,1959.67
300,15.24,156.5756,300,2305.84,1500000,-52379.3359375,1961.82
301,15.2756,156.4552,301,2320.77,1505000,-52469.54296875,1963.59
302,15.243,156.6522,302,2300.01,1510000,-52561.27734375,1965.86
303,15.0867,156.5207,303,2297.4,1515000,-52728.64453125,1963.19
304,15.3333,156.5346,304,2315.48,1520000,-52636.640625,1968.83
305,15.1359,156.6423,305,2304.42,1525000,-52845.703125,1968.05
306,15.2518,156.6878,306,2320.39,1530000,-53097.21484375,1965.63
307,15.0914,156.6686,307,2304.11,1535000,-52900.25390625,1964.77
308,15.4123,156.7008,308,2305.66,1540000,-53194.14453125,1951.69
309,15.2074,156.6329,309,2288.15,1545000,-53014.94140625,1952.03
310,15.0204,156.5319,310,2285.43,1550000,-53372.93359375,1947.25
311,15.2339,156.6887,311,2306.07,1555000,-53223.98046875,1950.81
312,15.3078,156.69,312,2297.55,1560000,-53298.45703125,1946.35
313,15.1334,156.5172,313,2312.3,1565000,-53482.28515625,1964.72
314,15.0595,156.4631,314,2307.95,1570000,-53368.1640625,1964.13
315,15.2519,156.675,315,2309.41,1575000,-53724.37890625,1946.61
316,15.1562,156.7155,316,2307.4,1580000,-53743.76953125,1964.21
317,15.3068,156.5402,317,2309.22,1585000,-53789.4453125,1967.63
318,15.271,156.7132,318,2313.64,1590000,-53930.59765625,1972.98
319,15.1483,156.6516,319,2306.95,1595000,-53921.1640625,1979.34
320,15.3289,156.6594,320,2299.24,1600000,-54112.8359375,1972.2
321,15.3103,156.7737,321,2325.27,1605000,-54096.05078125,1968.36
322,15.4258,156.6332,322,2329.09,1610000,-54415.19140625,1978.02
