Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return,Itration
-147.23,75.9416,26.5791,325.64,0
-80.61,74.4562,26.2175,274.26,1
-53.43,73.4627,25.401,501.57,2
-23.29,74.6817,27.8637,415.25,3
-4.63,74.0956,27.161,496.11,4
24.73,73.1606,28.4045,635.23,5
37.64,73.7691,28.6416,489.72,6
44.69,73.263,29.011,573.26,7
88.93,72.6198,28.7877,764.63,8
105.51,72.9087,30.0963,727.02,9
139.39,71.3882,30.5134,772.43,10
153.29,70.8166,30.2575,530.42,11
144.4,70.9159,30.3471,688.03,12
201.01,68.0281,29.8613,667.85,13
164.62,71.3853,30.4431,639.02,14
188.86,69.4823,29.857,792.89,15
240.25,70.5671,30.8273,962.96,16
177.22,67.5649,29.887,824.54,17
204.53,70.1214,30.0923,777.67,18
188.7,69.7016,30.4435,833.55,19
262.71,69.5184,30.2971,1012.06,20
185.51,66.8874,28.9335,862.53,21
362.46,67.3226,29.3963,631.89,22
211.35,68.2897,29.8905,767.97,23
225.96,66.4278,29.5288,924.71,24
229.57,67.4047,29.6813,976.31,25
203.17,70.7736,30.0088,783.15,26
190.79,71.3228,31.111,893.56,27
256.15,69.6947,30.6665,731.52,28
284.3,69.2264,29.9826,885.9,29
219.88,71.1129,30.4934,908.59,30
269.07,66.5658,29.1847,998.04,31
223.98,71.9835,31.3443,822.92,32
203.52,69.9365,30.1564,857.97,33
217.74,67.8903,29.302,928.3,34
278.04,67.8715,30.1003,885.59,35
336.13,67.75,29.7471,910.85,36
333.12,66.9729,29.4455,974.44,37
297.86,68.4601,30.2513,753.88,38
312.6,69.2056,31.1902,932.96,39
189.73,70.4749,30.9226,859.81,40
238.1,66.1428,28.794,919.35,41
311.97,66.0794,29.2221,986.84,42
233.31,68.9667,30.2319,824.19,43
334.42,67.5314,30.1688,1068.52,44
267.93,68.1735,29.7802,1034.7,45
473.7,61.8923,27.278,1023.55,46
271.26,69.3562,29.8259,872.36,47
442.86,65.5153,28.7106,970.49,48
295.64,68.7071,30.2511,831.16,49
352.67,67.4031,29.4287,1038.35,50
301.82,71.0914,30.7445,884.67,51
255.77,67.0257,29.4343,897.56,52
374.57,65.4007,28.8593,897.01,53
371.45,64.4393,28.1139,921.63,54
361.51,61.6215,26.7523,956.47,55
479.76,62.3786,28.0994,976.06,56
525.44,62.4634,27.1597,1160.11,57
232.92,67.9393,29.4364,980.93,58
345.32,64.1099,27.836,1119.75,59
427.41,65.2785,28.378,1091.07,60
482.31,64.4241,28.2008,948.07,61
295.94,66.4011,29.441,1001.02,62
445.92,67.6516,29.5176,1060.69,63
415.32,64.531,27.8091,1021.41,64
370.16,62.8935,27.2385,1112.93,65
290.45,64.5764,28.2242,978.87,66
420.96,66.8382,29.1248,971.7,67
393.04,63.96,27.5727,1095.86,68
448.79,65.744,28.3595,1085.27,69
386.28,64.5898,28.4886,1067.02,70
450.71,63.6349,28.4728,1007.62,71
450.12,64.4911,27.894,1155.04,72
419.67,63.8619,27.976,972.98,73
429.88,63.3597,27.3732,1215.33,74
475.12,63.4166,27.1504,1182.34,75
601.37,59.1676,24.5898,1314.14,76
747.57,59.803,25.2788,1472.5,77
528.87,59.8207,25.1958,1245.41,78
513.2,61.2862,26.7066,1111.93,79
754.09,60.5293,25.9092,1215.84,80
615.51,61.1273,25.599,1062.37,81
