Running Reverse KL,Real Det Return,Itration,Running Forward KL,Real Sto Return
70.0055,5327.4,218,79.0065,4708.71
75.3275,5250.91,219,79.3409,5265.22
72.7741,5415.34,220,78.7433,4607.37
72.181,5662.27,221,79.1718,5183.55
73.1324,5118.11,222,80.5925,5131.89
67.2287,5222.03,223,77.221,4484.13
68.4724,5452.12,224,77.8892,4987.88
65.8926,5285.5,225,72.7514,5264.7
71.6501,5594.0,226,78.8909,4691.0
68.906,4795.03,227,77.5819,5410.14
69.8308,5058.33,228,76.8502,4875.99
63.5207,5487.05,229,69.939,5162.46
60.2573,5948.35,230,71.1157,5269.98
65.1327,5000.2,231,76.6513,5003.81
67.5684,5359.88,232,76.8361,4579.91
67.2018,5400.41,233,77.1297,5135.08
63.7917,5575.62,234,70.7802,5188.89
66.4399,5418.7,235,78.1169,5297.27
71.2724,5227.14,236,77.4308,5387.2
58.1964,5717.94,237,68.9182,4791.89
57.067,5851.19,238,67.8594,4899.67
66.9459,5516.02,239,77.0583,5269.39
64.438,5449.53,240,71.2447,4836.59
69.1397,5456.37,241,74.8672,5152.61
69.9193,5818.99,242,76.9744,5268.2
70.0164,5792.45,243,77.5011,5407.36
68.7683,5737.69,244,77.1563,5214.4
62.5093,5630.68,245,69.7871,5383.51
65.9919,5065.52,246,72.7413,4446.57
65.1481,5678.53,247,75.6994,4794.7
70.7149,4922.19,248,78.8089,4976.13
73.7106,5642.26,249,77.9379,4974.78
72.3561,5793.97,250,78.4515,5154.22
73.1527,5645.73,251,79.8328,5417.33
73.1597,5415.67,252,77.6743,5426.12
67.0324,5384.57,253,78.5906,4863.35
71.6037,5870.86,254,78.5064,5448.93
70.8581,5805.01,255,79.9438,5363.92
68.6841,5311.09,256,76.7461,4066.78
70.0506,5101.3,257,78.8818,5170.86
71.4028,5417.64,258,78.5809,4857.62
66.4407,5790.41,259,76.2219,4597.65
68.2579,5514.46,260,77.1773,5451.83
68.1956,5411.25,261,77.7427,4839.23
69.7909,5766.11,262,79.0422,5360.79
67.3551,5415.41,263,77.2781,5265.94
