Itration,Real Det Return,Running Reverse KL,Real Sto Return,Running Forward KL
0,180.4,264.4247,248.29,475.4926
1,254.17,279.0205,268.43,473.4526
2,348.08,253.7045,343.39,413.781
3,217.11,243.1028,316.16,382.2888
4,293.82,259.8073,315.98,434.8947
5,378.57,241.7984,356.26,403.3053
6,392.39,256.5219,381.27,409.623
7,421.47,251.5878,427.19,406.1369
8,461.62,272.7274,390.54,405.1221
9,599.51,255.3295,485.01,407.3362
10,466.65,262.9172,484.42,403.0758
11,528.89,264.0808,512.6,386.419
12,650.45,236.2301,540.71,382.9959
13,633.76,221.0568,530.1,370.7751
14,578.77,223.4304,521.09,364.013
15,516.69,221.9804,518.98,362.0387
16,519.03,212.5071,559.98,365.3464
17,418.13,245.0693,455.71,392.8862
18,561.52,251.8828,520.62,384.9453
19,577.21,261.8146,527.24,369.9792
20,584.88,263.9605,553.04,365.0006
21,523.01,234.8189,559.25,352.2046
22,558.67,235.1037,561.09,343.6824
23,644.37,223.6709,669.16,336.2452
24,593.88,222.8962,529.97,352.1669
25,555.1,231.4605,617.68,346.4785
26,581.2,240.1702,658.4,356.8884
27,607.41,226.8135,651.69,349.3817
28,688.53,235.8809,661.21,336.419
29,712.16,218.8531,754.2,337.3588
30,607.18,219.4349,657.69,340.9537
31,698.97,225.0567,667.58,348.8137
32,629.57,217.9287,828.13,338.1076
33,648.82,225.5443,727.49,353.6398
34,659.19,200.2165,885.06,331.0665
35,675.75,214.2765,791.86,341.4237
36,731.08,203.3632,944.96,331.1371
37,644.13,243.2637,644.7,360.9173
38,635.59,209.9801,1080.1,330.6332
39,1145.03,188.7405,982.69,322.4649
40,719.88,185.454,1090.88,308.9596
41,709.46,218.0161,1104.25,321.0368
42,1146.56,189.2389,1246.19,312.0488
43,568.52,226.7847,797.49,340.1971
44,774.54,199.8591,1095.51,319.1829
45,586.29,176.0587,1064.01,304.3261
46,971.8,189.5468,1067.6,311.3699
47,1013.35,153.3641,1461.52,302.2502
48,896.87,189.6797,1161.08,314.8086
49,747.24,213.1253,1099.83,327.4759
50,763.02,208.5977,897.42,320.5433
51,958.13,196.4887,1327.53,312.798
52,1071.14,184.4164,1466.82,310.8371
53,1413.62,176.7904,1207.13,295.9988
54,836.72,210.474,1419.5,332.1977
55,1286.21,188.0651,1805.13,321.2836
56,1214.03,199.0382,1280.34,327.111
57,1539.58,160.4321,1677.22,306.822
58,1420.76,191.7629,2238.0,306.9944
59,713.25,135.6656,1995.21,300.2691
60,901.4,170.3594,1697.2,300.6474
61,1573.12,122.244,3187.43,287.9171
62,1200.93,130.8644,1971.95,287.9307
63,1409.08,135.5516,2235.07,286.4108
64,1401.44,147.1748,1790.93,300.3337
65,1544.89,158.7963,1591.17,311.8108
66,1121.0,171.1079,1807.89,311.3314
67,2372.1,119.736,2428.76,280.5236
68,1058.91,142.4677,2251.69,298.4238
69,996.07,128.0463,1664.08,285.5399
70,1222.72,199.1363,1718.87,319.3438
71,1593.93,118.7668,2523.35,285.096
72,1498.13,116.6835,1830.21,283.7172
73,2814.4,80.9797,3266.81,270.7671
74,1285.04,190.5374,1551.26,316.6891
75,2014.32,117.9059,3099.92,280.0848
76,2658.06,62.7287,4530.49,263.7135
77,3030.53,71.5364,4379.24,267.836
78,3303.66,90.2772,4363.23,275.472
79,1416.4,106.3712,3270.01,277.9813
80,4341.36,82.5038,4614.37,274.8993
81,1609.51,104.1423,3451.9,274.4119
82,2689.19,73.2479,4596.05,267.3393
83,2668.58,94.9621,3991.77,274.3577
84,1954.43,71.5326,4608.4,260.5531
85,2373.83,62.573,3955.28,253.8256
86,4458.81,82.1763,4566.66,270.7344
87,2372.44,71.264,4150.62,261.9552
88,3422.72,76.453,4686.85,263.5489
89,2089.98,58.3712,4468.54,260.5928
90,1732.79,83.4367,4315.83,262.6544
91,3302.66,89.242,4439.89,260.5108
92,1958.1,70.953,4050.74,253.1842
93,4481.9,88.1578,4317.6,267.842
94,3005.5,79.2026,3727.15,259.9455
95,3022.3,74.9253,4323.31,268.1137
96,2108.88,89.8727,4095.08,267.0474
97,3578.48,68.0523,4622.62,262.5533
98,1634.0,74.2358,3769.7,265.5908
99,1150.14,66.5688,4292.57,261.9967
100,4371.75,98.2408,4102.57,272.1853
101,3300.62,57.3878,4648.05,261.9552
102,2634.33,51.7504,4401.64,257.6867
103,4312.87,81.6305,3041.6,274.8871
104,3006.31,76.2992,4564.4,268.6801
105,1346.34,79.2394,3282.26,273.9991
106,2252.18,68.3083,4537.04,264.2953
107,2352.35,79.6681,3865.19,268.3292
108,1028.3,122.9409,2900.33,281.5723
109,2259.75,101.4495,3469.25,273.1298
110,2670.78,97.8016,3840.82,273.8034
111,1799.19,60.7603,4088.05,252.3724
112,2284.29,46.7568,4739.54,250.0267
113,2623.28,60.7268,4221.13,253.5018
114,2285.91,53.3532,3795.73,250.6808
115,1895.56,71.255,3567.85,254.1051
116,1913.39,111.5209,3465.12,273.5337
