Running Update Time,Real Det Return,Reward Loss,Running Env Steps,Running Forward KL,Real Sto Return,Running Reverse KL,Itration
0,225.04,322.1270446777344,0,31.9012,225.72,23.7255,0
1,263.22,261.85284423828125,5000,31.7055,259.84,24.2456,1
2,291.16,225.8080596923828,10000,30.5642,258.22,26.2111,2
3,322.08,54.4417610168457,15000,30.1431,315.8,22.4919,3
4,279.07,95.74151611328125,20000,30.6706,256.42,19.5592,4
5,399.83,4.647470474243164,25000,28.4528,368.21,19.8739,5
6,0.64,-374.0447998046875,30000,38.0956,1.16,188.2103,6
7,619.89,48.33901596069336,35000,27.4423,601.36,15.4,7
8,292.6,166.38034057617188,40000,24.1568,298.93,25.2386,8
9,847.46,206.5200653076172,45000,26.8432,634.82,31.0892,9
10,618.52,277.69940185546875,50000,26.4521,763.15,56.3787,10
11,1327.74,111.0936508178711,55000,27.3465,991.25,25.5426,11
12,963.38,-7.313424587249756,60000,27.8609,1232.67,25.0075,12
13,1830.28,-40.411468505859375,65000,26.7318,1720.19,19.024,13
14,1114.44,117.530517578125,70000,26.4854,1001.93,54.0356,14
15,1060.11,54.33434295654297,75000,24.6328,981.95,29.7843,15
16,2216.93,-32.78859329223633,80000,25.3674,1536.36,38.9329,16
17,943.87,18.90300750732422,85000,26.004,1232.13,40.1356,17
18,1764.89,-13.260062217712402,90000,24.5569,1754.6,20.5765,18
19,2609.3,-24.589399337768555,95000,25.5791,1582.31,23.0582,19
20,1223.63,-51.079002380371094,100000,25.0289,1364.18,31.1385,20
21,2365.67,-103.07484436035156,105000,24.6231,950.15,25.8043,21
22,838.94,-174.46961975097656,110000,26.4798,906.48,25.6719,22
23,1329.79,-146.77639770507812,115000,25.5686,1366.88,26.0077,23
24,858.07,-208.89956665039062,120000,26.5963,818.28,26.0783,24
25,1794.21,-181.35740661621094,125000,25.6299,1451.69,28.7697,25
26,827.97,-247.02781677246094,130000,26.2048,896.85,34.8948,26
27,2808.66,-212.39154052734375,135000,25.4362,2458.91,23.8971,27
28,1168.01,-289.9763488769531,140000,25.9796,1145.4,35.24,28
29,1041.41,-421.4715576171875,145000,26.627,1031.2,47.9325,29
30,1401.37,-411.2642822265625,150000,26.2426,936.91,30.2214,30
31,1000.21,-490.3343505859375,155000,27.0663,818.81,64.556,31
32,1930.49,-347.03277587890625,160000,25.2298,1336.82,38.7858,32
33,983.04,-565.4382934570312,165000,26.1456,870.18,66.7188,33
34,834.93,-627.4681396484375,170000,25.3711,790.76,65.6377,34
35,899.48,-603.4459228515625,175000,26.373,891.91,60.8409,35
36,890.34,-630.3947143554688,180000,25.3663,356.07,60.5653,36
37,3156.04,-642.784423828125,185000,25.6322,1674.04,48.3643,37
38,677.73,-826.783447265625,190000,26.0847,726.84,74.4023,38
39,2492.11,-870.123779296875,195000,25.9481,807.52,78.3336,39
40,914.57,-842.5867309570312,200000,26.2519,892.44,45.9923,40
41,904.89,-885.9412231445312,205000,25.7585,903.8,29.3026,41
42,2999.61,-738.671630859375,210000,25.0279,1050.52,31.4095,42
43,970.11,-946.7666625976562,215000,24.88,1080.09,46.1159,43
44,1316.68,-822.3670043945312,220000,25.0503,2248.51,32.7826,44
45,1262.77,-901.6786499023438,225000,24.5879,1683.95,34.3578,45
46,246.06,-884.719482421875,230000,25.2542,1329.82,18.4355,46
47,2238.83,-526.4215087890625,235000,24.596,2383.54,19.6325,47
48,2005.42,-488.89111328125,240000,23.4262,2257.16,17.75,48
49,2610.67,-1080.010498046875,245000,25.167,1518.32,44.1748,49
50,2784.29,-347.37677001953125,250000,23.7365,1796.58,12.6273,50
51,1118.25,-957.1317138671875,255000,24.4067,2047.75,41.0368,51
52,1216.54,-1217.0216064453125,260000,24.861,1942.65,50.0183,52
53,997.59,-1211.08056640625,265000,24.5508,1355.13,27.8285,53
54,2293.48,-981.3579711914062,270000,23.231,1722.0,29.7956,54
55,884.83,-1424.8502197265625,275000,24.3735,876.12,30.7986,55
56,3216.56,-378.35174560546875,280000,20.71,2445.24,11.9998,56
57,3315.61,-433.31695556640625,285000,22.1005,2550.55,14.3461,57
58,2573.03,-429.5096130371094,290000,20.6283,2323.8,12.8297,58
59,3167.86,-1143.249755859375,295000,23.1388,1418.43,23.4382,59
60,1980.54,-699.4581298828125,300000,22.564,1765.11,14.5961,60
61,2571.73,-1510.0506591796875,305000,23.275,1540.39,28.1841,61
62,996.68,-922.2381591796875,310000,23.8097,1527.68,18.2834,62
63,2805.03,-1015.1318969726562,315000,24.3589,1653.28,18.7352,63
64,1032.01,-1145.584228515625,320000,24.2546,559.39,35.6583,64
65,953.29,-1327.185791015625,325000,22.6693,1223.73,33.0091,65
66,3190.32,-1105.825439453125,330000,24.9994,1226.33,23.5022,66
67,750.54,-1206.091796875,335000,23.4677,1430.34,34.8714,67
