Reward Loss,Running Forward KL,Real Det Return,Running Reverse KL,Real Sto Return,Running Update Time,Itration,Running Env Steps
148.79522705078125,30.9293,361.62,25.529,339.91,0,0,0
131.89805603027344,31.1604,316.48,48.2425,307.67,1,1,5000
93.61898803710938,31.2815,398.77,59.8959,388.7,2,2,10000
55.54900360107422,28.2307,432.29,53.1643,415.85,3,3,15000
42.01787567138672,27.1953,607.55,29.6306,615.01,4,4,20000
12.987602233886719,27.6235,660.74,41.0681,627.7,5,5,25000
-313.1468811035156,37.7385,993.14,31.6377,994.63,6,6,30000
-6.362692356109619,28.2727,479.95,44.118,452.28,7,7,35000
-431.2657775878906,39.3575,996.65,25.0586,851.62,8,8,40000
-432.8345642089844,36.7024,1002.32,29.3087,1000.22,9,9,45000
-349.98919677734375,34.1807,1044.61,22.1891,1047.62,10,10,50000
-45.524696350097656,26.4825,1900.54,17.6512,1543.26,11,11,55000
-153.13153076171875,26.8063,719.3,36.3472,726.59,12,12,60000
-505.78631591796875,29.8208,1034.79,27.922,1030.48,13,13,65000
-690.1611328125,35.7175,994.39,41.8192,994.8,14,14,70000
-221.451171875,26.383,1325.42,18.8463,1452.81,15,15,75000
-257.8976745605469,26.8064,943.63,25.3291,914.05,16,16,80000
-242.18455505371094,26.0132,3014.32,24.8922,1389.91,17,17,85000
-239.9687042236328,25.4286,934.67,19.727,1684.44,18,18,90000
-197.27392578125,26.2086,2477.32,18.183,2272.1,19,19,95000
-163.1145477294922,25.828,3109.65,17.9532,2105.09,20,20,100000
-157.47923278808594,25.6501,2971.72,16.4008,2779.3,21,21,105000
-235.68885803222656,28.0162,410.14,18.2916,936.74,22,22,110000
-162.2904052734375,24.9583,3152.28,23.9896,1842.01,23,23,115000
-220.84738159179688,24.1592,1287.61,19.0113,2316.26,24,24,120000
-285.4263610839844,26.119,866.82,29.4704,960.59,25,25,125000
-353.17169189453125,24.5241,1124.42,21.8656,1656.74,26,26,130000
-269.93890380859375,24.0762,3130.13,18.4388,2152.51,27,27,135000
-355.4800109863281,24.9575,2103.48,20.3492,1337.03,28,28,140000
-281.0931396484375,25.091,1143.66,16.9638,1603.14,29,29,145000
-349.4685974121094,24.1442,1135.59,16.7918,2563.19,30,30,150000
-371.310791015625,26.768,2772.14,16.4688,2716.96,31,31,155000
-378.0862121582031,25.466,1131.86,22.7888,1572.16,32,32,160000
-481.4352111816406,25.2779,1644.28,19.7928,1622.37,33,33,165000
-314.3612060546875,25.7238,2963.96,17.5228,3031.02,34,34,170000
-248.01797485351562,24.7989,3192.92,16.5793,2914.99,35,35,175000
-326.83758544921875,24.286,3153.58,16.9629,2634.97,36,36,180000
-478.90887451171875,24.2394,1626.11,23.7253,1370.98,37,37,185000
-291.47564697265625,25.2563,3110.07,16.2764,2444.38,38,38,190000
-381.36090087890625,25.1874,2955.79,16.3534,2994.17,39,39,195000
-297.19757080078125,24.7809,3206.03,16.4373,2893.05,40,40,200000
-382.2422180175781,25.0157,2960.55,16.1578,3036.74,41,41,205000
-383.5584411621094,25.0577,3025.83,16.7803,3092.29,42,42,210000
-387.4627380371094,25.2212,2965.02,16.0381,2976.68,43,43,215000
-360.9378356933594,24.5694,3101.16,16.6586,3115.17,44,44,220000
-346.39422607421875,24.9542,3137.07,17.2071,3122.88,45,45,225000
-353.4479675292969,25.4753,3209.27,16.7158,2732.06,46,46,230000
-423.16021728515625,24.8324,3176.55,15.1686,2783.25,47,47,235000
-357.4392395019531,24.5982,3251.4,16.031,2817.83,48,48,240000
-368.1908264160156,24.6995,3190.15,16.6737,2925.28,49,49,245000
-368.6441955566406,24.1928,3178.51,15.6161,3123.14,50,50,250000
-659.9169921875,24.7498,3162.52,22.2207,1950.89,51,51,255000
-695.4454345703125,24.8054,3237.19,18.3203,1537.27,52,52,260000
-435.9323425292969,24.3923,3227.16,15.3493,2906.48,53,53,265000
-420.364501953125,24.0876,3178.61,15.4002,3191.69,54,54,270000
-656.995849609375,23.9884,3077.92,23.75,2037.95,55,55,275000
-895.40380859375,25.3387,1063.54,71.4477,918.55,56,56,280000
-608.5558471679688,24.8961,2720.88,14.1173,2769.19,57,57,285000
-568.6163940429688,25.2544,2958.9,15.9263,2805.23,58,58,290000
-575.260009765625,25.1267,2964.77,15.9911,2966.28,59,59,295000
-589.29541015625,24.0977,2696.65,13.472,2820.17,60,60,300000
-581.9573974609375,23.3489,3004.02,14.5493,3020.28,61,61,305000
-522.2715454101562,23.641,3265.1,16.1288,3254.92,62,62,310000
-494.62750244140625,23.4472,3235.98,15.7419,3215.98,63,63,315000
-637.6625366210938,23.6662,2170.41,17.9067,2321.81,64,64,320000
-251.91062927246094,22.0893,3253.02,13.9761,3039.2,65,65,325000
-806.8970336914062,22.4385,3264.58,14.1188,1669.47,66,66,330000
-669.5762939453125,22.1759,3231.36,14.9048,1923.02,67,67,335000
-565.4912719726562,22.787,3222.77,14.2386,3107.16,68,68,340000
-497.85992431640625,23.1081,3258.06,15.3644,3237.23,69,69,345000
-514.425048828125,22.8594,3255.6,14.6368,3131.16,70,70,350000
-543.0541381835938,22.9436,3227.24,15.4252,3210.8,71,71,355000
-557.298583984375,24.0177,3250.48,15.3853,3229.24,72,72,360000
-521.3544921875,22.5877,3254.83,14.5294,3219.51,73,73,365000
-676.962158203125,22.938,3252.11,13.9953,3169.9,74,74,370000
-548.7588500976562,23.2569,3298.87,15.3796,3275.06,75,75,375000
-630.097412109375,23.2617,3271.45,15.3465,2491.29,76,76,380000
-536.4065551757812,22.0091,3306.2,14.1084,2848.46,77,77,385000
-640.1055908203125,22.5462,165.8,13.4447,588.42,78,78,390000
-601.3778686523438,22.6645,3259.87,14.533,3117.68,79,79,395000
-720.7965698242188,23.2015,3246.27,14.2489,2487.87,80,80,400000
-620.562744140625,23.6563,3320.91,15.8783,3301.36,81,81,405000
-543.5542602539062,21.0825,3295.23,13.5094,3114.04,82,82,410000
-533.7252197265625,21.7358,3314.22,14.7375,3313.8,83,83,415000
-691.4991455078125,23.0995,3279.05,13.6601,2463.17,84,84,420000
-741.7028198242188,22.0494,3311.38,14.711,2474.23,85,85,425000
-572.4393920898438,22.6404,3305.33,14.7179,3293.96,86,86,430000
-622.1566162109375,22.2326,3263.28,14.967,3259.11,87,87,435000
