Running Reverse KL,Running Env Steps,Running Forward KL,Real Det Return,Reward Loss,Running Update Time,Real Sto Return,Itration
20.2849,0,32.8131,203.82,-1453.193359375,0,207.25,0
13.9149,5000,29.3843,268.04,-1154.4697265625,1,281.34,1
37.7863,10000,31.2366,324.87,-1308.7503662109375,2,317.53,2
48.0762,15000,29.0689,412.81,-1338.8466796875,3,390.6,3
39.8026,20000,28.2682,385.36,-1492.570068359375,4,384.31,4
47.5545,25000,28.3076,484.95,-1242.00439453125,5,457.37,5
24.9512,30000,26.0553,485.09,-1531.4891357421875,6,444.52,6
27.8612,35000,26.2143,651.05,-1327.3175048828125,7,582.73,7
35.0083,40000,26.8032,552.29,-1661.287109375,8,462.57,8
31.6334,45000,27.1294,602.21,-1647.217041015625,9,552.18,9
27.992,50000,27.7879,672.35,-1584.1231689453125,10,653.12,10
28.966,55000,27.2411,656.56,-1644.7615966796875,11,653.53,11
23.8848,60000,28.0948,834.37,-1562.805908203125,12,816.5,12
34.4855,65000,27.4744,893.14,-1492.6351318359375,13,859.07,13
21.1765,70000,26.2745,880.37,-1591.5770263671875,14,862.99,14
19.7248,75000,25.9396,964.05,-1602.4090576171875,15,912.86,15
23.3532,80000,25.9018,1149.51,-1591.822021484375,16,1064.11,16
23.6283,85000,27.6964,708.49,-1929.45703125,17,747.79,17
19.2283,90000,24.6663,1077.56,-1572.69921875,18,1773.81,18
16.0742,95000,24.7293,1932.89,-1191.874267578125,19,1297.45,19
15.1109,100000,24.5043,3098.08,-613.4403076171875,20,2704.6,20
14.2889,105000,23.306,1276.51,-1131.327880859375,21,1594.9,21
16.41,110000,23.604,2998.76,-902.9532470703125,22,2965.34,22
16.4573,115000,24.3603,2921.21,-851.2212524414062,23,2671.97,23
15.3116,120000,23.8179,3108.38,-851.232666015625,24,2583.67,24
16.4032,125000,24.3464,2804.56,-1451.29541015625,25,2502.54,25
21.7027,130000,25.6475,928.26,-2157.683349609375,26,1030.8,26
27.823,135000,25.5614,1551.94,-2057.05615234375,27,1233.21,27
16.9703,140000,24.7914,2710.65,-1058.048828125,28,2726.91,28
17.7222,145000,23.6584,3028.45,-1120.96044921875,29,2635.29,29
135.5948,150000,26.6859,211.75,-3175.0849609375,30,650.92,30
18.6208,155000,23.8819,1044.58,-2213.177734375,31,767.98,31
15.8282,160000,23.2118,3215.58,-767.2035522460938,32,2693.29,32
19.8797,165000,23.2903,3378.36,-964.5242309570312,33,2783.86,33
12.9372,170000,22.5014,3285.91,-631.0147705078125,34,3006.8,34
15.384,175000,21.5538,3418.43,-449.4681396484375,35,2910.99,35
12.3238,180000,20.9443,3471.35,-475.01068115234375,36,3306.83,36
14.1235,185000,22.882,3019.6,-1123.4302978515625,37,1966.96,37
11.316,190000,20.0255,3257.39,-481.92999267578125,38,3309.87,38
12.6418,195000,22.086,3401.16,-383.2170715332031,39,3286.03,39
11.9495,200000,21.8072,3418.91,-849.8916015625,40,2567.53,40
13.6307,205000,20.9534,3405.12,-492.51495361328125,41,3401.19,41
13.7025,210000,20.9431,3320.74,-1013.5257568359375,42,2568.15,42
13.3152,215000,21.0009,3323.62,-1546.550048828125,43,1650.87,43
14.7251,220000,22.8718,3467.02,-583.6881713867188,44,3468.09,44
11.4648,225000,20.0858,3441.34,-499.2979736328125,45,3179.76,45
22.0549,230000,20.5638,1332.84,-1274.1114501953125,46,1738.74,46
23.42,235000,20.8404,2437.48,-1186.8779296875,47,1754.12,47
14.9056,240000,20.2014,3189.71,-682.448486328125,48,3287.7,48
10.1274,245000,19.4187,3060.24,-691.2960815429688,49,3151.26,49
16.8157,250000,21.9575,2272.39,-1235.148193359375,50,2117.67,50
12.1969,255000,21.5253,3513.69,-946.2000122070312,51,2795.05,51
11.6708,260000,20.474,3388.56,-604.558349609375,52,3261.3,52
14.1746,265000,22.2309,3424.79,-732.4334716796875,53,3376.64,53
12.2202,270000,21.1106,3387.51,-634.29150390625,54,3208.42,54
19.0556,275000,20.3434,3479.27,-1175.634033203125,55,2265.97,55
13.7774,280000,21.4893,3498.97,-621.9734497070312,56,3399.3,56
29.8069,285000,21.5872,3456.82,-1749.1893310546875,57,1855.82,57
16.5633,290000,24.6676,3478.57,-854.9109497070312,58,3472.93,58
17.4936,295000,24.0948,3589.26,-974.510986328125,59,2133.84,59
14.0207,300000,21.5115,3365.18,-728.9508666992188,60,2964.68,60
13.7575,305000,22.1395,3315.49,-695.3163452148438,61,2973.78,61
13.0907,310000,20.897,3468.1,-544.6876220703125,62,3363.04,62
22.8922,315000,21.9052,3356.75,-1876.7105712890625,63,1806.18,63
14.0429,320000,21.6323,3460.03,-1104.5340576171875,64,2736.06,64
16.1195,325000,21.6426,3547.73,-1218.83837890625,65,2758.24,65
20.7798,330000,21.2877,3578.51,-1769.335205078125,66,2228.98,66
15.6748,335000,22.9671,3530.95,-818.0089111328125,67,3524.21,67
17.6339,340000,19.6547,3328.05,-1161.3157958984375,68,2697.07,68
13.93,345000,21.5224,3464.26,-879.0006713867188,69,3442.27,69
13.0057,350000,20.9772,3485.87,-790.5762939453125,70,3337.66,70
12.0851,355000,20.4874,3458.26,-732.8369140625,71,3470.92,71
11.7425,360000,19.9183,3475.5,-665.3141479492188,72,3388.5,72
14.1943,365000,20.1701,3463.27,-739.1312866210938,73,2983.66,73
15.7675,370000,20.3149,3379.96,-948.368896484375,74,3061.87,74
12.608,375000,20.1589,3509.54,-815.219482421875,75,3496.49,75
