Real Sto Return,Itration,Running Reverse KL,Real Det Return,Running Forward KL
-42.3,0,25.9545,143.63,75.2772
-91.92,1,26.6655,203.66,74.0526
-50.5,2,26.9845,344.88,74.5119
-10.4,3,27.6903,398.48,73.9683
10.17,4,27.9615,509.06,73.9813
26.59,5,28.7342,588.29,73.0405
52.81,6,29.2582,570.26,73.1528
76.17,7,30.0716,795.89,73.2823
86.31,8,30.1692,683.38,73.9623
148.97,9,30.4298,811.98,72.0405
122.94,10,30.8918,866.09,71.6527
86.82,11,30.1003,789.39,72.4771
188.35,12,30.0018,810.29,71.4412
229.63,13,30.241,680.4,71.7736
103.29,14,29.9289,538.71,71.6703
170.6,15,31.1582,783.52,72.9585
157.62,16,30.5203,739.08,73.5692
203.6,17,30.1061,562.86,71.179
149.26,18,30.8421,577.54,71.8028
144.74,19,30.8028,877.86,73.1218
165.55,20,30.0236,777.44,70.4661
205.09,21,30.5436,561.86,72.0841
220.61,22,30.3212,757.48,69.22
197.77,23,31.0725,697.95,71.9576
242.81,24,31.0691,662.4,70.8456
212.36,25,30.1582,563.83,71.7345
213.29,26,29.9259,647.19,67.9456
252.55,27,30.6548,622.46,71.9326
329.63,28,30.2322,915.03,70.4594
287.87,29,30.2807,576.63,70.3668
262.57,30,30.3291,651.06,70.8963
197.42,31,30.4448,700.57,70.3465
364.93,32,29.2299,868.88,67.0228
316.9,33,30.769,964.76,70.2931
253.28,34,29.8701,779.39,70.4959
268.47,35,28.6147,1118.72,66.6378
319.99,36,30.3783,1037.3,70.9279
359.65,37,30.1993,1037.65,69.2811
304.25,38,28.7662,859.11,68.3336
318.7,39,30.2073,892.13,71.1463
274.2,40,29.0919,706.92,68.0861
301.64,41,29.4741,962.25,68.9272
345.32,42,28.9121,985.66,66.4845
333.51,43,28.3831,658.73,67.1511
321.39,44,28.5072,1042.5,66.6666
461.99,45,27.3025,1138.8,64.5201
602.76,46,28.8935,974.83,65.5609
349.88,47,29.1304,917.51,67.3884
806.94,48,28.1347,1493.44,64.0809
550.19,49,28.842,1395.44,65.8205
623.25,50,26.2143,1714.67,62.3733
832.18,51,27.2416,1779.35,63.4679
481.9,52,26.8368,1496.69,61.6923
478.81,53,28.0668,956.87,65.0304
639.49,54,26.6843,1364.75,61.963
511.76,55,27.7418,934.97,64.809
510.12,56,27.133,1065.02,63.2095
630.14,57,27.1057,1433.75,62.1338
494.07,58,27.8716,1251.48,65.051
582.26,59,26.5849,1108.43,61.0741
595.47,60,24.8532,1388.0,58.9222
935.17,61,23.7993,1735.32,56.18
358.59,62,28.1501,990.86,66.4623
852.95,63,24.1122,1900.68,58.9992
987.55,64,25.7677,1366.7,60.1118
733.31,65,24.7093,1448.22,58.3468
777.98,66,25.6472,1397.46,61.9074
666.98,67,23.8054,1484.22,57.6081
965.46,68,23.637,2128.29,56.5034
601.66,69,25.7286,1056.5,61.455
1013.48,70,25.0349,1870.29,58.5362
1238.67,71,22.9333,2147.19,49.8476
1056.7,72,23.3809,2007.77,56.79
1534.05,73,25.884,1976.15,57.3384
1214.75,74,22.5392,2330.01,51.9394
904.97,75,26.1481,1504.38,61.025
504.87,76,21.8603,1559.04,55.1733
969.78,77,25.0885,1617.19,56.626
807.45,78,23.5839,1735.49,55.4399
1016.81,79,23.9114,1483.88,57.509
1952.37,80,27.3481,2699.21,53.5472
947.22,81,21.4374,1604.49,54.5515
815.52,82,23.5058,1641.42,56.7893
1335.03,83,22.3867,2036.88,53.6404
1599.25,84,22.7698,2525.14,51.2126
726.7,85,23.3439,1207.99,54.4366
1178.56,86,21.109,1725.91,51.5802
888.06,87,22.2899,1465.89,52.1332
1617.91,88,26.9042,2280.5,50.1094
875.48,89,22.9673,2003.23,55.187
1255.96,90,24.0854,2658.71,52.6857
1213.55,91,23.357,1722.63,50.9739
1198.09,92,24.6865,2253.43,55.9837
1439.85,93,22.3149,2195.23,50.8959
1152.93,94,27.932,2092.92,58.1095
1064.38,95,21.9101,2101.11,53.7547
1896.16,96,23.8746,2548.14,48.8643
1560.9,97,21.6611,2743.98,50.8512
1314.19,98,20.0105,1915.71,51.961
613.43,99,24.4034,1482.7,59.467
1238.67,100,20.5729,1894.09,50.6022
1168.19,101,21.3974,2307.66,54.5433
1907.78,102,25.7548,2263.4,56.2067
1628.05,103,21.7184,2856.41,52.404
1576.82,104,26.4496,2691.16,52.3103
2033.88,105,31.4182,2660.14,58.9651
2243.22,106,26.3865,2866.49,53.4603
1124.5,107,25.0173,2343.11,54.4404
1329.29,108,27.6652,2457.19,52.705
1207.95,109,24.8491,1245.01,55.8194
1350.86,110,21.3637,1800.16,49.8761
2092.91,111,23.4611,2812.42,55.3264
1675.17,112,21.6486,2379.78,54.6767
2103.48,113,26.5932,2619.94,56.312
937.89,114,20.9843,976.44,54.0881
1257.76,115,23.9769,2137.36,55.7297
2117.28,116,27.2869,2578.91,54.9213
714.01,117,23.7571,834.12,58.4659
1450.26,118,21.4748,2509.08,51.2982
1638.71,119,26.7963,2982.17,51.8028
1795.9,120,28.135,2998.97,53.4468
1257.07,121,21.5614,1737.92,53.5053
2610.74,122,30.609,3247.05,55.6183
2737.17,123,30.6396,3221.83,56.5084
1561.18,124,25.5094,2729.74,51.7597
2470.88,125,27.0668,2970.2,54.2719
2615.84,126,28.2046,3066.3,54.0935
2382.6,127,27.479,2882.12,55.8065
2674.56,128,32.8581,2833.4,54.5563
772.33,129,23.2522,1126.72,55.252
1079.11,130,28.8875,1354.85,58.3704
1747.69,131,25.6721,2150.26,56.5025
2248.3,132,26.1459,3728.41,51.5347
1701.15,133,22.4911,2333.46,53.0086
2537.38,134,26.8937,2934.34,56.0588
2457.47,135,28.7583,3065.48,54.2802
2772.83,136,27.9407,3814.94,55.0306
1394.92,137,24.3096,1941.33,57.7803
2104.5,138,28.2293,1873.37,55.5661
1928.46,139,24.0374,2282.84,56.6153
1667.83,140,27.5656,2946.28,56.0496
2702.8,141,28.7043,3645.67,58.8143
2950.18,142,34.1187,3211.42,61.5596
3229.38,143,50.7447,3808.0,65.4266
2322.06,144,28.2455,3438.52,57.9141
1410.23,145,27.4344,1711.97,55.8744
3440.86,146,44.2762,3729.17,61.4042
3004.09,147,34.5313,3054.71,60.7142
1806.59,148,26.7619,2947.46,56.1618
2066.47,149,36.4669,2227.93,64.0036
2264.87,150,28.7431,1863.72,60.2922
2916.36,151,39.2012,2586.53,61.8253
2541.25,152,38.0629,3047.15,58.2046
1703.72,153,34.5506,1743.94,58.0689
2461.62,154,34.0381,3165.69,58.8806
2025.35,155,31.121,1594.33,58.3522
1779.67,156,34.1516,2538.0,59.2994
2923.11,157,35.7254,3583.87,58.7695
2563.09,158,34.433,3051.75,59.8661
2459.18,159,39.7414,2968.61,60.5846
3419.08,160,34.3028,3183.57,57.7059
3215.13,161,46.9233,3757.42,69.9832
2663.87,162,37.8722,3278.3,61.0299
2169.0,163,39.1477,2523.21,63.2399
3269.05,164,39.7166,3744.13,64.9697
3501.32,165,45.3245,3544.58,65.1938
3288.33,166,48.9256,3921.71,66.45
2804.91,167,45.7999,4166.91,64.2575
3173.33,168,47.6689,3953.16,68.5709
2747.75,169,44.3727,3208.68,64.9219
3259.95,170,49.597,4213.59,66.2305
3689.38,171,42.372,3784.04,63.3504
2393.79,172,32.7846,2275.72,58.6551
2629.07,173,42.2398,3079.35,62.3942
2584.44,174,40.016,3938.87,60.5541
2724.55,175,38.3387,3407.46,65.0353
3816.74,176,43.3553,4072.93,64.1104
3271.39,177,35.9835,3288.93,62.7675
2848.19,178,41.0558,2733.48,63.7527
2543.08,179,36.9089,3928.37,61.6908
3168.48,180,46.386,3674.48,65.5968
3103.45,181,45.6693,3897.0,63.8353
2221.4,182,36.6751,2913.25,62.824
3737.09,183,39.0448,4088.09,61.5727
2269.99,184,42.1165,3340.82,61.0847
3955.31,185,49.837,4175.41,67.2176
2743.42,186,40.857,3870.48,61.5129
3769.57,187,59.8104,4141.77,72.7014
3410.25,188,46.556,3232.16,64.2209
2996.43,189,42.8502,3836.67,66.0081
3134.68,190,39.6108,3055.72,63.5372
3218.87,191,52.5588,2980.05,67.2746
3755.8,192,47.8901,3407.74,62.3975
4015.44,193,48.0401,4235.64,64.7587
3816.13,194,42.8562,3878.39,61.3446
3744.69,195,43.2638,4137.75,62.3724
3672.8,196,50.9248,4725.96,63.5947
2886.08,197,43.5198,3369.15,64.9565
3800.31,198,49.4852,4409.95,66.8987
3983.22,199,52.1586,3867.69,66.2841
3155.33,200,55.882,4317.51,70.4665
