Running Update Time,Real Det Return,Running Env Steps,Real Sto Return,Itration,Running Reverse KL,Running Forward KL,Reward Loss
0,432.7,0,406.84,0,13.289,49.8346,65.36018371582031
1,291.01,5000,301.48,1,17.473,49.0909,-20.23375701904297
2,413.64,10000,501.78,2,17.2694,48.94,-8.336991310119629
3,433.05,15000,424.96,3,16.0358,48.869,139.23284912109375
4,432.94,20000,418.95,4,14.1384,49.3099,58.066932678222656
5,407.61,25000,482.53,5,19.0438,49.1996,24.809598922729492
6,719.41,30000,499.81,6,25.1036,49.8844,-8.14676284790039
7,500.62,35000,484.17,7,37.5496,48.9616,-72.29499816894531
8,1032.87,40000,987.91,8,21.8575,48.931,-39.357303619384766
9,756.38,45000,879.26,9,14.1984,48.0677,-16.925439834594727
10,737.2,50000,807.11,10,14.3994,46.7082,2.219810962677002
11,731.27,55000,627.07,11,17.3375,47.8915,-53.134918212890625
12,708.61,60000,714.4,12,17.2249,46.9048,-94.08189392089844
13,1277.44,65000,1084.66,13,18.6482,46.8561,-111.70865631103516
14,1488.24,70000,1049.19,14,19.6957,47.4322,-87.02098083496094
15,1171.54,75000,933.65,15,24.5809,47.3834,-123.79971313476562
16,1002.19,80000,984.35,16,13.7144,46.6346,-69.0662841796875
17,901.36,85000,1127.57,17,28.9266,46.3383,-156.01016235351562
18,816.69,90000,1350.21,18,18.3021,46.3235,-153.9567108154297
19,1249.16,95000,1461.65,19,13.1812,45.9367,-86.36526489257812
20,2838.16,100000,1841.37,20,14.7045,45.9442,-141.68336486816406
21,956.78,105000,963.47,21,15.3555,45.839,-162.3587188720703
22,1829.96,110000,1408.77,22,14.0576,45.4249,-151.1117401123047
23,2672.19,115000,2186.76,23,15.0455,44.9239,-143.8192901611328
24,3373.07,120000,2814.79,24,14.1717,44.7081,-122.15495300292969
25,2895.52,125000,1918.91,25,12.8331,44.4032,-129.53656005859375
26,3151.68,130000,2720.48,26,15.1676,44.7049,-145.67181396484375
27,3453.74,135000,2982.4,27,15.0123,44.8408,-144.48471069335938
28,3172.89,140000,2794.82,28,16.2062,45.0682,-174.13690185546875
29,2058.31,145000,2372.46,29,21.8139,44.8299,-265.6142578125
30,3320.85,150000,2666.63,30,15.3951,44.6963,-197.68035888671875
31,3174.47,155000,2382.46,31,12.9552,45.0386,-183.68148803710938
32,3364.01,160000,3141.59,32,15.8086,44.5145,-195.66700744628906
33,3316.16,165000,3327.34,33,16.9629,44.3771,-208.94985961914062
34,2716.43,170000,2926.9,34,16.4475,44.2539,-206.98541259765625
35,3092.01,175000,2856.65,35,16.5319,44.7867,-221.97894287109375
