Running Update Time,Itration,Running Forward KL,Running Env Steps,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return
0,0,32.0711,0,240.89,17.8996,369.3499450683594,257.55
1,1,32.1294,5000,275.15,46.1359,884.0601806640625,251.18
2,2,31.1369,10000,238.91,35.1876,859.48681640625,255.93
3,3,29.2279,15000,328.45,20.3815,662.0941162109375,331.55
4,4,26.9247,20000,519.56,23.2182,420.17547607421875,466.16
5,5,30.4344,25000,426.16,23.6242,726.595458984375,439.62
6,6,29.5562,30000,434.9,19.1933,501.1163635253906,429.44
7,7,24.7187,35000,579.66,16.8843,475.3966369628906,863.09
8,8,27.9033,40000,689.01,13.9272,494.3475341796875,796.61
9,9,26.3955,45000,693.91,13.5605,536.9385986328125,691.23
10,10,25.6435,50000,753.74,36.8254,418.27740478515625,758.7
11,11,25.9049,55000,761.22,19.2361,294.9548645019531,809.0
12,12,27.5262,60000,617.44,14.6912,246.08016967773438,601.66
13,13,26.5618,65000,609.71,41.6962,272.4195861816406,696.37
14,14,27.1426,70000,650.88,22.9994,184.1464080810547,640.96
15,15,27.6982,75000,673.08,35.0164,165.6673126220703,652.06
16,16,23.315,80000,1827.86,22.4512,79.14840698242188,2845.48
17,17,26.1481,85000,1100.96,27.7007,77.69142150878906,966.33
18,18,23.8642,90000,1230.9,20.4876,-40.44153594970703,1085.48
19,19,25.766,95000,941.91,32.5637,-73.01909637451172,877.7
20,20,25.9043,100000,885.63,41.9281,-131.42990112304688,931.3
21,21,23.0673,105000,1896.57,19.0322,-33.92021179199219,3126.57
22,22,25.7265,110000,1068.95,35.677,-92.86509704589844,851.87
23,23,24.1511,115000,1358.1,28.766,-123.6675796508789,3234.08
24,24,25.9638,120000,1032.27,29.1814,-192.4619598388672,1568.39
25,25,24.9351,125000,989.29,36.568,-212.23219299316406,1136.22
26,26,24.3799,130000,1562.91,20.4196,-152.93161010742188,1964.69
27,27,23.257,135000,1726.08,14.0895,-74.8658447265625,2371.95
28,28,22.9926,140000,1728.56,27.0377,-302.0362243652344,2384.05
29,29,24.7769,145000,1334.2,33.1118,-425.2220764160156,1247.21
30,30,23.003,150000,1780.72,20.9294,-397.2295837402344,3103.48
31,31,23.7699,155000,1717.41,33.4866,-553.81494140625,3220.87
32,32,23.8223,160000,1849.15,25.723,-411.8636779785156,2446.79
