Reward Loss,Running Update Time,Real Det Return,Running Env Steps,Itration,Real Sto Return,Running Forward KL,Running Reverse KL
74.33879089355469,0,-79.71,0,0,-204.29,158.3669,11.1876
27.847110748291016,1,22.94,5000,1,-119.9,158.1431,11.2207
16.57211685180664,2,549.57,10000,2,6.56,158.1983,11.7344
-8.727968215942383,3,155.19,15000,3,201.22,158.0614,12.1035
-54.27366638183594,4,140.1,20000,4,269.14,158.163,12.4543
-32.26655578613281,5,896.43,25000,5,429.18,158.1124,13.2783
-43.5608024597168,6,987.13,30000,6,452.85,157.921,13.4666
-63.73822784423828,7,1147.14,35000,7,681.6,158.0418,13.9986
-103.16163635253906,8,1122.26,40000,8,763.66,158.0484,14.6149
-109.63749694824219,9,1077.38,45000,9,871.45,157.9726,15.1974
-156.85385131835938,10,1334.01,50000,10,931.7,158.2064,15.6877
-200.38885498046875,11,1415.75,55000,11,1001.18,158.2618,16.0478
-214.3292999267578,12,1506.36,60000,12,1072.49,157.8131,16.2123
-250.48190307617188,13,1587.34,65000,13,1152.28,158.012,16.5254
-279.1849365234375,14,1574.11,70000,14,1149.91,157.7313,16.1918
-328.40679931640625,15,1689.9,75000,15,1160.01,157.8899,16.2243
-353.5800476074219,16,1703.95,80000,16,1243.33,157.8857,16.47
-385.6463317871094,17,1744.93,85000,17,1292.83,157.8821,16.6181
-430.8506774902344,18,1753.27,90000,18,1296.61,157.9949,16.6486
-472.206298828125,19,1768.08,95000,19,1348.02,157.6942,16.3588
-480.90167236328125,20,1829.12,100000,20,1410.49,157.9558,17.177
-538.0646362304688,21,1841.41,105000,21,1404.6,157.7363,16.8375
-571.4429321289062,22,1870.95,110000,22,1430.67,157.8641,16.8497
-608.7482299804688,23,1892.23,115000,23,1469.12,157.748,17.1968
-651.0663452148438,24,1889.21,120000,24,1494.84,157.7511,16.9428
-671.701171875,25,1943.36,125000,25,1515.29,157.5489,16.8683
-733.3461303710938,26,1914.19,130000,26,1529.45,157.3918,16.3219
-770.2485961914062,27,1937.98,135000,27,1521.42,157.5835,16.0417
-806.9959106445312,28,1964.15,140000,28,1543.57,157.6665,16.8122
-861.216796875,29,1971.45,145000,29,1608.03,157.4479,16.7567
-898.248779296875,30,1932.33,150000,30,1557.55,157.4537,16.5804
-924.0429077148438,31,1985.57,155000,31,1605.67,157.4773,16.7292
-973.297607421875,32,1945.48,160000,32,1596.71,157.3888,16.3163
-998.3525390625,33,1972.27,165000,33,1596.4,157.6074,16.3641
-1035.7501220703125,34,1993.37,170000,34,1602.76,157.4218,16.5397
-1082.1256103515625,35,1984.39,175000,35,1611.46,157.3425,16.4093
-1119.974609375,36,2033.88,180000,36,1649.41,157.4932,16.7724
-1158.041259765625,37,2006.03,185000,37,1622.82,157.2195,16.168
-1198.99365234375,38,2027.41,190000,38,1662.5,157.4094,16.4386
-1237.922119140625,39,2048.24,195000,39,1653.67,157.4965,16.2175
-1280.9295654296875,40,2001.77,200000,40,1629.43,157.4552,16.1891
-1318.479248046875,41,2014.42,205000,41,1647.13,157.5113,16.2861
-1355.32470703125,42,1961.31,210000,42,1633.87,157.4209,16.1105
-1382.602294921875,43,2027.43,215000,43,1637.6,157.1447,16.1127
-1434.085205078125,44,2043.15,220000,44,1648.23,157.4156,16.2459
-1462.96728515625,45,1988.28,225000,45,1661.49,157.2851,15.9517
-1495.6771240234375,46,2019.67,230000,46,1664.7,157.3153,16.2101
-1529.013916015625,47,2098.21,235000,47,1691.37,157.3409,16.2831
-1575.7281494140625,48,2077.69,240000,48,1692.63,157.4922,16.4338
-1602.782470703125,49,2072.64,245000,49,1688.51,157.3515,16.2504
-1661.5438232421875,50,2001.91,250000,50,1657.83,157.4182,15.999
-1693.7254638671875,51,2035.69,255000,51,1659.98,157.1555,16.0116
-1714.32275390625,52,2086.5,260000,52,1709.06,157.2589,16.1256
-1753.9222412109375,53,2012.76,265000,53,1652.3,157.2871,16.2603
-1810.0673828125,54,2032.29,270000,54,1663.05,157.3475,16.0208
-1845.23095703125,55,2012.64,275000,55,1720.13,157.1657,15.8839
-1891.864013671875,56,2039.19,280000,56,1710.38,157.2192,15.8447
-1914.287109375,57,2109.12,285000,57,1733.48,157.3064,16.312
-1960.30078125,58,2120.75,290000,58,1743.42,157.2722,16.3063
-1979.1693115234375,59,2084.11,295000,59,1710.41,156.9433,15.7746
-2041.2587890625,60,2049.6,300000,60,1706.48,157.1322,15.892
-2089.291015625,61,1930.18,305000,61,1659.02,157.1538,15.573
-2127.153076171875,62,1960.08,310000,62,1670.3,156.9719,15.7559
-2145.095703125,63,2056.9,315000,63,1728.59,156.9241,16.1364
-2197.46533203125,64,2026.84,320000,64,1698.56,156.9347,15.7498
-2225.3203125,65,1971.04,325000,65,1654.95,157.1305,15.77
-2279.26318359375,66,2035.68,330000,66,1722.8,157.0895,15.785
-2305.95166015625,67,2104.15,335000,67,1701.66,157.1971,15.8469
-2343.322265625,68,2063.92,340000,68,1744.24,157.0671,15.7623
-2393.1171875,69,2082.78,345000,69,1736.35,156.9934,16.0955
-2449.36181640625,70,2077.03,350000,70,1714.68,157.3009,16.1036
-2482.34375,71,2096.27,355000,71,1735.31,157.1058,15.6624
-2514.99267578125,72,2088.46,360000,72,1735.85,157.1638,16.0062
-2564.044677734375,73,2015.99,365000,73,1720.48,156.9972,15.6299
-2592.633544921875,74,2112.89,370000,74,1780.59,157.0586,16.1056
-2626.632568359375,75,2076.06,375000,75,1723.45,156.9717,15.5295
-2672.8828125,76,2102.28,380000,76,1750.6,156.9266,15.7939
-2721.859619140625,77,2155.18,385000,77,1782.5,157.0014,16.1397
-2762.686767578125,78,2120.89,390000,78,1758.66,157.0424,15.9991
-2801.72119140625,79,2083.04,395000,79,1765.68,157.1579,15.8707
-2852.140869140625,80,2130.25,400000,80,1768.19,157.0211,15.7523
-2890.572265625,81,2094.47,405000,81,1770.76,156.9462,15.5724
-2927.16650390625,82,2127.71,410000,82,1764.19,156.9205,15.897
-2956.28125,83,2064.22,415000,83,1737.49,156.8442,15.3488
-3005.77392578125,84,2096.23,420000,84,1777.74,156.9219,15.5759
-3045.298095703125,85,2063.09,425000,85,1733.09,156.7977,15.4193
-3079.759033203125,86,2169.49,430000,86,1789.76,157.1203,15.6281
-3157.1943359375,87,2144.88,435000,87,1784.54,156.9735,15.7363
-3198.375244140625,88,2129.57,440000,88,1781.27,156.9768,15.7483
-3223.77978515625,89,2071.71,445000,89,1751.64,157.0265,15.4573
-3281.99462890625,90,2134.96,450000,90,1776.7,156.8321,15.7044
-3315.089599609375,91,2133.84,455000,91,1812.8,156.8814,15.7079
-3353.59912109375,92,2068.1,460000,92,1762.29,156.8479,15.3845
-3394.1982421875,93,2181.23,465000,93,1794.29,157.0265,15.6717
-3436.634033203125,94,2090.31,470000,94,1775.63,156.9062,15.4573
-3499.356201171875,95,2175.46,475000,95,1818.69,156.9486,16.0363
-3550.318115234375,96,2136.8,480000,96,1784.23,157.0061,15.6145
-3602.47021484375,97,2093.53,485000,97,1769.13,156.7499,15.5847
-3600.019775390625,98,2175.71,490000,98,1832.0,157.0353,15.6934
-3658.158935546875,99,2136.96,495000,99,1798.38,156.9699,15.6753
-3724.838134765625,100,2135.2,500000,100,1803.51,157.0631,15.9136
-3762.99755859375,101,2092.0,505000,101,1753.66,156.7984,15.5061
-3822.5390625,102,2114.29,510000,102,1793.62,157.0323,15.9926
-3843.661865234375,103,2144.04,515000,103,1796.54,156.7871,15.5913
-3889.346435546875,104,2138.01,520000,104,1796.7,156.942,15.2086
-3930.535888671875,105,2138.06,525000,105,1794.99,156.8264,15.4684
-4004.17236328125,106,2174.91,530000,106,1819.17,156.8036,15.7833
-4042.389404296875,107,2121.05,535000,107,1805.26,156.8296,15.2677
-4086.620361328125,108,2171.25,540000,108,1811.76,156.8875,15.6739
-4136.4873046875,109,2151.78,545000,109,1810.73,156.8668,15.5439
-4200.53173828125,110,2179.97,550000,110,1820.62,156.9232,15.932
-4219.13623046875,111,2149.93,555000,111,1790.72,156.8835,15.447
-4267.00634765625,112,2118.83,560000,112,1810.58,156.707,15.4364
-4317.7998046875,113,2228.86,565000,113,1845.04,156.6645,15.6578
-4403.38623046875,114,2143.98,570000,114,1782.74,157.1241,15.3264
-4436.7294921875,115,2165.95,575000,115,1816.41,156.8724,15.6886
-4455.8740234375,116,2191.86,580000,116,1822.86,156.8139,15.4333
-4516.05029296875,117,2188.58,585000,117,1855.12,156.6043,15.4988
-4558.33251953125,118,2178.88,590000,118,1837.6,156.7534,15.4662
