Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return,Itration,Reward Loss,Running Forward KL,Running Update Time
780000,5456.69,83.4617,5425.96,156,-2625.404296875,85.5709,156
785000,5645.87,78.2929,5233.38,157,-2641.98583984375,82.4306,157
790000,5233.67,80.4914,5113.77,158,-2723.57080078125,84.8524,158
795000,5314.31,71.6552,4747.85,159,-2573.978515625,74.0537,159
800000,5717.0,79.7013,5144.71,160,-2767.707275390625,85.0461,160
805000,5505.3,71.2204,5465.77,161,-2650.063720703125,74.7192,161
810000,5621.07,72.7017,5235.01,162,-2784.877197265625,76.0793,162
815000,5725.77,78.2407,5411.45,163,-2886.040771484375,79.1934,163
820000,5596.35,80.5868,5121.4,164,-2913.276611328125,80.0601,164
825000,5780.19,79.0931,5518.42,165,-2934.0419921875,83.3601,165
830000,5328.8,79.5746,5361.76,166,-3108.013916015625,81.6649,166
835000,5465.43,79.045,4982.27,167,-3028.715576171875,83.3855,167
840000,5594.62,78.2383,4911.25,168,-3079.455322265625,81.9801,168
845000,5264.83,79.1725,4086.47,169,-3145.92236328125,84.4768,169
850000,5528.66,75.1667,4926.1,170,-3090.397216796875,77.6439,170
855000,5529.62,75.9869,5055.65,171,-3211.83642578125,78.2215,171
860000,5676.77,77.7825,5192.41,172,-3299.017822265625,86.4618,172
865000,5601.71,75.0538,4878.92,173,-3228.08447265625,78.0844,173
870000,5927.82,72.3609,5331.9,174,-3300.674072265625,76.3422,174
875000,5876.37,80.4054,5268.26,175,-3467.534423828125,83.1152,175
880000,5600.41,80.0993,4956.25,176,-3455.943603515625,85.3956,176
885000,5840.91,81.7805,5367.22,177,-3631.47021484375,85.1465,177
890000,5324.2,81.0589,5015.01,178,-3575.72509765625,82.1778,178
895000,5604.19,83.2717,5489.52,179,-3660.937744140625,84.0677,179
900000,5459.37,73.0856,5137.25,180,-3596.179443359375,75.8639,180
905000,5508.78,68.5367,4766.87,181,-3620.14892578125,75.6362,181
910000,5301.39,84.3881,5096.32,182,-3880.40966796875,86.4878,182
915000,5591.61,82.2583,5076.3,183,-3927.061767578125,85.6394,183
920000,5186.59,70.3966,4985.19,184,-3754.518798828125,75.9446,184
925000,4813.76,79.4293,4546.6,185,-4009.302978515625,84.3885,185
930000,5003.03,73.438,4498.76,186,-3791.313720703125,77.6286,186
935000,5385.94,73.1181,4966.99,187,-3866.131103515625,78.7706,187
940000,5331.2,75.6194,4798.68,188,-4084.602294921875,82.8742,188
945000,5187.87,75.4654,5011.05,189,-4027.916015625,77.5375,189
950000,5469.69,81.7334,4692.54,190,-4213.30810546875,86.1855,190
955000,5562.31,85.6097,5464.68,191,-4328.40625,85.7194,191
960000,5767.74,76.2063,5291.9,192,-4192.833984375,76.9418,192
965000,5817.06,88.851,5041.18,193,-4465.08984375,87.211,193
970000,5532.76,76.8599,5549.63,194,-4398.8779296875,79.2344,194
975000,5609.98,83.5456,5254.87,195,-4564.10888671875,82.3659,195
980000,5442.26,80.8827,4992.58,196,-4590.7021484375,84.3009,196
985000,5124.6,77.0224,4507.73,197,-4482.42236328125,78.865,197
990000,5534.25,84.2023,4893.68,198,-4629.58154296875,85.4146,198
995000,5730.46,68.4845,4602.4,199,-4441.5869140625,74.4292,199
1000000,5315.14,66.1218,4742.66,200,-4379.0205078125,73.6261,200
1005000,4400.09,71.9341,5097.54,201,-4684.86279296875,77.5616,201
1010000,5604.94,82.311,5108.77,202,-4944.65185546875,84.8351,202
1015000,5650.88,82.2681,5213.35,203,-4916.9091796875,85.5953,203
1020000,5414.25,73.2076,4594.82,204,-4796.32275390625,75.6003,204
1025000,5681.3,82.165,5180.92,205,-5120.6142578125,85.8432,205
1030000,5298.42,82.981,4696.78,206,-5082.755859375,83.3444,206
1035000,4605.59,78.2518,4750.08,207,-5150.43994140625,82.868,207
1040000,5586.76,79.0804,4639.11,208,-5282.67626953125,83.2137,208
1045000,5744.23,78.6382,4857.49,209,-5364.5517578125,85.8079,209
1050000,5533.64,79.8037,5222.86,210,-5341.0673828125,79.7988,210
1055000,5608.75,68.2516,3822.83,211,-5097.65478515625,74.5661,211
1060000,5437.96,77.7783,4508.41,212,-5599.8876953125,83.1317,212
1065000,5699.36,67.4504,4493.31,213,-5272.91015625,74.0667,213
1070000,5863.3,78.5157,5087.38,214,-5750.423828125,84.0589,214
1075000,5609.81,73.7564,4660.33,215,-5532.23681640625,75.9206,215
1080000,5234.77,71.6934,4251.18,216,-5550.16650390625,74.6545,216
1085000,5231.81,79.8044,4667.4,217,-5872.13916015625,80.6875,217
1090000,5855.42,73.4002,4951.92,218,-5800.75244140625,78.344,218
1095000,5343.72,72.7887,4889.8,219,-5807.84326171875,76.7245,219
1100000,5478.99,80.0249,5024.06,220,-6145.458984375,84.0792,220
1105000,4943.83,81.6285,5306.89,221,-6202.38232421875,84.8039,221
