Running Reverse KL,Running Forward KL,Real Det Return,Running Env Steps,Reward Loss,Real Sto Return,Running Update Time,Itration
11.5499,158.4453,-26.17,0,444.9700927734375,-176.57,0,0
12.1572,158.3857,-17.65,5000,360.5760498046875,-65.85,1,1
11.3825,157.9683,188.38,10000,355.29827880859375,66.73,2,2
10.9435,157.5806,405.74,15000,303.31597900390625,134.27,3,3
11.3629,157.497,-28.31,20000,253.17173767089844,288.77,4,4
11.7573,157.3495,780.7,25000,241.16578674316406,446.42,5,5
11.845,157.3233,778.05,30000,190.62796020507812,472.74,6,6
12.3948,157.375,582.08,35000,137.61683654785156,446.69,7,7
12.2989,157.3495,808.56,40000,108.2230224609375,624.64,8,8
12.7316,157.4365,723.96,45000,64.23262023925781,643.83,9,9
13.2718,157.3521,1201.18,50000,24.298429489135742,827.91,10,10
13.8488,157.2872,1308.7,55000,16.268550872802734,945.02,11,11
14.9104,157.2604,1512.72,60000,-21.6392879486084,1069.33,12,12
14.9879,157.398,1574.61,65000,-47.492027282714844,1124.7,13,13
15.3665,157.405,1621.51,70000,-79.7763442993164,1121.19,14,14
15.5429,157.1714,1665.81,75000,-100.08680725097656,1230.06,15,15
15.8611,157.2031,1696.62,80000,-138.1165313720703,1266.71,16,16
15.7812,157.1785,1744.16,85000,-180.1487274169922,1296.16,17,17
15.5513,157.1094,1748.92,90000,-223.04994201660156,1326.39,18,18
15.5996,157.2168,1851.03,95000,-253.22557067871094,1415.53,19,19
15.9071,157.2558,1781.79,100000,-283.68359375,1418.61,20,20
15.9812,157.2651,1876.05,105000,-321.1329040527344,1448.16,21,21
15.6497,157.2834,1805.67,110000,-395.8855895996094,1408.81,22,22
15.5599,156.9472,1914.74,115000,-410.3715515136719,1501.48,23,23
15.7887,157.0987,1941.61,120000,-462.1286315917969,1502.33,24,24
15.2281,157.0763,1902.01,125000,-513.42529296875,1515.18,25,25
15.508,156.9821,1957.52,130000,-547.8125610351562,1556.74,26,26
15.8031,156.9405,1974.58,135000,-569.3177490234375,1623.38,27,27
14.9429,157.0118,1974.34,140000,-645.8634033203125,1559.35,28,28
15.566,156.8952,2005.86,145000,-662.5200805664062,1595.77,29,29
15.7085,156.7536,2029.27,150000,-688.0162963867188,1656.19,30,30
15.4782,156.8082,1995.75,155000,-750.1605224609375,1645.95,31,31
15.2749,156.6916,2014.0,160000,-782.5511474609375,1638.95,32,32
15.3177,156.5986,2008.77,165000,-824.4133911132812,1673.97,33,33
15.1257,156.7281,2049.3,170000,-868.350830078125,1639.8,34,34
15.2103,156.7317,1971.11,175000,-927.3860473632812,1640.55,35,35
15.3181,156.6374,1995.04,180000,-955.5718994140625,1657.61,36,36
15.4572,156.8149,2031.86,185000,-992.8084716796875,1676.32,37,37
15.23,156.6951,2035.45,190000,-1033.794921875,1688.11,38,38
15.5535,156.6954,2054.87,195000,-1059.8375244140625,1708.85,39,39
15.5053,156.729,2020.32,200000,-1104.546875,1679.54,40,40
15.7258,156.5841,2039.79,205000,-1122.416259765625,1700.84,41,41
15.1986,156.6724,2039.46,210000,-1201.4324951171875,1693.74,42,42
15.3963,156.5988,2048.5,215000,-1227.885986328125,1688.5,43,43
15.8712,156.821,2052.74,220000,-1257.7825927734375,1714.43,44,44
15.0492,156.7464,2060.61,225000,-1335.939208984375,1680.39,45,45
15.4377,156.7731,2022.01,230000,-1355.68017578125,1676.24,46,46
15.1754,156.7094,2078.67,235000,-1391.081298828125,1697.68,47,47
14.9023,156.5468,2071.15,240000,-1428.3692626953125,1709.74,48,48
15.6696,156.6844,2023.75,245000,-1466.9739990234375,1721.7,49,49
15.6257,156.7391,2059.31,250000,-1503.1422119140625,1748.23,50,50
15.3172,156.7011,2092.11,255000,-1555.57470703125,1738.95,51,51
15.6897,156.7752,2105.82,260000,-1581.010986328125,1758.19,52,52
15.3522,156.9142,2080.97,265000,-1660.13623046875,1730.53,53,53
15.4388,156.8451,2087.55,270000,-1706.3602294921875,1737.29,54,54
15.1964,156.6011,2072.54,275000,-1721.7073974609375,1721.04,55,55
15.4477,156.7031,2094.48,280000,-1780.5223388671875,1745.9,56,56
15.5676,156.8485,2076.28,285000,-1819.677978515625,1758.78,57,57
15.5384,156.842,2104.6,290000,-1848.87451171875,1772.28,58,58
15.1799,156.5727,2058.98,295000,-1906.4564208984375,1742.84,59,59
15.4175,156.6463,2110.24,300000,-1926.73779296875,1774.87,60,60
15.1172,156.7514,2058.65,305000,-1978.968017578125,1748.41,61,61
15.6192,156.9089,2103.63,310000,-2007.9307861328125,1756.43,62,62
15.3056,156.7675,2099.93,315000,-2070.280029296875,1775.45,63,63
15.396,156.7463,2156.22,320000,-2098.220703125,1763.07,64,64
15.1578,156.7252,2113.16,325000,-2157.9423828125,1779.49,65,65
15.3332,156.8224,2154.8,330000,-2196.068359375,1796.77,66,66
15.477,156.5675,2122.82,335000,-2243.439208984375,1795.39,67,67
15.4111,156.572,2117.55,340000,-2275.635498046875,1766.24,68,68
15.131,156.6168,2130.64,345000,-2313.693115234375,1766.12,69,69
15.1725,156.5979,2124.63,350000,-2375.42724609375,1790.58,70,70
15.2247,156.7288,2184.19,355000,-2401.20654296875,1785.66,71,71
15.0841,156.7298,2149.07,360000,-2456.739013671875,1785.77,72,72
15.2569,156.562,2170.59,365000,-2469.845458984375,1802.98,73,73
15.4261,156.7507,2152.57,370000,-2540.090087890625,1805.77,74,74
15.2711,156.6219,2133.02,375000,-2560.33544921875,1791.61,75,75
15.2029,156.6565,2142.52,380000,-2612.92724609375,1773.13,76,76
15.2512,156.7853,2133.47,385000,-2661.907958984375,1774.81,77,77
15.2234,156.6496,2137.27,390000,-2695.611083984375,1793.03,78,78
15.5579,156.6921,2187.35,395000,-2734.41064453125,1818.73,79,79
15.2236,156.7173,2107.96,400000,-2797.167236328125,1786.71,80,80
15.4113,156.5216,2205.4,405000,-2823.459228515625,1866.69,81,81
15.365,156.7275,2150.88,410000,-2889.26123046875,1797.88,82,82
15.1652,156.5186,2160.39,415000,-2924.77734375,1782.05,83,83
15.4978,156.594,2202.43,420000,-2968.595458984375,1826.6,84,84
14.9855,156.5048,2139.32,425000,-3027.419189453125,1769.01,85,85
15.4081,156.6708,2168.54,430000,-3050.73583984375,1833.19,86,86
15.2168,156.6201,2215.97,435000,-3096.437255859375,1838.14,87,87
15.2257,156.7615,2185.4,440000,-3157.757568359375,1822.89,88,88
15.6683,156.7161,2163.96,445000,-3199.83837890625,1813.86,89,89
14.9294,156.7494,2185.41,450000,-3239.572021484375,1800.39,90,90
15.5673,156.8088,2170.87,455000,-3282.55322265625,1805.82,91,91
14.8997,156.5986,2175.66,460000,-3330.04248046875,1798.69,92,92
15.3949,156.6958,2197.67,465000,-3364.56201171875,1811.33,93,93
15.0585,156.5531,2123.65,470000,-3421.484375,1791.95,94,94
14.9889,156.5781,2148.58,475000,-3468.457275390625,1804.29,95,95
15.3568,156.655,2246.37,480000,-3511.709716796875,1835.85,96,96
15.2307,156.7857,2178.35,485000,-3571.55419921875,1798.3,97,97
15.2395,156.5695,2211.94,490000,-3590.593017578125,1815.75,98,98
15.1705,156.7206,2203.76,495000,-3659.72412109375,1848.66,99,99
15.1284,156.7969,2122.59,500000,-3720.1923828125,1789.78,100,100
15.292,156.7379,2187.41,505000,-3778.281005859375,1847.76,101,101
15.2354,156.6506,2191.27,510000,-3763.193359375,1845.71,102,102
15.0452,156.7151,2084.17,515000,-3845.832275390625,1806.6,103,103
15.1933,156.6526,2216.43,520000,-3898.065185546875,1834.42,104,104
15.352,156.7389,2157.15,525000,-3928.345703125,1801.15,105,105
15.1916,156.6638,2200.49,530000,-4009.899169921875,1839.41,106,106
15.362,156.785,2202.63,535000,-4042.914794921875,1840.13,107,107
15.1488,156.6131,2193.5,540000,-4087.427734375,1814.82,108,108
14.7278,156.5707,2183.61,545000,-4120.24951171875,1804.13,109,109
15.1573,156.4829,2188.51,550000,-4126.4912109375,1839.71,110,110
15.1692,156.5114,2226.96,555000,-4215.8212890625,1848.37,111,111
15.0881,156.5655,2186.13,560000,-4275.44873046875,1840.68,112,112
15.2473,156.6786,2226.47,565000,-4280.81787109375,1865.14,113,113
14.9255,156.6569,2177.39,570000,-4382.61279296875,1819.33,114,114
14.7995,156.4598,2223.2,575000,-4439.88037109375,1815.09,115,115
15.138,156.5967,2222.28,580000,-4499.2626953125,1870.01,116,116
15.0849,156.6249,2203.63,585000,-4514.94970703125,1825.95,117,117
15.1698,156.5562,2190.58,590000,-4566.53515625,1851.0,118,118
15.2011,156.5686,2225.5,595000,-4633.7197265625,1849.55,119,119
15.2358,156.7945,2212.94,600000,-4633.6787109375,1845.4,120,120
15.0925,156.6379,2224.29,605000,-4677.48681640625,1859.26,121,121
15.1352,156.728,2212.1,610000,-4701.52978515625,1855.01,122,122
15.0029,156.6363,2136.35,615000,-4793.1484375,1805.39,123,123
15.0585,156.5516,2229.18,620000,-4775.7880859375,1858.95,124,124
15.0348,156.737,2214.62,625000,-4842.10595703125,1820.65,125,125
15.4901,156.7926,2245.19,630000,-4900.8671875,1873.76,126,126
15.0368,156.6938,2192.18,635000,-4907.85205078125,1855.95,127,127
14.956,156.5785,2201.91,640000,-4965.287109375,1847.25,128,128
15.1546,156.7888,2162.14,645000,-4980.7431640625,1813.43,129,129
15.3287,156.6888,2209.8,650000,-5057.38720703125,1873.0,130,130
15.2264,156.5486,2219.66,655000,-5075.65673828125,1872.77,131,131
15.1489,156.7478,2260.95,660000,-5120.19677734375,1864.8,132,132
15.0907,156.5449,2218.95,665000,-5119.32568359375,1862.73,133,133
15.4929,156.6122,2250.23,670000,-5189.94970703125,1909.71,134,134
15.2552,156.5981,2187.97,675000,-5245.263671875,1862.74,135,135
15.2368,156.7775,2264.63,680000,-5296.576171875,1891.56,136,136
15.1953,156.6712,2234.72,685000,-5296.4130859375,1858.91,137,137
