Itration,Real Det Return,Reward Loss,Running Env Steps,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL
0,212.99,234.24786376953125,0,17.8591,0,208.19,32.5496
1,330.28,292.10723876953125,5000,58.3208,1,324.18,31.8534
2,258.64,185.6107940673828,10000,18.5522,2,255.58,31.6514
3,391.78,157.12979125976562,15000,19.1536,3,388.4,31.3062
4,347.71,144.4258575439453,20000,21.1499,4,348.27,31.7207
5,1027.8,-200.36019897460938,25000,22.5695,5,1024.61,36.7285
6,1060.57,-130.873291015625,30000,16.151,6,737.74,32.4063
7,337.47,43.15775680541992,35000,12.4159,7,771.36,24.8199
8,910.94,-39.46889114379883,40000,21.5833,8,902.22,23.5996
9,593.25,-156.00149536132812,45000,23.154,9,596.89,27.1408
10,654.4,191.65505981445312,50000,36.7837,10,630.52,26.4025
11,931.2,103.93390655517578,55000,23.3564,11,849.54,25.4321
12,1104.42,-154.95736694335938,60000,66.4542,12,687.29,23.6594
13,1782.9,-170.8769073486328,65000,14.5761,13,1186.47,23.2893
14,2137.68,-90.5599365234375,70000,10.1102,14,2165.9,21.6745
15,1746.1,-27.8182430267334,75000,15.9987,15,1588.56,21.6046
16,1660.31,-29.91756820678711,80000,14.8336,16,1465.54,23.197
17,2085.73,-180.82395935058594,85000,14.2211,17,1371.28,22.7401
18,922.51,-401.5355529785156,90000,20.6721,18,1064.73,23.3084
19,3166.15,-158.99412536621094,95000,15.3831,19,2125.1,21.1014
20,2279.35,-261.0427551269531,100000,13.6076,20,2017.13,22.1322
21,3083.24,-91.27232360839844,105000,12.4508,21,2747.2,21.5536
22,2143.53,-202.0126495361328,110000,25.5369,22,1277.84,23.4107
23,3139.31,-183.94236755371094,115000,12.7458,23,2845.94,20.6953
24,981.07,-477.87298583984375,120000,20.5015,24,1254.6,23.6936
25,3203.64,-173.3035430908203,125000,12.6441,25,2841.99,19.9147
26,3125.35,-435.2240295410156,130000,18.1333,26,2464.77,23.0472
27,3156.75,-69.44624328613281,135000,11.6716,27,3027.89,22.1051
28,3048.53,-127.26434326171875,140000,11.744,28,3029.42,20.9507
29,2510.97,-398.43963623046875,145000,16.7542,29,1973.24,22.191
30,3198.07,-414.2219543457031,150000,17.0426,30,1659.78,23.1211
31,3064.25,-143.67909240722656,155000,12.9578,31,2638.76,22.1648
32,2070.84,-448.8863525390625,160000,15.6194,32,1891.33,22.8765
33,3257.74,-504.9693603515625,165000,17.9723,33,1659.76,22.2038
34,1804.43,-554.7186279296875,170000,21.4336,34,1735.34,22.691
35,1465.91,-249.37933349609375,175000,14.692,35,1942.37,22.1187
36,1445.99,-645.220703125,180000,22.9582,36,1616.88,22.5488
37,2952.07,-134.4114227294922,185000,12.1719,37,2914.37,21.7868
38,2758.91,-396.0721435546875,190000,15.9057,38,2173.88,21.8775
39,3035.25,-236.8292694091797,195000,11.6772,39,3005.65,21.542
40,3203.92,-258.4874572753906,200000,13.1609,40,2981.73,21.7353
41,3256.16,-351.09423828125,205000,16.6964,41,2382.84,22.897
42,2814.33,-505.13104248046875,210000,20.2715,42,2501.77,23.4697
43,3255.97,-528.750732421875,215000,16.2142,43,2428.14,21.5318
44,3044.98,-159.93524169921875,220000,11.9095,44,2954.02,20.7269
45,3110.93,-537.787841796875,225000,15.1689,45,2169.83,21.9641
46,3223.45,-223.6457977294922,230000,13.0477,46,3106.11,21.8419
47,3077.87,-233.5669708251953,235000,11.8799,47,3138.58,20.5925
48,3268.48,-310.5288391113281,240000,14.9254,48,2717.1,20.9085
49,3035.97,-248.43460083007812,245000,10.8831,49,3171.51,19.1735
50,3253.68,-575.1921997070312,250000,15.049,50,2641.12,22.6024
51,3272.84,-260.0793151855469,255000,11.01,51,3222.36,18.3757
52,3179.56,-379.5227355957031,260000,13.7572,52,2955.88,20.6695
53,3147.61,-274.2069091796875,265000,10.4695,53,3183.7,19.142
54,3251.1,-468.23486328125,270000,12.0588,54,2783.79,21.1633
55,2685.37,-838.0748901367188,275000,16.8793,55,2182.38,22.7949
56,2147.08,-817.021240234375,280000,14.9854,56,1659.94,22.6411
57,3119.11,-336.5679626464844,285000,11.8017,57,3212.61,20.2124
58,3332.08,-514.9884643554688,290000,14.1767,58,3014.52,20.1598
59,2842.88,-910.6802978515625,295000,16.5166,59,1693.83,22.7389
60,3292.46,-618.0948486328125,300000,14.2877,60,2591.42,21.2936
61,3382.73,-603.0834350585938,305000,17.3217,61,2119.09,21.1484
62,3309.04,-643.57275390625,310000,14.8228,62,2621.5,22.0751
63,3366.75,-986.3641357421875,315000,24.0702,63,2025.84,21.7195
64,3343.87,-642.8643798828125,320000,13.3789,64,2686.25,19.9084
65,3336.99,-823.3536987304688,325000,16.3185,65,2212.86,22.4049
66,3261.62,-917.5252685546875,330000,16.5881,66,2297.05,21.4036
67,3270.29,-846.8748168945312,335000,19.3671,67,2321.2,20.4671
68,3200.52,-445.7935791015625,340000,10.8045,68,3176.67,18.7167
69,3285.64,-1086.469482421875,345000,17.3047,69,2184.91,22.859
70,3285.51,-684.2236328125,350000,14.883,70,3185.23,20.2718
71,1780.66,-1006.8855590820312,355000,14.6186,71,1571.24,23.047
72,3317.58,-864.7581787109375,360000,15.065,72,2452.64,20.2824
73,3319.07,-685.0686645507812,365000,14.065,73,2778.13,20.9014
74,3274.13,-423.1332092285156,370000,10.8935,74,3265.46,18.8772
75,3290.78,-471.7093505859375,375000,10.73,75,3045.82,18.075
76,3341.95,-680.140380859375,380000,12.2783,76,3122.78,20.52
77,3268.13,-536.3759765625,385000,11.9339,77,2954.71,18.512
78,3238.57,-640.9039306640625,390000,12.0835,78,3117.01,20.4088
79,3351.28,-585.0921020507812,395000,10.3038,79,3254.71,18.5777
80,1524.07,-1488.2010498046875,400000,18.5869,80,1461.21,21.1826
81,3374.49,-526.5020751953125,405000,11.2241,81,3164.26,18.5252
82,2789.38,-1586.0679931640625,410000,20.5009,82,1467.28,21.3156
83,3384.65,-1498.463623046875,415000,26.2839,83,1783.82,21.1968
84,3416.82,-961.5419311523438,420000,14.8577,84,2508.36,19.5516
85,3346.41,-705.7257080078125,425000,12.3993,85,3251.15,18.644
86,3309.94,-594.6710205078125,430000,10.7568,86,2945.65,19.1455
87,2517.8,-1552.0186767578125,435000,16.0842,87,1760.36,21.7957
88,3366.77,-1428.393798828125,440000,21.196,88,2509.0,20.8216
89,2594.42,-1723.765869140625,445000,29.5401,89,1569.08,22.1989
90,3330.52,-631.9105834960938,450000,10.9321,90,3257.96,19.1525
91,3448.92,-1461.3414306640625,455000,23.6701,91,2205.95,19.8319
92,3431.32,-611.0540161132812,460000,9.672,92,3280.18,17.9242
93,3341.68,-553.3172607421875,465000,10.387,93,3243.13,18.1533
94,3356.02,-614.7427978515625,470000,9.6092,94,3337.54,17.471
95,3420.01,-850.4550170898438,475000,13.7058,95,3026.71,17.4504
96,3358.39,-1011.6348876953125,480000,14.5155,96,2704.09,19.0531
