Itration,Real Det Return,Reward Loss,Running Env Steps,Running Reverse KL,Running Update Time,Real Sto Return,Running Forward KL
97,3410.63,-1606.0804443359375,485000,24.3615,97,2243.67,20.1286
98,3436.07,-763.8759155273438,490000,11.6406,98,2791.41,18.8635
99,3371.45,-1577.2314453125,495000,17.6858,99,2365.04,20.3888
100,3368.67,-1307.0245361328125,500000,15.1726,100,2734.9,18.7753
101,1722.89,-2120.064697265625,505000,24.7174,101,1287.69,22.0101
102,3373.27,-769.1175537109375,510000,11.162,102,3171.41,16.8999
103,3379.01,-718.10595703125,515000,10.8215,103,3353.8,18.1494
104,3367.9,-1296.985595703125,520000,17.1285,104,2790.54,19.1591
105,3448.42,-1266.5113525390625,525000,15.687,105,2575.91,18.9701
106,3394.66,-1151.885498046875,530000,15.9574,106,2944.6,19.5202
107,3264.05,-769.4384765625,535000,12.1048,107,3008.69,18.7871
108,3411.88,-737.1011962890625,540000,10.4357,108,3135.62,18.7082
109,3479.1,-1202.719482421875,545000,14.6045,109,3056.44,19.6566
110,3394.72,-746.1605224609375,550000,11.3814,110,2470.37,17.891
111,3446.24,-693.3829345703125,555000,9.7349,111,3256.22,16.9936
112,3407.98,-1064.9420166015625,560000,13.2484,112,3220.05,18.3435
113,3394.99,-930.8675537109375,565000,12.2712,113,2897.32,18.0566
114,3459.86,-620.2337036132812,570000,9.8156,114,3411.39,17.2988
115,3493.56,-927.1989135742188,575000,10.7807,115,2999.63,19.4387
116,3423.43,-1098.130126953125,580000,13.9326,116,3099.31,18.4497
117,3423.34,-1232.2227783203125,585000,11.8049,117,2937.46,18.4983
118,3461.76,-1313.59423828125,590000,15.1484,118,2848.24,18.0825
119,3440.93,-1204.964111328125,595000,12.5671,119,2955.31,18.5959
120,3499.59,-791.3135986328125,600000,10.8887,120,3385.46,17.5934
121,3420.54,-1381.78466796875,605000,16.4118,121,2797.09,18.8427
122,3421.93,-1243.07080078125,610000,12.5709,122,3079.01,18.3042
123,3457.42,-764.2716064453125,615000,10.3224,123,3315.03,17.8007
124,3395.04,-1181.4315185546875,620000,14.6727,124,2870.42,19.1886
125,3444.55,-1883.9908447265625,625000,16.7052,125,2705.56,20.3199
126,3400.74,-795.58056640625,630000,10.6561,126,3413.52,17.7822
127,3423.9,-1501.3538818359375,635000,14.637,127,3167.67,18.59
128,3443.93,-787.5755615234375,640000,10.1114,128,3434.77,16.5964
129,3421.11,-882.7561645507812,645000,11.0713,129,3432.11,17.755
130,3458.55,-1798.565673828125,650000,17.2596,130,2464.61,19.1547
131,3464.69,-1406.30615234375,655000,11.824,131,3039.93,18.3666
132,3462.68,-902.7836303710938,660000,10.6203,132,3371.69,17.2963
133,3474.15,-1237.88671875,665000,12.5333,133,3089.86,17.7067
134,3452.14,-1220.5101318359375,670000,11.7144,134,2495.79,18.0611
135,3483.88,-1016.2894897460938,675000,11.1154,135,3256.81,18.5007
136,3465.81,-1285.5589599609375,680000,15.9566,136,2615.32,17.8921
137,3420.41,-1087.83349609375,685000,12.7659,137,3320.62,18.2957
138,3425.09,-1027.960693359375,690000,10.3911,138,3200.57,17.6407
139,3472.98,-1099.4678955078125,695000,11.2709,139,3197.12,18.031
140,3446.66,-1071.4561767578125,700000,10.8463,140,3446.69,18.1692
141,3406.83,-1624.0966796875,705000,14.0383,141,2999.89,18.553
142,3464.18,-1146.5712890625,710000,11.1351,142,3386.7,18.1212
143,3441.83,-858.33447265625,715000,10.1003,143,3432.7,16.6094
144,3476.86,-1498.8404541015625,720000,10.0533,144,2821.16,17.7513
145,3467.83,-1103.197265625,725000,10.6625,145,2839.44,18.1993
146,3495.4,-1183.1947021484375,730000,10.7958,146,3315.21,17.0258
147,3401.67,-1464.614013671875,735000,10.4562,147,3106.61,18.7349
148,3512.21,-1652.4688720703125,740000,10.6463,148,2090.38,19.6806
149,3476.65,-1399.189208984375,745000,11.4357,149,3301.71,19.8617
150,3443.2,-1570.4964599609375,750000,12.1398,150,3114.48,19.7663
151,3497.35,-1667.8857421875,755000,14.8722,151,3112.02,19.456
152,3476.62,-1019.3251342773438,760000,10.657,152,3418.4,18.4395
153,3466.9,-1769.6761474609375,765000,11.2334,153,2574.0,18.8359
154,3494.39,-1463.3404541015625,770000,14.0806,154,2842.81,17.7305
155,3449.42,-1095.897705078125,775000,11.1113,155,2585.22,18.0807
156,3467.62,-1182.96875,780000,10.5818,156,3419.72,18.1512
157,3244.53,-1813.30517578125,785000,10.7004,157,2016.11,22.6548
158,3436.8,-1202.23681640625,790000,11.2133,158,3418.74,19.12
159,3446.16,-1093.7301025390625,795000,9.9652,159,3366.63,17.5807
160,3463.65,-1488.78955078125,800000,10.236,160,2804.16,19.0896
161,3501.5,-1355.9095458984375,805000,9.6821,161,3216.41,18.0366
162,3499.71,-1753.194091796875,810000,9.7552,162,2324.7,18.0075
163,3431.45,-1803.35986328125,815000,10.9885,163,3148.8,19.0118
164,3457.02,-1412.6302490234375,820000,9.509,164,3142.71,18.1162
165,3480.28,-1693.65625,825000,9.7777,165,3371.36,18.524
166,3454.58,-1099.91845703125,830000,10.3576,166,3386.81,17.1812
167,3486.92,-1588.3944091796875,835000,9.4205,167,3074.07,19.2119
168,3500.02,-1385.78955078125,840000,9.6665,168,2647.15,17.94
169,3471.24,-1596.8157958984375,845000,9.93,169,2655.37,18.1243
170,3475.05,-1759.905029296875,850000,9.9422,170,2537.05,17.8759
171,3455.56,-1288.189697265625,855000,9.6191,171,3114.6,17.7035
172,3446.88,-1484.4188232421875,860000,9.3711,172,2976.1,18.1267
173,3463.73,-1630.8843994140625,865000,11.058,173,3031.69,19.3404
174,3483.32,-1429.337158203125,870000,11.0295,174,3447.57,18.8465
175,3446.43,-1370.7373046875,875000,9.9926,175,3422.44,17.271
176,3486.38,-2267.108154296875,880000,23.042,176,2432.76,18.7979
177,3474.29,-1639.77294921875,885000,13.7552,177,3386.08,19.501
178,3410.96,-1929.6636962890625,890000,16.5393,178,2453.83,19.6823
179,3484.99,-2321.8427734375,895000,19.1997,179,2111.18,19.851
180,3522.48,-1472.5718994140625,900000,10.547,180,3458.38,18.653
181,3451.86,-1474.66455078125,905000,11.1662,181,2651.26,19.2536
182,2662.9,-2378.11083984375,910000,15.0583,182,1963.41,19.7866
183,3493.42,-1939.788818359375,915000,11.2466,183,2574.36,20.3509
184,3478.62,-1545.6629638671875,920000,9.5677,184,3318.93,17.9566
185,3507.24,-2390.013671875,925000,13.7938,185,2664.8,20.3324
186,3486.94,-1316.35986328125,930000,10.1641,186,3199.3,17.765
187,3486.0,-2538.5244140625,935000,14.6351,187,2511.53,19.9702
188,3444.64,-1824.6917724609375,940000,10.2458,188,2997.13,18.9495
189,3497.57,-1115.34375,945000,9.5872,189,3305.24,16.517
190,3438.31,-1434.96044921875,950000,9.4609,190,3351.76,16.936
191,3483.5,-1445.0174560546875,955000,9.7565,191,3427.39,17.7215
192,3509.93,-1467.60498046875,960000,9.7826,192,3298.61,17.7052
193,3459.07,-1534.2003173828125,965000,9.9488,193,3459.07,17.2198
194,3531.52,-1605.0277099609375,970000,11.1989,194,3489.58,18.7121
195,3433.02,-1559.7884521484375,975000,10.3947,195,3417.85,17.6306
196,3532.49,-1395.764404296875,980000,9.4072,196,3414.41,16.7753
197,3474.25,-2059.48095703125,985000,11.5862,197,2978.38,18.6379
198,3404.88,-2670.791748046875,990000,13.7414,198,2021.27,20.2024
199,3467.7,-1425.16748046875,995000,9.384,199,3237.87,16.9635
