Running Forward KL,Running Env Steps,Running Update Time,Reward Loss,Running Reverse KL,Itration,Real Sto Return,Real Det Return
31.6161,0,0,-26.006099700927734,18.6753,0,197.53,194.42
29.7516,5000,1,17.04085350036621,27.0562,1,274.28,265.13
28.4529,10000,2,-10.98490047454834,33.5486,2,314.62,301.34
28.4902,15000,3,-126.44900512695312,34.5208,3,366.77,376.65
27.1177,20000,4,-186.29025268554688,31.1442,4,428.86,487.85
26.4318,25000,5,-180.56541442871094,30.6451,5,460.3,445.79
27.6654,30000,6,-177.47950744628906,28.8713,6,606.14,595.88
26.336,35000,7,-177.81492614746094,24.9625,7,713.1,776.4
27.262,40000,8,-276.6181640625,25.5394,8,515.03,563.46
24.3211,45000,9,-176.23049926757812,14.5833,9,929.28,999.08
24.7094,50000,10,-332.5362854003906,20.1068,10,943.34,913.21
24.5904,55000,11,-343.6918029785156,18.2474,11,1120.92,1017.37
23.9666,60000,12,-387.33892822265625,18.1915,12,1175.53,1001.43
23.4637,65000,13,-375.45574951171875,16.3925,13,1428.62,1044.8
23.2338,70000,14,-378.6421813964844,16.4359,14,1714.76,1426.18
23.3215,75000,15,-409.9245910644531,14.1796,15,1528.42,1191.64
24.5917,80000,16,-577.4376831054688,20.6145,16,942.92,939.69
25.2217,85000,17,-614.7931518554688,22.7918,17,1325.69,1026.2
24.0461,90000,18,-533.1006469726562,20.8085,18,1239.28,1169.86
22.3341,95000,19,-448.8705749511719,20.0578,19,2044.96,2570.19
23.491,100000,20,-390.5589599609375,15.7913,20,2323.65,2768.4
23.944,105000,21,-508.514404296875,17.6829,21,1977.7,3060.14
22.6355,110000,22,-452.3572998046875,14.4656,22,2693.51,3023.8
22.6952,115000,23,-551.26416015625,16.57,23,1937.04,2283.77
23.3837,120000,24,-431.6250915527344,14.8914,24,2445.07,3195.64
23.2292,125000,25,-500.3690490722656,14.8057,25,2668.82,3232.07
23.1437,130000,26,-520.2591552734375,14.8092,26,2867.18,3201.65
23.5504,135000,27,-493.2695007324219,15.6755,27,3122.35,3198.75
22.6884,140000,28,-527.7131958007812,13.5914,28,3083.18,3174.82
22.5033,145000,29,-479.3138732910156,14.379,29,3085.69,3237.74
22.2733,150000,30,-598.9385986328125,13.9474,30,2965.27,3143.3
22.723,155000,31,-488.2038269042969,14.6188,31,3227.89,3183.83
22.7386,160000,32,-510.2904357910156,15.0158,32,3057.75,3261.41
22.7437,165000,33,-636.8048706054688,13.6824,33,2221.99,3065.3
22.8634,170000,34,-662.2089233398438,14.2014,34,3168.89,3249.31
22.6339,175000,35,-608.0001220703125,14.4592,35,2718.13,3216.84
22.3242,180000,36,-770.3399658203125,13.2998,36,2347.94,3235.23
22.1113,185000,37,-662.7875366210938,13.88,37,2826.41,3253.51
22.5222,190000,38,-885.7760620117188,13.9692,38,2061.21,3274.75
22.6373,195000,39,-1005.813232421875,14.2995,39,1673.01,2409.46
21.9224,200000,40,-785.471435546875,12.563,40,2920.83,3250.29
21.0062,205000,41,-740.6220703125,13.0705,41,2767.48,3230.52
22.1766,210000,42,-824.99462890625,13.3116,42,2056.52,3293.11
20.8383,215000,43,-672.9601440429688,12.4901,43,2959.22,3260.64
21.6213,220000,44,-809.8255615234375,13.1097,44,3185.74,3167.96
21.6802,225000,45,-764.316650390625,12.2721,45,3040.89,3279.66
22.2935,230000,46,-792.1875610351562,13.3147,46,3118.47,3270.51
21.3833,235000,47,-721.0552978515625,13.1028,47,2639.31,3336.17
22.6207,240000,48,-855.0314331054688,13.6767,48,2894.46,3216.74
