Running Forward KL,Running Update Time,Running Reverse KL,Itration,Real Det Return,Reward Loss,Real Sto Return,Running Env Steps
33.0456,0,18.7715,0,178.31,403.11358642578125,175.59,0
30.2336,1,18.9121,1,284.55,645.2219848632812,276.21,5000
30.4338,2,31.7787,2,279.62,809.8776245117188,267.39,10000
30.8098,3,29.6809,3,296.98,750.6790161132812,298.89,15000
31.3025,4,34.5881,4,312.89,751.4119873046875,312.72,20000
27.5151,5,30.0497,5,367.27,622.9057006835938,375.22,25000
28.8125,6,22.4459,6,362.51,460.15435791015625,369.68,30000
28.08,7,21.9411,7,358.3,314.2955627441406,385.88,35000
28.5515,8,21.6388,8,361.25,325.45489501953125,364.08,40000
24.7163,9,24.4575,9,1194.62,270.2584228515625,856.53,45000
26.7938,10,29.1245,10,671.34,237.02137756347656,690.93,50000
25.2913,11,21.1063,11,1102.55,183.95953369140625,1135.95,55000
24.5719,12,14.7342,12,1728.03,67.4712142944336,1226.67,60000
25.6297,13,20.2863,13,763.53,101.55949401855469,866.2,65000
25.5017,14,18.8993,14,916.71,-26.21111488342285,1050.55,70000
25.1477,15,18.18,15,824.58,-84.44906616210938,866.79,75000
24.7157,16,14.6969,16,2252.96,-93.49842071533203,2232.87,80000
25.288,17,17.0117,17,888.35,-161.83494567871094,1171.26,85000
24.7201,18,13.8739,18,3104.49,-80.25227355957031,2351.94,90000
25.3879,19,13.737,19,961.9,-135.0010528564453,1780.53,95000
23.2931,20,15.5076,20,3135.96,-95.92892456054688,2678.13,100000
23.5665,21,13.7091,21,3003.84,-108.8440933227539,3063.12,105000
23.434,22,24.372,22,3176.4,-161.3772430419922,2349.78,110000
23.9092,23,13.5297,23,2737.18,-130.70867919921875,2912.82,115000
23.6539,24,13.9764,24,3011.08,-114.30007934570312,2891.5,120000
24.1925,25,13.5977,25,2915.55,-184.44471740722656,2923.75,125000
23.6098,26,13.1267,26,2854.16,-180.09620666503906,2921.73,130000
24.353,27,14.1189,27,2030.28,-147.80288696289062,2560.66,135000
23.5056,28,13.5954,28,2799.76,-198.9982452392578,2821.74,140000
23.6582,29,13.7496,29,3105.76,-234.13185119628906,3051.26,145000
23.7953,30,14.374,30,2979.42,-183.9003448486328,3039.52,150000
23.3428,31,14.3995,31,3075.84,-194.40512084960938,3096.68,155000
23.2877,32,16.5615,32,3135.34,-231.9857635498047,3160.79,160000
22.5119,33,13.619,33,3198.46,-296.2864990234375,2399.1,165000
24.1944,34,18.238,34,3148.75,-221.78355407714844,3069.25,170000
24.0803,35,15.545,35,3148.17,-191.80355834960938,3168.01,175000
22.6861,36,13.1264,36,3185.4,-299.0744323730469,2799.04,180000
22.596,37,20.0305,37,3219.62,-446.62860107421875,2421.2,185000
22.2586,38,12.9313,38,3218.61,-270.0174865722656,2857.28,190000
22.8094,39,13.715,39,3193.07,-248.4988555908203,2831.99,195000
22.282,40,12.822,40,3204.66,-446.7821350097656,2721.77,200000
21.63,41,12.9792,41,3217.0,-271.7636413574219,2860.85,205000
22.0226,42,12.8595,42,3226.33,-317.45733642578125,3173.57,210000
21.9528,43,15.0093,43,3221.33,-326.05859375,2624.95,215000
22.0571,44,13.162,44,3164.84,-277.4622497558594,3020.79,220000
21.9205,45,12.7076,45,3258.25,-421.8885803222656,2918.24,225000
23.2334,46,14.7773,46,3145.87,-292.0249328613281,3163.21,230000
23.0428,47,35.2104,47,2540.39,-809.3892822265625,1798.23,235000
23.1095,48,28.3784,48,3269.98,-854.335693359375,1582.63,240000
22.4854,49,13.978,49,3184.11,-316.0649108886719,3175.05,245000
22.2585,50,13.3977,50,3218.89,-418.41876220703125,2870.14,250000
22.9943,51,23.0733,51,3203.3,-594.595703125,2507.85,255000
22.7185,52,13.8535,52,3193.73,-355.14727783203125,2830.49,260000
22.0068,53,13.6931,53,3197.46,-507.63250732421875,2607.45,265000
22.0011,54,13.8005,54,2956.83,-569.7186279296875,2274.0,270000
22.3351,55,13.9224,55,3232.41,-368.64276123046875,3230.85,275000
21.6031,56,12.3549,56,3252.03,-461.4125061035156,2948.66,280000
22.4087,57,13.6806,57,3228.51,-852.573974609375,2215.52,285000
21.3765,58,14.455,58,3224.3,-512.8130493164062,2791.03,290000
21.1683,59,13.759,59,3251.21,-551.4821166992188,2847.16,295000
22.1877,60,13.5508,60,3196.94,-455.21728515625,3117.62,300000
21.2281,61,11.8614,61,3263.86,-577.2313842773438,2869.37,305000
21.6915,62,12.4904,62,3266.47,-647.8211059570312,2422.12,310000
22.0543,63,12.9899,63,3202.63,-535.0765380859375,2913.48,315000
21.8207,64,12.9241,64,3208.59,-705.360595703125,2902.47,320000
21.8866,65,13.4957,65,3237.22,-459.49456787109375,3245.23,325000
21.0344,66,11.8551,66,3273.17,-574.0429077148438,2918.61,330000
21.5642,67,12.5056,67,3222.2,-550.9819946289062,2917.35,335000
22.0828,68,12.2534,68,3226.09,-664.1290893554688,2927.29,340000
21.7814,69,11.9178,69,3270.22,-772.1730346679688,2825.22,345000
21.6452,70,11.5323,70,3241.16,-717.8976440429688,2466.81,350000
21.5507,71,12.6188,71,3240.2,-541.2777099609375,3166.31,355000
21.4143,72,12.7167,72,3219.89,-556.093505859375,3166.09,360000
21.855,73,11.8415,73,3264.41,-755.89208984375,2882.55,365000
21.5909,74,12.6799,74,3196.73,-568.9644165039062,3022.42,370000
21.4311,75,12.5835,75,3250.02,-562.3348999023438,3072.15,375000
21.1258,76,11.7548,76,3264.96,-662.1351318359375,2990.42,380000
20.9187,77,11.8758,77,3260.24,-599.2770385742188,3085.15,385000
21.4304,78,12.7384,78,3254.0,-592.4683227539062,3131.37,390000
21.3627,79,12.5381,79,3258.58,-585.18017578125,3251.23,395000
20.9871,80,11.7462,80,3324.61,-652.486328125,2420.92,400000
20.6485,81,11.4595,81,3297.86,-617.8521118164062,3022.62,405000
21.1757,82,12.8816,82,3281.76,-574.8615112304688,3266.64,410000
21.2419,83,12.7857,83,3258.04,-589.0919799804688,3256.6,415000
21.2549,84,12.761,84,3264.74,-606.6915283203125,3253.24,420000
21.1109,85,12.4258,85,3313.7,-615.9168701171875,3215.14,425000
20.6788,86,11.4456,86,3294.9,-700.6610107421875,3171.39,430000
21.5294,87,13.3655,87,3311.73,-564.9091796875,3126.31,435000
21.4155,88,13.3118,88,3275.33,-655.4291381835938,3216.54,440000
21.2905,89,13.149,89,3281.6,-624.4448852539062,3288.04,445000
20.9605,90,12.8176,90,3309.29,-612.1665649414062,3210.83,450000
21.1072,91,12.4118,91,3321.9,-610.9659423828125,3328.18,455000
20.6214,92,12.5212,92,3336.12,-616.353759765625,3335.51,460000
20.9089,93,13.1435,93,3349.99,-605.8273315429688,3350.57,465000
21.0779,94,13.3577,94,3291.6,-625.1904296875,2806.65,470000
20.8506,95,12.8356,95,3366.79,-527.8170776367188,3042.7,475000
20.6435,96,13.2623,96,3357.13,-530.30908203125,3312.16,480000
20.5114,97,13.0869,97,3349.39,-539.56591796875,3374.92,485000
20.5156,98,13.1693,98,3371.03,-545.936279296875,3206.17,490000
20.9132,99,13.4088,99,3336.9,-578.9462890625,3362.6,495000
20.0314,100,12.4909,100,3377.15,-470.5926208496094,3112.43,500000
20.7222,101,13.1097,101,3369.57,-557.8092651367188,2546.33,505000
21.2519,102,13.0619,102,3316.95,-635.5067138671875,3321.17,510000
20.4739,103,12.6344,103,3376.38,-536.2763671875,3366.19,515000
20.1869,104,12.0104,104,3412.59,-589.0151977539062,3401.98,520000
19.9717,105,12.3813,105,3369.98,-524.0128784179688,3390.03,525000
20.3084,106,12.6995,106,3423.03,-585.7678833007812,3267.37,530000
20.4618,107,13.1682,107,3384.48,-597.245849609375,3374.4,535000
20.5069,108,13.1088,108,3378.77,-586.4208984375,3378.87,540000
20.1137,109,12.7368,109,3363.72,-686.6078491210938,3370.26,545000
19.8718,110,12.8281,110,3423.29,-580.6199340820312,3403.9,550000
20.4443,111,12.9797,111,3349.8,-597.9617309570312,3357.75,555000
19.801,112,12.3393,112,3415.7,-540.4063720703125,3402.88,560000
19.6452,113,11.5101,113,3359.35,-627.9257202148438,3381.37,565000
20.2182,114,12.6517,114,3396.88,-565.1846313476562,3385.69,570000
20.2241,115,12.7255,115,3373.44,-622.0028076171875,3383.56,575000
19.9189,116,12.9498,116,3404.49,-515.1619873046875,3414.38,580000
20.1008,117,12.8153,117,3377.07,-550.5750122070312,3320.62,585000
19.7034,118,12.4921,118,3435.89,-519.2461547851562,3411.39,590000
20.2475,119,13.2215,119,3417.77,-578.1060180664062,3421.1,595000
19.9786,120,11.6471,120,3401.49,-617.10888671875,3384.86,600000
19.9779,121,13.6643,121,3462.72,-606.3424072265625,3429.88,605000
20.2469,122,12.9196,122,3424.42,-587.8021850585938,3334.76,610000
19.5902,123,12.2831,123,3453.23,-679.9557495117188,3350.9,615000
19.8937,124,12.7773,124,3407.05,-612.325439453125,3402.95,620000
19.5768,125,12.8454,125,3399.76,-581.4810180664062,3282.2,625000
19.2073,126,11.2556,126,3411.04,-671.6512451171875,3328.06,630000
19.7664,127,12.1301,127,3454.22,-614.10986328125,3343.05,635000
19.3183,128,12.4178,128,3474.35,-478.7497253417969,3457.75,640000
19.5887,129,12.0641,129,3471.93,-646.8094482421875,3360.67,645000
20.0968,130,12.7488,130,3402.31,-634.8749389648438,3416.35,650000
19.4116,131,12.8615,131,3413.14,-588.1566162109375,3410.25,655000
19.448,132,11.722,132,3396.55,-693.9158325195312,3370.09,660000
20.2028,133,12.0185,133,3447.35,-621.7536010742188,3347.33,665000
19.4441,134,12.4758,134,3406.09,-568.0140991210938,3244.34,670000
19.8439,135,12.7891,135,3421.22,-596.3098754882812,3407.62,675000
20.5474,136,12.9786,136,3383.6,-692.24462890625,3390.99,680000
19.6622,137,12.1862,137,3444.16,-680.8355712890625,3439.54,685000
19.3353,138,12.5524,138,3398.54,-606.4198608398438,3420.85,690000
19.6431,139,12.1271,139,3400.6,-736.5704956054688,3388.48,695000
19.7943,140,12.5331,140,3423.86,-592.395263671875,3426.6,700000
19.2151,141,11.6407,141,3488.77,-599.2719116210938,3402.6,705000
19.3319,142,11.6765,142,3429.03,-633.6068725585938,3342.75,710000
19.4157,143,11.4312,143,3444.05,-668.4859619140625,3333.97,715000
19.4252,144,12.2293,144,3420.56,-641.73388671875,3415.96,720000
19.2635,145,11.4607,145,3438.49,-727.4605102539062,3341.94,725000
19.3491,146,11.7108,146,3443.11,-764.7655639648438,3342.37,730000
19.5564,147,11.829,147,3472.67,-655.794189453125,3360.51,735000
19.5314,148,12.5642,148,3402.84,-710.594970703125,3399.37,740000
18.9799,149,13.5049,149,3443.99,-725.0740356445312,3433.81,745000
19.5783,150,11.7478,150,3429.97,-753.248779296875,3435.4,750000
19.6039,151,13.0909,151,3456.61,-756.316650390625,3373.25,755000
19.1645,152,12.7747,152,3456.51,-708.95947265625,3253.66,760000
19.7042,153,11.9059,153,3439.47,-733.1906127929688,3436.6,765000
19.4885,154,12.7784,154,3460.03,-646.8744506835938,3469.37,770000
19.4388,155,13.0694,155,3475.02,-715.8164672851562,3292.28,775000
19.2421,156,11.9206,156,3475.88,-666.7506713867188,3371.47,780000
18.9048,157,12.3208,157,3456.33,-602.6848754882812,3445.81,785000
18.7136,158,11.9068,158,3436.8,-773.2159423828125,3434.5,790000
19.0864,159,12.3625,159,3441.55,-693.2257080078125,3341.05,795000
18.8087,160,12.1198,160,3433.76,-639.7542114257812,3439.29,800000
18.8966,161,11.3257,161,3410.29,-769.3765869140625,3131.46,805000
18.9658,162,12.336,162,3420.01,-690.9407958984375,3411.15,810000
19.3847,163,12.4101,163,3433.54,-751.3527221679688,3347.25,815000
19.2477,164,12.0246,164,3428.91,-774.4970703125,3305.28,820000
19.3685,165,12.6073,165,3449.84,-796.4423217773438,3436.59,825000
