Real Det Return,Running Update Time,Real Sto Return,Itration,Running Env Steps,Running Reverse KL,Reward Loss,Running Forward KL
312.47,0,316.42,0,0,33.4669,110.50272369384766,31.2588
308.14,1,307.06,1,5000,56.9677,20.56416130065918,31.8031
279.17,2,280.4,2,10000,36.2201,9.145453453063965,31.3803
268.08,3,403.19,3,15000,27.6394,25.220163345336914,29.2605
266.0,4,262.64,4,20000,48.7823,73.95172882080078,31.8823
636.63,5,644.33,5,25000,30.4697,12.905802726745605,27.3315
484.49,6,675.9,6,30000,27.0568,-27.797006607055664,28.3915
588.87,7,870.06,7,35000,25.2999,-30.933324813842773,27.8856
649.59,8,872.61,8,40000,27.6686,-18.836706161499023,27.841
1296.63,9,1226.65,9,45000,14.8725,-14.470909118652344,26.2973
1095.91,10,1078.94,10,50000,17.6136,-30.814956665039062,26.0344
2801.84,11,1957.64,11,55000,16.211,-52.389434814453125,26.0759
675.6,12,729.34,12,60000,25.0782,-82.5893325805664,27.8183
2383.86,13,1343.87,13,65000,19.2547,-65.76372528076172,24.074
3031.26,14,2665.12,14,70000,17.2144,-57.56291961669922,26.7357
3225.66,15,1478.74,15,75000,21.2657,-84.29318237304688,25.5904
1092.49,16,1591.31,16,80000,25.3607,-93.77166748046875,26.7515
960.2,17,1020.77,17,85000,18.3651,-102.47254180908203,26.3907
853.12,18,1270.08,18,90000,29.7951,-108.79541778564453,27.3959
936.5,19,800.02,19,95000,78.6456,-51.39707946777344,28.0255
983.82,20,1886.74,20,100000,13.9637,-85.39128875732422,23.7447
815.68,21,994.39,21,105000,28.7139,-118.84539031982422,25.8841
1012.04,22,1335.0,22,110000,16.4342,-108.70367431640625,23.3201
1319.46,23,1478.53,23,115000,21.2366,-142.8787078857422,25.0323
922.27,24,912.17,24,120000,24.0037,-168.2373504638672,27.5079
1188.73,25,1091.53,25,125000,22.4285,-159.19761657714844,25.2623
1105.44,26,1243.79,26,130000,22.0717,-163.64013671875,25.0888
1007.51,27,946.93,27,135000,25.6177,-188.0144805908203,25.2602
864.93,28,851.63,28,140000,23.3215,-198.94949340820312,26.7506
1133.42,29,1130.16,29,145000,17.5204,-145.90185546875,26.2425
993.3,30,1120.07,30,150000,24.6137,-207.36451721191406,26.7332
3020.87,31,2617.06,31,155000,15.778,-78.48446655273438,24.6103
1219.76,32,1353.09,32,160000,22.1673,-213.64199829101562,26.3781
2952.95,33,2322.13,33,165000,15.1478,-113.21969604492188,23.4656
3002.89,34,2783.34,34,170000,11.4843,-68.66078186035156,21.5332
1097.91,35,1412.03,35,175000,19.4024,-221.3368682861328,25.2536
3073.68,36,1716.27,36,180000,16.8143,-171.42849731445312,23.9277
3082.41,37,2237.1,37,185000,21.9506,-173.55421447753906,24.0785
3136.96,38,2487.62,38,190000,20.5462,-114.51426696777344,23.1742
