Running Forward KL,Itration,Reward Loss,Running Env Steps,Running Update Time,Real Det Return,Running Reverse KL,Real Sto Return
50.3813,0,7.700800895690918,0,0,332.72,13.7435,399.23
49.0928,1,46.342613220214844,5000,1,266.13,25.7336,220.94
49.3821,2,-32.1998291015625,10000,2,385.49,22.7716,320.01
49.3533,3,-84.1065673828125,15000,3,366.43,28.5871,335.48
49.6826,4,-69.36326599121094,20000,4,292.27,35.6523,295.01
49.6551,5,-162.9060821533203,25000,5,401.01,46.4645,374.84
49.4773,6,-21.496414184570312,30000,6,423.74,17.3171,376.89
48.7307,7,27.068645477294922,35000,7,462.99,15.6487,434.89
48.0278,8,-32.99006652832031,40000,8,874.66,16.5902,594.12
47.5681,9,132.9938201904297,45000,9,449.55,16.2994,665.37
48.7725,10,-8.873641967773438,50000,10,485.85,18.922,483.87
48.794,11,-28.61627960205078,55000,11,507.31,24.5821,478.93
47.0931,12,59.80378341674805,60000,12,607.8,18.9199,648.05
46.8918,13,-18.002628326416016,65000,13,559.41,19.0246,644.48
47.6489,14,-49.50806427001953,70000,14,481.62,23.9569,632.67
45.7638,15,-148.7957000732422,75000,15,789.07,32.9427,694.55
47.6843,16,-258.12884521484375,80000,16,499.82,54.2564,523.05
43.8335,17,-172.65469360351562,85000,17,939.55,31.5579,1207.85
44.5891,18,-148.235107421875,90000,18,1295.64,29.8036,1072.6
44.3994,19,-134.0297393798828,95000,19,1936.62,17.1052,1225.22
44.4551,20,-109.82269287109375,100000,20,1291.58,25.4678,1132.48
42.6452,21,-139.95477294921875,105000,21,2790.83,16.4096,2209.32
43.3675,22,-203.23031616210938,110000,22,3140.42,18.7917,2659.73
44.0184,23,-186.0724639892578,115000,23,2671.57,19.811,1871.08
43.204,24,-188.85321044921875,120000,24,1458.19,21.3051,1650.81
44.1348,25,-185.38134765625,125000,25,1522.38,14.2609,1940.37
42.5521,26,-200.55612182617188,130000,26,3723.71,17.338,3357.72
43.9218,27,-184.53895568847656,135000,27,1469.35,13.9025,2235.15
43.8017,28,-206.2591552734375,140000,28,3128.76,14.8166,3065.63
42.3455,29,-217.50289916992188,145000,29,3660.5,17.2497,3044.31
43.2339,30,-249.7750244140625,150000,30,3225.16,18.6648,3302.28
42.1379,31,-234.88714599609375,155000,31,3608.37,18.6139,3626.97
42.6727,32,-219.8036651611328,160000,32,3860.04,18.4337,3278.08
41.9923,33,-294.34844970703125,165000,33,3524.3,28.9609,3573.52
40.6117,34,-214.85885620117188,170000,34,4021.53,17.2697,4048.89
42.9051,35,-260.1657409667969,175000,35,3739.54,18.0981,3718.89
39.86,36,-228.946533203125,180000,36,4205.93,17.2172,4139.22
39.7158,37,-222.48306274414062,185000,37,4371.71,16.7578,4266.58
39.7137,38,-213.54103088378906,190000,38,3173.5,18.1251,3899.86
40.3481,39,-214.4412384033203,195000,39,4038.24,15.2639,4052.95
39.6731,40,-185.0321044921875,200000,40,4184.1,13.4223,3258.93
40.3101,41,-234.6207275390625,205000,41,3536.88,23.2295,3979.4
39.9841,42,-254.05633544921875,210000,42,4134.86,26.0169,3867.64
40.6813,43,-210.20745849609375,215000,43,3202.65,17.0954,3041.26
39.8548,44,-241.58021545410156,220000,44,4161.57,21.2686,3862.03
38.1493,45,-206.29376220703125,225000,45,4490.9,15.0079,4380.97
39.1975,46,-227.77200317382812,230000,46,4239.71,16.0015,3715.18
38.8629,47,-203.95338439941406,235000,47,4568.95,17.0798,4365.82
38.3801,48,-312.4949951171875,240000,48,3142.07,22.173,1797.26
38.9153,49,-221.55833435058594,245000,49,4395.2,15.3816,4108.43
38.8505,50,-262.88043212890625,250000,50,4345.8,14.761,4120.63
37.7997,51,-221.73362731933594,255000,51,4201.6,14.8598,4329.6
37.4908,52,-239.88711547851562,260000,52,4550.39,16.7473,4564.85
38.6788,53,-221.53782653808594,265000,53,4531.93,16.1356,4230.41
38.25,54,-217.9988555908203,270000,54,4535.7,15.2473,4342.31
