Running Env Steps,Reward Loss,Real Sto Return,Itration,Running Reverse KL,Running Forward KL,Real Det Return,Running Update Time
0,-101.98457336425781,391.2,0,13.0829,49.1483,293.0,0
5000,-102.38822937011719,463.67,1,21.3485,49.3219,513.21,1
10000,-73.75851440429688,308.0,2,22.7619,49.6535,427.37,2
15000,-133.49057006835938,383.6,3,19.8464,49.478,391.04,3
20000,-112.92176055908203,368.88,4,16.1602,49.1288,392.8,4
25000,-94.0596923828125,425.46,5,15.1188,49.3747,386.78,5
30000,-100.63943481445312,400.41,6,14.1244,49.3436,394.48,6
35000,-155.79095458984375,505.12,7,13.0781,48.0488,419.9,7
40000,-175.61582946777344,464.53,8,16.002,49.4578,353.66,8
45000,-240.7436065673828,711.43,9,15.8848,47.9771,852.87,9
50000,-213.01463317871094,865.79,10,22.6877,47.9411,972.81,10
55000,-170.4205322265625,778.52,11,38.7728,47.6121,810.62,11
60000,-214.28334045410156,819.93,12,35.7844,47.653,791.45,12
65000,-254.77606201171875,735.44,13,32.3747,47.7994,736.51,13
70000,-300.9510192871094,737.75,14,28.5563,47.6621,755.38,14
75000,-307.5657653808594,953.98,15,26.0826,47.8796,1001.08,15
80000,-288.7430419921875,990.43,16,25.5317,47.7013,997.24,16
85000,-247.91183471679688,1250.23,17,23.0825,47.4062,1403.94,17
90000,-264.4984130859375,1358.87,18,27.1187,46.9033,1551.27,18
95000,-285.8370361328125,1228.37,19,31.0559,47.0665,1384.38,19
100000,-371.7557373046875,980.81,20,18.3084,47.5693,993.08,20
105000,-258.962158203125,1617.43,21,17.2912,46.894,2374.93,21
110000,-370.2825012207031,1074.34,22,25.1955,46.9596,2197.26,22
115000,-402.7919921875,1067.52,23,33.9181,47.2725,1263.28,23
120000,-455.27606201171875,1094.42,24,20.3847,47.217,1495.92,24
125000,-430.5855407714844,1131.51,25,29.2758,47.1712,1481.67,25
130000,-411.7418518066406,1119.31,26,37.4895,46.9246,1122.63,26
135000,-367.7119140625,1280.29,27,22.4692,46.2349,1238.8,27
140000,-481.8429870605469,1209.74,28,17.2704,46.4635,1493.81,28
145000,-464.8827209472656,1195.75,29,30.865,47.1302,1180.55,29
150000,-475.7226257324219,1091.93,30,43.8766,47.1899,1675.93,30
155000,-470.9411315917969,1089.77,31,20.9414,46.9539,1103.79,31
160000,-515.473388671875,1318.95,32,39.2235,46.3536,1552.42,32
165000,-486.17578125,1153.92,33,19.9443,46.4289,1246.45,33
170000,-491.1783752441406,1256.21,34,30.6262,45.9187,1355.85,34
175000,-532.903564453125,1613.5,35,17.6717,46.7083,1708.49,35
180000,-554.145751953125,1226.12,36,26.2347,46.0177,1210.94,36
185000,-577.1621704101562,1295.31,37,19.593,46.7317,1146.55,37
190000,-458.1961364746094,1503.51,38,28.0177,46.4977,1682.67,38
195000,-505.2528991699219,1459.52,39,25.3164,45.9326,1665.03,39
200000,-454.670654296875,1439.83,40,31.1459,45.2172,1157.43,40
205000,-544.64208984375,1528.25,41,14.8693,46.3752,1815.06,41
210000,-435.905517578125,1464.74,42,16.9883,46.0064,2074.72,42
215000,-521.8206176757812,1426.18,43,19.2135,45.9558,1693.42,43
220000,-442.1058349609375,1840.2,44,22.8285,45.8284,2357.71,44
225000,-547.1079711914062,1771.76,45,18.5622,45.1576,2025.22,45
230000,-571.9700927734375,1468.72,46,18.4252,45.5244,1866.4,46
235000,-651.9829711914062,1733.97,47,22.7985,46.3519,1887.94,47
240000,-668.1868286132812,1381.81,48,23.8741,45.8299,1522.95,48
245000,-580.56982421875,1729.89,49,15.3427,45.7278,2142.44,49
250000,-613.952880859375,1436.79,50,18.2108,45.6984,1482.14,50
255000,-606.7843017578125,1674.18,51,24.5248,45.2468,2421.04,51
260000,-650.9352416992188,1613.76,52,16.0426,45.4883,1840.57,52
265000,-619.4588012695312,1421.09,53,14.9816,45.9835,2135.51,53
270000,-703.3348388671875,1561.91,54,14.2569,46.0155,1848.16,54
275000,-610.443115234375,1854.07,55,19.2509,45.2597,2246.46,55
280000,-715.1316528320312,1938.01,56,27.8886,45.7695,2015.67,56
285000,-710.8365478515625,1813.34,57,22.555,45.525,2067.64,57
290000,-686.7423095703125,2012.6,58,22.263,45.4529,3049.88,58
295000,-791.0440673828125,1816.77,59,21.5321,45.7971,1803.65,59
300000,-715.05322265625,2179.39,60,17.2545,44.6715,2696.32,60
305000,-613.6337890625,2237.15,61,15.5815,44.7695,2930.05,61
310000,-601.7658081054688,2337.89,62,18.271,45.0968,3045.86,62
315000,-711.5241088867188,1920.19,63,25.6725,45.3186,3231.1,63
320000,-727.0499267578125,1821.25,64,22.092,45.3284,2493.16,64
325000,-659.7032470703125,2000.19,65,14.6238,45.3066,2887.08,65
330000,-718.3486328125,2027.56,66,21.0116,45.7004,2505.56,66
335000,-790.7015380859375,2037.57,67,19.7261,45.0385,2797.74,67
340000,-727.923583984375,1523.82,68,23.1946,45.6957,2066.53,68
345000,-647.614990234375,2227.16,69,20.5831,45.2369,3013.2,69
350000,-688.282958984375,2167.96,70,20.4717,44.1173,2565.09,70
355000,-916.0408325195312,2007.04,71,35.3781,45.358,2075.63,71
360000,-848.3286743164062,1782.85,72,27.4219,45.3418,2156.34,72
365000,-730.8435668945312,2302.32,73,29.5633,44.9459,2684.75,73
370000,-541.5941772460938,2595.05,74,19.9501,45.2989,3249.76,74
375000,-800.6770629882812,2366.9,75,26.8659,44.9374,2589.46,75
380000,-801.7835693359375,2485.21,76,20.1382,44.9378,3144.3,76
385000,-692.9541625976562,2410.26,77,21.8885,44.951,2995.44,77
390000,-755.3993530273438,2577.87,78,21.5656,44.4263,3004.29,78
395000,-774.7273559570312,2746.22,79,25.1941,44.6937,3054.9,79
400000,-726.392822265625,2641.76,80,20.9939,45.1899,3145.34,80
405000,-682.2583618164062,3221.45,81,18.1747,44.4351,3575.92,81
410000,-572.4641723632812,3104.33,82,18.6656,44.4855,3228.89,82
415000,-629.3943481445312,2790.06,83,17.8386,44.3302,3375.7,83
420000,-941.2155151367188,2537.79,84,25.1477,46.047,2688.32,84
425000,-719.6551513671875,2994.54,85,18.5241,45.0272,3397.42,85
430000,-823.3778686523438,2299.8,86,22.7404,44.2086,2362.45,86
435000,-757.4124145507812,3007.24,87,23.5698,44.4543,3214.38,87
440000,-890.0318603515625,3014.38,88,24.307,44.8814,3531.07,88
445000,-1014.2705688476562,2327.18,89,44.3474,45.446,2893.52,89
450000,-760.7764892578125,2926.19,90,20.9375,44.2449,3356.32,90
455000,-803.9069213867188,3303.06,91,21.5336,44.536,3427.59,91
460000,-783.7086181640625,2805.6,92,20.2272,44.2941,3374.19,92
465000,-749.1254272460938,3058.01,93,21.683,43.9944,3065.23,93
470000,-1023.5345458984375,2897.13,94,29.6949,45.3227,3342.51,94
475000,-706.0667114257812,2958.15,95,15.6401,44.1887,3292.49,95
480000,-767.5328369140625,2964.23,96,15.9305,43.5957,3238.71,96
485000,-835.4708862304688,3365.33,97,20.7947,44.6297,3777.46,97
490000,-676.1007080078125,3371.22,98,18.2958,44.4918,3186.87,98
495000,-752.0974731445312,3198.84,99,16.4231,43.8383,3076.23,99
500000,-1048.188232421875,2677.32,100,29.2548,45.4119,3223.03,100
505000,-730.9744262695312,3199.92,101,18.538,44.107,3231.18,101
510000,-946.8593139648438,2753.69,102,20.4602,44.2604,3159.17,102
515000,-860.1068115234375,3239.52,103,22.9703,43.6329,3280.95,103
520000,-782.914306640625,3176.03,104,17.628,44.2383,3624.02,104
525000,-807.7890625,2994.56,105,17.5614,44.337,2827.43,105
530000,-907.6880493164062,3326.48,106,15.9306,44.4165,3484.99,106
535000,-924.3412475585938,3228.16,107,15.9632,43.9223,3729.62,107
540000,-919.1287231445312,3164.57,108,16.1308,44.3702,3498.55,108
