Running Update Time,Running Env Steps,Running Forward KL,Running Reverse KL,Real Sto Return,Real Det Return,Itration,Reward Loss
0,0,33.423,21.5354,199.42,193.53,0,368.60296630859375
1,5000,32.0792,34.1845,218.79,208.93,1,276.32586669921875
2,10000,31.2531,18.975,272.77,261.24,2,101.6572265625
3,15000,29.8584,33.3806,300.67,305.07,3,195.38755798339844
4,20000,30.74,50.6499,324.7,318.01,4,122.4047622680664
5,25000,31.8186,42.7469,315.01,315.38,5,62.128421783447266
6,30000,30.6453,45.1259,323.09,323.61,6,-20.09616470336914
7,35000,30.2109,58.3501,313.74,318.31,7,-109.84667205810547
8,40000,30.4807,53.735,331.49,333.57,8,-149.53187561035156
9,45000,29.5487,58.2546,334.5,338.12,9,-238.95223999023438
10,50000,30.6132,54.8182,341.71,346.79,10,-294.0350646972656
11,55000,27.0894,59.4354,383.45,390.4,11,-371.29583740234375
12,60000,27.0405,34.7563,436.39,447.04,12,-284.4964904785156
13,65000,25.8865,40.0558,594.79,607.93,13,-304.9298400878906
14,70000,26.9015,53.6106,530.55,493.55,14,-379.9877624511719
15,75000,26.4283,39.9441,1096.82,694.55,15,-312.19940185546875
16,80000,27.2279,32.4699,521.12,486.56,16,-453.3519287109375
17,85000,25.6414,40.1351,759.71,782.2,17,-482.00537109375
18,90000,24.8825,30.7837,1512.32,2238.83,18,-345.9586486816406
19,95000,24.8683,39.285,1343.25,1182.38,19,-485.4516296386719
20,100000,24.9537,33.1176,1327.28,1161.77,20,-495.13226318359375
21,105000,25.1646,34.9755,1872.09,2825.67,21,-400.6541442871094
22,110000,25.3963,14.2624,2539.87,2823.33,22,-216.8939971923828
23,115000,23.9249,17.8753,3047.06,3056.7,23,-166.14480590820312
24,120000,24.2824,13.7752,3045.96,3062.03,24,-247.52137756347656
25,125000,23.9415,14.7889,2910.76,3137.25,25,-201.760498046875
26,130000,24.0589,19.3968,2507.28,3105.28,26,-252.36483764648438
27,135000,24.705,16.1211,2899.03,3054.22,27,-258.6640319824219
28,140000,24.971,18.5616,1786.18,1274.84,28,-433.6031188964844
29,145000,23.8027,13.8336,2736.73,3141.69,29,-196.0812530517578
30,150000,23.4278,16.1726,2661.21,3095.56,30,-329.7613220214844
31,155000,25.3288,28.2538,1282.68,942.32,31,-828.5670776367188
32,160000,24.1825,22.7557,2291.3,374.9,32,-611.7137451171875
33,165000,24.0215,23.7124,1561.96,2768.39,33,-659.5942993164062
34,170000,24.5006,15.3025,2388.32,3170.3,34,-295.5979309082031
35,175000,23.8637,21.3655,1388.7,1345.93,35,-845.6751098632812
36,180000,23.3807,13.9787,2819.4,2692.83,36,-496.46368408203125
37,185000,24.8759,15.0422,2696.47,3128.6,37,-459.834716796875
38,190000,22.5458,14.8961,2639.96,3133.63,38,-532.9577026367188
39,195000,24.8962,16.0697,1899.6,3078.46,39,-593.1537475585938
40,200000,24.0183,13.9481,2940.45,3090.81,40,-424.6197814941406
41,205000,24.1961,14.2941,3022.91,3225.97,41,-416.4151611328125
42,210000,23.2401,13.2773,2767.47,3079.4,42,-476.7701416015625
43,215000,24.6778,15.01,3023.43,3244.48,43,-536.14599609375
44,220000,24.4842,14.5324,3137.55,3146.06,44,-295.8834228515625
45,225000,24.881,16.6384,2066.72,3253.96,45,-719.8458862304688
46,230000,25.1664,16.5852,2963.49,3256.29,46,-476.0858154296875
47,235000,24.321,14.4777,2768.38,3245.59,47,-494.5229187011719
48,240000,24.3805,14.0975,1757.27,2806.76,48,-657.394775390625
49,245000,23.6119,14.0923,2947.54,3191.94,49,-353.5975341796875
50,250000,24.3763,14.7113,3093.83,3188.56,50,-483.9332275390625
51,255000,24.2686,13.8807,3143.74,3197.1,51,-468.2974853515625
52,260000,24.0182,14.9848,2837.85,3196.63,52,-524.5667114257812
53,265000,24.7955,15.7283,3112.43,3162.57,53,-524.2554321289062
54,270000,23.436,13.84,3198.63,3229.4,54,-566.8157348632812
55,275000,23.6837,14.1226,3171.64,3173.94,55,-576.927734375
56,280000,22.719,12.4892,2964.01,3059.11,56,-572.4357299804688
57,285000,24.2661,13.3961,2798.49,3250.49,57,-670.6986694335938
58,290000,24.1038,15.1367,3188.78,3192.83,58,-602.5728759765625
59,295000,23.596,13.5307,2809.39,3220.89,59,-697.776123046875
60,300000,24.7078,15.862,3084.21,3205.69,60,-711.730712890625
61,305000,24.0552,15.2555,3089.91,3222.96,61,-698.8631591796875
62,310000,24.9652,15.6633,3187.22,3206.55,62,-700.9041137695312
63,315000,23.9563,15.0125,3115.06,3175.0,63,-721.9353637695312
64,320000,24.5069,14.2942,3033.88,3213.44,64,-815.485107421875
65,325000,24.1265,15.3011,3166.06,3174.88,65,-749.4200439453125
66,330000,24.3121,15.0713,2959.54,3218.96,66,-846.0188598632812
67,335000,24.6295,16.4585,2895.57,3232.6,67,-836.1402587890625
68,340000,23.4946,13.9681,2967.39,3179.78,68,-995.5823974609375
69,345000,23.4824,14.1789,3087.07,3189.15,69,-818.3468017578125
70,350000,24.1815,15.7974,1964.16,3208.53,70,-828.4595947265625
71,355000,24.051,14.7726,3028.67,3269.52,71,-810.6819458007812
72,360000,24.7931,15.1559,2406.07,3223.85,72,-1124.1180419921875
73,365000,23.6491,15.3331,3173.31,3188.72,73,-913.7380981445312
74,370000,24.1118,15.1602,3004.94,3293.3,74,-1075.5155029296875
75,375000,22.6004,12.6522,3104.26,3209.76,75,-888.161865234375
76,380000,24.4335,15.0526,2915.4,3229.55,76,-1043.7978515625
77,385000,23.9802,14.6419,3154.36,3144.59,77,-1033.1070556640625
78,390000,23.5383,14.6605,2612.77,3263.02,78,-1081.3009033203125
79,395000,23.7698,13.9108,2980.87,3253.78,79,-977.05810546875
