Reward Loss,Running Forward KL,Running Reverse KL,Running Update Time,Running Env Steps,Itration,Real Sto Return,Real Det Return
-80.41100311279297,38.7054,21.5806,0,0,0,220.96,220.78
-104.03789520263672,38.2648,30.9939,1,5000,1,251.03,268.28
-104.77572631835938,36.6757,26.8464,2,10000,2,277.74,275.9
-107.62397766113281,35.6348,23.9315,3,15000,3,287.24,298.53
-133.47781372070312,35.7518,24.3187,4,20000,4,263.72,266.5
-93.57564544677734,44.2387,27.66,5,25000,5,1003.54,1003.57
-72.26089477539062,35.3322,19.5593,6,30000,6,345.1,337.28
-67.38960266113281,44.2307,120.6217,7,35000,7,65.51,99.88
-156.5284423828125,45.2572,29.2229,8,40000,8,997.84,999.01
-143.06956481933594,39.6756,20.5457,9,45000,9,1017.65,1028.01
-164.05502319335938,39.4207,19.8566,10,50000,10,613.92,834.96
-139.58949279785156,36.6374,18.6412,11,55000,11,304.91,302.3
-141.97674560546875,37.1391,19.0787,12,60000,12,717.65,732.56
-148.50006103515625,35.2366,27.2917,13,65000,13,661.86,1199.57
-168.02308654785156,39.6638,31.4223,14,70000,14,384.13,388.17
-164.7249755859375,35.9765,20.1934,15,75000,15,255.71,241.79
-171.4707794189453,38.7641,79.3773,16,80000,16,223.72,225.88
-246.76596069335938,43.9556,32.4431,17,85000,17,1034.69,1034.39
-229.65216064453125,43.3892,22.5485,18,90000,18,1049.74,1043.69
-222.68316650390625,42.7331,26.7908,19,95000,19,911.47,1025.84
-219.93951416015625,41.7887,49.5609,20,100000,20,913.51,1030.87
-297.26934814453125,42.8249,35.4973,21,105000,21,1044.97,1044.02
-260.18829345703125,38.1426,26.0085,22,110000,22,383.24,386.43
-232.2101593017578,37.3914,33.1339,23,115000,23,404.94,412.27
