Real Sto Return,Running Reverse KL,Itration,Real Det Return,Running Forward KL
353.32,13.0323,0,319.38,49.9559
368.96,15.8875,1,366.93,48.7911
378.88,17.4656,2,409.81,48.8679
486.44,12.3473,3,837.93,48.1797
449.84,13.391,4,430.76,48.076
335.72,13.4502,5,357.09,49.1844
549.04,12.517,6,574.57,47.4158
404.36,13.3563,7,412.43,48.2462
484.11,14.4097,8,397.68,48.2552
590.49,14.7223,9,458.05,46.8774
749.88,15.3829,10,642.07,45.6141
660.92,15.4132,11,859.52,46.55
919.52,13.3434,12,744.73,45.1832
955.25,18.1542,13,952.02,45.3628
1223.33,17.0486,14,854.02,46.0934
1298.93,16.3376,15,1509.74,44.6271
1704.32,11.9404,16,1365.19,45.2118
1786.45,13.6245,17,2592.6,44.2345
1835.95,13.2828,18,2295.9,42.1995
1951.4,14.4141,19,3296.51,43.2079
1792.43,13.0545,20,1590.2,43.5536
2364.02,14.8908,21,2414.17,43.1122
1708.56,12.9478,22,1854.36,43.745
2889.4,14.761,23,3874.05,43.0418
3003.63,13.5216,24,3316.59,42.678
3415.64,15.6617,25,3992.82,41.6768
3163.8,17.7998,26,3918.83,41.8758
3589.08,16.8948,27,3997.04,42.4488
3960.15,19.1269,28,4065.88,43.0415
3895.98,17.7756,29,3702.62,42.8359
4288.2,19.6903,30,4274.75,42.4525
4305.62,18.566,31,4213.47,41.386
3128.05,17.2582,32,3614.93,42.6751
4319.37,17.7326,33,4402.32,41.6962
3962.4,17.1047,34,4178.64,41.1355
4417.03,16.991,35,4385.07,41.4664
4333.56,16.4287,36,4583.31,41.2426
4466.16,17.8341,37,4593.63,41.1255
4366.8,17.0989,38,4628.97,40.5469
3538.29,17.2453,39,4723.04,41.7526
4442.86,17.0567,40,4581.72,40.6138
4514.08,16.8922,41,4472.01,39.7111
4444.17,16.0129,42,4580.03,40.3317
3429.41,16.4165,43,4270.47,41.5491
4012.77,15.5936,44,4578.96,40.2299
4367.33,17.4637,45,4596.2,41.219
4173.91,16.5644,46,4521.69,40.6004
3833.21,15.9331,47,4543.08,40.4025
2949.35,15.0681,48,3804.1,40.5347
4277.4,17.203,49,4699.03,39.3625
4817.0,18.5712,50,4775.5,40.2408
4537.42,16.0008,51,4837.08,39.226
4567.19,17.061,52,4515.18,38.7874
4711.44,17.643,53,4819.41,38.9015
4438.18,17.4218,54,4656.68,39.7886
4592.33,16.596,55,4733.88,38.4619
4726.8,16.035,56,4663.4,38.3312
4677.27,16.2151,57,4818.52,37.4312
4666.31,17.8296,58,4961.1,39.5874
4828.71,13.8544,59,4838.35,37.7985
4778.13,16.3683,60,5025.5,38.7403
4871.91,19.1546,61,4940.43,39.86
4763.14,16.7609,62,5193.55,39.4498
4747.27,18.0758,63,5096.67,39.6709
4867.99,17.1493,64,5026.11,38.8402
4811.95,15.8656,65,4917.48,37.6687
4400.51,16.3103,66,4898.64,38.5654
4849.31,17.9042,67,4987.69,39.4322
4621.4,17.4354,68,5018.19,39.0317
4790.41,17.4306,69,4852.71,39.3689
4711.02,16.4045,70,4895.2,38.3615
4660.52,17.0052,71,5036.05,38.8846
4694.21,16.5519,72,4804.12,39.3985
4899.67,17.1882,73,5064.8,38.137
4548.7,16.0882,74,4976.81,37.1554
4677.28,17.7452,75,4974.81,39.1781
4386.48,16.0763,76,4894.1,39.4951
4152.79,17.0848,77,3299.85,40.6735
4838.73,16.4217,78,5142.19,38.9525
4919.99,18.2234,79,5024.04,39.0854
4873.03,18.3003,80,5046.92,39.2999
4835.73,16.664,81,5049.94,38.4774
4561.5,17.0337,82,5045.24,37.9956
4754.74,18.4604,83,3514.12,38.3033
4804.81,17.7912,84,5019.39,38.8334
4914.64,17.309,85,5099.88,37.7356
3853.64,19.0987,86,3494.05,39.4358
3907.93,17.0513,87,4963.16,38.5327
4671.79,17.8243,88,4708.0,38.5166
4698.11,17.9214,89,5043.42,38.8084
4679.37,15.9705,90,4944.99,37.3908
5010.47,16.829,91,5177.86,37.2505
4926.71,18.676,92,4621.9,39.396
4801.39,19.5313,93,4996.94,40.7611
4727.58,16.7032,94,5028.78,37.282
4723.01,16.3925,95,5101.88,38.1488
4933.08,18.3724,96,5080.26,39.2068
3874.25,14.6745,97,4969.17,39.0095
4970.43,16.6953,98,4973.61,38.0328
4910.2,16.3482,99,4923.09,37.8109
4944.9,17.9977,100,4309.89,39.6272
3703.53,14.0612,101,4158.81,39.0605
3682.66,18.943,102,4719.03,39.4475
4905.19,16.7504,103,5011.34,39.3279
4492.41,17.947,104,4968.8,38.2247
4445.91,18.5044,105,5041.44,38.4827
4711.78,18.6418,106,4303.88,40.5223
4386.16,17.4704,107,5084.92,38.9375
4423.4,15.5747,108,4832.9,38.4779
4720.73,15.5419,109,5067.62,38.786
4956.11,16.0634,110,5133.01,37.8888
4497.53,16.9951,111,5023.14,39.1392
4863.92,17.0065,112,5053.53,38.7172
4967.29,16.6,113,3717.0,37.456
4974.16,16.5745,114,5173.13,37.9791
4983.81,15.5573,115,5171.64,37.4173
4423.22,16.0484,116,4804.34,38.4912
4729.65,16.6624,117,5108.52,37.849
4765.95,16.7336,118,5026.45,37.6577
4769.96,17.911,119,4346.01,37.764
4920.28,17.5971,120,5070.17,38.8634
4952.47,16.2833,121,5097.71,37.7134
4811.65,16.9333,122,4891.74,39.7089
4986.24,16.2343,123,5159.87,37.289
4752.51,15.4806,124,4975.48,37.8409
4405.11,17.6965,125,4558.77,37.5168
4993.27,16.0044,126,5093.06,36.7645
4989.92,15.5956,127,5178.96,37.0034
4525.29,17.6592,128,5045.56,38.7372
4968.24,15.547,129,4865.61,37.2858
4491.49,16.4659,130,5097.08,38.6652
4897.08,17.1563,131,5110.98,38.2475
4690.12,17.3042,132,5087.76,39.7327
4029.67,15.5599,133,4756.0,38.088
4785.0,16.567,134,5141.47,39.0271
4391.43,17.178,135,3459.21,38.3287
4915.56,15.7978,136,5038.97,38.0488
4990.16,16.0469,137,5091.33,37.5681
4948.08,15.998,138,5111.49,37.7637
4822.67,15.4103,139,4959.5,38.5472
4889.09,15.8163,140,5129.97,36.9133
4959.68,16.7656,141,5153.61,37.5539
4815.67,15.928,142,5226.35,38.0142
4940.26,16.5896,143,5078.8,38.5285
4937.43,17.77,144,5077.44,39.1966
5015.0,17.5574,145,5166.55,37.658
4874.73,16.7146,146,5076.01,38.1759
4889.71,15.6349,147,5063.58,38.3594
5011.67,16.765,148,5213.74,38.0644
4898.6,16.565,149,5092.06,38.1321
4667.77,15.1126,150,5070.29,38.1083
4944.36,15.2203,151,5187.85,37.3163
4955.27,15.5626,152,5061.61,37.1569
4994.28,15.0148,153,5136.29,36.5299
5012.33,15.8173,154,5129.0,37.1315
4858.21,14.8671,155,5098.13,36.2701
4750.75,15.9361,156,5141.88,38.264
5018.36,15.7095,157,5088.85,37.4198
4579.28,15.988,158,5102.1,37.2662
4983.3,14.2663,159,5063.21,36.0727
4836.86,14.8943,160,4916.73,36.6574
5030.22,14.7344,161,5173.4,36.4039
4926.16,18.1266,162,5096.96,39.36
5013.08,14.4066,163,5209.43,37.0904
5036.33,14.6747,164,5144.48,36.4578
4843.33,15.0285,165,5185.28,36.223
4952.49,14.9274,166,5070.01,37.5183
5036.92,15.9115,167,5182.37,37.6594
4972.73,15.9992,168,5164.6,38.0682
4867.78,14.9581,169,5128.7,37.2058
4723.04,16.1284,170,5096.5,37.8984
