Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Forward KL,Running Env Steps,Itration,Real Det Return
32.8786,0,-137.52560424804688,306.6,38.0428,0,0,321.39
48.6154,1,-140.1952362060547,288.93,37.0808,5000,1,256.3
32.88,2,-146.9567108154297,341.62,35.7303,10000,2,344.25
29.4213,3,-147.55213928222656,314.74,36.7168,15000,3,315.22
17.5838,4,-113.42430114746094,424.49,34.6782,20000,4,428.67
15.4838,5,-66.90435028076172,613.95,33.1494,25000,5,510.31
15.094,6,5.404367923736572,1844.28,33.462,30000,6,1108.4
17.3529,7,-75.83613586425781,974.07,31.8759,35000,7,837.51
17.1403,8,-83.962646484375,1113.24,30.9236,40000,8,801.21
19.6984,9,-113.24205780029297,895.9,32.147,45000,9,742.33
14.4267,10,-24.846628189086914,1981.77,31.398,50000,10,2395.46
81.8504,11,-61.65047073364258,561.28,27.4313,55000,11,556.92
17.8179,12,-117.70648956298828,762.0,31.3756,60000,12,776.12
14.5149,13,-10.079890251159668,2433.74,30.9838,65000,13,2637.74
98.9168,14,-176.6129150390625,-0.53,45.5203,70000,14,-0.48
14.1201,15,3.5121142864227295,2474.55,30.112,75000,15,2454.17
208.7094,16,-196.99002075195312,2.94,44.0413,80000,16,2.93
37.7019,17,-186.92294311523438,305.88,38.184,85000,17,313.4
41.0214,18,-180.05020141601562,264.0,36.1016,90000,18,236.9
41.9353,19,-225.23492431640625,972.25,44.247,95000,19,973.2
24.2009,20,-233.8463592529297,624.27,34.955,100000,20,572.9
19.2102,21,-112.10799407958984,649.16,35.4929,105000,21,280.07
44.8584,22,-192.23080444335938,382.25,38.7302,110000,22,344.53
51.8942,23,-242.98553466796875,990.46,45.1173,115000,23,990.82
34.9172,24,-191.10411071777344,799.13,34.4864,120000,24,1317.7
54.6296,25,-194.55735778808594,595.37,35.571,125000,25,691.46
21.6344,26,-133.59019470214844,1272.54,32.7492,130000,26,989.63
38.5357,27,-192.86972045898438,903.59,34.683,135000,27,693.56
22.77,28,-7.55593204498291,840.48,34.01,140000,28,1261.66
25.6859,29,-38.1397590637207,2401.13,35.1247,145000,29,2408.2
38.9724,30,-217.32965087890625,1110.02,35.3067,150000,30,986.29
28.2917,31,-203.1559295654297,1860.33,35.4804,155000,31,1920.68
24.5709,32,-61.355472564697266,2158.12,35.6635,160000,32,2167.02
19.1952,33,-75.25145721435547,2243.8,34.5385,165000,33,2287.72
32.0257,34,-183.5717315673828,590.26,33.3779,170000,34,759.7
35.5868,35,-292.3794860839844,724.33,36.2385,175000,35,661.26
23.2431,36,-239.28378295898438,472.14,35.9041,180000,36,439.26
42.2203,37,-215.2482452392578,653.67,35.7403,185000,37,635.04
17.9348,38,-285.1488037109375,568.88,37.1912,190000,38,1036.64
30.5975,39,-405.6317138671875,1024.01,43.7567,195000,39,1022.06
40.9329,40,-383.2923889160156,1030.91,44.9584,200000,40,1030.46
19.9573,41,-230.4403839111328,2061.62,35.6663,205000,41,2071.49
21.5239,42,-156.78346252441406,2298.01,34.5272,210000,42,2288.47
26.2522,43,-300.0306091308594,1142.69,36.6083,215000,43,1413.71
17.0522,44,-281.0751037597656,588.33,34.4707,220000,44,851.06
15.9407,45,-153.94451904296875,498.63,33.2444,225000,45,583.9
14.9125,46,-187.68698120117188,902.77,35.5792,230000,46,759.11
18.6878,47,-286.0329895019531,827.93,35.2745,235000,47,746.42
28.4181,48,-239.02618408203125,813.55,33.6438,240000,48,870.29
19.7034,49,-175.8179931640625,1910.37,35.2308,245000,49,1808.72
20.714,50,-189.70909118652344,1295.05,36.5494,250000,50,1484.43
18.3341,51,-200.0142364501953,2085.27,34.7461,255000,51,2096.54
22.9147,52,-88.45165252685547,2400.82,34.2494,260000,52,2399.04
26.938,53,-467.0399475097656,1055.69,40.8229,265000,53,1038.79
17.5224,54,-132.13888549804688,1532.92,32.7955,270000,54,1620.73
17.294,55,-273.12139892578125,877.81,34.6716,275000,55,930.25
20.717,56,-194.3545379638672,1968.07,34.6066,280000,56,1947.15
41.1365,57,-513.7579956054688,981.47,44.8033,285000,57,982.17
22.4961,58,-226.8075714111328,1782.42,37.4033,290000,58,1784.02
18.9427,59,-336.4347229003906,1676.23,37.7366,295000,59,1678.48
50.3438,60,-505.00946044921875,854.12,41.2923,300000,60,981.2
30.188,61,-530.5795288085938,1007.91,45.4961,305000,61,1017.05
14.6849,62,-341.4035949707031,1526.12,33.1094,310000,62,1527.42
48.1892,63,-548.4186401367188,987.77,41.8148,315000,63,988.06
22.0572,64,-228.905029296875,1962.76,37.172,320000,64,1972.29
16.2693,65,-153.1909942626953,2440.73,31.3555,325000,65,2403.57
20.9617,66,-139.28147888183594,2442.23,34.4857,330000,66,2450.71
21.2245,67,-147.50340270996094,2455.33,35.2512,335000,67,2472.05
23.8495,68,-190.51895141601562,1947.9,36.6985,340000,68,2023.38
37.1847,69,-486.7394104003906,1153.67,35.9195,345000,69,1023.15
27.5051,70,-263.6949768066406,1957.89,33.2021,350000,70,1965.19
22.1015,71,-157.3901824951172,2544.45,35.4478,355000,71,2549.14
20.3752,72,-304.71484375,2010.58,35.6209,360000,72,2006.14
19.0843,73,-327.1907653808594,80.87,34.8082,365000,73,81.4
22.9924,74,-309.7950134277344,141.67,35.9639,370000,74,133.93
20.7827,75,-263.238525390625,2035.49,36.2592,375000,75,2036.99
22.6727,76,-166.5137939453125,2278.07,35.4383,380000,76,2285.99
20.8842,77,-257.6880187988281,2089.11,35.3633,385000,77,2079.07
18.7684,78,-274.92431640625,670.97,35.2517,390000,78,152.48
20.5807,79,-152.68235778808594,2467.56,32.7405,395000,79,2467.21
16.3592,80,-226.85763549804688,1479.27,32.1041,400000,80,1769.77
20.3989,81,-200.43251037597656,2411.5,34.4818,405000,81,2431.94
18.2959,82,-198.0087127685547,2028.21,33.8297,410000,82,1970.26
42.4495,83,-409.2234191894531,165.87,34.9571,415000,83,174.01
49.432,84,-595.665283203125,148.84,38.0834,420000,84,148.86
62.7996,85,-708.4822998046875,1027.63,42.4556,425000,85,1027.75
15.3789,86,-462.88714599609375,366.72,37.6584,430000,86,319.12
37.4579,87,-699.9937744140625,199.44,40.7053,435000,87,267.01
55.6647,88,-714.24072265625,1001.84,47.2805,440000,88,1001.92
17.2989,89,-252.43228149414062,1648.63,33.9331,445000,89,2240.19
57.0119,90,-724.1273193359375,994.94,45.6268,450000,90,995.07
20.3893,91,-331.6203918457031,2311.49,34.0543,455000,91,2276.92
138.4909,92,-623.70654296875,161.51,36.1587,460000,92,161.78
23.6936,93,-261.194580078125,2177.95,35.3742,465000,93,2175.35
18.8348,94,-259.23944091796875,92.7,34.4111,470000,94,108.27
24.5181,95,-256.3086242675781,2196.81,36.7322,475000,95,2196.31
25.6317,96,-218.7948760986328,2285.08,34.5131,480000,96,2281.03
19.9481,97,-169.19314575195312,2687.4,32.2031,485000,97,2696.94
21.5299,98,-280.2418518066406,1989.74,35.1202,490000,98,1972.84
21.3542,99,-227.35142517089844,2396.12,33.9526,495000,99,2391.09
19.5071,100,-195.76376342773438,2595.9,32.8803,500000,100,2604.49
24.5457,101,-636.5131225585938,148.9,34.8408,505000,101,150.23
23.9551,102,-284.6647033691406,2187.32,35.5577,510000,102,2187.81
19.1961,103,-692.9190063476562,71.46,36.4181,515000,103,66.92
27.3799,104,-646.1821899414062,350.2,35.9286,520000,104,375.69
34.7923,105,-605.0859985351562,240.5,37.0218,525000,105,232.85
29.0953,106,-714.2621459960938,1380.14,35.7924,530000,106,1292.14
75.0326,107,-695.2876586914062,149.5,39.3758,535000,107,149.65
33.5686,108,-734.5372314453125,175.75,36.3677,540000,108,175.66
29.5942,109,-859.8907470703125,1041.67,41.1478,545000,109,1042.82
30.8003,110,-808.2821044921875,716.51,37.7078,550000,110,631.96
38.1299,111,-896.513671875,1034.73,44.4174,555000,111,1033.92
35.1813,112,-875.47119140625,1059.07,43.889,560000,112,1058.73
18.528,113,-610.321044921875,291.58,33.7498,565000,113,199.49
47.7906,114,-937.851806640625,1031.93,44.5353,570000,114,1031.15
49.7604,115,-738.335693359375,182.8,37.1111,575000,115,84.96
25.3512,116,-746.783203125,115.53,37.5093,580000,116,114.55
27.3159,117,-510.7661437988281,266.8,34.2247,585000,117,262.72
25.4778,118,-943.9971313476562,592.19,40.0755,590000,118,478.81
50.307,119,-954.8506469726562,992.52,45.0128,595000,119,993.52
45.3728,120,-955.3980712890625,999.93,44.4645,600000,120,999.39
25.3373,121,-919.21435546875,1004.86,43.2249,605000,121,997.73
19.3152,122,-710.1297607421875,249.84,36.2909,610000,122,250.3
20.1641,123,-651.1917114257812,512.13,35.8337,615000,123,527.28
32.6627,124,-1011.638671875,1047.3,40.7866,620000,124,1047.81
46.2071,125,-1048.8284912109375,812.94,40.7294,625000,125,171.74
22.7036,126,-811.4641723632812,279.0,32.6592,630000,126,247.81
22.8675,127,-875.2042236328125,218.28,37.1322,635000,127,317.79
57.667,128,-1085.6806640625,1036.13,45.9313,640000,128,1036.16
68.0195,129,-977.2597045898438,331.83,37.9713,645000,129,334.16
210.8857,130,-984.6513671875,12.71,43.8882,650000,130,12.93
55.8927,131,-1033.55615234375,967.1,35.0334,655000,131,1044.69
22.9097,132,-1021.4212036132812,569.87,36.6666,660000,132,641.26
35.7254,133,-1092.0257568359375,1047.91,42.5501,665000,133,1046.74
20.196,134,-933.1292114257812,1264.35,32.8874,670000,134,1050.58
32.5589,135,-1059.1815185546875,1034.7,34.6158,675000,135,1114.46
27.5164,136,-1143.1207275390625,1052.6,43.6016,680000,136,1051.56
14.9881,137,-494.7401428222656,1424.92,33.9668,685000,137,1777.43
34.0288,138,-1165.3563232421875,1060.13,42.1664,690000,138,1060.26
47.9409,139,-1217.306396484375,1045.95,41.3881,695000,139,1046.26
160.3314,140,-1131.7783203125,434.67,42.6052,700000,140,384.52
15.3992,141,-722.5147705078125,1226.42,33.6126,705000,141,1550.66
31.9188,142,-1202.8560791015625,1060.1,43.6022,710000,142,1060.61
41.0733,143,-1214.9620361328125,1041.2,42.1386,715000,143,1041.29
17.8227,144,-750.5529174804688,621.75,35.4081,720000,144,662.72
23.5177,145,-1164.9024658203125,411.04,37.2514,725000,145,412.74
46.3534,146,-1312.48974609375,1041.58,42.6835,730000,146,1041.36
14.8934,147,-470.9261169433594,810.98,33.4347,735000,147,409.52
29.8802,148,-1281.5460205078125,1049.17,41.5529,740000,148,1050.14
15.6325,149,-733.5147094726562,1798.89,34.0893,745000,149,2175.83
40.5923,150,-1295.1787109375,850.03,41.8344,750000,150,978.04
15.5033,151,-509.8224182128906,1099.7,30.9006,755000,151,1738.5
37.2156,152,-1266.699951171875,1048.01,35.9696,760000,152,1058.95
36.5631,153,-1145.7293701171875,1238.97,35.8863,765000,153,1479.85
17.9891,154,-656.5542602539062,1184.9,31.7066,770000,154,1257.09
33.3541,155,-1352.384765625,1063.69,42.0689,775000,155,1063.68
38.54,156,-1383.220458984375,1049.33,41.9387,780000,156,1055.49
25.4847,157,-1381.696044921875,1017.64,44.7729,785000,157,1005.61
29.1033,158,-1284.9556884765625,961.79,36.6217,790000,158,1060.66
32.558,159,-1401.4581298828125,1053.4,43.0423,795000,159,1047.75
44.9123,160,-1414.2078857421875,1063.14,40.9666,800000,160,1064.35
40.9578,161,-1419.2186279296875,267.89,41.6608,805000,161,270.74
30.3029,162,-1458.741455078125,1038.84,43.2268,810000,162,1037.29
40.7485,163,-1444.9034423828125,265.27,41.1239,815000,163,1052.04
34.9427,164,-1457.4759521484375,988.03,35.7101,820000,164,988.24
62.2629,165,-1575.044677734375,993.79,45.6905,825000,165,1027.75
