Itration,Running Forward KL,Running Update Time,Real Det Return,Running Env Steps,Reward Loss,Real Sto Return,Running Reverse KL
0,49.1976,0,312.54,0,116.91650390625,302.22,12.984
1,48.2377,1,335.57,5000,1.2197941541671753,346.12,14.0535
2,49.9265,2,342.42,10000,123.52641296386719,259.55,29.2974
3,49.6428,3,458.24,15000,97.8516616821289,399.22,15.2387
4,48.4556,4,658.03,20000,73.33644104003906,589.23,15.8315
5,49.3755,5,720.84,25000,2.432539939880371,559.26,13.81
6,48.9573,6,515.93,30000,31.91934585571289,536.44,14.4308
7,48.1252,7,667.86,35000,5.0425825119018555,503.02,14.6505
8,48.051,8,851.45,40000,53.651153564453125,665.83,14.9066
9,49.1716,9,793.86,45000,5.5942535400390625,503.46,19.2465
10,50.5753,10,-42.19,50000,25.24793243408203,37.27,17.706
11,48.1911,11,1917.62,55000,15.416979789733887,822.02,14.0036
12,48.897,12,839.03,60000,12.655168533325195,438.58,15.9249
13,47.1502,13,958.15,65000,-5.646824836730957,1381.9,15.923
14,48.6892,14,381.97,70000,-56.77181625366211,568.82,16.1078
15,47.3253,15,833.24,75000,60.62352752685547,832.03,14.3171
16,52.9549,16,456.81,80000,-72.7231216430664,278.91,25.5203
17,50.6831,17,1228.09,85000,-107.7039566040039,375.79,16.9714
18,50.0762,18,819.79,90000,-68.72144317626953,917.27,19.0138
19,50.1107,19,981.87,95000,-169.72549438476562,1037.06,37.7678
20,52.9211,20,1316.64,100000,-74.19171905517578,182.75,63.7319
21,51.5784,21,370.46,105000,-177.41677856445312,635.38,39.8032
22,48.0119,22,1043.05,110000,-137.67013549804688,894.86,23.9098
23,56.0906,23,-1.97,115000,36.49205017089844,-2.05,56.3213
24,48.7261,24,945.08,120000,-161.0745849609375,930.99,26.9763
25,48.4421,25,751.4,125000,-275.3699035644531,952.25,25.6594
26,47.6751,26,1517.3,130000,-79.62390899658203,1171.6,18.1671
27,50.2253,27,951.53,135000,-94.53299713134766,269.09,38.5174
28,51.3416,28,52.64,140000,-148.17628479003906,380.78,25.2255
29,49.7407,29,502.29,145000,-224.4130401611328,489.84,24.0921
30,49.2686,30,469.52,150000,-208.81980895996094,373.66,20.7132
31,48.7406,31,495.51,155000,-38.870872497558594,425.17,15.8218
32,48.082,32,637.02,160000,-28.989971160888672,621.1,14.516
33,48.6977,33,712.54,165000,-61.92728805541992,747.15,14.5235
34,47.8071,34,1516.36,170000,-197.79971313476562,783.71,30.6668
35,48.2609,35,1419.61,175000,-140.94281005859375,1169.87,16.7176
36,48.671,36,994.08,180000,-192.18942260742188,702.02,25.0826
