Real Det Return,Running Reverse KL,Reward Loss,Running Update Time,Itration,Running Env Steps,Running Forward KL,Real Sto Return
273.03,29.2291,218.232177734375,0,0,0,30.9493,265.95
269.38,54.2604,692.485107421875,1,1,5000,30.738,220.33
329.48,76.5018,684.2500610351562,2,2,10000,29.0153,276.5
581.69,20.1238,242.62100219726562,3,3,15000,27.5897,578.09
310.66,63.6552,450.4804992675781,4,4,20000,28.6653,447.77
566.06,15.7352,173.35205078125,5,5,25000,29.0514,528.91
313.72,147.0969,458.5715637207031,6,6,30000,29.0397,352.67
602.93,71.8567,234.537353515625,7,7,35000,26.6223,981.05
711.89,134.7156,305.2982177734375,8,8,40000,27.5814,776.56
666.78,130.8336,249.11073303222656,9,9,45000,27.671,697.17
1948.73,23.7127,-19.056001663208008,10,10,50000,24.5696,1900.53
1585.1,33.657,-64.95223999023438,11,11,55000,25.8676,1379.63
1352.56,46.3878,2.410041093826294,12,12,60000,25.5147,1110.16
262.36,14.3576,-217.43655395507812,13,13,65000,25.7325,487.74
351.74,23.98,-208.16073608398438,14,14,70000,27.2919,374.12
2652.95,12.973,-249.60035705566406,15,15,75000,23.6501,1113.25
1909.42,12.8557,-251.86793518066406,16,16,80000,23.3682,2115.02
1339.31,13.4077,-144.20362854003906,17,17,85000,23.8154,552.03
728.44,16.4928,-181.63302612304688,18,18,90000,24.7172,999.32
979.72,14.5213,-182.98260498046875,19,19,95000,24.0428,1158.86
810.43,21.5894,-187.49122619628906,20,20,100000,25.2401,1055.8
693.32,29.5357,-164.74281311035156,21,21,105000,26.0683,1005.04
1159.93,28.1818,-156.03298950195312,22,22,110000,24.7012,1088.49
1054.3,38.4596,-214.37660217285156,23,23,115000,24.3408,1135.67
1425.19,16.403,-219.19989013671875,24,24,120000,24.6962,1281.71
905.65,24.0783,-289.63287353515625,25,25,125000,24.1042,1315.98
1833.14,16.8319,-291.0060119628906,26,26,130000,24.0271,704.25
969.17,35.8469,-343.11737060546875,27,27,135000,25.2421,1542.53
