Real Det Return,Real Sto Return,Running Env Steps,Itration,Running Forward KL,Running Reverse KL,Running Update Time,Reward Loss
351.98,-87.19,0,0,76.4039,26.2309,0,19.395946502685547
408.54,-78.58,5000,1,74.0712,25.8769,1,6.137449264526367
514.99,-13.72,10000,2,73.0671,26.1772,2,-3.4372880458831787
573.69,-12.66,15000,3,73.647,27.2472,3,-14.774758338928223
715.01,35.38,20000,4,73.2715,29.0587,4,-22.591989517211914
859.14,94.39,25000,5,71.4316,28.5888,5,-33.25117111206055
821.97,49.09,30000,6,72.9485,28.5197,6,-44.18335723876953
991.11,154.01,35000,7,72.4879,29.5697,7,-54.0024299621582
952.28,163.08,40000,8,69.3127,29.0852,8,-63.09735107421875
1152.59,223.88,45000,9,71.2485,31.6113,9,-71.65738677978516
1053.29,263.12,50000,10,68.2042,30.1772,10,-82.60087585449219
1020.38,197.53,55000,11,68.3804,30.6058,11,-89.72727966308594
1037.65,175.11,60000,12,69.0555,30.0854,12,-107.79244995117188
948.75,265.36,65000,13,68.4834,30.3159,13,-119.10608673095703
1104.41,214.48,70000,14,67.6902,29.5997,14,-129.8126220703125
722.76,237.09,75000,15,65.3398,27.6918,15,-136.924560546875
770.36,250.57,80000,16,66.9906,29.4344,16,-152.51210021972656
793.26,235.56,85000,17,65.8977,29.189,17,-158.49151611328125
806.53,226.97,90000,18,67.6408,29.4596,18,-177.33172607421875
1444.77,328.02,95000,19,66.7861,29.688,19,-187.63099670410156
1209.64,309.75,100000,20,66.501,29.4005,20,-197.46292114257812
1022.95,229.89,105000,21,65.2464,29.133,21,-206.7359161376953
825.85,267.83,110000,22,66.6004,29.8196,22,-223.96868896484375
1025.23,381.12,115000,23,68.9558,30.5962,23,-239.57833862304688
1275.64,379.17,120000,24,67.1415,30.147,24,-248.46188354492188
1111.19,487.6,125000,25,62.739,28.0722,25,-244.87986755371094
942.45,255.1,130000,26,65.3988,28.9423,26,-266.688232421875
1197.28,558.37,135000,27,61.2704,28.1611,27,-266.12945556640625
942.83,412.09,140000,28,66.2608,28.8199,28,-292.8363952636719
1278.63,337.72,145000,29,60.4136,27.0742,29,-284.0225524902344
