Running Reverse KL,Reward Loss,Itration,Running Forward KL,Real Det Return,Running Update Time,Real Sto Return,Running Env Steps
24.6553,81.6441421508789,0,74.4989,442.01,0,-54.52,0
25.5541,15.744851112365723,1,72.6143,407.16,1,-22.27,5000
26.2827,-28.804725646972656,2,72.5872,372.4,2,-11.43,10000
27.6403,-115.65130615234375,3,70.7432,456.32,3,9.58,15000
28.7737,-183.9365692138672,4,71.7606,678.3,4,30.93,20000
28.5941,-232.32638549804688,5,70.5901,727.61,5,48.38,25000
30.9207,-304.4177551269531,6,71.4636,704.74,6,100.54,30000
30.4838,-376.33770751953125,7,69.5752,710.71,7,151.45,35000
32.1279,-435.0003356933594,8,68.3948,856.82,8,187.24,40000
29.5734,-486.1473693847656,9,65.8166,920.08,9,262.87,45000
30.0205,-561.4471435546875,10,64.7867,746.91,10,196.34,50000
29.9358,-609.5659790039062,11,65.2248,918.72,11,237.14,55000
30.1642,-698.7393798828125,12,65.8509,980.34,12,286.04,60000
30.6237,-744.8184814453125,13,66.46,955.01,13,232.51,65000
29.6654,-789.6497802734375,14,64.3319,1097.67,14,291.45,70000
29.2691,-852.8822631835938,15,63.9237,1007.94,15,362.42,75000
28.7381,-911.8109741210938,16,65.2605,857.52,16,251.13,80000
28.6988,-980.266845703125,17,65.9312,917.0,17,206.42,85000
30.9117,-1068.1729736328125,18,69.9399,959.27,18,286.73,90000
29.0757,-1095.85107421875,19,65.7141,857.29,19,328.2,95000
29.8708,-1184.772705078125,20,68.837,868.74,20,284.63,100000
28.9401,-1223.99462890625,21,65.8107,826.66,21,258.46,105000
28.9234,-1277.4390869140625,22,65.7827,1081.19,22,288.65,110000
30.3076,-1386.846435546875,23,69.5101,901.93,23,287.06,115000
29.0871,-1415.601318359375,24,65.3051,930.23,24,352.95,120000
28.9068,-1474.0986328125,25,65.2822,1000.96,25,318.31,125000
27.7107,-1490.6181640625,26,62.8519,945.92,26,358.97,130000
28.4043,-1563.294189453125,27,64.4801,1167.23,27,488.72,135000
27.3525,-1600.280029296875,28,62.1304,1010.35,28,331.02,140000
26.1671,-1561.7589111328125,29,58.1826,1312.43,29,566.08,145000
26.941,-1692.88916015625,30,61.7582,1094.93,30,409.28,150000
28.2871,-1824.025390625,31,64.2627,1008.99,31,330.35,155000
29.2745,-1936.707763671875,32,66.102,1088.43,32,549.32,160000
28.3422,-1950.366943359375,33,63.1092,930.87,33,397.68,165000
28.517,-2042.154541015625,34,65.4397,1023.4,34,272.13,170000
28.1847,-2050.7626953125,35,62.7236,1121.22,35,431.54,175000
28.1001,-2127.109130859375,36,62.832,954.58,36,391.02,180000
28.7797,-2259.487548828125,37,64.7603,1063.58,37,380.58,185000
28.5785,-2310.122802734375,38,65.6317,1066.91,38,475.97,190000
26.3367,-2201.1103515625,39,58.1798,1041.87,39,336.74,195000
28.7634,-2457.66064453125,40,65.1491,1132.28,40,446.15,200000
27.8902,-2480.236572265625,41,63.2702,1039.11,41,490.62,205000
29.1583,-2605.802978515625,42,64.4574,954.05,42,379.11,210000
27.8515,-2554.59619140625,43,61.3224,1110.92,43,481.03,215000
27.4342,-2608.72802734375,44,61.0018,1249.62,44,576.22,220000
25.9829,-2610.40966796875,45,58.7063,1279.86,45,441.51,225000
25.1967,-2596.03857421875,46,58.2768,1296.6,46,476.23,230000
29.6642,-2999.304443359375,47,66.103,1079.1,47,395.14,235000
28.1547,-3009.752685546875,48,64.0719,1247.35,48,520.79,240000
26.7834,-2925.96728515625,49,61.1432,1237.39,49,479.67,245000
25.3809,-2903.234619140625,50,59.7944,1253.89,50,583.42,250000
25.8802,-2984.310791015625,51,59.2313,1221.65,51,616.83,255000
29.3161,-3352.13671875,52,65.6412,1147.47,52,481.0,260000
26.009,-3159.801025390625,53,61.4485,1684.05,53,484.86,265000
24.1794,-3031.809326171875,54,58.1695,1397.62,54,891.06,270000
24.3571,-3091.88330078125,55,57.6261,1339.45,55,564.88,275000
25.9792,-3425.46875,56,60.9779,1288.54,56,859.46,280000
25.2588,-3161.85791015625,57,56.9919,1515.11,57,911.07,285000
24.2395,-2775.60595703125,58,55.3061,1842.57,58,1152.02,290000
23.6607,-3199.044677734375,59,57.0124,1490.91,59,946.11,295000
24.2304,-3492.09814453125,60,58.3936,1659.44,60,665.6,300000
24.1434,-2885.76025390625,61,54.3386,2445.54,61,1305.0,305000
24.45,-3159.0283203125,62,56.3248,1730.77,62,1011.25,310000
24.1096,-3298.318115234375,63,55.3896,2209.85,63,1157.8,315000
23.6584,-2759.32373046875,64,52.6844,2284.6,64,1213.87,320000
25.5223,-4047.10302734375,65,60.1479,2009.0,65,809.71,325000
24.6776,-3225.001220703125,66,54.1168,2168.22,66,1301.64,330000
23.7944,-3010.60009765625,67,52.4576,2336.95,67,960.96,335000
22.5669,-3739.39306640625,68,54.9237,1782.46,68,846.4,340000
23.4451,-3379.885009765625,69,53.0768,2528.39,69,1882.23,345000
22.2778,-3808.500732421875,70,55.4224,1238.42,70,773.7,350000
22.7492,-3332.061279296875,71,51.8188,2718.12,71,1311.71,355000
22.9938,-3346.374267578125,72,51.2523,2556.46,72,1886.93,360000
22.0876,-2993.031005859375,73,49.5204,2658.11,73,1108.71,365000
20.6316,-3181.693359375,74,49.3988,2152.49,74,1101.87,370000
21.567,-3363.145751953125,75,50.1863,2317.79,75,1218.54,375000
22.7018,-2987.0986328125,76,50.0846,2587.98,76,1658.28,380000
