Itration,Reward Loss,Running Forward KL,Running Env Steps,Real Sto Return,Running Update Time,Real Det Return,Running Reverse KL
0,63.39091110229492,74.9051,0,-124.4,0,317.73,26.3683
1,-21.763992309570312,74.7963,5000,-74.66,1,558.93,24.8581
2,-9.907567024230957,75.2363,10000,-41.95,2,485.57,27.0756
3,-77.05548095703125,73.5586,15000,-15.97,3,485.77,26.6651
4,-158.46910095214844,73.2638,20000,5.03,4,422.29,27.5481
5,-187.21343994140625,74.6776,25000,58.29,5,580.83,28.3296
6,-213.714111328125,73.929,30000,21.81,6,381.04,28.6044
7,-296.9554138183594,73.103,35000,79.83,7,670.79,30.17
8,-331.2294616699219,73.2879,40000,86.92,8,561.69,29.5683
9,-381.0198059082031,70.2871,45000,84.26,9,669.81,29.3516
10,-435.74114990234375,74.3417,50000,100.58,10,523.51,30.9001
11,-488.6708068847656,71.6143,55000,121.84,11,972.07,30.6129
12,-552.0173950195312,74.0858,60000,92.0,12,710.06,31.8431
13,-604.8345336914062,72.7714,65000,122.9,13,560.91,30.8216
14,-659.9349975585938,69.399,70000,209.67,14,816.63,30.3051
15,-738.8102416992188,73.503,75000,152.96,15,574.91,31.4573
16,-798.2739868164062,73.1693,80000,132.32,16,494.79,31.0203
17,-855.4591674804688,72.5721,85000,142.66,17,693.31,30.1604
18,-928.3297729492188,72.0668,90000,205.7,18,734.85,30.4865
19,-974.7274169921875,70.4624,95000,135.48,19,781.69,30.2919
20,-1050.5543212890625,71.4154,100000,141.56,20,485.82,30.3579
21,-1117.0950927734375,72.1704,105000,172.76,21,736.8,31.501
22,-1170.8602294921875,72.3474,110000,155.39,22,483.99,30.6551
23,-1226.5399169921875,71.9351,115000,192.01,23,653.69,30.0751
24,-1265.6683349609375,69.6404,120000,193.08,24,679.23,30.021
25,-1348.8326416015625,70.0309,125000,198.86,25,569.38,30.034
26,-1370.5107421875,68.5916,130000,165.9,26,438.9,29.6481
27,-1507.83154296875,74.5337,135000,203.81,27,922.17,30.8125
28,-1560.255859375,73.3759,140000,223.06,28,472.61,30.8424
29,-1579.966552734375,70.5786,145000,293.48,29,931.66,30.0968
30,-1648.375732421875,71.085,150000,209.17,30,918.82,30.199
31,-1661.7398681640625,68.3768,155000,284.0,31,1081.31,29.776
32,-1728.3372802734375,68.0592,160000,305.32,32,848.09,29.7412
33,-1796.0826416015625,70.0138,165000,304.09,33,690.5,30.1561
34,-1903.716552734375,70.7104,170000,250.51,34,907.41,30.6243
35,-1935.5203857421875,68.1995,175000,230.02,35,675.59,28.493
