Reward Loss,Real Det Return,Running Reverse KL,Itration,Running Env Steps,Running Forward KL,Running Update Time,Real Sto Return
-1280.7913818359375,244.62,16.7717,0,0,31.2086,0,248.62
-1199.1044921875,262.47,15.6248,1,5000,30.9796,1,247.47
-916.4479370117188,352.1,15.3498,2,10000,30.1796,2,347.04
-1082.1331787109375,333.11,17.8329,3,15000,32.2229,3,329.4
-1591.6885986328125,255.82,21.6942,4,20000,32.3465,4,182.61
-2062.49658203125,1010.17,29.6987,5,25000,37.1793,5,1005.54
-1876.84765625,1027.01,20.3219,6,30000,35.3603,6,989.71
-2005.0648193359375,1033.42,19.7986,7,35000,35.1216,7,1038.55
-870.513671875,239.13,54.6877,8,40000,32.2347,8,241.89
-1521.93994140625,330.53,20.0304,9,45000,31.7447,9,322.35
-958.7835693359375,276.46,18.734,10,50000,31.927,10,286.66
-2121.32470703125,1005.53,21.6025,11,55000,35.6039,11,1024.01
-2166.836669921875,986.55,22.1362,12,60000,35.2185,12,990.3
-1446.14599609375,276.05,17.372,13,65000,30.0206,13,291.97
-1993.6746826171875,288.5,33.6914,14,70000,32.3668,14,286.24
-2441.30517578125,1034.9,35.6379,15,75000,36.2802,15,1035.53
-2477.699462890625,1048.46,25.6228,16,80000,36.3652,16,1046.68
-2460.843994140625,1035.62,20.4857,17,85000,33.9196,17,1050.92
-2131.489501953125,534.35,35.1113,18,90000,32.9977,18,531.8
-2195.09130859375,83.03,22.3327,19,95000,31.8748,19,133.2
-2569.419921875,207.53,44.01,20,100000,33.0666,20,205.38
-1596.2247314453125,243.29,18.2928,21,105000,30.354,21,245.96
-2750.418701171875,1062.49,28.9602,22,110000,36.0731,22,1076.43
-2230.441162109375,456.99,43.2567,23,115000,31.4839,23,448.87
-2641.718994140625,498.26,31.9907,24,120000,33.1521,24,492.75
-2845.832763671875,441.49,21.6983,25,125000,32.4101,25,445.15
-2954.2734375,985.95,34.7965,26,130000,38.1667,26,983.87
-2652.361083984375,298.65,28.898,27,135000,32.0763,27,291.72
-2207.857421875,322.87,30.0164,28,140000,31.4848,28,334.61
-2689.039306640625,336.85,20.1243,29,145000,32.2233,29,325.41
-3146.45654296875,86.11,26.5229,30,150000,32.0344,30,135.29
-3151.046630859375,1007.27,29.2922,31,155000,36.3414,31,1010.81
-3682.9677734375,33.81,216.8746,32,160000,38.264,32,33.55
-2914.078857421875,399.57,31.1108,33,165000,31.0047,33,421.33
-2631.411865234375,183.62,34.5992,34,170000,28.3937,34,191.63
-3365.909912109375,1021.64,42.5041,35,175000,39.6652,35,1021.15
-3449.428466796875,1038.57,39.353,36,180000,36.621,36,1038.81
-3232.315185546875,1081.16,28.6251,37,185000,36.1856,37,1086.21
-3271.958984375,1027.51,25.5667,38,190000,37.1575,38,1027.34
-3507.278076171875,1023.74,32.6466,39,195000,37.6408,39,1022.75
-3575.426513671875,1015.93,36.5516,40,200000,37.641,40,1015.3
-3628.752197265625,1018.54,27.0143,41,205000,37.7253,41,1018.44
-3626.097412109375,1028.92,43.1455,42,210000,38.1457,42,1028.3
