Running Env Steps,Itration,Running Update Time,Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return,Reward Loss
0,0,0,25.1179,-72.59,74.7169,341.34,368.77276611328125
5000,1,1,25.3215,-88.42,74.4093,387.49,326.4847412109375
10000,2,2,25.2565,-15.58,72.8259,521.78,233.9218292236328
15000,3,3,27.7758,26.32,74.6342,501.33,165.68557739257812
20000,4,4,28.6762,23.27,72.7149,564.6,60.4189567565918
25000,5,5,27.4647,46.52,72.2697,689.59,13.938207626342773
30000,6,6,28.6614,80.45,69.9446,646.1,-63.16120910644531
35000,7,7,30.697,127.36,73.3509,611.7,-126.69122314453125
40000,8,8,30.6,151.64,72.7607,888.0,-178.12295532226562
45000,9,9,29.4658,157.49,71.3383,836.24,-239.41908264160156
50000,10,10,30.1041,145.96,68.9521,838.72,-314.7364807128906
55000,11,11,29.9418,179.41,68.0838,896.54,-379.4111328125
60000,12,12,30.1505,172.59,69.5385,863.91,-480.1422424316406
65000,13,13,30.4817,187.18,70.8913,737.89,-541.4756469726562
70000,14,14,29.512,158.08,68.0004,794.25,-604.080322265625
75000,15,15,30.3136,218.8,70.2406,945.45,-649.588623046875
80000,16,16,30.1537,201.79,68.3567,995.55,-713.7784423828125
85000,17,17,28.9421,226.56,66.782,950.04,-781.3301391601562
90000,18,18,30.7047,205.97,71.1681,708.95,-872.7138671875
95000,19,19,30.3466,131.2,71.9562,747.15,-979.6954345703125
100000,20,20,30.4261,296.98,69.7305,962.13,-1023.0411987304688
105000,21,21,30.5173,200.55,71.2693,872.21,-1110.2413330078125
110000,22,22,30.846,217.62,70.7755,849.13,-1169.7659912109375
115000,23,23,30.7556,150.22,71.5891,849.4,-1236.90771484375
120000,24,24,30.9039,200.9,70.5808,934.63,-1322.6395263671875
125000,25,25,30.0612,234.17,68.7483,981.23,-1381.279052734375
130000,26,26,30.0235,189.78,70.3117,653.69,-1455.541748046875
135000,27,27,30.6105,153.63,69.8875,749.26,-1539.572998046875
140000,28,28,31.1959,179.94,71.301,765.52,-1634.8192138671875
145000,29,29,30.6856,226.74,68.8923,983.85,-1688.3642578125
150000,30,30,30.6109,171.94,70.644,817.79,-1790.123291015625
155000,31,31,30.7624,213.94,72.8843,804.93,-1862.077392578125
160000,32,32,30.6507,194.15,70.5176,755.95,-1951.38671875
165000,33,33,30.2855,197.2,71.0794,923.58,-2004.070068359375
170000,34,34,30.0786,274.24,67.774,993.54,-2067.638427734375
175000,35,35,31.0227,165.16,70.9615,826.49,-2180.9072265625
180000,36,36,29.8972,234.9,67.0409,763.12,-2212.65087890625
185000,37,37,30.144,263.46,68.3485,957.29,-2303.59912109375
190000,38,38,30.4294,292.33,67.4013,834.49,-2386.840576171875
195000,39,39,31.1953,196.45,72.9792,937.06,-2528.419189453125
200000,40,40,29.806,283.18,68.1091,871.42,-2553.072509765625
205000,41,41,30.7172,258.21,69.0846,1011.49,-2652.62646484375
210000,42,42,30.5205,292.29,69.7428,836.05,-2733.885498046875
215000,43,43,30.8961,236.76,71.2122,764.08,-2838.39404296875
220000,44,44,30.5856,264.33,70.2788,942.58,-2908.283447265625
225000,45,45,31.3461,288.07,70.3445,876.04,-3009.8671875
230000,46,46,30.6986,239.54,71.8025,898.78,-3095.758056640625
235000,47,47,29.75,253.76,70.2581,907.63,-3146.686767578125
240000,48,48,29.7816,293.6,67.6394,829.13,-3188.700439453125
245000,49,49,30.2815,281.08,68.325,912.38,-3304.99072265625
250000,50,50,30.5817,347.54,68.5747,1021.57,-3429.93994140625
255000,51,51,30.663,241.71,70.8741,871.45,-3523.868896484375
260000,52,52,30.886,246.5,70.7823,855.39,-3641.11669921875
265000,53,53,30.5258,286.17,70.2844,966.47,-3723.763671875
270000,54,54,30.8765,283.39,70.041,878.88,-3833.2685546875
275000,55,55,30.0242,296.08,68.2759,1018.97,-3858.185546875
280000,56,56,30.2376,356.92,66.6108,1002.05,-3916.343505859375
285000,57,57,29.7812,323.06,67.373,1043.43,-4013.59130859375
290000,58,58,30.6175,351.36,68.6091,763.38,-4181.85595703125
295000,59,59,31.0348,323.77,69.8239,983.82,-4326.68408203125
300000,60,60,30.4193,262.28,69.144,980.25,-4363.6640625
305000,61,61,31.018,286.1,71.5616,964.53,-4488.44677734375
310000,62,62,30.8505,354.84,70.8227,818.83,-4601.716796875
315000,63,63,30.4323,287.76,67.5069,1026.42,-4628.8642578125
320000,64,64,31.0456,305.26,70.9391,960.55,-4837.48046875
325000,65,65,31.175,383.15,68.9835,988.45,-4877.55859375
330000,66,66,28.7794,438.16,64.7671,1078.77,-4807.30615234375
335000,67,67,29.849,356.27,67.4094,968.01,-4990.0693359375
340000,68,68,29.5296,280.24,66.5514,978.6,-5080.3994140625
345000,69,69,30.2382,429.61,67.975,993.57,-5224.0244140625
350000,70,70,30.8198,342.7,69.9547,985.93,-5415.45068359375
355000,71,71,30.2682,340.97,68.8844,932.95,-5500.7041015625
360000,72,72,30.2279,354.46,69.2733,816.4,-5636.22607421875
365000,73,73,30.8984,310.61,71.0036,992.22,-5751.06005859375
370000,74,74,30.9164,388.97,68.8498,958.59,-5857.97900390625
