Real Sto Return,Running Update Time,Running Reverse KL,Itration,Running Env Steps,Running Forward KL,Real Det Return,Reward Loss
-179.83,0,11.5182,0,0,158.3947,-2.82,-1522.330078125
-36.53,1,11.7745,1,5000,158.3014,360.26,-1905.53564453125
276.48,2,12.97,2,10000,158.4174,886.27,-2607.98486328125
429.36,3,13.6496,3,15000,158.1377,879.91,-3053.94677734375
518.0,4,13.8974,4,20000,158.1447,904.86,-3125.0595703125
606.84,5,14.1215,5,25000,158.0842,812.19,-3487.331787109375
760.65,6,14.3504,6,30000,157.9968,1180.74,-3662.316162109375
768.9,7,14.5487,7,35000,157.9696,1143.06,-3740.662109375
872.06,8,15.0952,8,40000,158.0359,1233.03,-4001.314697265625
961.1,9,15.4406,9,45000,157.9142,1410.62,-4238.697265625
1010.02,10,15.9618,10,50000,157.8714,1367.28,-4472.98583984375
1132.58,11,15.7708,11,55000,157.7129,1482.43,-4573.19189453125
1122.43,12,16.3214,12,60000,157.8942,1460.97,-4704.5966796875
1253.96,13,16.7948,13,65000,157.8952,1613.82,-5032.48876953125
1227.36,14,17.0472,14,70000,158.0989,1622.53,-5222.822265625
1256.51,15,16.381,15,75000,157.9468,1593.39,-5368.61572265625
1302.07,16,16.5838,16,80000,157.9707,1703.18,-5600.9794921875
1323.29,17,16.6846,17,85000,157.9516,1725.68,-5784.19580078125
1383.71,18,16.6464,18,90000,157.909,1722.85,-5920.5166015625
1361.98,19,16.1268,19,95000,157.9669,1707.85,-6083.01123046875
1434.19,20,16.6388,20,100000,157.882,1799.33,-6300.6611328125
1437.49,21,16.7329,21,105000,157.8975,1783.72,-6415.10302734375
1472.78,22,16.8849,22,110000,157.9891,1861.06,-6697.56201171875
1471.73,23,16.4259,23,115000,157.7986,1810.2,-6958.4599609375
1505.84,24,16.8702,24,120000,157.8199,1853.12,-6986.4599609375
1516.3,25,16.5449,25,125000,157.6786,1860.8,-7222.7890625
1543.75,26,16.7897,26,130000,157.8126,1841.64,-7398.24072265625
1509.73,27,16.5715,27,135000,158.0173,1836.92,-7566.3681640625
1529.88,28,16.3987,28,140000,157.6983,1865.7,-7781.18603515625
1542.49,29,16.6954,29,145000,157.6676,1879.9,-7977.06396484375
1546.06,30,16.3112,30,150000,157.5381,1896.0,-8236.9501953125
1586.68,31,16.5539,31,155000,157.7614,1980.28,-8425.9169921875
1577.72,32,16.609,32,160000,157.7216,1922.99,-8736.552734375
1623.34,33,16.7267,33,165000,157.6532,1967.99,-8648.958984375
1586.11,34,16.5699,34,170000,157.7049,1875.86,-8952.4326171875
1635.52,35,16.3097,35,175000,157.3548,2016.61,-9051.4052734375
1632.58,36,16.8126,36,180000,157.6005,1973.48,-9315.3505859375
1618.91,37,16.4061,37,185000,157.5314,1969.35,-9457.4140625
1678.48,38,16.6353,38,190000,157.4961,2032.2,-9660.650390625
1630.96,39,16.1864,39,195000,157.3488,1994.48,-9912.595703125
1659.22,40,16.6611,40,200000,157.5434,2039.02,-10062.6806640625
1641.54,41,16.2857,41,205000,157.3405,2023.53,-10269.9638671875
1696.51,42,16.465,42,210000,157.4319,2057.26,-10489.490234375
1661.37,43,16.05,43,215000,157.173,2073.16,-10680.1357421875
1683.34,44,16.2773,44,220000,157.5075,2014.51,-10908.5361328125
1632.1,45,15.8277,45,225000,157.4216,1985.16,-11005.6435546875
1687.21,46,16.368,46,230000,157.3214,2038.69,-11190.396484375
1719.47,47,16.6547,47,235000,157.3132,2078.62,-11589.04296875
1709.84,48,16.1127,48,240000,157.2964,2036.18,-11701.62890625
1684.84,49,15.8775,49,245000,157.147,2048.53,-11962.93359375
1714.89,50,16.3666,50,250000,157.1982,2092.54,-12013.4013671875
