Real Sto Return,Running Reverse KL,Itration,Running Update Time,Reward Loss,Running Forward KL,Running Env Steps,Real Det Return
237.71,17.3027,0,0,45.0400276184082,30.7447,0,244.95
268.97,19.3077,1,1,44.47049331665039,29.8213,5000,262.4
105.84,29.3494,2,2,1.783050537109375,30.9584,10000,38.42
346.47,19.3492,3,3,23.216598510742188,29.6518,15000,355.35
310.23,18.3073,4,4,11.760293960571289,29.9588,20000,318.18
348.01,15.3047,5,5,14.312274932861328,28.7518,25000,351.43
340.93,15.1504,6,6,0.08713454008102417,29.977,30000,353.69
1051.12,29.311,7,7,-23.336336135864258,35.1398,35000,1047.51
432.79,16.2496,8,8,3.5639853477478027,31.3833,40000,458.46
289.73,23.4895,9,9,-7.800404071807861,29.8728,45000,326.06
393.03,19.2059,10,10,-17.146703720092773,32.04,50000,375.34
936.85,37.2464,11,11,-77.44776916503906,38.3208,55000,1006.56
652.04,20.3435,12,12,-40.01829147338867,31.4475,60000,784.77
244.82,17.7292,13,13,-96.55804443359375,30.996,65000,249.98
379.85,55.0234,14,14,20.719242095947266,29.2715,70000,383.12
51.81,49.1989,15,15,-121.4578857421875,38.0779,75000,51.55
1048.35,29.4149,16,16,-86.20439147949219,35.087,80000,1047.23
779.89,27.6516,17,17,-73.5132827758789,33.4358,85000,1068.74
634.73,18.4958,18,18,-96.40966796875,30.3848,90000,468.62
1035.62,23.295,19,19,-119.61248779296875,34.5888,95000,1040.3
159.38,44.1675,20,20,-129.19541931152344,29.5183,100000,158.98
263.21,19.7712,21,21,-120.49126434326172,29.1267,105000,265.51
295.45,69.8678,22,22,-170.20497131347656,31.8193,110000,294.03
322.71,15.213,23,23,-112.98622131347656,28.6599,115000,321.23
331.53,18.1942,24,24,-173.85594177246094,30.3132,120000,332.37
397.29,19.7366,25,25,-135.2829132080078,28.8985,125000,402.21
1041.49,32.1839,26,26,-180.03106689453125,37.6534,130000,1047.42
997.41,47.116,27,27,-216.36343383789062,40.2851,135000,998.09
1060.77,32.6274,28,28,-169.65252685546875,36.1953,140000,1058.7
998.16,35.776,29,29,-224.56407165527344,38.6517,145000,1001.63
1033.04,36.386,30,30,-218.8065185546875,35.076,150000,1019.95
1054.82,30.3979,31,31,-216.9814453125,35.7836,155000,1053.64
1041.67,30.3876,32,32,-233.9374237060547,36.4813,160000,1037.58
677.86,33.2476,33,33,-256.2344665527344,31.505,165000,963.26
217.59,28.3366,34,34,-245.16000366210938,31.2963,170000,214.63
120.23,29.4827,35,35,-181.4005889892578,30.0034,175000,118.79
109.73,44.1542,36,36,-169.21676635742188,30.9669,180000,113.77
226.58,19.1049,37,37,-247.6241912841797,31.7804,185000,226.03
208.52,25.0624,38,38,-251.76954650878906,32.632,190000,218.3
123.87,15.2458,39,39,-279.1083068847656,30.9607,195000,122.3
157.09,26.5817,40,40,-185.36651611328125,30.8347,200000,233.97
425.59,43.7601,41,41,-175.27354431152344,31.8273,205000,420.48
390.34,60.0336,42,42,-244.1970672607422,33.1056,210000,398.37
751.61,20.8188,43,43,-316.41326904296875,33.3505,215000,1071.0
980.59,43.697,44,44,-355.8685302734375,39.659,220000,981.68
640.78,19.2788,45,45,-328.1492919921875,32.0406,225000,761.44
349.28,18.0127,46,46,-331.4237365722656,31.3388,230000,347.5
195.45,19.5402,47,47,-339.89910888671875,32.0122,235000,204.55
72.0,26.7969,48,48,-332.43463134765625,33.1565,240000,72.44
156.14,49.5549,49,49,-380.0150146484375,32.9021,245000,189.86
192.81,23.3448,50,50,-392.0199890136719,32.5889,250000,192.42
327.13,88.2635,51,51,-281.22552490234375,28.5441,255000,333.1
324.88,19.8896,52,52,-396.5989074707031,28.6493,260000,319.99
1007.03,30.8858,53,53,-425.51202392578125,39.6298,265000,1006.79
994.24,41.0257,54,54,-436.2881774902344,39.5486,270000,995.14
270.95,49.3751,55,55,-440.8658142089844,38.8423,275000,280.72
211.1,57.522,56,56,-350.7422790527344,32.3393,280000,209.92
410.22,29.4888,57,57,-386.90093994140625,30.8086,285000,409.16
982.79,41.3791,58,58,-471.1718444824219,35.9352,290000,982.97
977.09,38.6147,59,59,-478.0263977050781,38.1966,295000,978.0
522.5,129.6249,60,60,-487.84906005859375,36.2126,300000,521.43
990.25,47.6753,61,61,-495.6700134277344,38.3575,305000,990.74
261.84,31.5409,62,62,-387.02215576171875,31.9743,310000,253.87
196.93,20.9746,63,63,-466.09002685546875,32.3126,315000,250.64
132.53,24.1548,64,64,-444.8475036621094,32.9767,320000,132.56
56.39,68.4694,65,65,-444.30499267578125,33.8702,325000,62.69
111.38,52.7037,66,66,-455.6100769042969,28.4044,330000,111.26
131.27,120.0667,67,67,-492.5677185058594,35.966,335000,129.32
33.62,93.5187,68,68,-487.6430969238281,35.5315,340000,32.27
359.59,34.7446,69,69,-506.6341247558594,36.3406,345000,970.61
998.87,42.3942,70,70,-563.9443359375,37.8138,350000,998.3
1011.98,32.9176,71,71,-559.7824096679688,36.8655,355000,1011.9
976.92,48.3503,72,72,-589.8120727539062,39.0194,360000,977.11
1001.3,32.5204,73,73,-599.34130859375,38.4646,365000,1001.48
1004.59,48.169,74,74,-608.2144165039062,37.0886,370000,1007.87
327.05,39.2237,75,75,-579.4843139648438,34.561,375000,190.54
982.99,48.7075,76,76,-624.97412109375,37.8973,380000,983.29
1005.46,52.5875,77,77,-642.2798461914062,37.2391,385000,1008.17
992.65,46.3913,78,78,-657.4447021484375,40.1216,390000,993.3
987.87,57.3261,79,79,-663.9638671875,40.3228,395000,987.91
1020.83,46.8301,80,80,-670.6470336914062,38.4476,400000,1013.73
