Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Itration
293.1121,407.01,303.45,440.187,0
263.4537,307.68,290.44,446.1164,1
257.1165,499.2,331.58,433.9263,2
227.8783,474.42,430.31,418.8019,3
254.7003,539.9,479.41,416.8405,4
255.8828,493.76,460.32,406.5552,5
256.3361,376.29,463.92,403.3353,6
246.6531,600.87,475.41,417.8512,7
291.075,394.95,440.92,417.1262,8
260.3067,620.93,515.3,407.2242,9
266.8742,367.97,559.0,414.6494,10
276.4077,374.56,510.39,403.1648,11
246.2728,659.86,601.26,395.7708,12
239.139,534.7,588.53,405.2986,13
240.6727,670.47,695.5,391.6416,14
230.4734,573.42,613.98,389.5842,15
239.4886,439.53,602.48,401.4438,16
237.4503,629.72,604.25,400.8335,17
255.4177,638.94,661.83,398.0505,18
239.605,685.96,671.24,395.2526,19
252.0693,615.77,671.0,400.2864,20
248.1999,608.32,772.05,388.4258,21
250.4136,641.51,712.91,384.7718,22
251.87,644.52,788.15,381.9407,23
243.3588,782.53,767.0,386.8376,24
261.3913,542.51,662.04,390.1599,25
259.2713,508.85,885.43,396.7296,26
262.9059,494.43,693.17,397.7709,27
265.1299,537.18,853.66,392.0713,28
258.1105,635.64,782.29,386.5388,29
260.2664,728.69,975.6,390.3502,30
252.2193,811.09,867.61,382.0369,31
247.0999,1238.48,952.57,361.1812,32
264.9376,688.43,820.15,394.3542,33
255.4304,1029.27,1267.73,384.0312,34
247.0258,742.22,843.32,368.7912,35
242.3392,1033.85,1281.97,375.1003,36
242.993,579.35,912.13,361.4268,37
185.6753,831.33,1573.0,330.9361,38
215.0069,665.13,1402.79,337.9266,39
205.5477,1241.31,1649.97,349.6444,40
246.5486,932.89,1133.7,372.3214,41
212.4935,1318.97,1632.99,357.4195,42
247.0088,1106.99,1091.72,371.6695,43
277.8651,562.31,718.25,395.9853,44
251.0804,1113.09,1428.44,367.3519,45
206.9806,1968.75,1015.68,359.6622,46
248.6754,1166.29,1088.12,375.6533,47
233.8779,1535.3,1431.33,379.2869,48
265.8412,318.14,344.14,455.1423,49
256.4383,312.31,300.49,451.3647,50
359.5781,72.35,256.67,463.2942,51
275.0221,349.05,355.88,450.632,52
270.4147,506.16,465.58,394.0692,53
277.458,713.79,544.37,362.7674,54
265.7632,620.95,807.06,378.8222,55
250.5906,920.85,1155.84,352.1754,56
262.977,1128.17,1520.28,378.0389,57
222.519,863.95,1707.95,352.314,58
188.6075,2662.65,2925.36,344.9196,59
140.416,3101.87,3501.08,328.0143,60
163.6518,3806.41,3397.49,330.8376,61
138.7625,4620.92,3834.96,330.6706,62
165.8416,2754.61,3383.18,340.7312,63
180.5386,3898.48,2988.36,339.0289,64
147.4768,4885.82,4234.16,329.915,65
232.9387,1446.2,2379.55,371.9172,66
154.2335,5079.76,4251.94,336.5256,67
187.639,5134.21,4477.68,324.2997,68
147.019,4370.41,4217.47,337.2918,69
132.6725,5469.6,3933.18,312.2706,70
130.8272,5296.08,4918.24,318.5363,71
141.9061,4427.92,4392.21,317.6372,72
140.9816,4904.36,4530.66,321.7134,73
121.4717,5380.85,4955.75,308.6241,74
163.9787,5396.47,4622.59,333.44,75
134.3239,4249.03,5112.95,314.7165,76
124.0985,4902.95,4640.4,314.4177,77
122.5514,4874.17,4870.79,316.182,78
126.3398,5146.71,4947.93,309.353,79
135.691,3648.38,4105.93,319.4483,80
130.2129,4945.82,4929.39,316.3273,81
119.0444,4336.12,4840.43,319.1793,82
152.7612,3190.42,4136.32,333.1171,83
142.4463,2850.35,4016.45,322.8959,84
142.7507,2578.68,4759.43,323.5287,85
132.3004,5449.66,4920.86,314.3633,86
136.1019,5456.22,5005.29,321.4079,87
120.8082,3808.5,4886.88,310.3714,88
172.4575,3474.78,3908.24,345.6648,89
152.7928,4474.99,4650.3,329.5765,90
144.5492,4110.67,4290.57,329.5384,91
141.6694,5310.8,4952.4,328.0421,92
142.0452,1780.05,3221.79,329.1186,93
152.4818,3749.29,4446.56,334.2278,94
163.0322,3959.61,4429.9,334.2754,95
147.9939,5506.19,5166.07,330.5775,96
144.312,4472.38,4860.16,323.05,97
154.6207,1692.97,3151.13,326.7834,98
154.0749,4562.11,4967.63,328.5193,99
140.3582,4262.52,5225.89,328.0794,100
138.9343,4588.68,4897.68,329.2264,101
120.5307,4819.13,4948.96,316.4682,102
129.5368,5261.86,5109.05,320.0578,103
144.6066,5233.41,4995.94,331.088,104
143.3863,5228.33,5163.72,318.6797,105
133.6303,4379.35,5134.26,320.0555,106
152.6499,4676.83,4847.74,333.3002,107
130.4981,4012.82,4765.3,320.466,108
135.8666,4575.13,4919.23,324.2586,109
142.596,5280.66,5077.61,322.9761,110
