Reward Loss,Running Forward KL,Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Env Steps,Running Update Time
-11.343523979187012,49.9335,413.42,13.9311,422.91,0,0,0
-54.75825119018555,48.6453,379.69,13.5846,376.54,1,5000,1
-56.520835876464844,48.5664,354.0,16.0004,415.43,2,10000,2
-78.19432067871094,48.2211,345.85,18.5192,415.34,3,15000,3
-124.97587585449219,49.2536,380.89,15.2454,380.21,4,20000,4
-88.32295227050781,49.508,382.1,14.3498,458.06,5,25000,5
-112.34426879882812,48.5865,545.27,14.3889,493.98,6,30000,6
-187.60899353027344,48.8496,447.03,17.3726,510.92,7,35000,7
-145.36875915527344,48.1003,562.76,18.4459,982.48,8,40000,8
-202.00596618652344,47.032,504.72,14.5489,490.97,9,45000,9
-199.49400329589844,46.648,505.96,12.8423,776.51,10,50000,10
-242.72825622558594,46.8023,1034.77,13.2083,1805.0,11,55000,11
-294.7447204589844,45.5559,755.61,13.6923,786.68,12,60000,12
-226.38368225097656,45.8326,891.85,12.5612,768.94,13,65000,13
-242.79550170898438,45.9184,1133.79,13.2999,1049.68,14,70000,14
-276.3006591796875,44.4905,1392.76,12.2051,1172.18,15,75000,15
-225.21841430664062,45.6944,1604.37,12.7019,2801.23,16,80000,16
-204.71408081054688,44.3127,2123.82,13.2058,2948.71,17,85000,17
-204.55410766601562,45.4164,2685.05,12.8003,2849.51,18,90000,18
-155.84664916992188,44.7954,2815.57,13.9719,2988.86,19,95000,19
-225.7281036376953,44.6659,2695.96,12.6308,2779.06,20,100000,20
-203.73739624023438,44.6785,2735.48,15.063,2887.25,21,105000,21
-184.19932556152344,44.84,3028.1,13.8977,2900.86,22,110000,22
-131.2659912109375,44.7979,2990.55,15.3872,3044.32,23,115000,23
-144.4213104248047,44.8362,3063.81,15.0875,3075.42,24,120000,24
-142.75672912597656,44.6943,3307.69,15.6749,3265.66,25,125000,25
-137.64073181152344,44.7054,3288.58,17.0169,3276.47,26,130000,26
-141.66358947753906,44.3271,3427.5,16.9962,3478.48,27,135000,27
-149.8975830078125,43.5621,3529.9,16.4157,3510.15,28,140000,28
-159.2580108642578,44.2635,3520.54,17.6795,3537.12,29,145000,29
-163.871826171875,43.6797,3538.01,15.9417,3565.55,30,150000,30
-164.81536865234375,43.8449,3611.5,16.5307,3620.8,31,155000,31
-166.0072479248047,44.3672,3616.74,18.2375,3654.55,32,160000,32
-185.4555206298828,44.3132,3598.5,17.598,3645.54,33,165000,33
-178.9528045654297,44.1421,3704.78,19.845,3727.16,34,170000,34
-233.32139587402344,43.8371,3701.69,21.3668,3756.41,35,175000,35
-206.91201782226562,43.2827,3626.8,16.9671,3790.24,36,180000,36
-195.04779052734375,44.5297,3719.78,20.4278,3760.03,37,185000,37
-206.29739379882812,43.8944,3770.09,18.2092,3847.61,38,190000,38
-212.20811462402344,44.4422,3751.13,21.5627,3789.82,39,195000,39
-219.9965362548828,44.1666,3750.97,20.9627,3764.66,40,200000,40
-218.8182830810547,44.3195,3832.49,24.1812,3890.57,41,205000,41
-238.13333129882812,44.5521,3775.55,22.3236,3868.25,42,210000,42
-233.8757781982422,44.9939,3875.94,23.8534,3912.26,43,215000,43
-236.1446533203125,44.8173,3719.36,23.9652,3927.35,44,220000,44
-245.40289306640625,44.0412,3889.82,22.0615,3922.14,45,225000,45
-259.9412841796875,44.1858,3892.16,22.2032,3969.6,46,230000,46
-263.5981750488281,44.0458,3899.8,23.5426,3926.54,47,235000,47
-260.0963134765625,45.8249,4004.38,24.6538,4058.04,48,240000,48
-278.10400390625,44.9743,3923.16,23.3712,3983.89,49,245000,49
-281.09173583984375,45.6872,4037.86,24.7233,4099.36,50,250000,50
-290.28009033203125,44.5697,4017.3,24.911,4126.38,51,255000,51
-300.8890686035156,44.3347,4031.97,23.3812,4124.44,52,260000,52
-301.1731872558594,44.1282,4099.13,23.6434,4125.22,53,265000,53
-316.8680725097656,45.0625,4067.97,23.2797,4088.88,54,270000,54
-317.5685729980469,44.4535,4090.54,22.1288,4186.28,55,275000,55
-322.4312744140625,44.6976,4119.46,24.9754,4172.72,56,280000,56
-334.7893981933594,44.5751,4094.61,22.7211,4187.58,57,285000,57
-349.363037109375,44.1455,4103.57,23.7511,4160.86,58,290000,58
-337.04498291015625,44.719,4113.0,23.9632,4149.09,59,295000,59
-356.54052734375,44.2335,4183.53,21.7139,4303.05,60,300000,60
