Running Forward KL,Real Sto Return,Running Update Time,Itration,Real Det Return,Running Reverse KL,Running Env Steps,Reward Loss
421.109,300.4,0,0,518.47,250.4896,0,-2120.469970703125
418.4028,332.32,1,1,319.09,287.8386,5000,-2904.071044921875
425.3544,327.51,2,2,318.33,287.1453,10000,-2934.2548828125
410.275,421.74,3,3,533.1,282.5272,15000,-2025.1702880859375
425.3764,392.5,4,4,397.8,273.2625,20000,-2565.6796875
411.7325,347.31,5,5,356.93,285.989,25000,-3383.05859375
436.9996,353.4,6,6,349.45,287.4136,30000,-3654.840087890625
414.3956,394.66,7,7,447.22,288.1435,35000,-4031.119873046875
434.3104,364.35,8,8,329.65,276.5166,40000,-3077.310302734375
401.2928,463.73,9,9,444.73,289.565,45000,-4644.50830078125
391.9595,515.12,10,10,488.65,267.7932,50000,-4685.62646484375
404.48,446.82,11,11,435.59,264.3458,55000,-3723.83056640625
386.975,477.62,12,12,600.83,286.0689,60000,-6369.896484375
391.5696,473.34,13,13,473.08,266.0595,65000,-5487.4375
396.5328,533.01,14,14,656.96,260.247,70000,-5773.99365234375
399.147,589.0,15,15,646.96,261.4296,75000,-5854.0517578125
390.4159,601.89,16,16,571.53,261.7248,80000,-5887.06201171875
388.3735,606.86,17,17,535.38,260.1332,85000,-6007.9521484375
392.0038,484.4,18,18,462.62,281.6421,90000,-6908.84375
376.9292,624.55,19,19,636.61,244.1843,95000,-5790.88330078125
383.4396,642.64,20,20,715.41,238.6144,100000,-5499.00244140625
377.9871,670.06,21,21,723.53,256.8533,105000,-6283.57470703125
368.6057,632.55,22,22,711.86,238.4239,110000,-5499.4990234375
372.6505,564.79,23,23,665.89,244.8062,115000,-5744.505859375
367.496,688.32,24,24,708.76,240.7554,120000,-5606.3447265625
374.7523,684.07,25,25,643.31,231.9759,125000,-6909.76708984375
377.3092,651.01,26,26,649.4,229.4175,130000,-6060.87939453125
368.009,670.64,27,27,602.54,245.1637,135000,-7402.2041015625
353.5257,675.31,28,28,827.05,217.6944,140000,-6483.1123046875
356.0668,760.61,29,29,731.63,203.326,145000,-6071.013671875
353.3384,835.07,30,30,928.39,215.4475,150000,-6735.66650390625
356.2395,825.61,31,31,846.9,218.7852,155000,-7626.2294921875
359.2172,839.39,32,32,776.13,230.2434,160000,-7243.013671875
348.6795,821.96,33,33,716.95,210.8633,165000,-6600.87841796875
347.0178,787.52,34,34,714.74,272.9329,170000,-8705.125
361.1782,887.98,35,35,841.51,258.7054,175000,-8686.5615234375
351.165,832.59,36,36,716.38,224.4218,180000,-8176.94189453125
352.4503,972.45,37,37,784.39,225.0738,185000,-7051.03564453125
354.9418,869.81,38,38,804.63,234.9011,190000,-7870.61474609375
354.4826,835.15,39,39,885.68,215.5641,195000,-7254.51708984375
353.8123,1024.7,40,40,746.41,243.3414,200000,-8043.4169921875
334.1047,1157.43,41,41,764.72,215.4139,205000,-7732.38232421875
363.922,989.17,42,42,791.85,256.4226,210000,-9032.40625
332.1599,1252.72,43,43,1137.26,201.4543,215000,-6905.24755859375
325.5938,1408.07,44,44,866.49,212.298,220000,-7892.0966796875
342.7026,1201.68,45,45,790.96,232.1821,225000,-8948.2255859375
298.7784,1383.66,46,46,896.87,185.0168,230000,-6652.1435546875
317.4049,1832.55,47,47,794.57,196.4144,235000,-7632.67333984375
303.7652,1359.78,48,48,1441.43,163.3785,240000,-6419.3349609375
290.1981,1834.17,49,49,1673.64,154.7497,245000,-6148.1015625
314.5641,1218.26,50,50,1414.99,187.4109,250000,-7630.8056640625
304.915,1348.07,51,51,1205.31,193.4763,255000,-8327.1796875
310.5175,1551.12,52,52,1030.28,197.2188,260000,-8136.3525390625
339.5941,1583.45,53,53,945.15,219.5393,265000,-9409.7314453125
316.377,1797.2,54,54,992.68,184.8748,270000,-8190.3115234375
313.3587,1714.75,55,55,1087.17,198.6106,275000,-8099.61962890625
290.4562,2669.06,56,56,1317.8,154.0763,280000,-6424.09033203125
279.8816,2819.51,57,57,796.13,128.9401,285000,-5474.568359375
297.6435,2831.47,58,58,999.22,164.0326,290000,-7370.03955078125
315.0134,2369.11,59,59,853.37,167.2059,295000,-5203.92724609375
298.2731,1917.79,60,60,1046.11,153.4556,300000,-5855.19287109375
305.8557,2671.16,61,61,1173.02,197.4831,305000,-8842.240234375
311.958,2760.08,62,62,846.93,166.6236,310000,-6698.6728515625
333.2589,1573.39,63,63,694.79,202.8737,315000,-7954.85986328125
277.3719,2260.66,64,64,935.7,135.0078,320000,-5561.9970703125
340.5607,2019.58,65,65,1092.92,195.7796,325000,-7713.619140625
301.2715,2112.5,66,66,910.9,192.0157,330000,-9075.2783203125
282.5864,2541.74,67,67,1228.88,142.4234,335000,-6428.19580078125
285.2474,2785.3,68,68,1247.33,159.6421,340000,-7396.658203125
285.7474,2473.63,69,69,1444.88,152.1067,345000,-6320.150390625
300.3497,2929.45,70,70,1457.75,190.9571,350000,-8419.0283203125
310.4575,1787.84,71,71,582.6,202.5709,355000,-8517.984375
304.7235,2847.78,72,72,2928.02,172.0316,360000,-8249.0908203125
310.8104,2363.9,73,73,1603.68,173.0548,365000,-8033.8046875
295.3657,2250.37,74,74,1993.22,154.0046,370000,-6885.1689453125
258.2997,3373.1,75,75,1986.8,87.0777,375000,-3216.419189453125
269.2562,3339.03,76,76,1270.5,135.7768,380000,-7252.6552734375
288.5025,2579.38,77,77,1862.13,184.5891,385000,-8753.25390625
274.3673,3198.8,78,78,2326.73,115.6123,390000,-5655.06005859375
299.8781,2932.05,79,79,1442.62,171.9199,395000,-6494.77978515625
330.5532,1260.03,80,80,990.83,216.6652,400000,-11279.7763671875
277.7181,3490.72,81,81,2455.58,107.1933,405000,-5131.77392578125
267.6609,3720.8,82,82,2897.06,115.9178,410000,-5889.7109375
298.5544,3144.72,83,83,2541.42,158.6326,415000,-8016.16748046875
258.3183,4007.11,84,84,4072.57,80.9634,420000,-3667.9501953125
261.6337,3965.99,85,85,1497.14,109.558,425000,-6218.18896484375
292.4607,2487.57,86,86,1349.93,171.7785,430000,-9706.0615234375
264.5693,3934.28,87,87,2332.02,111.5979,435000,-6029.9306640625
255.1118,3234.6,88,88,1970.6,95.2589,440000,-4695.74560546875
260.57,3609.33,89,89,1858.57,109.182,445000,-5877.38232421875
277.164,3839.17,90,90,1544.55,127.1778,450000,-6865.97998046875
318.9055,2505.44,91,91,1382.0,195.2145,455000,-9715.2646484375
267.8632,4184.4,92,92,1799.52,97.8226,460000,-4301.970703125
273.8926,4742.28,93,93,5021.33,105.8311,465000,-4562.64501953125
294.3394,4490.87,94,94,1027.32,109.3186,470000,-4575.98388671875
276.7351,4775.86,95,95,4153.1,89.2102,475000,-3551.218505859375
293.4733,4701.54,96,96,4989.16,104.8804,480000,-3331.02978515625
279.3698,4965.85,97,97,4371.64,92.4443,485000,-2333.431640625
280.6584,3976.73,98,98,4038.73,108.841,490000,-5299.00439453125
271.952,4690.08,99,99,4754.5,88.8761,495000,-3925.106689453125
273.8156,3916.65,100,100,4989.79,91.3905,500000,-3015.12158203125
293.9207,4825.84,101,101,4388.67,108.7988,505000,-3131.421630859375
286.6226,4810.96,102,102,4654.74,97.4129,510000,-2977.22998046875
299.0398,4472.79,103,103,4807.64,109.5915,515000,-4926.12939453125
296.3637,4603.37,104,104,4569.61,112.6576,520000,-3465.917724609375
282.4097,4791.34,105,105,4029.25,92.558,525000,-3383.865234375
281.873,4698.92,106,106,4716.46,99.9141,530000,-3412.026123046875
292.6536,4755.04,107,107,5018.12,108.863,535000,-4520.9140625
286.9202,4969.24,108,108,4750.39,101.6339,540000,-3793.692138671875
286.1575,4700.78,109,109,4164.36,93.9766,545000,-3849.22509765625
289.1205,4968.57,110,110,5012.17,99.0681,550000,-4105.2646484375
287.7845,4925.67,111,111,5010.09,88.4039,555000,-4383.56689453125
285.1221,4799.19,112,112,4970.88,94.6703,560000,-4416.109375
291.2256,4665.92,113,113,5030.23,114.3792,565000,-3910.39599609375
290.7686,4886.33,114,114,5007.04,90.9406,570000,-4296.41357421875
292.1681,4914.09,115,115,4357.61,98.5631,575000,-4783.37939453125
288.3961,4540.92,116,116,5022.51,123.021,580000,-5454.392578125
270.7489,4906.4,117,117,5073.93,83.6649,585000,-4711.55859375
269.1147,5010.35,118,118,4991.66,84.5591,590000,-4412.57470703125
