Real Sto Return,Running Reverse KL,Running Update Time,Running Forward KL,Reward Loss,Real Det Return,Itration,Running Env Steps
-197.05,11.6923,0,158.5597,17.40735626220703,7.04,0,0
-101.39,11.7264,1,158.3569,-165.7095947265625,20.67,1,5000
97.48,12.1237,2,158.1838,-390.5768737792969,48.27,2,10000
293.1,12.6704,3,157.9288,-624.804443359375,730.96,3,15000
388.61,12.8651,4,157.8553,-926.2001953125,899.56,4,20000
537.06,13.8398,5,158.0629,-1196.2205810546875,898.64,5,25000
645.37,14.2197,6,158.0234,-1451.644287109375,824.55,6,30000
767.47,14.9376,7,158.2221,-1715.7880859375,1036.87,7,35000
872.37,15.4983,8,158.0503,-1958.107421875,1243.07,8,40000
914.89,15.1341,9,158.0575,-2152.151611328125,1352.9,9,45000
1002.24,15.722,10,157.9047,-2378.8291015625,1468.28,10,50000
1096.31,16.2589,11,157.984,-2608.101318359375,1499.43,11,55000
1180.67,16.3158,12,157.8953,-2765.544921875,1669.38,12,60000
1208.12,16.4989,13,157.9854,-2993.612548828125,1642.6,13,65000
1272.36,16.3341,14,157.6479,-3184.476806640625,1669.59,14,70000
1305.34,16.3949,15,157.9048,-3300.257568359375,1743.56,15,75000
1385.3,16.1804,16,157.6184,-3536.83251953125,1809.93,16,80000
1377.8,16.6164,17,157.6699,-3745.62158203125,1863.57,17,85000
1463.16,16.6437,18,157.6485,-3952.79150390625,1864.13,18,90000
1485.68,16.6355,19,157.7561,-4052.133056640625,1866.33,19,95000
1544.58,16.4521,20,157.7043,-4288.1845703125,1884.64,20,100000
1587.06,16.5182,21,157.4279,-4462.10546875,1958.98,21,105000
1553.45,16.6439,22,157.574,-4626.587890625,1973.41,22,110000
1600.52,16.8393,23,157.5095,-4779.1923828125,1934.88,23,115000
1568.91,16.1419,24,157.5005,-4872.8349609375,1994.64,24,120000
1611.88,16.4566,25,157.2339,-5091.90283203125,1980.15,25,125000
1620.81,16.6056,26,157.6815,-5312.060546875,1930.94,26,130000
1589.5,15.867,27,157.15,-5500.4833984375,1952.77,27,135000
1646.61,16.3677,28,157.2165,-5632.10595703125,2019.61,28,140000
1624.97,15.9044,29,157.2088,-5828.333984375,1960.47,29,145000
1625.5,16.2745,30,157.1164,-5986.76904296875,2007.04,30,150000
1676.38,16.4209,31,156.9795,-6174.5185546875,2034.03,31,155000
1660.09,16.055,32,157.4155,-6348.119140625,2029.6,32,160000
1670.89,16.0993,33,157.1163,-6513.2607421875,2023.85,33,165000
1661.04,16.1169,34,157.0432,-6756.86083984375,2036.33,34,170000
1633.79,15.8144,35,157.043,-6867.13037109375,2061.03,35,175000
1670.01,15.523,36,156.9261,-7022.22802734375,2043.32,36,180000
1627.56,15.7045,37,157.2399,-7294.3544921875,1998.98,37,185000
1651.88,15.7478,38,157.2144,-7390.92431640625,2021.75,38,190000
1687.63,16.0476,39,157.1714,-7615.77490234375,2012.14,39,195000
1698.81,15.7303,40,157.1314,-7819.11181640625,2000.44,40,200000
1744.79,16.2723,41,157.0291,-7969.4580078125,2115.44,41,205000
1682.01,15.9318,42,157.2201,-8185.60205078125,2051.83,42,210000
1720.29,15.7996,43,157.0255,-8327.6279296875,2060.59,43,215000
1696.06,15.7693,44,156.9302,-8518.107421875,2061.33,44,220000
1748.52,16.1903,45,157.043,-8628.439453125,2105.47,45,225000
1660.67,15.5111,46,156.919,-8885.1943359375,2008.44,46,230000
1728.22,15.9672,47,157.2189,-9155.861328125,2064.23,47,235000
1705.89,15.6928,48,156.8701,-9249.9501953125,2042.05,48,240000
1768.77,16.0214,49,156.9031,-9444.59765625,2073.49,49,245000
1752.37,16.0388,50,156.7694,-9603.25390625,2115.02,50,250000
1745.94,15.7931,51,156.8692,-9855.390625,2084.29,51,255000
1706.91,15.4013,52,157.0115,-10067.494140625,2041.02,52,260000
1742.46,16.0546,53,157.0024,-10223.6083984375,2057.45,53,265000
1758.27,16.0028,54,156.9416,-10398.8857421875,2067.83,54,270000
1730.58,15.7315,55,156.8664,-10684.546875,2081.28,55,275000
1769.05,15.7786,56,156.8511,-10836.841796875,2125.26,56,280000
1723.21,15.9135,57,156.9458,-10926.9013671875,2087.91,57,285000
1772.94,15.8977,58,156.8633,-11089.990234375,2123.92,58,290000
1731.04,15.482,59,156.9793,-11483.30078125,2077.77,59,295000
1762.84,15.8699,60,156.8805,-11583.931640625,2074.44,60,300000
1771.48,16.0745,61,156.8423,-11781.7080078125,2103.12,61,305000
1756.67,15.908,62,157.107,-11979.3779296875,2090.43,62,310000
1798.45,15.9694,63,156.7732,-12178.2158203125,2183.62,63,315000
1734.67,15.7055,64,156.9299,-12325.388671875,2082.94,64,320000
1801.36,15.9559,65,156.9299,-12573.681640625,2162.45,65,325000
1760.12,15.4291,66,156.8305,-12624.35546875,2111.94,66,330000
1776.02,15.8167,67,156.8465,-12874.716796875,2181.92,67,335000
1795.15,15.7501,68,156.7987,-12978.4560546875,2140.62,68,340000
1788.93,15.6591,69,156.8831,-13165.5556640625,2161.97,69,345000
1814.7,15.6387,70,156.7908,-13428.755859375,2162.55,70,350000
1795.49,15.8107,71,156.8201,-13587.6552734375,2111.38,71,355000
1776.43,15.2287,72,156.847,-13802.220703125,2137.11,72,360000
1790.45,15.8547,73,156.8701,-14051.1865234375,2158.09,73,365000
1797.25,15.9383,74,156.8384,-14261.373046875,2147.22,74,370000
1819.49,15.8779,75,156.8563,-14437.4716796875,2155.43,75,375000
1829.16,15.5554,76,156.9654,-14625.4140625,2174.36,76,380000
1826.58,15.7273,77,156.8015,-14809.1806640625,2212.97,77,385000
1789.1,15.4073,78,156.8413,-14993.1845703125,2138.95,78,390000
1833.49,15.9686,79,156.7515,-15296.841796875,2164.57,79,395000
1807.48,15.5509,80,156.7014,-15469.541015625,2160.8,80,400000
1835.29,15.8249,81,156.7661,-15612.291015625,2191.02,81,405000
1771.96,15.136,82,156.889,-15835.03515625,2015.46,82,410000
1861.49,15.7218,83,156.7139,-16140.90234375,2191.62,83,415000
1808.89,15.6027,84,156.8225,-16185.4990234375,2122.54,84,420000
1824.55,15.3289,85,156.551,-16367.4853515625,2182.84,85,425000
1821.55,15.4462,86,156.7659,-16680.470703125,2169.39,86,430000
1832.43,15.5919,87,156.7961,-16945.29296875,2180.25,87,435000
1850.17,15.8969,88,156.7145,-17075.90625,2159.88,88,440000
1831.69,15.5537,89,156.7392,-17287.19921875,2188.29,89,445000
1800.65,15.5071,90,156.9073,-17581.84375,2213.97,90,450000
1867.61,15.9342,91,156.8445,-17667.396484375,2191.43,91,455000
1786.86,15.5233,92,156.7776,-17985.68359375,2111.78,92,460000
1851.44,15.5725,93,156.5956,-18065.873046875,2209.18,93,465000
1852.3,15.6258,94,156.7264,-18325.861328125,2198.92,94,470000
1870.0,15.4468,95,156.7121,-18548.1796875,2199.58,95,475000
1837.68,15.4746,96,156.7523,-18764.404296875,2176.08,96,480000
1799.82,15.4002,97,156.8133,-19013.724609375,2154.74,97,485000
1840.03,15.6219,98,156.868,-19371.484375,2211.42,98,490000
1847.58,15.6891,99,156.6531,-19456.583984375,2187.2,99,495000
1866.37,15.5168,100,156.6682,-19552.537109375,2221.59,100,500000
1847.42,15.3491,101,156.6448,-19805.11328125,2194.1,101,505000
1890.05,15.8856,102,156.7891,-20089.603515625,2234.54,102,510000
1800.34,15.3399,103,156.771,-20324.2109375,2204.01,103,515000
1825.09,15.3519,104,156.7068,-20480.23828125,2178.16,104,520000
1866.32,15.4475,105,156.7114,-20646.57421875,2251.82,105,525000
1875.27,15.5405,106,156.7646,-21088.111328125,2232.56,106,530000
1873.82,15.5088,107,156.9132,-21365.400390625,2182.18,107,535000
1842.89,15.276,108,156.6461,-21423.677734375,2190.79,108,540000
1877.36,15.611,109,156.628,-21715.7578125,2257.81,109,545000
1870.33,15.5527,110,156.7304,-21887.107421875,2201.67,110,550000
1826.69,15.4754,111,156.7954,-22105.3828125,2237.1,111,555000
1880.31,15.5388,112,156.7505,-22307.8203125,2253.34,112,560000
1845.95,15.1366,113,156.7584,-22682.763671875,2197.44,113,565000
1886.39,15.6844,114,156.7842,-22995.83984375,2235.35,114,570000
1857.44,15.5763,115,156.5663,-22996.140625,2234.15,115,575000
1866.04,15.5836,116,156.7306,-23208.56640625,2222.07,116,580000
1838.45,15.2499,117,156.6036,-23544.294921875,2193.45,117,585000
1886.56,15.5632,118,156.6388,-24036.390625,2246.64,118,590000
1883.55,15.4617,119,156.6495,-24067.8125,2218.64,119,595000
1882.17,15.413,120,156.5442,-24192.9609375,2230.51,120,600000
1846.33,15.3594,121,156.8651,-24472.802734375,2250.11,121,605000
1889.51,15.3376,122,156.6601,-24785.966796875,2209.1,122,610000
1843.58,15.3112,123,156.7776,-25084.2265625,2157.29,123,615000
1861.74,15.0581,124,156.6595,-25103.1328125,2207.86,124,620000
1872.46,15.5829,125,156.7798,-25627.392578125,2210.15,125,625000
1861.17,15.1983,126,156.6245,-25710.587890625,2252.87,126,630000
1884.84,15.4056,127,156.696,-25922.615234375,2236.82,127,635000
1860.0,15.3811,128,156.6737,-26400.232421875,2233.31,128,640000
1899.45,15.5122,129,156.8088,-26576.720703125,2228.43,129,645000
1896.44,15.6723,130,156.6787,-26829.5625,2279.2,130,650000
1850.1,15.304,131,156.5602,-26986.419921875,2231.73,131,655000
1894.56,15.3051,132,156.6558,-27135.068359375,2253.72,132,660000
1875.72,15.3171,133,156.6477,-27654.578125,2234.52,133,665000
1916.94,15.545,134,156.693,-27750.505859375,2262.58,134,670000
1914.15,15.5963,135,156.6308,-28063.40625,2303.98,135,675000
1875.19,15.3057,136,156.7242,-28293.923828125,2266.4,136,680000
1886.34,15.3891,137,156.7773,-28614.41015625,2240.06,137,685000
1859.41,15.3737,138,156.7471,-28779.37890625,2198.95,138,690000
1884.64,15.1304,139,156.6836,-28980.490234375,2257.32,139,695000
1875.61,15.3173,140,156.7679,-29276.1328125,2230.65,140,700000
1902.71,15.0639,141,156.722,-29450.5078125,2266.32,141,705000
1872.9,15.3003,142,156.5247,-29458.9453125,2241.79,142,710000
1871.32,15.182,143,156.535,-29847.318359375,2258.04,143,715000
1893.52,15.236,144,156.6948,-29966.94140625,2286.73,144,720000
1873.13,15.2829,145,156.5839,-30389.349609375,2224.97,145,725000
1912.41,15.2964,146,156.6103,-30481.923828125,2291.25,146,730000
1872.61,15.048,147,156.6758,-30729.115234375,2235.07,147,735000
1851.82,14.9298,148,156.6129,-30786.388671875,2239.91,148,740000
1932.13,15.3001,149,156.6416,-31054.607421875,2259.75,149,745000
1906.53,15.4949,150,156.6486,-31429.73828125,2288.1,150,750000
