Running Reverse KL,Itration,Running Forward KL,Real Sto Return,Real Det Return
14.7943,0,37.1882,261.97,262.27
36.4263,1,37.0146,257.97,227.09
24.1392,2,37.9271,277.58,279.77
44.21,3,35.4795,324.87,321.99
46.0069,4,34.2602,436.4,391.98
24.6052,5,32.9679,652.72,663.45
24.7908,6,34.8773,589.4,602.96
17.8086,7,32.2078,1099.3,929.75
24.7449,8,33.3265,583.75,580.73
25.2647,9,32.5548,663.04,683.12
25.9081,10,32.8902,739.34,744.4
27.6445,11,32.7793,694.99,698.35
37.9096,12,32.7181,675.33,688.43
23.359,13,32.0228,941.09,916.48
17.3906,14,30.6213,1899.35,2764.6
22.5505,15,31.8096,864.91,894.25
16.5584,16,30.789,1840.06,300.95
22.9605,17,29.7364,2325.28,3073.93
15.9773,18,30.3207,2673.21,2920.42
33.5264,19,29.3833,1391.42,2287.24
15.7854,20,29.6208,2932.12,3092.39
13.9614,21,27.8999,2668.69,3069.48
14.4803,22,29.6782,2913.12,2773.58
14.2126,23,27.5205,2830.09,3037.17
13.8701,24,28.6709,2945.34,2959.5
14.4568,25,27.5471,3125.77,3122.72
14.1357,26,27.8546,2827.24,3054.05
14.0971,27,27.8725,3118.26,3073.11
37.0104,28,29.1938,1470.94,3110.9
20.9062,29,27.1089,2163.51,3168.36
33.1216,30,27.9884,1649.8,3125.01
13.2375,31,27.6557,2822.43,3166.07
14.0277,32,27.9404,3083.14,3098.37
15.3483,33,27.8746,2685.84,3149.91
