Running Reverse KL,Itration,Running Forward KL,Running Env Steps,Running Update Time,Real Sto Return,Real Det Return,Reward Loss
13.2293,0,48.6197,0,0,332.9,346.65,178.0390625
22.354,1,48.8553,5000,1,329.66,392.59,188.3204803466797
16.0534,2,49.0349,10000,2,394.54,350.19,145.10440063476562
34.9631,3,53.008,15000,3,56.39,81.84,167.74107360839844
29.8957,4,51.8811,20000,4,79.64,69.81,153.3020782470703
28.7239,5,53.9388,25000,5,-4.86,-2.27,348.0124206542969
66.1551,6,53.535,30000,6,12.92,-18.32,157.8374481201172
47.5676,7,51.8195,35000,7,41.52,114.94,203.6674346923828
41.037,8,51.7845,40000,8,31.81,8.31,160.13255310058594
55.6595,9,52.2834,45000,9,167.29,147.11,169.94932556152344
26.5566,10,51.5788,50000,10,108.28,205.99,110.68486022949219
64.7866,11,51.2446,55000,11,153.71,221.47,91.49730682373047
38.6877,12,51.0093,60000,12,243.16,275.9,25.87716293334961
35.5681,13,51.8924,65000,13,137.37,115.66,53.095638275146484
122.8593,14,52.861,70000,14,12.63,6.31,86.9000015258789
176.0481,15,53.9175,75000,15,40.67,5.46,117.33776092529297
86.2235,16,52.3378,80000,16,62.08,104.17,64.71953582763672
31.9241,17,50.3964,85000,17,248.26,194.79,32.92088317871094
64.6016,18,52.8246,90000,18,49.97,119.07,41.47785949707031
43.5744,19,51.0381,95000,19,142.94,112.83,-14.903858184814453
20.9942,20,50.9978,100000,20,45.08,35.93,-42.78511428833008
50.6033,21,51.63,105000,21,14.23,-9.67,-40.6499137878418
194.603,22,52.6665,110000,22,96.96,163.32,16.109771728515625
54.0956,23,56.2082,115000,23,-16.15,-15.55,42.80378341674805
203.2387,24,56.4779,120000,24,-80.75,-66.43,40.47097396850586
27.5295,25,54.2966,125000,25,-11.05,-11.1,-88.0374755859375
65.012,26,56.111,130000,26,778.52,881.81,-72.28457641601562
68.1934,27,51.2711,135000,27,153.97,119.82,-75.56938934326172
17.6599,28,50.186,140000,28,269.62,171.65,-203.69688415527344
26.3088,29,52.7527,145000,29,130.25,157.22,-104.09697723388672
34.4148,30,50.6421,150000,30,467.4,392.41,-108.67694854736328
95.0144,31,50.7615,155000,31,597.66,852.6,-80.30442810058594
41.4353,32,51.6196,160000,32,615.57,677.95,-133.4886474609375
48.6781,33,53.0952,165000,33,1020.52,973.3,-116.27022552490234
88.2205,34,52.5375,170000,34,710.08,590.44,-136.09744262695312
49.6254,35,52.1999,175000,35,492.24,504.74,-178.23118591308594
81.3337,36,57.5603,180000,36,1028.1,1028.07,-134.17495727539062
69.5619,37,58.2227,185000,37,1031.21,1031.01,-143.5402374267578
165.6654,38,52.833,190000,38,301.28,413.12,-303.8865661621094
114.612,39,54.6666,195000,39,255.45,174.82,-254.87234497070312
254.6556,40,56.8952,200000,40,124.17,128.22,-402.7183532714844
27.0011,41,51.6808,205000,41,187.85,116.54,-256.8721618652344
149.8055,42,53.8356,210000,42,30.88,16.02,-240.66368103027344
82.3345,43,52.8626,215000,43,90.75,28.55,-265.9681396484375
32.1693,44,52.4752,220000,44,26.62,0.83,-277.51416015625
53.6132,45,53.211,225000,45,23.35,93.83,-256.8191223144531
132.2053,46,52.2547,230000,46,33.16,9.91,-279.00177001953125
121.7216,47,52.5814,235000,47,117.24,105.82,-287.10137939453125
122.7783,48,54.4806,240000,48,43.52,23.07,-329.1990051269531
109.4762,49,52.5493,245000,49,66.4,74.34,-335.1117248535156
148.7552,50,51.2202,250000,50,112.6,123.43,-324.4846496582031
214.2572,51,51.4955,255000,51,78.74,81.5,-201.1370086669922
16.4168,52,51.6505,260000,52,53.63,116.14,-281.1772766113281
19.227,53,50.4766,265000,53,202.81,191.39,-302.0982360839844
46.3828,54,52.9885,270000,54,-2.85,8.22,-358.5464782714844
