Running Forward KL,Real Sto Return,Reward Loss,Real Det Return,Itration,Running Update Time,Running Env Steps,Running Reverse KL
444.5098,212.98,-1897.92822265625,254.49,0,0,0,241.4571
426.2724,390.6,-829.6412353515625,397.08,1,1,5000,253.4352
437.3055,325.13,-1555.776123046875,359.58,2,2,10000,277.308
403.0911,402.03,-2961.304931640625,399.86,3,3,15000,252.9016
410.1171,448.15,-5455.68994140625,445.76,4,4,20000,249.71
427.2506,454.15,-6071.92529296875,360.43,5,5,25000,297.5933
407.8773,465.26,-7023.79150390625,483.01,6,6,30000,263.0329
408.146,449.83,-7218.76708984375,432.36,7,7,35000,298.6437
392.6585,496.47,-10712.7021484375,484.66,8,8,40000,318.3356
387.9592,487.89,-9944.0732421875,459.51,9,9,45000,297.9775
382.8831,546.4,-11049.5263671875,471.06,10,10,50000,326.7482
383.5375,621.09,-11690.6884765625,546.13,11,11,55000,258.6837
381.1867,558.54,-12745.5478515625,492.67,12,12,60000,275.9612
376.0715,570.8,-13013.970703125,573.04,13,13,65000,269.3458
376.5368,569.69,-13103.5009765625,552.13,14,14,70000,266.8873
373.6004,568.71,-14464.099609375,620.91,15,15,75000,249.2359
368.9,677.91,-14635.2109375,576.59,16,16,80000,296.2158
370.2407,623.93,-15849.8232421875,651.81,17,17,85000,263.557
373.5415,759.07,-16940.828125,749.43,18,18,90000,232.759
348.5267,771.66,-15697.23046875,700.65,19,19,95000,237.8747
353.8191,851.68,-16353.408203125,1101.06,20,20,100000,215.9163
347.763,864.65,-17968.5,800.29,21,21,105000,223.4654
338.5974,794.91,-15915.2724609375,941.61,22,22,110000,195.1833
341.4257,900.15,-16056.2158203125,926.36,23,23,115000,245.4084
325.4635,1410.96,-15114.0185546875,895.71,24,24,120000,199.373
335.9506,1018.1,-17123.884765625,750.59,25,25,125000,241.993
329.9226,1515.22,-16079.7001953125,2374.62,26,26,130000,195.3838
325.7223,1602.97,-14896.5146484375,2928.43,27,27,135000,217.5337
318.0073,1888.26,-16687.552734375,2670.83,28,28,140000,189.8921
339.2042,1237.14,-20792.142578125,1104.13,29,29,145000,275.5607
301.9653,2103.68,-17333.26953125,2053.64,30,30,150000,222.7936
326.1836,1766.64,-16416.267578125,1802.78,31,31,155000,169.6359
321.7684,2154.51,-17520.365234375,5150.65,32,32,160000,190.627
312.6598,2732.5,-13814.8916015625,4259.92,33,33,165000,151.4346
302.6872,3303.78,-11888.33984375,4122.24,34,34,170000,137.9355
303.7315,2600.59,-13024.5673828125,2733.8,35,35,175000,140.594
295.5596,2208.82,-14287.00390625,1891.94,36,36,180000,148.0849
303.6821,3424.51,-14588.9189453125,4445.68,37,37,185000,134.2784
294.3014,3618.11,-7861.70751953125,4965.98,38,38,190000,106.0087
310.0348,2779.97,-14717.1630859375,3454.44,39,39,195000,137.4916
296.0207,4689.11,-10624.541015625,5043.91,40,40,200000,123.6276
294.2588,3222.72,-10095.4013671875,4462.0,41,41,205000,111.404
312.25,3515.64,-12362.4501953125,4630.22,42,42,210000,126.4635
297.2391,4931.62,-6185.33642578125,5056.33,43,43,215000,96.9995
309.706,3648.24,-10989.326171875,4318.68,44,44,220000,103.2956
305.2378,4402.85,-13133.2783203125,4802.74,45,45,225000,125.6984
308.034,3501.63,-16848.2734375,3815.19,46,46,230000,147.2173
303.9903,4469.9,-8838.5517578125,1961.18,47,47,235000,118.1581
312.651,4536.71,-8374.1865234375,4731.87,48,48,240000,106.1023
334.0075,3045.6,-15870.6025390625,4869.53,49,49,245000,154.4231
314.1564,2838.95,-20803.2890625,1846.83,50,50,250000,165.8846
309.5877,3122.07,-12050.7001953125,3008.88,51,51,255000,112.3664
310.9176,3797.74,-17935.6328125,3549.43,52,52,260000,163.881
309.7295,3034.23,-16366.7431640625,1656.68,53,53,265000,134.4267
325.1376,2936.17,-20237.01953125,2981.32,54,54,270000,179.9196
312.2352,3150.04,-16974.189453125,5112.3,55,55,275000,159.6021
305.244,4324.42,-15028.3359375,5113.03,56,56,280000,123.2886
288.4718,4290.84,-13158.888671875,4835.5,57,57,285000,103.2175
302.0455,4610.31,-13543.91015625,4522.32,58,58,290000,122.3372
295.864,4520.3,-12863.0029296875,5176.86,59,59,295000,90.3226
296.3705,2972.69,-16230.9384765625,4960.78,60,60,300000,113.7113
294.5411,4165.14,-17717.59765625,5204.75,61,61,305000,104.6159
304.9915,4594.8,-19442.50390625,4994.2,62,62,310000,118.9312
299.0636,4626.85,-16636.091796875,4999.15,63,63,315000,118.5246
296.7719,4873.98,-16396.32421875,5142.35,64,64,320000,96.4547
311.0379,1510.81,-23577.162109375,3044.48,65,65,325000,180.5365
294.1286,4123.54,-14214.0,5142.87,66,66,330000,79.2262
332.8129,2101.03,-25623.921875,3949.74,67,67,335000,233.1492
316.044,2178.49,-23633.3359375,1392.65,68,68,340000,168.1129
291.0927,4511.38,-17304.111328125,5198.06,69,69,345000,89.7017
309.7222,2607.96,-22487.439453125,3740.65,70,70,350000,159.7199
290.825,4281.42,-17660.294921875,4369.93,71,71,355000,99.934
288.2192,4491.54,-14809.3486328125,5168.16,72,72,360000,74.8422
287.4898,4330.73,-18332.48046875,4205.91,73,73,365000,123.1315
290.8614,4187.73,-16438.677734375,5126.77,74,74,370000,92.5664
291.0754,3430.69,-18690.451171875,4984.93,75,75,375000,93.7545
296.372,4783.6,-18544.021484375,5139.05,76,76,380000,89.5726
305.0048,3553.26,-24433.349609375,4834.59,77,77,385000,122.5776
292.216,4326.29,-18214.990234375,5143.63,78,78,390000,86.824
307.8862,4786.98,-20700.365234375,4888.16,79,79,395000,110.0857
