Running Update Time,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return,Running Forward KL
0,0,-1475.0384521484375,0,277.4,314.2933,309.84,452.3393
1,1,-1031.0400390625,5000,354.48,299.998,371.15,426.0092
2,2,-838.2512817382812,10000,375.4,266.0138,386.2,425.3732
3,3,-1137.539794921875,15000,423.8,290.4108,392.39,419.5252
4,4,-1105.0872802734375,20000,232.48,239.8476,371.63,420.8415
5,5,-1334.1756591796875,25000,534.35,250.0138,487.51,375.4925
6,6,-1788.50927734375,30000,451.6,265.1369,475.17,404.0427
7,7,-2460.3828125,35000,446.51,267.7174,425.04,377.9549
8,8,-1861.2711181640625,40000,536.82,237.6751,524.96,368.0337
9,9,-2414.93408203125,45000,548.2,277.0627,518.3,365.2441
10,10,-2638.5341796875,50000,431.75,293.4913,538.93,359.7327
11,11,-3020.23974609375,55000,617.65,256.5966,611.62,354.0943
12,12,-3193.9794921875,60000,508.23,271.7905,605.31,348.7878
13,13,-3042.611083984375,65000,638.28,244.5243,738.92,349.8272
14,14,-3433.255126953125,70000,533.47,256.5265,703.13,343.3023
15,15,-3067.921630859375,75000,718.65,232.0949,712.58,353.9279
16,16,-3574.956298828125,80000,1018.17,251.5039,663.15,347.6819
17,17,-2974.669677734375,85000,620.0,240.8817,566.98,390.9229
18,18,-3351.982666015625,90000,756.51,233.7433,799.68,348.3863
19,19,-3293.28857421875,95000,421.4,230.8902,551.63,366.2671
20,20,-4443.8427734375,100000,571.13,269.2448,761.22,351.8378
21,21,-4338.6611328125,105000,808.34,259.3544,769.57,359.8152
22,22,-4259.390625,110000,891.13,237.6793,583.18,374.5306
23,23,-3880.964111328125,115000,1421.44,224.723,847.91,322.8472
24,24,-3521.72705078125,120000,984.52,248.7393,1274.56,321.8645
25,25,-3260.0283203125,125000,992.17,235.8756,1157.64,303.6069
26,26,-4861.7138671875,130000,1106.03,272.0589,1294.43,316.3587
27,27,-6013.1689453125,135000,1280.75,316.2903,1352.69,336.3187
28,28,-5289.07958984375,140000,1218.38,259.4273,1183.11,320.7077
29,29,-4861.1396484375,145000,1315.67,214.4606,1185.0,321.7256
30,30,-4518.197265625,150000,1490.62,217.1808,1303.39,324.3152
31,31,-3744.35498046875,155000,1893.41,187.5946,1298.33,306.2342
32,32,-6036.9482421875,160000,1977.27,226.8414,1376.85,302.4859
33,33,-5973.7490234375,165000,732.78,250.336,1064.27,307.1585
34,34,-4967.61474609375,170000,2193.28,193.4463,1408.26,297.517
35,35,-4390.783203125,175000,3692.84,169.7926,2062.0,298.8245
36,36,-4318.61962890625,180000,3385.2,169.1329,2139.34,287.5654
37,37,-5180.8447265625,185000,859.7,221.4873,1469.27,319.6705
38,38,-3030.1142578125,190000,1733.97,107.3303,3146.37,261.289
39,39,-3361.074462890625,195000,985.7,127.4007,2910.05,267.3099
40,40,-2779.646484375,200000,1490.73,115.3073,3157.22,271.6062
41,41,-2280.59814453125,205000,687.28,127.653,3250.56,293.4297
42,42,-2152.999755859375,210000,1251.67,111.0536,3026.1,290.9988
43,43,-1666.697021484375,215000,2934.67,97.6697,3156.37,284.5255
44,44,-2819.143798828125,220000,2311.28,95.1164,3376.69,267.2939
45,45,-2399.99267578125,225000,3917.93,84.974,4045.84,264.2554
46,46,-1937.4254150390625,230000,2918.52,93.7279,3712.1,279.4103
47,47,-2686.2880859375,235000,3491.27,89.6111,4216.84,262.9613
48,48,-4817.7216796875,240000,2625.22,157.7445,3060.59,287.9991
49,49,-1710.4144287109375,245000,4285.89,68.7812,4258.41,253.3324
50,50,-2580.371826171875,250000,5091.03,94.4354,4437.64,264.2999
51,51,-2801.03857421875,255000,3400.03,91.5052,4318.26,273.1701
52,52,-2959.597412109375,260000,5232.68,88.0248,4033.87,268.3543
53,53,-3526.30078125,265000,5270.49,119.2754,3529.06,270.278
54,54,-3913.706298828125,270000,5082.03,112.8122,3867.06,287.1046
55,55,-2549.13623046875,275000,5176.12,73.5089,4708.84,244.5102
56,56,-2678.98046875,280000,4843.12,78.3508,4387.31,258.4859
57,57,-3000.634033203125,285000,5115.66,78.9856,4917.27,250.632
58,58,-1789.345703125,290000,5137.2,56.0039,4554.58,249.6353
59,59,-2344.352294921875,295000,4319.88,62.6385,4334.33,249.2647
60,60,-2548.53564453125,300000,4849.54,60.8017,4252.42,252.705
61,61,-3331.070556640625,305000,4997.17,69.8035,4246.59,251.0646
62,62,-3182.668701171875,310000,4937.21,65.068,4754.0,252.1913
63,63,-1943.2535400390625,315000,5089.63,49.7138,4492.03,249.4985
64,64,-2426.644775390625,320000,4930.35,53.3817,4288.83,248.173
65,65,-2969.008544921875,325000,3860.84,59.4715,4787.6,242.6496
66,66,-3966.335693359375,330000,2968.66,97.3105,4120.83,267.698
67,67,-3297.214599609375,335000,4046.59,60.8499,4517.43,242.4927
68,68,-2704.7080078125,340000,4309.59,44.2143,4386.54,236.6522
69,69,-2150.236572265625,345000,4680.43,35.3322,5013.43,225.8852
70,70,-3945.130615234375,350000,4740.53,76.8582,4544.73,235.5338
71,71,-4731.9482421875,355000,4468.32,87.9674,4651.45,244.6517
72,72,-3338.33740234375,360000,4981.62,48.3566,4630.27,228.7314
73,73,-2994.556884765625,365000,4313.07,57.4256,4855.39,229.369
74,74,-2915.2626953125,370000,3113.63,47.9293,4864.47,221.6463
75,75,-3457.8720703125,375000,2684.56,45.5637,4281.78,230.3795
76,76,-2126.757080078125,380000,2670.4,24.9819,4942.31,219.97
77,77,-2238.554443359375,385000,3705.18,29.8901,5042.78,222.7788
78,78,-3887.15234375,390000,2784.06,58.5109,4031.29,221.57
79,79,-2279.71923828125,395000,3989.96,26.2129,4844.36,225.395
80,80,-2227.04931640625,400000,1756.65,25.3652,4975.36,230.7371
81,81,-3127.905029296875,405000,2194.29,36.6392,4780.86,227.4066
82,82,-4169.333984375,410000,2635.28,55.6762,4604.84,233.0355
83,83,-3055.18115234375,415000,2569.86,41.5315,4604.02,228.3842
84,84,-2422.266845703125,420000,3424.48,33.815,4437.45,230.8727
85,85,-2467.32958984375,425000,1372.4,22.0894,3933.63,224.2682
86,86,-2622.056884765625,430000,1639.79,25.9656,4841.8,225.3725
87,87,-2810.603515625,435000,2068.44,29.0476,4823.47,228.3801
88,88,-3761.3828125,440000,3467.85,64.1962,4880.56,237.5945
89,89,-5465.87060546875,445000,1249.23,105.3368,3543.3,244.7047
90,90,-3430.174560546875,450000,3278.46,34.2464,4456.15,230.8778
91,91,-2552.383544921875,455000,3998.48,19.4845,4773.73,224.3627
92,92,-2733.538330078125,460000,4009.45,17.3015,4749.24,217.7014
93,93,-2792.421142578125,465000,4052.58,18.253,5053.1,215.6912
94,94,-3022.34765625,470000,2833.2,16.499,4993.65,216.774
95,95,-2997.2568359375,475000,1508.45,27.3026,4356.96,232.1569
96,96,-3125.92041015625,480000,3315.3,29.0891,4605.41,226.3962
97,97,-3322.54833984375,485000,3376.16,21.3751,4810.15,225.3177
98,98,-3867.357666015625,490000,4268.21,33.0501,4691.98,231.3266
99,99,-4012.55712890625,495000,1972.64,50.1642,4532.23,240.6049
100,100,-3317.341064453125,500000,3551.74,24.225,5009.58,226.6272
101,101,-4046.53173828125,505000,3624.59,32.5243,5104.16,226.6615
102,102,-3879.66015625,510000,2383.5,26.6392,4985.07,229.3939
103,103,-3655.346923828125,515000,2256.64,31.0593,4782.99,227.1295
104,104,-3176.070556640625,520000,1582.97,32.3563,4863.58,232.8476
105,105,-3343.503662109375,525000,2301.89,22.5011,4539.69,221.9343
106,106,-3291.0751953125,530000,3757.88,19.8129,4940.03,227.6717
107,107,-3760.071044921875,535000,5023.48,26.0008,5077.81,228.0156
108,108,-4056.23388671875,540000,3552.18,24.9377,4951.78,220.5382
109,109,-3664.833251953125,545000,1330.49,39.3859,4855.22,235.7227
110,110,-5323.802734375,550000,2563.81,60.4545,4057.31,241.1499
111,111,-3764.009765625,555000,2147.97,23.4284,4630.97,222.727
112,112,-4101.693359375,560000,2616.6,30.8137,4395.18,231.9785
113,113,-4314.98291015625,565000,2453.79,42.3041,4023.58,240.3132
114,114,-5537.1875,570000,3698.12,70.8532,4390.63,250.8049
115,115,-5136.0224609375,575000,3297.47,49.7886,4203.01,230.2933
116,116,-4531.28125,580000,3279.28,30.9361,4986.43,225.7078
117,117,-5198.38623046875,585000,1620.13,47.9515,3931.75,249.4716
118,118,-4340.77734375,590000,2179.43,16.7103,4843.0,227.6953
119,119,-4220.97509765625,595000,1611.26,27.3395,4767.54,225.9709
120,120,-5062.90185546875,600000,1256.74,41.3167,3661.38,235.5187
121,121,-6615.20751953125,605000,1533.17,94.7738,2808.17,249.8605
122,122,-5068.732421875,610000,1695.1,38.3567,4861.62,221.7556
123,123,-7022.92626953125,615000,1709.1,113.7482,3030.45,258.395
124,124,-4936.68310546875,620000,3321.91,30.2353,4425.56,229.1331
125,125,-6908.8037109375,625000,1153.55,99.5009,3638.42,252.6518
126,126,-4662.6982421875,630000,5225.18,21.7988,4905.37,220.6235
127,127,-4997.82470703125,635000,2194.48,22.4947,4746.46,225.1108
128,128,-4926.18408203125,640000,1418.33,19.1696,4817.03,220.0384
129,129,-5398.20361328125,645000,2014.94,28.8456,4930.9,226.4638
130,130,-5434.5,650000,3807.86,21.8574,4977.25,224.0169
131,131,-5446.4169921875,655000,4965.6,19.7907,5047.47,220.8255
132,132,-4926.60302734375,660000,3184.93,12.3517,5070.09,216.7985
133,133,-5052.8525390625,665000,1709.94,16.4104,4885.27,218.9409
134,134,-5222.43408203125,670000,3355.44,17.7521,4997.35,226.24
135,135,-4963.51123046875,675000,3797.45,9.1859,5112.38,215.9702
136,136,-5785.88330078125,680000,2459.96,23.7782,4737.59,219.3917
137,137,-5473.48583984375,685000,4595.71,21.4904,4987.21,222.7699
138,138,-6890.19482421875,690000,1463.11,60.6,4390.8,243.752
139,139,-6024.88330078125,695000,1017.81,25.0607,4779.26,222.5683
140,140,-5941.115234375,700000,4209.08,20.8111,4935.65,232.2974
141,141,-8513.5859375,705000,1404.95,102.5863,3739.88,254.4707
142,142,-5545.21240234375,710000,2893.56,16.7774,4446.34,220.928
143,143,-5748.86328125,715000,2348.81,17.1431,4686.39,222.6216
144,144,-5458.9013671875,720000,2752.63,13.3614,5055.46,217.0199
145,145,-5316.65966796875,725000,4725.41,10.2315,4843.08,223.2734
146,146,-5851.54638671875,730000,5313.85,15.503,5075.93,223.6773
147,147,-5644.29736328125,735000,5048.44,25.0447,4851.36,217.6897
148,148,-6262.59033203125,740000,5281.59,21.0664,4825.38,222.8546
149,149,-5193.986328125,745000,5089.24,11.9752,4949.62,221.9787
150,150,-6319.0341796875,750000,4625.51,17.7921,4972.89,226.1647
151,151,-6279.01416015625,755000,5119.13,17.2191,4915.07,220.1611
152,152,-6250.1015625,760000,4711.42,14.2828,4944.69,220.966
153,153,-6285.45751953125,765000,5247.16,26.1556,5186.04,219.288
154,154,-6930.67333984375,770000,2300.51,16.3212,4847.24,222.2894
155,155,-6378.91943359375,775000,4860.69,15.6645,4814.07,217.8066
156,156,-6116.63134765625,780000,3239.62,19.2633,5100.12,219.3113
157,157,-8625.884765625,785000,1789.96,81.9003,2975.73,246.3352
158,158,-8303.4873046875,790000,963.45,88.007,3484.35,247.1166
159,159,-7746.88330078125,795000,3028.54,40.7053,4540.05,227.7969
160,160,-6726.1005859375,800000,3228.76,13.3557,4667.28,221.5586
161,161,-6833.88525390625,805000,1155.61,18.3062,4912.91,219.9165
162,162,-7609.75341796875,810000,715.31,25.1557,3872.34,221.3391
163,163,-9457.7958984375,815000,1937.09,96.9847,3754.45,244.4013
164,164,-10142.2041015625,820000,2578.44,140.0308,3620.1,279.399
165,165,-8516.263671875,825000,4888.04,35.7009,4644.38,234.1474
166,166,-7078.66748046875,830000,5014.67,16.1315,5107.39,220.4921
167,167,-8035.736328125,835000,5120.66,24.9115,5139.35,224.0608
168,168,-8023.5498046875,840000,4554.57,35.9657,5303.96,220.049
169,169,-8273.861328125,845000,5289.21,34.8078,5296.17,220.387
170,170,-7987.36865234375,850000,5369.66,28.6574,5218.08,220.0021
171,171,-7499.45556640625,855000,4909.33,17.6867,5246.21,212.6522
172,172,-7940.958984375,860000,5315.47,18.852,5140.85,216.6776
