Reward Loss,Real Sto Return,Real Det Return,Itration,Running Env Steps,Running Reverse KL,Running Forward KL,Running Update Time
77.16928100585938,-55.19,495.74,0,0,27.4777,75.5212,0
67.00059509277344,-29.93,496.78,1,5000,27.3161,74.4276,1
46.786373138427734,12.23,648.95,2,10000,27.6108,74.3643,2
38.46894454956055,32.52,538.08,3,15000,29.1904,74.3474,3
14.459399223327637,78.73,599.3,4,20000,29.9262,74.3581,4
-1.845031976699829,77.45,504.34,5,25000,31.4166,75.6519,5
-9.264965057373047,89.3,713.57,6,30000,30.9929,73.4343,6
-22.10269546508789,120.96,842.0,7,35000,30.2568,72.2888,7
-40.583465576171875,101.43,479.5,8,40000,30.6613,72.2317,8
-53.323001861572266,159.42,578.15,9,45000,30.3927,71.3505,9
-70.00945281982422,170.86,780.83,10,50000,31.4033,72.1466,10
-83.64017486572266,133.24,723.58,11,55000,30.8233,72.6344,11
-93.86087799072266,145.72,710.87,12,60000,31.9571,70.841,12
-113.3078384399414,105.75,702.28,13,65000,30.6069,74.0671,13
-119.03925323486328,144.57,695.18,14,70000,30.3875,70.4675,14
-136.9430389404297,199.7,811.31,15,75000,30.9543,71.7368,15
-148.1776580810547,154.75,720.05,16,80000,31.023,72.663,16
-161.69912719726562,218.77,541.41,17,85000,31.0386,72.7215,17
-183.20184326171875,195.02,836.0,18,90000,30.7774,72.1074,18
-197.30567932128906,150.52,569.71,19,95000,31.8249,70.3628,19
-212.7958526611328,118.34,589.16,20,100000,30.6272,72.909,20
-219.67193603515625,155.3,626.31,21,105000,30.58,70.6136,21
-239.00726318359375,214.81,434.46,22,110000,30.1162,70.5664,22
-250.7572784423828,202.74,746.68,23,115000,29.8578,71.8212,23
-263.57568359375,197.04,852.26,24,120000,29.9696,70.3921,24
-280.3893127441406,143.92,792.97,25,125000,31.1977,71.9371,25
-296.4391174316406,157.76,783.99,26,130000,31.6912,71.5439,26
-313.0301818847656,207.07,810.83,27,135000,30.8142,72.8126,27
-330.77288818359375,217.63,864.34,28,140000,31.4369,72.0879,28
-334.8475646972656,206.21,888.46,29,145000,30.4646,68.9005,29
-348.62506103515625,253.9,745.65,30,150000,29.9577,68.8702,30
-365.26025390625,161.22,805.95,31,155000,29.8644,67.9174,31
-366.1566467285156,277.9,751.01,32,160000,31.2775,67.7731,32
-386.19268798828125,281.64,1080.49,33,165000,29.2132,68.8368,33
-393.6625671386719,337.37,676.33,34,170000,29.5538,65.7127,34
-405.9918518066406,285.05,637.64,35,175000,28.9797,65.399,35
-429.394287109375,211.02,749.59,36,180000,28.8009,67.5676,36
-452.7284240722656,339.81,941.31,37,185000,29.0607,67.6808,37
-472.8005676269531,246.5,799.64,38,190000,29.4384,69.0026,38
-493.9024353027344,208.17,877.88,39,195000,29.8501,71.2755,39
-512.3812866210938,163.43,691.29,40,200000,29.7288,71.2222,40
-519.1109008789062,293.09,902.1,41,205000,28.9979,69.3507,41
-529.2164306640625,186.42,1042.93,42,210000,29.4393,68.4054,42
-559.768798828125,248.67,694.82,43,215000,30.0881,70.56,43
-573.927978515625,249.37,942.72,44,220000,29.3796,70.1226,44
-586.897216796875,269.39,610.84,45,225000,29.968,69.5654,45
-607.9126586914062,267.39,937.08,46,230000,29.4054,70.2108,46
-616.2948608398438,265.7,692.4,47,235000,28.5509,68.474,47
-626.2097778320312,239.94,978.82,48,240000,29.3301,68.0072,48
-656.8297119140625,233.31,849.12,49,245000,29.5181,69.6588,49
-666.6838989257812,295.32,1059.98,50,250000,29.254,68.6645,50
-668.2359008789062,259.47,1032.57,51,255000,28.1528,66.6165,51
-725.7891845703125,298.87,949.24,52,260000,30.4117,70.7601,52
-712.3931884765625,320.27,1128.24,53,265000,29.0598,66.9672,53
-722.4666748046875,276.93,1108.89,54,270000,28.2398,65.9397,54
-764.8757934570312,308.45,646.11,55,275000,29.0237,70.9824,55
-762.7330932617188,201.2,938.62,56,280000,29.6904,67.4127,56
-788.0121459960938,208.62,679.31,57,285000,28.904,67.9431,57
-807.0982055664062,296.3,675.11,58,290000,29.3218,68.7844,58
-841.3491821289062,167.43,898.53,59,295000,29.0129,69.5353,59
-852.1240234375,276.15,741.01,60,300000,29.1167,68.8755,60
-882.4699096679688,212.61,706.2,61,305000,30.0051,69.7218,61
-888.6680908203125,260.03,708.99,62,310000,28.8994,67.3767,62
-878.3541870117188,190.7,574.64,63,315000,28.0381,65.9701,63
-926.3765869140625,189.27,663.63,64,320000,28.8959,67.2554,64
-966.0513916015625,299.57,738.18,65,325000,29.6174,70.4337,65
-960.9241943359375,244.33,739.8,66,330000,28.5542,67.2154,66
-966.23974609375,324.54,1043.6,67,335000,28.1641,66.6444,67
-996.881591796875,258.1,713.44,68,340000,28.3043,67.206,68
-1016.7684326171875,162.56,675.58,69,345000,28.4085,67.4882,69
-1052.419921875,280.16,675.37,70,350000,28.5175,68.0443,70
-1048.456787109375,284.25,1069.36,71,355000,28.3459,64.7468,71
-1023.2861328125,316.08,741.37,72,360000,27.7259,62.711,72
-1139.9285888671875,311.71,1310.41,73,365000,29.8999,70.7688,73
-1123.41650390625,253.0,748.54,74,370000,28.61,65.6926,74
-1187.17919921875,202.32,664.02,75,375000,30.0204,70.5513,75
-1185.3623046875,328.46,813.77,76,380000,29.1689,67.4622,76
-1210.474853515625,140.49,325.51,77,385000,28.8887,68.2368,77
-1235.4019775390625,181.27,562.03,78,390000,29.2251,68.5213,78
-1239.842041015625,209.44,285.42,79,395000,27.7138,66.1793,79
-1177.5499267578125,416.2,894.78,80,400000,28.6763,61.526,80
-1312.229736328125,319.46,902.91,81,405000,29.3993,68.9108,81
-1324.1356201171875,297.77,655.01,82,410000,28.6681,66.6902,82
