Real Det Return,Running Update Time,Reward Loss,Running Reverse KL,Itration,Running Forward KL,Real Sto Return,Running Env Steps
216.27,0,-42.11054992675781,19.3999,0,32.3445,205.87,0
288.11,1,-58.13859558105469,20.0501,1,30.6354,287.03,5000
286.73,2,85.2691650390625,19.7887,2,30.0362,279.01,10000
294.1,3,8.396363258361816,18.3261,3,30.2705,296.15,15000
312.24,4,-231.9138641357422,19.8953,4,31.0697,317.64,20000
340.22,5,-540.412841796875,91.5364,5,29.5259,325.37,25000
354.41,6,-69.61986541748047,17.4482,6,29.2791,319.86,30000
388.06,7,-329.9705505371094,34.4642,7,28.9638,375.34,35000
392.57,8,-803.4915771484375,80.127,8,29.4362,395.62,40000
454.74,9,-741.5069580078125,35.1963,9,27.4598,432.87,45000
473.55,10,-906.7208862304688,76.1122,10,28.2093,440.7,50000
536.96,11,-1056.7315673828125,100.2172,11,28.6171,510.94,55000
536.9,12,-922.9530029296875,79.8512,12,27.8516,523.54,60000
746.99,13,-741.3047485351562,120.7009,13,28.2881,650.17,65000
1003.94,14,-764.594970703125,70.6153,14,28.2384,911.01,70000
827.84,15,-1130.7646484375,115.4004,15,27.2127,797.6,75000
804.6,16,-935.6843872070312,54.8948,16,28.1904,821.57,80000
679.63,17,-981.9424438476562,56.9346,17,27.2962,776.57,85000
888.94,18,-882.5487670898438,58.6531,18,26.6976,1251.55,90000
896.11,19,-821.9382934570312,68.1858,19,27.3977,1063.21,95000
808.21,20,-1139.8658447265625,93.6023,20,27.3539,1139.57,100000
1140.79,21,-655.47314453125,26.3286,21,26.1891,1725.92,105000
2236.55,22,-915.8230590820312,42.0525,22,27.9652,1251.05,110000
1157.09,23,-690.3736572265625,30.8228,23,26.7877,1826.48,115000
1078.5,24,-1248.582763671875,60.672,24,27.4861,1153.91,120000
3101.63,25,-184.01702880859375,23.5845,25,26.276,2094.82,125000
1105.95,26,-1249.545654296875,51.5259,26,27.6872,1128.51,130000
3048.4,27,-696.2674560546875,41.7813,27,26.5917,2164.25,135000
2497.81,28,-860.9756469726562,28.001,28,27.4466,1561.77,140000
1518.08,29,-1315.17041015625,66.3536,29,26.5612,1066.52,145000
3138.14,30,-1147.848876953125,66.925,30,26.6996,1763.17,150000
1511.92,31,-1479.875244140625,45.5613,31,27.5312,1125.39,155000
3140.48,32,-690.8351440429688,32.6789,32,26.0947,1976.05,160000
3134.46,33,-390.6199035644531,27.2214,33,25.599,2823.86,165000
3161.5,34,-808.3464965820312,29.9781,34,26.3262,1604.09,170000
3161.14,35,-878.7279663085938,28.5171,35,26.0955,1977.12,175000
2322.57,36,-581.2340087890625,23.4142,36,26.1398,1986.78,180000
3049.01,37,-972.7803955078125,28.6287,37,26.707,2146.69,185000
2351.85,38,-610.6361694335938,30.2654,38,25.8699,2155.63,190000
3131.64,39,-391.78973388671875,18.3037,39,26.0721,2248.77,195000
3122.7,40,-354.0581970214844,17.7925,40,26.2364,2933.09,200000
3151.36,41,-321.4010009765625,17.033,41,25.9613,3064.36,205000
3140.45,42,-523.9443359375,22.1537,42,25.8496,2287.88,210000
1161.38,43,-1559.7171630859375,42.9568,43,27.2415,1073.47,215000
3082.86,44,-1263.00537109375,34.8192,44,26.3285,1395.53,220000
3140.7,45,-361.3623046875,17.2573,45,26.2362,3092.35,225000
3145.64,46,-470.5227355957031,16.8391,46,26.108,2771.85,230000
3123.4,47,-417.6044921875,17.0749,47,25.5299,2610.92,235000
3116.2,48,-366.7257080078125,16.9421,48,25.7578,2817.96,240000
3131.85,49,-484.5166015625,19.399,49,25.2373,2723.03,245000
3168.93,50,-996.3143920898438,44.9189,50,25.5097,1964.78,250000
2511.27,51,-1081.3768310546875,31.551,51,25.4249,1588.54,255000
3150.87,52,-845.3469848632812,30.7756,52,25.0681,2366.65,260000
3146.45,53,-491.68756103515625,17.3545,53,25.8399,3137.83,265000
3142.0,54,-553.2134399414062,19.5912,54,25.5888,2843.6,270000
3142.48,55,-591.8399047851562,19.0218,55,25.3763,2239.36,275000
3146.98,56,-598.9242553710938,17.3999,56,25.0886,2788.95,280000
3135.72,57,-582.8317260742188,18.3247,57,25.5219,3134.18,285000
3148.44,58,-665.561767578125,18.1994,58,25.4939,2509.63,290000
3150.56,59,-667.7781982421875,19.6553,59,25.0469,2756.76,295000
2995.57,60,-1006.2876586914062,21.9112,60,25.45,2018.14,300000
3114.98,61,-934.7069702148438,18.8282,61,25.3769,2151.54,305000
3115.69,62,-718.8784790039062,28.7694,62,25.2136,2620.0,310000
3143.21,63,-823.1927490234375,24.0729,63,25.2649,2673.7,315000
3159.26,64,-1152.17236328125,37.9103,64,25.3738,2319.98,320000
3123.31,65,-778.1220092773438,17.0394,65,25.5017,2355.72,325000
3142.44,66,-760.8448486328125,20.0136,66,25.3788,2786.68,330000
3135.61,67,-942.35205078125,25.1632,67,24.6666,2595.11,335000
3112.45,68,-519.3218994140625,16.0201,68,24.545,2824.79,340000
480.4,69,-1907.638671875,45.3088,69,30.4481,420.48,345000
248.68,70,-1924.103759765625,45.141,70,25.6148,474.21,350000
922.94,71,-1587.3785400390625,20.7897,71,26.6903,1409.66,355000
1026.27,72,-1494.2603759765625,40.7955,72,25.428,1918.06,360000
3127.9,73,-728.806884765625,18.2937,73,25.6839,2949.4,365000
1188.85,74,-2728.540771484375,65.3514,74,27.1895,1211.13,370000
3077.07,75,-1782.802490234375,35.6378,75,25.8202,1682.34,375000
3116.45,76,-639.3118286132812,15.6587,76,24.9937,2672.27,380000
1482.51,77,-2017.6917724609375,40.5057,77,25.4711,1341.5,385000
1581.37,78,-2320.85986328125,65.0322,78,25.6099,1329.75,390000
3137.85,79,-1053.99560546875,16.3479,79,24.83,2121.31,395000
3122.74,80,-1743.05419921875,32.7042,80,25.5168,1614.54,400000
3084.17,81,-1717.0543212890625,28.2219,81,25.6545,1840.12,405000
3135.17,82,-1360.0316162109375,17.6515,82,25.5172,1932.99,410000
2391.82,83,-1975.8778076171875,26.9003,83,25.8667,1350.95,415000
3162.19,84,-1617.2894287109375,19.2234,84,25.6942,2042.52,420000
3147.22,85,-986.4297485351562,16.6664,85,25.5498,3009.99,425000
3146.47,86,-986.4699096679688,16.6115,86,24.9957,2650.44,430000
3135.45,87,-1433.9342041015625,18.9225,87,25.3682,2064.09,435000
3082.9,88,-1572.1630859375,14.8089,88,25.6597,1406.52,440000
3128.34,89,-996.8421020507812,17.0098,89,24.9888,2799.78,445000
3145.68,90,-1242.4486083984375,15.9217,90,25.4775,2629.11,450000
3162.94,91,-1345.212890625,15.4339,91,25.3942,2396.37,455000
3157.31,92,-1204.1407470703125,15.0044,92,25.4131,2281.79,460000
3117.26,93,-1202.1688232421875,14.4866,93,25.0348,2258.87,465000
2495.88,94,-1621.4329833984375,14.458,94,25.4197,1407.69,470000
3148.89,95,-1270.2698974609375,14.5807,95,25.0376,2311.38,475000
3157.63,96,-1542.6656494140625,14.4215,96,24.9063,1746.48,480000
3134.27,97,-940.9329223632812,15.2917,97,24.9146,2845.55,485000
3155.97,98,-1475.6324462890625,14.0937,98,24.7508,1770.21,490000
3132.18,99,-884.7893676757812,16.3975,99,25.2261,2962.4,495000
3123.84,100,-1130.718505859375,14.5313,100,24.7089,2194.33,500000
3147.86,101,-1534.3018798828125,17.1635,101,24.9876,1594.96,505000
3131.97,102,-1246.8875732421875,14.5373,102,25.0412,2370.45,510000
3055.36,103,-1711.3729248046875,16.8983,103,25.0518,1836.08,515000
3147.0,104,-1220.74853515625,14.1254,104,24.7862,2222.57,520000
3148.33,105,-1312.9931640625,15.6443,105,24.4443,2056.51,525000
3155.44,106,-1219.6627197265625,14.2492,106,24.2596,2476.31,530000
3222.97,107,-1295.44287109375,15.3968,107,24.4977,2205.82,535000
3151.93,108,-1048.4764404296875,15.6844,108,24.7703,2988.46,540000
2902.26,109,-1374.1436767578125,14.8476,109,24.592,2032.36,545000
3171.05,110,-1517.986572265625,14.3058,110,24.5725,2442.66,550000
3145.34,111,-1211.77392578125,14.3526,111,24.4809,2707.1,555000
