Real Sto Return,Running Update Time,Running Forward KL,Running Env Steps,Itration,Reward Loss,Real Det Return,Running Reverse KL
3428.73,55,18.753,275000,55,-34.467933654785156,3436.77,11.9808
2916.79,56,19.4973,280000,56,-128.9757537841797,3347.85,13.8475
3362.99,57,18.98,285000,57,-58.9376106262207,3379.91,12.4193
2597.44,58,19.0644,290000,58,-179.81642150878906,3351.05,16.3029
3346.43,59,17.7923,295000,59,-52.91122055053711,3362.69,11.6996
3399.9,60,19.0149,300000,60,-44.44271469116211,3405.44,12.4052
3448.48,61,19.707,305000,61,-41.33212661743164,3467.35,12.6913
3435.97,62,18.2782,310000,62,-42.638004302978516,3508.61,11.5305
3438.09,63,19.4261,315000,63,-52.713809967041016,3446.45,12.4404
3507.35,64,18.9088,320000,64,-31.864107131958008,3541.42,12.3595
3404.92,65,18.2475,325000,65,-44.945953369140625,3422.89,11.8258
3402.41,66,17.4257,330000,66,-48.61277389526367,3449.6,10.9986
3379.23,67,18.1004,335000,67,-52.61200714111328,3402.33,10.7823
3523.91,68,19.8656,340000,68,-19.234539031982422,3546.48,13.9418
3402.95,69,18.3158,345000,69,-55.2169075012207,3452.65,11.4771
3526.21,70,18.534,350000,70,-53.812862396240234,3542.36,11.9325
3462.69,71,19.0627,355000,71,-59.88162612915039,3539.03,11.6326
3416.49,72,19.2409,360000,72,-77.54415130615234,3446.65,11.8741
3327.68,73,19.3159,365000,73,-53.974510192871094,3579.63,11.808
3473.13,74,19.0258,370000,74,-61.36435317993164,3539.44,12.1317
3521.18,75,17.8934,375000,75,-24.302244186401367,3565.72,10.9465
3500.4,76,18.6913,380000,76,-31.654178619384766,3527.23,11.9262
3107.58,77,19.1588,385000,77,-167.45095825195312,3537.72,11.5296
3505.13,78,18.6035,390000,78,-45.16935348510742,3565.6,11.7086
3512.13,79,17.999,395000,79,-43.59799575805664,3560.5,11.649
3453.0,80,17.6001,400000,80,-41.78249740600586,3532.16,10.9908
3524.7,81,18.625,405000,81,-40.304420471191406,3569.39,12.0941
3523.81,82,19.6828,410000,82,-54.73625564575195,3563.39,12.5554
3443.0,83,17.8859,415000,83,-50.55439376831055,3510.53,11.3933
3472.8,84,18.3708,420000,84,-56.5521125793457,3508.02,10.8832
3361.31,85,17.262,425000,85,-85.74661254882812,3548.25,11.3038
3399.43,86,18.6774,430000,86,-54.93336868286133,3544.16,11.8969
3043.69,87,18.7945,435000,87,-72.19123840332031,3599.17,11.1452
3488.49,88,18.09,440000,88,-53.10869216918945,3547.53,11.9038
3501.1,89,18.5324,445000,89,-41.14848327636719,3544.51,12.0408
3498.02,90,19.5036,450000,90,-64.71443176269531,3526.04,12.9019
3264.37,91,18.4921,455000,91,-50.547420501708984,3543.68,11.6295
3426.37,92,18.4456,460000,92,-56.047142028808594,3585.97,11.2745
