Running Reverse KL,Real Sto Return,Real Det Return,Itration,Running Forward KL
26.7855,-61.51,277.61,0,74.3676
25.1944,-1.71,216.42,1,73.0604
25.9454,20.17,408.15,2,71.8462
27.143,24.51,469.35,3,73.5019
25.641,49.12,638.8,4,69.8263
27.8762,155.04,572.92,5,71.0426
28.7192,65.01,691.74,6,70.7348
28.0515,153.74,759.72,7,67.8717
28.3562,146.58,866.93,8,67.7843
28.4767,200.8,750.69,9,68.3416
29.7191,220.66,694.67,10,69.0661
28.7517,292.52,936.84,11,68.0733
29.066,198.07,880.37,12,68.3403
29.2449,231.69,746.34,13,69.0779
29.904,196.38,675.67,14,70.2272
28.5246,151.69,354.65,15,68.8307
28.9287,286.73,952.09,16,68.4799
28.0371,215.61,713.12,17,67.8132
29.8172,235.72,710.89,18,71.0329
26.6107,342.73,546.02,19,66.1254
26.4108,264.23,879.04,20,64.1104
26.7856,293.74,660.13,21,65.1293
26.4548,322.14,1113.61,22,65.073
25.9682,653.49,1859.14,23,64.4658
25.9281,584.38,1639.59,24,64.9294
26.4761,894.31,1270.16,25,64.8739
28.563,1237.68,1597.25,26,62.8629
28.6993,919.11,1363.8,27,65.1519
26.6842,807.79,1261.51,28,65.8004
29.9253,940.38,1725.87,29,66.1931
27.3093,1254.83,2135.16,30,63.9015
29.6347,928.8,1387.88,31,65.6415
30.2137,1383.89,1169.35,32,65.3626
29.343,1539.44,1644.22,33,65.6498
42.3438,1864.31,2840.35,34,70.5229
35.1834,1323.86,1875.56,35,66.6709
30.2023,894.33,1113.45,36,65.68
42.7937,1804.66,2654.06,37,70.1733
37.5292,1856.42,3310.67,38,67.9291
34.2986,1531.58,2850.82,39,66.7947
43.2665,2520.51,3727.72,40,70.2064
43.4666,2129.16,3171.19,41,69.7433
45.655,2764.7,2959.23,42,70.3316
36.6256,1941.74,2416.39,43,67.6285
38.3597,1871.18,1798.21,44,68.5347
45.5152,2577.98,3575.18,45,68.9892
62.6498,3444.74,3864.53,46,77.9359
47.4077,3221.76,3803.65,47,70.6835
56.674,3584.22,3113.88,48,74.0198
57.0507,3391.14,3730.4,49,74.7624
54.497,3148.29,2644.53,50,71.7292
57.6966,2408.86,3428.55,51,72.296
47.2892,3512.0,3742.02,52,70.2373
55.7906,3493.64,3630.36,53,73.1228
55.9475,3534.28,4415.23,54,72.4725
49.535,3321.59,3597.89,55,69.8744
61.9873,4346.94,4818.18,56,77.5119
61.1463,3876.11,4281.56,57,73.7604
61.8612,3890.01,4550.51,58,80.6902
58.1494,3209.37,4147.83,59,71.8896
79.3816,3805.22,4584.76,60,89.5371
62.2526,3244.55,4546.53,61,74.8503
69.0153,4054.49,4618.33,62,83.9719
71.9995,4328.0,4507.92,63,85.1736
59.2764,3733.14,4962.27,64,74.217
66.6388,4194.84,4437.96,65,78.2346
66.7179,4056.97,5086.52,66,78.5514
63.5001,4159.84,4608.62,67,75.9893
73.6097,3715.74,4743.06,68,84.9419
67.3694,4592.39,5052.55,69,76.1506
75.299,4481.34,4981.13,70,87.2222
61.9598,3884.58,4510.73,71,73.9857
79.237,3503.69,4330.69,72,87.4331
84.1108,3489.68,5201.54,73,91.3166
77.008,3809.89,4808.49,74,86.9132
77.0214,4099.92,4413.39,75,88.2967
74.105,4204.29,4777.09,76,79.4646
70.539,4195.88,4976.52,77,76.9288
79.1116,2735.44,4842.91,78,85.7804
65.9157,3789.63,4067.46,79,75.0167
75.222,3762.61,4897.86,80,85.1195
77.6514,3963.54,5110.74,81,81.3584
63.5072,2757.31,4787.77,82,74.2698
73.4809,4180.57,4465.06,83,76.0575
79.0648,4529.52,5040.88,84,86.6809
80.5612,3765.64,4571.81,85,86.9623
79.3686,4222.96,5164.35,86,86.0534
80.4116,4558.81,4940.31,87,89.1194
69.2792,4153.54,4921.25,88,76.2743
78.616,4334.35,5235.34,89,85.5152
73.7406,4302.4,5124.73,90,76.8208
84.1024,4355.54,3579.59,91,89.277
78.3593,4506.17,4474.76,92,90.4089
84.7395,4564.47,4879.26,93,91.0588
79.2988,4913.74,4673.65,94,87.2788
70.7902,4679.91,4738.05,95,77.4518
78.6463,4847.39,5147.47,96,87.4484
81.2414,4581.37,5186.17,97,85.4553
79.7495,4566.28,4914.39,98,87.0073
76.0481,4267.11,5254.72,99,87.3405
79.9841,4853.27,5125.72,100,88.2629
83.9352,3085.9,4870.3,101,88.6947
73.5046,3814.08,5028.93,102,75.4841
90.4768,3649.34,4776.57,103,93.2274
85.7484,4535.45,5327.29,104,90.6223
81.1501,4455.55,5288.93,105,85.9546
88.7447,4641.35,5193.05,106,92.0854
77.9048,4397.25,4834.12,107,86.0723
92.9124,4804.21,5319.49,108,91.9669
77.0786,4374.75,4785.71,109,79.0168
83.5662,4341.81,5309.77,110,82.4987
88.9404,4442.48,5029.65,111,90.7838
83.0765,4127.25,5115.09,112,83.975
87.0138,3803.7,5192.29,113,87.4218
76.532,4436.32,5136.19,114,84.8785
76.3454,3823.47,4169.25,115,82.5791
82.999,4506.01,5043.82,116,77.7462
74.6248,4327.22,5199.15,117,77.1915
68.4956,4223.1,4217.56,118,74.985
85.7894,4798.91,5388.74,119,89.7753
77.218,4927.63,5305.8,120,79.7319
85.6691,4302.42,4784.8,121,89.3648
83.7085,4387.14,5183.08,122,89.2226
79.6912,5126.77,5460.03,123,79.1287
80.5324,4722.71,4985.08,124,89.998
81.7905,5152.02,5402.69,125,89.6623
76.6225,5119.46,5484.92,126,79.4133
88.8828,4963.66,5177.92,127,87.9212
85.0263,5028.73,5375.27,128,89.396
86.5393,5074.73,5475.42,129,89.7943
93.2292,4676.19,5132.73,130,91.0775
76.9198,4265.36,5433.62,131,79.658
82.9805,5081.0,5240.46,132,80.7499
91.6571,5138.91,5448.36,133,91.1482
86.6069,4724.72,4909.79,134,88.7732
88.568,4949.86,5346.04,135,88.9573
75.6704,5042.45,5416.45,136,76.5503
81.8583,4902.74,5176.0,137,88.0106
84.954,5101.84,5392.19,138,88.358
87.0696,5106.2,5515.83,139,87.2355
79.6635,4579.03,5415.71,140,77.2216
91.1533,4589.77,5501.05,141,88.7077
83.3955,5168.67,5262.37,142,89.1473
85.9713,5096.08,5409.46,143,80.2705
91.5398,4870.98,5432.64,144,88.8955
87.2079,4830.99,5132.78,145,88.5781
83.8635,5128.81,5476.79,146,87.4084
86.2673,4978.96,5475.25,147,87.879
89.3074,5122.67,5431.1,148,88.5877
70.7009,5100.62,5335.4,149,74.9025
92.8767,5217.52,5510.91,150,92.0565
84.6441,5005.15,5281.11,151,88.3558
85.769,4642.52,5531.97,152,90.189
89.8095,4828.01,5520.25,153,89.3507
88.9076,5032.81,5363.78,154,90.5693
90.6508,5152.18,5270.06,155,93.5976
87.1296,5254.78,5536.15,156,88.8888
87.3489,5248.49,5277.63,157,90.3155
81.6471,5039.68,5277.46,158,87.7678
91.7718,4932.94,5428.75,159,91.5631
97.9779,4648.55,5303.73,160,94.523
92.2019,5008.03,5615.51,161,89.5162
89.4446,4148.74,5564.22,162,90.6938
91.5252,5310.13,5253.65,163,91.1014
92.1929,4984.88,5395.27,164,91.7823
90.3994,4892.67,5593.34,165,89.6819
88.9784,4648.05,5578.27,166,88.5811
89.5874,4746.78,5569.58,167,89.8431
84.5563,5256.25,5562.08,168,86.9479
91.0091,5223.25,5677.41,169,89.0566
88.924,5340.99,5570.67,170,90.0143
84.4582,5348.3,5680.82,171,90.0125
87.4973,5132.9,5658.27,172,88.2994
91.1624,5294.71,5485.4,173,93.4609
87.8615,5236.09,5573.18,174,89.1343
87.2201,5337.05,5616.21,175,87.0683
85.2345,5332.45,5627.69,176,89.4557
88.5865,5051.42,5599.67,177,90.1141
85.0971,5387.44,5779.46,178,86.9437
85.951,5335.6,5458.54,179,87.9707
86.9814,5256.86,5729.6,180,90.2976
84.2013,5129.21,5455.18,181,87.7665
91.2171,5264.38,5571.41,182,92.3167
89.7917,4765.98,5563.72,183,90.3223
89.5597,5248.76,5647.74,184,91.4922
86.4105,5250.02,5628.73,185,91.0629
91.7565,4715.46,5579.74,186,89.3854
88.3231,5158.04,5579.39,187,90.7268
86.1982,5202.89,5691.85,188,87.5416
92.3496,5272.52,5658.09,189,90.8043
81.8387,5260.16,5685.26,190,85.6078
79.575,5168.65,5639.92,191,82.1985
90.3308,4396.56,5630.32,192,91.0975
91.661,5288.54,5666.08,193,90.3779
82.7504,5307.25,5160.54,194,86.9617
84.8073,5304.51,5499.72,195,87.0347
84.998,5340.43,5433.99,196,93.6464
84.9798,5300.43,5174.87,197,88.5907
92.5782,5212.83,5545.21,198,92.537
